
Symbol,"Record Date",Action,"Dividend Amount",Ex-Date,"Payment Date"
JMMBGLUSD5.75,2017-12-29,,.021700,2017-12-27,2018-01-12
JMMBGL7.50,2017-12-29,,.006400,2017-12-27,2018-01-12
JMMBGLUSD6.00,2017-12-29,,.015100,2017-12-27,2018-01-12
JMMBGL7.25,2017-12-29,,.009200,2017-12-27,2018-01-12
JMMBGLUSD6.00,2017-12-29,,.015123,2017-12-28,2018-01-12
JMMBGLUSD5.75,2017-12-29,,.021739,2017-12-28,2018-01-12
JMMBGL7.50,2017-12-29,,.006369,2017-12-28,2018-01-12
JMMBGL7.25,2017-12-29,,.009236,2017-12-28,2018-01-12
DTL11.75,2017-12-28,,.058600,2017-12-26,2017-12-29
SGJ,2017-12-27,,.480000,2017-12-22,2018-01-18
JMMB7.5,2017-12-20,,.012700,2017-12-18,2017-12-29
EPLYSTP,2017-12-20,,.056100,2017-12-18,2017-12-29
EPLY9.5,2017-12-20,,.048400,2017-12-18,2017-12-29
JMMB7.25,2017-12-20,,.015400,2017-12-18,2017-12-29
KW,2017-12-20,,.210000,2017-12-19,2018-01-19
JMMB7.25,2017-12-20,,.015393,2017-12-19,2017-12-29
JMMB7.5,2017-12-20,,.012739,2017-12-19,2017-12-29
EPLY9.5,2017-12-20,,.050000,2017-12-19,2017-12-29
EPLYSTP,2017-12-20,,.060000,2017-12-19,2017-12-29
JPS5C,2017-12-15,,.025000,2017-12-14,2017-12-29
JPS5D,2017-12-15,,.025000,2017-12-14,2017-12-29
JPS6,2017-12-15,,.030000,2017-12-14,2017-12-29
JPS7,2017-12-15,,.035000,2017-12-14,2017-12-29
CPJ,2017-12-15,,.060000,2017-12-14,2018-01-19
PROVEN8.25,2017-12-08,,.103125,2017-12-06,2017-12-15
SALF,2017-12-01,,.500000,2017-11-29,2017-12-18
JMMBGL7.50,2017-11-30,,.006200,2017-11-28,2017-12-14
JMMBGL7.25,2017-11-30,,.008900,2017-11-28,2017-12-14
SEP,2017-11-29,,.350000,2017-11-27,2017-12-06
JSE,2017-11-29,,.110000,2017-11-27,2017-12-11
EPLY,2017-11-28,,.037200,2017-11-24,2017-12-12
