Name,Instrument Code,Currency,Sector,Type,Website
ACCESS FINANCIAL SERVICES LIMITED,AFS,JMD,FINANCE,ORDINARY,Website
AMG PACKAGING & PAPER COMPANY LIMITED,AMG,JMD,MANUFACTURING,ORDINARY,Website
BLUE POWER GROUP LIMITED,BPOW,JMD,MANUFACTURING,ORDINARY,-
C2W MUSIC LIMITED,MUSIC,JMD,OTHER,ORDINARY,Website
CAC 2000 9.5% CUMULATIVE REDEEMABLE PREF SHARES,CAC9.50,JMD,RETAIL,PREFERENCE,-
CAC 2000 LIMITED,CAC,JMD,RETAIL,ORDINARY,Website
CARGO HANDLERS LIMITED,CHL,JMD,OTHER,ORDINARY,-
CARIBBBEAN ASSURANCE BROKERS LIMITED,CABROKERS,JMD,,ORDINARY,-
CARIBBEAN CREAM LIMITED,KREMI,JMD,MANUFACTURING,ORDINARY,Website
CARIBBEAN FLAVOURS & FRAGRANCES LIMITED,CFF,JMD,MANUFACTURING,ORDINARY,Website
CARIBBEAN PRODUCERS JAMAICA LIMITED,CPJ,JMD,RETAIL,ORDINARY,Website
CONSOLIDATED BAKERIES (JAMAICA) LIMITED,PURITY,JMD,MANUFACTURING,ORDINARY,Website
DERRIMON TRADING COMPANY LIMITED,DTL,JMD,RETAIL,ORDINARY,Website
DERRIMON TRADING COMPANY LTD 2021 PREF SHARES,DTL9,JMD,RETAIL,PREFERENCE,-
DOLPHIN COVE LIMITED,DCOVE,JMD,TOURISM,ORDINARY,Website
ELITE DIAGNOSTIC LIMITED,ELITE,JMD,OTHER,ORDINARY,-
EVERYTHING FRESH LIMITED,EFRESH,JMD,OTHER,ORDINARY,-
EXPRESS CATERING LIMITED,ECL,JMD,OTHER,ORDINARY,-
FONTANA LIMITED,FTNA,JMD,OTHER,ORDINARY,-
FOSRICH COMPANY LIMITED,FOSRICH,JMD,OTHER,ORDINARY,-
GENERAL ACCIDENT INSURANCE COMPANY (JA) LIMITED,GENAC,JMD,INSURANCE,ORDINARY,Website
GWEST CORPORATION LIMITED ORDINARY SHARES,GWEST,JMD,OTHER,ORDINARY,-
HONEY BUN (1982) LIMITED,HONBUN,JMD,MANUFACTURING,ORDINARY,Website
ICREATE LIMITED ORDINARY SHARES,ICREATE,JMD,OTHER,ORDINARY,-
INDIES PHARMA JAMAICA LIMITED ORDINARY SHARES,INDIES,JMD,RETAIL,ORDINARY,-
IRONROCK INSURANCE COMPANY LIMITED,ROC,JMD,INSURANCE,ORDINARY,-
ISP FINANCE SERVICES LIMITED,ISP,JMD,FINANCE,ORDINARY,-
JAMAICAN TEAS LIMITED,JAMT,JMD,MANUFACTURING,ORDINARY,Website
JETCON CORPORATION LIMITED,JETCON,JMD,RETAIL,ORDINARY,-
K.L.E. GROUP LIMITED,KLE,JMD,OTHER,ORDINARY,Website
KNUTSFORD EXPRESS SERVICES LIMITED,KEX,JMD,OTHER,ORDINARY,Website
LASCO DISTRIBUTORS LIMITED,LASD,JMD,RETAIL,ORDINARY,Website
LASCO FINANCIAL SERVICES LIMITED,LASF,JMD,FINANCE,ORDINARY,Website
LASCO MANUFACTURING LIMITED,LASM,JMD,MANUFACTURING,ORDINARY,Website
LUMBER DEPOT LIMITED,LUMBER,JMD,,ORDINARY,-
MAILPAC GROUP LIMITED,MAILPAC,JMD,,ORDINARY,-
MAIN EVENT ENTERTAINMENT GROUP,MEEG,JMD,OTHER,ORDINARY,-
MEDICAL DISPOSABLES & SUPPLIES LIMITED,MDS,JMD,RETAIL,ORDINARY,-
PARAMOUNT TRADING (JAMAICA) LIMITED,PTL,JMD,MANUFACTURING,ORDINARY,Website
PARAMOUNT TRADING (JAMAICA) LIMITED PREFERENCE SHARES,PTL8.75,JMD,MANUFACTURING,PREFERENCE,-
SSL VENTURE CAPITAL JAMAICA LIMITED,SSLVC,JMD,OTHER,ORDINARY,-
STATIONERY AND OFFICE SUPPLIES LIMITED,SOS,JMD,OTHER,ORDINARY,-
THE LIMNERS AND BARDS LIMITED,LAB,JMD,OTHER,ORDINARY,-
TROPICAL BATTERY COMPANY LIMITED,TROPICAL,JMD,,ORDINARY,-
TTECH LIMITED,TTECH,JMD,OTHER,ORDINARY,Website
