Name,Instrument Code,Currency,Sector,Type,Website
138 STUDENT LIVING JAMAICA LIMITED,138SL,JMD,OTHER,ORDINARY,-
1834 INVESTMENTS LIMITED,1834,JMD,COMMUNICATIONS,ORDINARY,Website
BARITA INVESTMENTS LIMITED,BIL,JMD,FINANCE,ORDINARY,Website
BERGER PAINTS JAMAICA LTD.,BRG,JMD,MANUFACTURING,ORDINARY,Website
CARIBBEAN CEMENT COMPANY LTD.,CCC,JMD,MANUFACTURING,ORDINARY,Website
CARRERAS LIMITED,CAR,JMD,RETAIL,ORDINARY,Website
CIBONEY GROUP LIMITED,CBNY,JMD,TOURISM,ORDINARY,-
EPPLEY CARIBBEAN PROPERTY FUND LIMITED SCC,CPFV,JMD,FINANCE,ORDINARY,-
EPPLEY LIMITED,EPLY,JMD,FINANCE,ORDINARY,Website
FIRST ROCK CAPITAL HOLDINGS LIMITED,FIRSTROCKJMD,JMD,OTHER,ORDINARY,-
GRACEKENNEDY LIMITED,GK,JMD,CONGLOMERATES,ORDINARY,Website
ITRI,ITRI,JMD,MANUFACTURING,ORDINARY,-
JAMAICA BROILERS GROUP,JBG,JMD,MANUFACTURING,ORDINARY,Website
JAMAICA PRODUCERS GROUP LTD.,JP,JMD,CONGLOMERATES,ORDINARY,Website
JAMAICA STOCK EXCHANGE,JSE,JMD,FINANCE,ORDINARY,Website
JMMB GROUP LIMITED,JMMBGL,JMD,FINANCE,ORDINARY,-
KEY INSURANCE COMPANY LIMITED,KEY,JMD,INSURANCE,ORDINARY,-
KINGSTON PROPERTIES LIMITED,KPREIT,JMD,OTHER,ORDINARY,Website
KINGSTON WHARVES LIMITED,KW,JMD,OTHER,ORDINARY,Website
MARGARITAVILLE (TURKS) LIMITED,MTL,JMD,,ORDINARY,-
MAYBERRY INVESTMENTS LIMITED,MIL,JMD,FINANCE,ORDINARY,Website
MAYBERRY JAMAICAN EQUITIES LIMITED,MJE,JMD,FINANCE,ORDINARY,-
MPC CARIBBEAN CLEAN ENERGY LIMITED,MPCCEL,JMD,OTHER,ORDINARY,-
NCB FINANCIAL GROUP LIMITED,NCBFG,JMD,FINANCE,ORDINARY,Website
PALACE AMUSEMENT CO. LTD.,PAL,JMD,OTHER,ORDINARY,Website
PANJAM INVESTMENT LIMITED,PJAM,JMD,CONGLOMERATES,ORDINARY,Website
PORTLAND JSX LIMITED,PJX,JMD,FINANCE,ORDINARY,-
PROVEN INVESTMENTS LIMITED JMD,PROVEN,JMD,FINANCE,ORDINARY,-
PULSE INVESTMENTS LIMITED,PULS,JMD,OTHER,ORDINARY,Website
QWI INVESTMENTS LIMITED,QWI,JMD,FINANCE,ORDINARY,-
RADIO JAMAICA LIMITED,RJR,JMD,COMMUNICATIONS,ORDINARY,Website
SAGICOR GROUP JAMAICA LIMITED,SJ,JMD,CONGLOMERATES,ORDINARY,Website
SAGICOR REAL ESTATE X FUND LTD.,XFUND,JMD,OTHER,ORDINARY,Website
SAGICOR SELECT FUNDS LIMITED - FINANCIAL,SELECTF,JMD,FINANCE,ORDINARY,-
SAGICOR SELECT FUNDS LIMITED MANUFACTURING & DISTRIBUTION,SELECTMD,JMD,,ORDINARY,-
SALADA FOODS JAMAICA LTD.,SALF,JMD,MANUFACTURING,ORDINARY,Website
SCOTIA GROUP JAMAICA LIMITED,SGJ,JMD,FINANCE,ORDINARY,Website
SEPROD LIMITED,SEP,JMD,MANUFACTURING,ORDINARY,Website
STANLEY MOTTA LIMITED ORDINARY SHARES,SML,JMD,OTHER,ORDINARY,-
STERLING INVESTMENTS LIMITED,SIL,JMD,FINANCE,ORDINARY,Website
SUPREME VENTURES LIMITED,SVL,JMD,OTHER,ORDINARY,Website
SYGNUS CREDIT INVESTMENTS LIMITED JMD ORDINARY SHARES,SCIJMD,JMD,FINANCE,ORDINARY,-
SYGNUS CREDIT INVESTMENTS LIMITED USD ORDINARY SHARES,SCIUSD,JMD,FINANCE,ORDINARY,-
TRANSJAMAICAN HIGHWAY LIMITED,TJH,JMD,,ORDINARY,-
VICTORIA MUTUAL INVESTMENTS LTD ORDINARY SHARES,VMIL,JMD,FINANCE,ORDINARY,-
WIGTON WINDFARM LIMITED ORDINARY SHARES,WIG,JMD,OTHER,ORDINARY,-
WISYNCO GROUP LTD ORDINARY SHARES,WISYNCO,JMD,MANUFACTURING,ORDINARY,-
