
Symbol,Date,"52 Week High","52 Week Low","Previous Year Div","Current Year Div","Volume (non block)","Today High","Today Low","Last Traded","Close Price","Price Change","Closing Bid","Closing Ask"
AFS,2019-09-02,53.000000,40.000000,.930000,.770000,.000000,.000000,.000000,40.000000,40.000000,.000000,41.000000,45.000000
BIL,2019-09-02,100.000000,9.610000,.890000,.930000,5694.000000,73.000000,70.340000,71.050000,71.360000,-.030000,70.500000,71.050000
BRG,2019-09-02,24.600000,17.000000,.285000,.307000,26785.000000,19.000000,18.110000,18.110000,18.780000,.210000,18.110000,19.000000
BPOW,2019-09-02,16.300000,3.950000,.190000,.020000,4367.000000,8.460000,7.900000,7.900000,8.080000,-.380000,7.850000,8.000000
CHL,2019-09-02,15.500000,9.000000,.245000,.240000,2000.000000,9.250000,9.250000,9.250000,9.250000,-1.320000,9.250000,12.000000
CCC,2019-09-02,100.000000,38.000000,,,10463.000000,83.000000,80.000000,80.000000,82.680000,-.280000,80.000000,83.000000
CAR,2019-09-02,9.910000,7.550000,.870000,.500000,557401.000000,8.600000,8.100000,8.500000,8.400000,-.280000,8.100000,8.500000
CBNY,2019-09-02,.200000,.070000,,,37300.000000,.140000,.140000,.140000,.140000,.010000,.130000,.140000
CWJ,2019-09-02,.000000,.000000,,,.000000,.000000,.000000,1.450000,1.450000,.000000,.000000,.000000
DCOVE,2019-09-02,17.000000,10.200000,.600000,.400000,688.000000,12.000000,11.990000,11.990000,12.000000,.000000,11.750000,12.000000
1834,2019-09-02,1.250000,.750000,.100000,,222876.000000,1.240000,1.000000,1.030000,1.160000,-.040000,1.020000,1.150000
GK,2019-09-02,75.000000,53.100000,1.350000,.750000,141145.000000,69.800000,68.500000,69.800000,69.700000,-.090000,69.700000,69.800000
HONBUN,2019-09-02,7.330000,3.100000,.220000,.060000,15000.000000,7.150000,7.070000,7.070000,7.120000,.070000,6.910000,7.000000
JBG,2019-09-02,43.630000,25.000000,.360000,.200000,49375.000000,36.900000,34.330000,36.000000,35.530000,-.840000,36.000000,36.970000
JP,2019-09-02,33.000000,19.000000,,,24950.000000,28.000000,26.500000,26.500000,27.120000,-.380000,25.500000,26.000000
JPS5C,2019-09-02,,,.100000,.050000,.000000,.000000,.000000,.380000,.380000,.000000,.400000,.000000
JPS5D,2019-09-02,,,.100000,.050000,.000000,.000000,.000000,.380000,.380000,.000000,.400000,.000000
JMMBGLUSD6.00,2019-09-02,1.090000,.990000,.075098,.079998,.000000,.000000,.000000,1.010000,1.010000,.000000,1.020000,1.040000
JMMBGLUSD5.75,2019-09-02,1.500000,1.500000,.107948,.084509,.000000,.000000,.000000,1.500000,1.500000,.000000,.000000,1.500000
JMMBGL7.50,2019-09-02,1.160000,.750000,.067381,.022787,1750.000000,.880000,.880000,.880000,.880000,-.010000,.780000,.850000
JMMBGL7.25,2019-09-02,1.550000,1.500000,.099751,.036996,.000000,.000000,.000000,1.500000,1.500000,.000000,.000000,1.500000
SILUS,2019-09-02,.044000,.020000,,.000707,.000000,.000000,.000000,.022100,.022100,.000000,.025000,.038000
ROC,2019-09-02,5.000000,2.990000,,,.000000,.000000,.000000,4.200000,4.200000,.000000,3.750000,4.000000
JETCON,2019-09-02,4.550000,1.580000,.035000,.030000,27877.000000,2.200000,2.000000,2.200000,2.010000,-.140000,1.880000,2.100000
JPGVR2019,2019-09-02,.000000,.000000,,,.000000,.000000,.000000,8.850000,100.000000,.000000,.000000,.000000
ISP,2019-09-02,22.000000,11.000000,,,.000000,.000000,.000000,17.510000,17.510000,.000000,18.000000,21.000000
KEY,2019-09-02,5.020000,2.850000,,,5000.000000,3.000000,3.000000,3.000000,3.000000,-.250000,3.000000,3.900000
PJX,2019-09-02,10.000000,7.000000,,,.000000,.000000,.000000,8.000000,8.000000,.000000,7.250000,9.000000
AFSVR2020,2019-09-02,.000000,.000000,,,.000000,.000000,.000000,99.500000,99.500000,.000000,.000000,.000000
EPLY8.25,2019-09-02,6.500000,6.000000,.409530,.287504,.000000,.000000,.000000,6.050000,6.050000,.000000,.000000,.000000
MEEG,2019-09-02,8.000000,4.900000,,,33984.000000,7.000000,7.000000,7.000000,7.000000,.140000,7.000000,7.700000
NCBFG,2019-09-02,249.000000,110.000000,2.800000,2.700000,66078.000000,211.990000,205.000000,211.990000,208.950000,-1.400000,208.100000,211.990000
PROVEN8.25,2019-09-02,.000000,.000000,,,.000000,.000000,.000000,5.170000,5.170000,.000000,.000000,.000000
ISP10FR20SEP19,2019-09-02,,,,,.000000,.000000,.000000,110.000000,110.000000,.000000,.000000,.000000
FOSRICH,2019-09-02,6.500000,2.800000,,,24914.000000,5.750000,5.300000,5.500000,5.530000,-.140000,5.300000,5.500000
GWEST,2019-09-02,2.200000,.700000,,,.000000,.000000,.000000,1.300000,1.300000,.000000,1.250000,1.300000
WISYNCO,2019-09-02,30.000000,8.700000,,.170000,297883.000000,24.500000,22.850000,23.500000,23.720000,-.130000,23.600000,24.500000
VMIL,2019-09-02,9.000000,3.010000,,.030000,492671.000000,8.100000,7.950000,8.100000,7.990000,.000000,8.030000,8.100000
ELITE,2019-09-02,7.500000,2.850000,,,350439.000000,7.500000,6.200000,6.200000,6.800000,-.200000,6.200000,7.000000
EPLY5.00,2019-09-02,1.000000,.970000,,.033310,.000000,.000000,.000000,.980000,.980000,.000000,.980000,.000000
EPLY8.75,2019-09-02,6.100000,5.800000,,.350960,.000000,.000000,.000000,6.050000,6.050000,.000000,.000000,.000000
DTL9,2019-09-02,2.510000,1.900000,,,.000000,.000000,.000000,2.050000,2.050000,.000000,2.100000,.000000
JMMBGL5.50NC,2019-09-02,2.000000,2.000000,,,.000000,.000000,.000000,2.000000,2.000000,.000000,.000000,2.000000
