
Symbol,Date,"52 Week High","52 Week Low","Previous Year Div","Current Year Div","Volume (non block)","Today High","Today Low","Last Traded","Close Price","Price Change","Closing Bid","Closing Ask"
AFS,2020-01-02,53.000000,29.000000,,,.000000,.000000,.000000,36.000000,34.470406,.000000,31.210000,35.550000
BIL,2020-01-02,100.000000,36.800000,,,38799.000000,74.000000,73.150000,73.510000,73.251275,.890000,73.510000,75.500000
BRG,2020-01-02,24.600000,15.110000,,,450.000000,18.010000,18.010000,18.010000,18.010000,.000000,18.010000,18.500000
BPOW,2020-01-02,16.300000,4.000000,,,17588.000000,5.000000,4.540000,5.000000,4.781499,.240000,4.600000,6.540000
CHL,2020-01-02,15.500000,8.000000,,,.000000,.000000,.000000,8.950000,8.954189,.000000,8.010000,9.500000
CCC,2020-01-02,100.000000,38.010000,,,11559.000000,85.000000,84.000000,84.000000,84.273103,.860000,84.000000,84.500000
CAR,2020-01-02,9.910000,7.550000,,,3342373.000000,8.300000,8.100000,8.200000,8.151030,-.010000,8.160000,8.200000
CBNY,2020-01-02,.170000,.070000,,,3965.000000,.110000,.100000,.110000,.109748,.000000,.100000,.110000
DCOVE,2020-01-02,16.500000,9.000000,,,15500.000000,11.110000,11.100000,11.110000,11.109935,1.490000,9.700000,11.130000
1834,2020-01-02,1.260000,.750000,,,.000000,.000000,.000000,1.050000,1.072370,.000000,1.150000,1.220000
GK,2020-01-02,79.800000,56.000000,,,3535.000000,73.000000,69.500000,73.000000,71.152023,1.720000,71.000000,75.000000
HONBUN,2020-01-02,9.120000,3.600000,,,3500.000000,8.000000,7.900000,8.000000,7.995657,.770000,7.500000,8.000000
JBG,2020-01-02,43.630000,25.000000,,,16158.000000,41.000000,40.900000,40.900000,40.904611,-.010000,40.900000,41.000000
JP,2020-01-02,31.190000,20.050000,,,7939.000000,27.400000,24.500000,27.000000,26.043954,-1.210000,24.400000,28.950000
JPS5C,2020-01-02,,,,,.000000,.000000,.000000,,.380000,.000000,.420000,
JPS5D,2020-01-02,,,,,.000000,.000000,.000000,,.380000,.000000,.420000,
JPS6,2020-01-02,,,,,.000000,.000000,.000000,,.440000,.000000,,
JPS7,2020-01-02,,,,,.000000,.000000,.000000,,.480000,.000000,.520000,
JAMT,2020-01-02,9.000000,3.000000,,,165465.000000,6.600000,6.300000,6.600000,6.359113,.090000,6.310000,6.600000
KPREIT,2020-01-02,8.450000,5.000000,,,.000000,.000000,.000000,6.900000,6.625000,.000000,6.800000,6.900000
KW,2020-01-02,78.000000,47.000000,,,.000000,.000000,.000000,61.150000,61.221805,.000000,61.010000,61.600000
LASD,2020-01-02,4.100000,3.000000,,,16930.000000,3.450000,3.250000,3.250000,3.314146,.090000,3.220000,3.300000
LASF,2020-01-02,7.000000,3.650000,,,11200.000000,4.350000,4.000000,4.330000,4.046214,-.290000,4.100000,4.480000
LASM,2020-01-02,6.500000,3.000000,,,4036.000000,4.680000,4.600000,4.680000,4.610823,-.080000,4.610000,4.690000
MIL,2020-01-02,10.140000,7.000000,,,10795.000000,9.500000,9.000000,9.000000,9.299027,.300000,8.510000,9.000000
PAL,2020-01-02,2900.000000,1250.000000,,,.000000,.000000,.000000,2900.000000,2900.000000,.000000,,4000.000000
PJAM,2020-01-02,110.600000,70.000000,,,239379.000000,103.000000,101.000000,102.000000,101.766901,.890000,101.500000,103.850000
PULS,2020-01-02,7.980000,2.300000,,,65000.000000,7.700000,5.910000,7.500000,6.497062,.500000,6.010000,7.700000
RJR,2020-01-02,2.580000,.800000,,,3000.000000,1.800000,1.800000,1.800000,1.800000,-.030000,1.800000,1.890000
SALF,2020-01-02,42.500000,25.000000,,,.000000,.000000,.000000,35.000000,33.615155,.000000,35.000000,37.500000
SGJ,2020-01-02,62.400000,48.800000,,,185416.000000,57.000000,56.000000,56.000000,56.003872,.520000,57.000000,57.100000
