Name,Instrument Code,Currency,Sector,Type,Website
BANK OF NOVA SCOTIA JAMAICA VAR. PREF.,BNSJVP,JMD,,PREFERENCE,-
BARITA INVEST LTD SERIES A,BILVPA,JMD,,ORDINARY,-
BARITA INVEST LTD SERIES B,BILVPB,JMD,,ORDINARY,-
BEL GOV MRTG N 11.5%,BGMN11,JMD,,PREFERENCE,-
BELIZE GOV. MORTGAGE NOTES 11.5%,BGMN11.,JMD,,PREFERENCE,-
BELIZE GOV. MORTGAGE NOTES 10%,BGMN10,JMD,,PREFERENCE,-
BELIZE GOV. MORTGAGE NOTES 12%,BGMN12,JMD,,PREFERENCE,-
BELIZE GOV. NOTES 10.5%,BGMN10.,JMD,,PREFERENCE,-
CABLE & WIRELESS (JA),CWJA,JMD,,ORDINARY,-
CABLE & WIRELESS JA. 5.5%,CWJA5.5,JMD,,PREFERENCE,-
CABLE & WIRELESS JA. 6%,CWJA6,JMD,,PREFERENCE,-
CABLE & WIRELESS JAMAICA LIMITED,CWJ,JMD,COMMUNICATIONS,ORDINARY,Website
CALDON FIN GRP,CAL,JMD,,ORDINARY,-
CAPITAL & CREDIT FINANCIAL GROUP LIMITED,CCFG,JMD,,ORDINARY,-
CAPITAL & CREDIT MERCHANT BANK LIMITED,CCMBVP,JMD,,PREFERENCE,-
CAPITAL & CREDIT MERCHANT BANK LTD.,CCMB,JMD,,ORDINARY,-
CARIB CEMENT 12% P.N,CCC12,JMD,,PREFERENCE,Website
CARIBBEAN METAL PRODUCTS LTD.,CMP,JMD,,ORDINARY,-
CITIZENBANK 25%,CTZN25,JMD,,PREFERENCE,-
CITIZENSBANK 20%,CTZN20,JMD,,PREFERENCE,-
COURTS JAMAICA LTD.,CRTS,JMD,,ORDINARY,-
CST,CST,JMD,,ORDINARY,-
DESNOES & GEDDES LTD,DG,JMD,,ORDINARY,-
DOMA10%,DOMA10%,JMD,,PREFERENCE,-
DOMB11%,DOMB11%,JMD,,PREFERENCE,-
DOMINCA FIXED NOTES SERIES A 10%,DMFN10,JMD,,PREFERENCE,-
DOMINCA FIXED NOTES SERIES B 11%,DMFN11,JMD,,PREFERENCE,-
DYOLL GROUP LTD.,DYOL,JMD,,ORDINARY,-
FIRST CARIBBEAN INTERNATIONA BANK,FCIB,JMD,,ORDINARY,-
FIRST CARIBBEAN INTERNATIONAL BANK JA.,FCIBJ,JMD,,ORDINARY,-
FIRST JAMAICA INVESTMENTS LIMITED,FJI,JMD,,ORDINARY,-
FRIENDS GROUP LTD.,FREND,JMD,,ORDINARY,-
GOBA10,GOBA10,JMD,,PREFERENCE,-
GOBA10.5,GOBA10.5,JMD,,PREFERENCE,-
GOBB11.5,GOBB11.5,JMD,,PREFERENCE,-
GOBB12,GOBB12,JMD,,PREFERENCE,-
GOODYEAR JAMAICA LTD.,GYR,JMD,,ORDINARY,-
GUARDIAN HOLDINGS LIMITED,GHL,JMD,,ORDINARY,-
HARDWARE & LUMBER LTD.,HL,JMD,,ORDINARY,-
IBS/KLAS FM,KLAS,JMD,,ORDINARY,-
ICD,ICD,JMD,,ORDINARY,-
ILIFE,ILIFE,JMD,,ORDINARY,-
JA. LIVESTOCK ASSOCIATION 7.5%,JLA7.5,JMD,,PREFERENCE,-
JAMAICA MONEY MARKET BROKERS LIMITED 12%,JMMB12,JMD,,PREFERENCE,-
JAMAICA MONEY MARKET BROKERS LIMITED 12.25%,JMMB12.25,JMD,,PREFERENCE,-
JAMAICA MONEY MARKET BROKERS LTD,JMMB,JMD,,ORDINARY,Website
JAMAICA MONEY MARKET BROKERS LTD 7.25%,JMMB7.25,JMD,FINANCE,PREFERENCE,Website
JAMAICA MONEY MARKET BROKERS LTD 7.50%,JMMB7.5,JMD,FINANCE,PREFERENCE,Website
JAMAICA MONEY MARKET BROKERS LTD 8.50%,JMMB8.5,JMD,,PREFERENCE,Website
JAMAICA MONEY MARKET BROKERS LTD 8.75%,JMMB8.75,JMD,,PREFERENCE,Website
JAMAICA MONEY MARKET BROKERS LTD. 12.15%,JMMB12.15,JMD,,PREFERENCE,-
JAMAICA STOCK EXCHANGE VARIABLE PREFERENCE,JSEVP,JMD,,PREFERENCE,-
JAMAICA TELEPHONE 6%,JTC6,JMD,,PREFERENCE,-
JAMAICA TELEPHONE CO. 5.5%,JTC5.5,JMD,,PREFERENCE,-
JFM,JFM,JMD,,ORDINARY,-
KICE,KICE,JMD,,ORDINARY,-
LASCELLES DE MERCADO 15%,LAS15,JMD,,PREFERENCE,-
LASCELLES DE MERCADO 6%,LAS6,JMD,,PREFERENCE,-
LASCELLES DEMERCADO & CO. LTD.,LAS,JMD,,ORDINARY,-
LUCELEC SECURED FLOATING RATE BONDS,LUCELEC,JMD,,US DENOMINATED,-
MARGARITAVILLE CARIBBEAN LIMITED 9%,MCL9,JMD,TOURISM,PREFERENCE,Website
MAYBERRY INVESTMENTS LTD 12%,MIL12,JMD,,PREFERENCE,-
MIDA SERIES A,MIDAA,JMD,,US DENOMINATED,-
