Name,Instrument Code,Currency,Sector,Type,Website
138 STUDENT LIVING JAMAICA LIMITED,138SL,JMD,OTHER,ORDINARY,-
138 STUDENT LIVING JAMAICA LIMITED VARIABLE PREFERENCE,138SLVR,JMD,OTHER,PREFERENCE,-
1834 INVESTMENTS LIMITED,1834,JMD,COMMUNICATIONS,ORDINARY,Website
BARITA INVESTMENTS LIMITED,BIL,JMD,FINANCE,ORDINARY,Website
BERGER PAINTS JAMAICA LTD.,BRG,JMD,MANUFACTURING,ORDINARY,Website
CABLE BAHAMAS LTD FR REDEEMABLE CUMULATIVE JMD PREFERENCE SHAR,CAB11B,JMD,COMMUNICATIONS,PREFERENCE,-
CARIBBEAN CEMENT COMPANY LTD.,CCC,JMD,MANUFACTURING,ORDINARY,Website
CARRERAS LIMITED,CAR,JMD,RETAIL,ORDINARY,Website
CIBONEY GROUP LIMITED,CBNY,JMD,TOURISM,ORDINARY,-
COMMUNITY & WORKERS OF JAMAICA CCU DEFFERED SHARE,CWJDEFERREDA,JMD,,PREFERENCE,-
EPPLEY 7.50% PREF SHARES DUE 2024,EPLY7.50,JMD,FINANCE,PREFERENCE,-
EPPLEY CARIBBEAN PROPERTY FUND LIMITED SCC,CPFV,JMD,FINANCE,ORDINARY,-
EPPLEY LIMITED,EPLY,JMD,FINANCE,ORDINARY,Website
EPPLEY LIMITED 8.25%,EPLY8.25,JMD,FINANCE,PREFERENCE,-
EPPLEY LTD 8.75% PREF SHARES DUE 2023,EPLY8.75,JMD,FINANCE,PREFERENCE,-
FIRST ROCK CAPITAL HOLDINGS LIMITED,FIRSTROCKJMD,JMD,OTHER,ORDINARY,-
GRACEKENNEDY LIMITED,GK,JMD,CONGLOMERATES,ORDINARY,Website
ITRI,ITRI,JMD,MANUFACTURING,ORDINARY,-
JAMAICA BROILERS GROUP,JBG,JMD,MANUFACTURING,ORDINARY,Website
JAMAICA PRODUCERS GROUP LTD.,JP,JMD,CONGLOMERATES,ORDINARY,Website
JAMAICA PUBLIC SERVICE 5% C,JPS5C,JMD,OTHER,PREFERENCE,Website
JAMAICA PUBLIC SERVICE 5% D,JPS5D,JMD,OTHER,PREFERENCE,Website
JAMAICA PUBLIC SERVICE CO. 5%,JPS5,JMD,,PREFERENCE,-
JAMAICA PUBLIC SERVICE CO. 6%,JPS6,JMD,OTHER,PREFERENCE,Website
JAMAICA PUBLIC SERVICE CO. 9.5%,JPS9.5,JMD,OTHER,PREFERENCE,Website
JAMAICA PUBLIC SERVICE CO. LTD. 7%,JPS7,JMD,OTHER,PREFERENCE,Website
JAMAICA STOCK EXCHANGE,JSE,JMD,FINANCE,ORDINARY,Website
JMMB 7.5% JMD PREFERENCE SHARES,JMMB7.50,JMD,FINANCE,PREFERENCE,-
