Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
138SL,2016-01-04,4.6,260933.0,4.6,4.6,0,,,
138SL,2016-01-05,4.6,138798.0,4.7,4.6,0,0.4588,0.0,1.0
138SL,2016-01-06,4.75,3067.0,4.75,4.75,0,,,
138SL,2016-01-15,5.1,985.0,5.1,5.1,6,,,
138SL,2016-01-22,5.3,12500000.0,5.3,5.3,4,0.3182,1.0,0.0
138SL,2016-02-15,5.63,299100.0,5.9,5.5,15,-0.2263,1.0,0.0
138SL,2016-02-17,5.59,354615.0,5.7,5.45,1,,,
138SL,2016-02-18,5.6,146285.0,5.6,5.6,0,,,
138SL,2016-03-01,5.8,5000.0,5.8,5.8,7,,,
138SL,2016-03-02,5.8,22500.0,5.8,5.8,0,,,
138SL,2016-03-04,5.81,6000.0,5.81,5.8,1,,,
138SL,2016-03-07,5.72,8584.0,5.8,5.67,0,,,
138SL,2016-03-09,5.8,20000.0,5.8,5.8,1,,,
138SL,2016-03-15,5.66,300.0,5.66,5.66,3,,,
138SL,2016-03-18,5.26,2000.0,5.26,5.26,2,,,
138SL,2016-03-29,5.26,200.0,5.26,5.26,6,,,
138SL,2016-03-31,5.5,17000.0,5.5,5.5,1,,,
138SL,2016-04-08,5.5,30500.0,5.5,5.5,5,,,
138SL,2016-04-15,5.5,100.0,5.5,5.5,4,,,
138SL,2016-04-19,5.05,1350000.0,5.05,5.05,1,,,
138SL,2016-05-02,5.5,5200.0,5.5,5.5,8,,,
138SL,2016-05-03,5.5,817.0,5.5,5.5,0,,,
138SL,2016-05-11,5.5,200.0,5.5,5.5,5,0.0,1.0,0.0
138SL,2016-05-17,5.01,9000.0,5.07,5.0,3,,,
138SL,2016-05-18,4.5,1992000.0,5.5,4.5,0,,,
138SL,2016-06-08,4.57,12685.0,4.6,4.5,14,,,
138SL,2016-06-09,4.4,584.0,4.4,4.4,0,,,
138SL,2016-06-10,4.5,1000000.0,4.5,4.5,0,,,
