Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
1834,2016-01-04,1.7,52000.0,1.7,1.6,0,,,
1834,2016-01-05,1.98,20000.0,2.05,1.9,0,,,
1834,2016-01-06,2.5,710170.0,2.5,2.4,0,,,
1834,2016-01-07,2.71,264000.0,2.75,2.6,0,,,
1834,2016-01-08,2.63,255400.0,2.71,2.5,0,,,
1834,2016-01-11,2.69,142515.0,2.7,2.6,0,,,
1834,2016-01-12,2.7,118100.0,2.71,2.7,0,,,
1834,2016-01-13,2.7,109622.0,2.71,2.69,0,,,
1834,2016-01-14,2.48,145708.0,2.71,2.4,0,,,
1834,2016-01-15,2.58,7400.0,2.71,2.4,0,,,
1834,2016-01-18,2.68,4573.0,2.68,2.68,0,,,
1834,2016-01-19,2.68,3250.0,2.68,2.68,0,,,
1834,2016-01-20,2.68,29321.0,2.68,2.68,0,,,
1834,2016-01-21,2.68,100.0,2.68,2.68,0,,,
1834,2016-01-22,2.4,15000.0,2.4,2.4,0,,,
1834,2016-01-25,2.66,3000.0,2.67,2.65,0,,,
1834,2016-01-26,2.61,10560.0,2.66,2.6,0,,,
1834,2016-01-27,2.59,17690.0,2.6,2.58,0,,,
1834,2016-01-28,2.59,2186.0,2.6,2.58,0,,,
1834,2016-01-29,2.5,2585.0,2.5,2.5,0,,,
1834,2016-02-01,2.55,6785.0,2.6,2.5,0,,,
1834,2016-02-02,2.59,85044.0,2.64,2.5,0,,,
1834,2016-02-03,2.69,23817.0,2.7,2.64,0,,,
1834,2016-02-04,2.65,81416.0,2.7,2.65,0,,,
1834,2016-02-05,2.8,1012500.0,2.8,2.77,0,-0.2023,0.0,0.0
1834,2016-02-08,2.57,498936.0,2.8,2.42,0,,,
1834,2016-02-09,2.4,47576.0,2.4,2.4,0,,,
1834,2016-02-11,2.4,1998200.0,2.45,2.4,1,,,
1834,2016-02-15,2.8,940.0,2.8,2.8,1,,,
1834,2016-02-16,2.68,2426.0,2.8,2.5,0,,,
1834,2016-02-17,2.45,200.0,2.45,2.45,0,,,
1834,2016-02-18,2.5,57510.0,2.5,2.5,0,,,
1834,2016-02-19,2.49,113790.0,2.5,2.46,0,0.7579,0.0,0.0
1834,2016-02-22,2.43,2000.0,2.45,2.42,0,,,
1834,2016-02-24,2.42,1000.0,2.42,2.42,1,,,
1834,2016-02-25,2.43,69622.0,2.43,2.43,0,,,
1834,2016-02-26,2.43,200978.0,2.45,2.43,0,,,
1834,2016-02-29,2.3,128047.0,2.45,2.1,0,,,
1834,2016-03-01,1.98,1010620.0,2.11,1.95,0,,,
1834,2016-03-02,2.0,101689.0,2.0,1.95,0,,,
1834,2016-03-03,2.0,23565.0,2.01,2.0,0,,,
1834,2016-03-07,2.15,154500.0,2.2,2.0,1,,,
1834,2016-03-09,2.0,20000.0,2.0,2.0,1,,,
1834,2016-03-11,2.05,184073.0,2.05,2.01,1,0.9001,0.0,0.0
1834,2016-03-14,2.1,47582.0,2.2,2.06,0,,,
1834,2016-03-15,2.1,5000.0,2.1,2.1,0,,,
1834,2016-03-16,2.05,131961.0,2.1,1.98,0,,,
1834,2016-03-17,2.09,250029.0,2.1,2.0,0,,,
1834,2016-03-18,2.09,181862.0,2.1,2.09,0,0.0,0.0,0.0
1834,2016-03-21,2.09,105736.0,2.1,2.09,0,,,
1834,2016-03-22,2.09,1834.0,2.09,2.09,0,,,
1834,2016-03-31,2.0,4000.0,2.0,2.0,6,,,
1834,2016-04-05,1.77,6188.0,1.77,1.77,2,,,
1834,2016-04-06,1.6,15000.0,1.6,1.6,0,-0.2263,0.0,0.0
1834,2016-04-11,1.5,43000.0,1.5,1.48,2,,,
1834,2016-04-13,1.48,700.0,1.48,1.48,1,,,
1834,2016-04-20,1.17,9800.0,1.2,1.17,4,,,
1834,2016-04-21,1.13,3200.0,1.16,1.13,0,,,
1834,2016-04-22,1.13,246750.0,1.13,1.13,0,,,
1834,2016-04-25,1.13,2100.0,1.13,1.1,0,,,
1834,2016-04-27,1.1,10100.0,1.1,1.0,1,,,
1834,2016-04-28,0.97,100095.0,1.0,0.97,0,,,
1834,2016-04-29,0.98,101900.0,0.99,0.98,0,,,
1834,2016-05-02,1.15,833.0,1.15,1.15,0,,,
1834,2016-05-03,1.11,8500.0,1.16,1.02,0,,,
1834,2016-05-05,1.1,150.0,1.1,1.1,1,,,
1834,2016-05-06,1.11,15400.0,1.14,1.1,0,,,
1834,2016-05-09,1.1,6500.0,1.1,1.1,0,,,
1834,2016-05-11,1.02,19751.0,1.05,1.02,1,,,
1834,2016-05-12,1.02,65877.0,1.02,1.02,0,,,
1834,2016-05-17,1.04,118100.0,1.1,1.0,2,,,
1834,2016-05-18,1.03,28349.0,1.03,1.02,0,,,
1834,2016-05-19,1.02,34839.0,1.1,0.99,0,,,
1834,2016-05-24,1.01,89139.0,1.01,1.01,2,,,
1834,2016-05-25,1.04,25886.0,1.1,1.02,0,,,
1834,2016-05-27,1.09,23335.0,1.1,1.07,1,-0.7003,1.0,0.0
1834,2016-05-30,1.11,12161.0,1.11,1.11,0,,,
1834,2016-05-31,1.14,5000.0,1.14,1.14,0,,,
1834,2016-06-01,1.15,213749.0,1.16,1.15,0,,,
1834,2016-06-03,1.16,103300.0,1.17,1.16,1,,,
1834,2016-06-06,1.23,10000000.0,1.23,1.23,0,,,
1834,2016-06-07,1.23,6840665.0,1.3,1.2,0,,,
1834,2016-06-08,1.4,1000.0,1.4,1.4,0,,,
1834,2016-06-09,1.21,455602.0,1.26,1.2,0,-0.7964,1.0,0.0
1834,2016-06-10,1.23,10000.0,1.23,1.23,0,,,
1834,2016-06-13,1.22,27725.0,1.23,1.22,0,,,
1834,2016-06-15,1.2,52000.0,1.2,1.2,1,,,
