Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
AMG,2016-01-05,7.2,9954.0,7.2,7.2,0,,,
AMG,2016-01-06,7.36,1000.0,7.36,7.36,0,,,
AMG,2016-01-08,9.05,200.0,9.05,9.05,1,-0.2263,0.0,0.0
AMG,2016-01-15,11.05,3000.0,11.05,11.05,4,,,
AMG,2016-01-18,11.2,1434.0,11.2,11.2,0,0.0772,0.0,0.0
AMG,2016-01-19,11.26,32190.0,11.4,11.2,0,0.0772,0.0,0.0
AMG,2016-01-20,12.0,27421.0,12.0,12.0,0,,,
AMG,2016-01-22,11.96,9520.0,12.0,11.95,1,,,
AMG,2016-01-25,11.78,2050.0,12.0,11.5,0,,,
AMG,2016-01-26,12.6,7887.0,13.0,12.0,0,,,
AMG,2016-01-27,12.9,1434.0,12.9,12.9,0,,,
AMG,2016-01-28,14.01,36761.0,14.05,14.0,0,,,
AMG,2016-01-29,15.0,5514.0,15.0,15.0,0,,,
AMG,2016-02-01,15.0,32286.0,15.0,15.0,0,,,
AMG,2016-02-02,15.5,13116.0,15.5,15.5,0,,,
AMG,2016-02-03,16.42,19136.0,16.5,15.5,0,,,
AMG,2016-02-04,18.8,100.0,18.8,18.8,0,,,
AMG,2016-02-05,20.0,1963.0,20.0,20.0,0,,,
AMG,2016-02-08,21.5,100.0,21.5,21.5,0,,,
AMG,2016-02-09,20.2,17110.0,21.5,19.15,0,,,
AMG,2016-02-11,20.5,31317.0,20.5,20.0,1,,,
AMG,2016-02-12,20.27,4186.0,20.9,20.0,0,,,
AMG,2016-02-15,19.99,860957.0,20.0,19.75,0,,,
AMG,2016-02-16,19.2,1374.0,19.5,19.15,0,,,
AMG,2016-02-17,18.23,7373.0,19.0,18.0,0,,,
AMG,2016-02-18,15.98,25695.0,16.28,15.5,0,,,
AMG,2016-02-19,14.03,52672.0,16.7,14.0,0,,,
AMG,2016-02-22,14.0,15500.0,14.0,14.0,0,,,
AMG,2016-02-23,14.01,20000.0,14.05,14.0,0,,,
AMG,2016-02-26,14.5,604.0,14.5,14.5,2,,,
AMG,2016-02-29,13.12,223936.0,14.5,13.1,0,,,
AMG,2016-03-02,13.0,2270.0,13.0,13.0,1,,,
AMG,2016-03-03,13.0,33944.0,13.0,13.0,0,,,
AMG,2016-03-04,12.4,2784.0,12.5,12.0,0,,,
AMG,2016-03-07,12.19,8809.0,12.4,12.0,0,,,
AMG,2016-03-08,11.91,4840.0,12.02,11.4,0,,,
AMG,2016-03-10,11.38,2255.0,11.5,11.15,1,,,
AMG,2016-03-11,11.5,1500.0,11.5,11.5,0,,,
AMG,2016-03-14,11.17,14101.0,12.0,11.15,0,,,
AMG,2016-03-15,11.4,9400.0,11.4,11.3,0,,,
AMG,2016-03-16,11.42,22453.0,11.49,11.4,0,,,
AMG,2016-03-17,11.44,2424.0,11.49,11.42,0,,,
AMG,2016-03-18,11.47,5814.0,11.49,11.47,0,,,
AMG,2016-03-21,11.0,400.0,11.0,11.0,0,0.0,1.0,0.0
AMG,2016-03-22,11.0,7830.0,11.0,11.0,0,,,
AMG,2016-03-23,10.57,4548.0,10.57,10.57,0,,,
AMG,2016-03-29,11.0,100300.0,11.0,11.0,3,,,
AMG,2016-03-30,11.0,4101.0,11.0,11.0,0,,,
AMG,2016-03-31,11.0,2500.0,11.0,11.0,0,,,
AMG,2016-04-01,11.04,27099.0,11.1,11.0,0,,,
AMG,2016-04-06,12.5,2000.0,12.5,12.5,2,,,
AMG,2016-04-13,13.12,108100.0,13.12,13.12,4,0.0,1.0,0.0
AMG,2016-04-14,13.12,395.0,13.12,13.12,0,,,
AMG,2016-04-15,13.0,1060.0,13.0,13.0,0,,,
AMG,2016-04-18,12.88,2562.0,13.0,12.5,0,,,
AMG,2016-04-19,13.0,5700.0,13.0,13.0,0,,,
AMG,2016-04-20,13.0,8000.0,13.0,13.0,0,,,
AMG,2016-04-21,12.02,960.0,12.02,12.02,0,,,
AMG,2016-04-22,12.0,5540.0,12.0,12.0,0,,,
AMG,2016-04-25,13.0,12460.0,13.0,13.0,0,,,
AMG,2016-04-27,13.0,11000.0,13.0,13.0,1,,,
AMG,2016-04-28,13.0,1848.0,13.0,13.0,0,,,
AMG,2016-04-29,13.0,16841.0,13.0,13.0,0,,,
AMG,2016-05-05,13.0,1399.0,13.0,13.0,3,,,
AMG,2016-05-11,12.160000000000002,1064.0,13.0,12.0,3,,,
AMG,2016-05-12,10.51,6606.0,10.51,10.51,0,,,
AMG,2016-05-20,10.51,3000.0,10.51,10.51,5,,,
AMG,2016-05-26,11.76,1259.0,12.0,11.65,3,,,
AMG,2016-05-27,12.0,7949.0,12.0,12.0,0,,,
AMG,2016-06-01,12.0,2449.0,12.0,12.0,2,,,
AMG,2016-06-02,12.45,1200.0,12.45,12.45,0,,,
AMG,2016-06-03,12.45,4500.0,12.45,12.45,0,,,
AMG,2016-06-07,12.4,4050.0,12.4,12.4,1,,,
AMG,2016-06-09,12.38,24867.0,12.4,12.0,1,,,
AMG,2016-06-10,12.4,1823.0,12.4,12.4,0,,,
AMG,2016-06-14,12.4,1024.0,12.4,12.4,1,,,
AMG,2016-06-17,13.0,5653.0,13.0,13.0,2,,,
AMG,2016-06-20,13.0,2128.0,13.0,13.0,0,,,
AMG,2016-06-21,13.0,6000.0,13.0,13.0,0,,,
AMG,2016-06-22,13.0,130000.0,13.0,13.0,0,,,
AMG,2016-06-23,13.12,3708.0,13.12,13.12,0,,,
AMG,2016-07-06,12.56,5854.0,13.0,12.41,8,,,
AMG,2016-07-08,12.56,238.0,12.56,12.56,1,,,
AMG,2016-07-11,12.52,18255.0,12.56,12.41,0,,,
AMG,2016-07-12,12.51,100.0,12.51,12.51,0,,,
AMG,2016-07-13,12.51,5051.0,12.51,12.51,0,,,
AMG,2016-07-15,12.5,201400.0,12.51,12.5,1,0.0,1.0,0.0
AMG,2016-07-21,12.5,16612.0,12.5,12.5,3,,,
AMG,2016-07-28,12.5,1000.0,12.5,12.5,4,,,
AMG,2016-08-02,12.82,2746.0,13.0,12.5,2,-0.4019,0.0,0.0
AMG,2016-08-05,12.5,2099.0,12.5,12.5,2,,,
AMG,2016-08-11,12.5,1674.0,12.5,12.5,3,,,
AMG,2016-08-16,13.12,24500.0,13.12,13.12,2,,,
AMG,2016-08-18,13.12,13263.0,13.12,13.12,1,,,
AMG,2016-08-19,13.12,597293.0,13.12,13.12,0,,,
AMG,2016-08-22,13.0,16104.0,13.0,13.0,0,,,
AMG,2016-08-23,13.46,10299.0,13.51,13.0,0,,,
AMG,2016-08-29,13.56,4000.0,13.56,13.56,3,,,
AMG,2016-09-02,13.699999999999998,1750.0,13.699999999999998,13.699999999999998,3,,,
AMG,2016-09-05,13.03,17100.0,14.55,12.9,0,,,
AMG,2016-09-06,14.55,1900.0,14.55,14.55,0,,,
AMG,2016-09-07,14.59,19750.0,14.6,14.5,0,,,
AMG,2016-09-08,16.7,300.0,16.7,16.7,0,,,
AMG,2016-09-09,17.16,2450.0,19.2,16.7,0,,,
