Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
BPOW,2016-01-20,11.0,600.0,11.0,11.0,0,,,
BPOW,2016-01-21,11.0,6433.0,11.0,11.0,0,,,
BPOW,2016-01-25,11.0,433.0,11.0,11.0,1,,,
BPOW,2016-01-27,11.0,7267.0,11.0,11.0,1,,,
BPOW,2016-01-29,11.0,385.0,11.0,11.0,1,,,
BPOW,2016-02-01,11.0,5000.0,11.0,11.0,0,,,
BPOW,2016-02-19,9.59,10498.0,10.8,9.5,13,,,
BPOW,2016-02-22,9.59,1000.0,9.59,9.59,0,,,
BPOW,2016-02-24,9.3,4440.0,9.3,9.3,1,,,
BPOW,2016-03-01,11.0,188655.0,11.0,11.0,3,0.0,1.0,0.0
BPOW,2016-03-03,11.0,5315.0,11.01,11.0,1,,,
BPOW,2016-03-04,10.62,2406.0,11.0,10.05,0,,,
BPOW,2016-03-07,10.0,794.0,10.0,10.0,0,,,
BPOW,2016-03-09,11.0,200.0,11.0,11.0,1,0.4588,0.0,1.0
BPOW,2016-03-17,11.19,11700.0,11.3,11.0,5,,,
BPOW,2016-03-21,11.18,379.0,11.18,11.18,1,,,
BPOW,2016-03-23,11.5,8000.0,11.5,11.5,1,,,
BPOW,2016-03-24,13.55,2000.0,13.55,13.55,0,,,
BPOW,2016-03-29,12.51,16153.0,14.05,11.5,2,,,
BPOW,2016-03-30,13.0,7267.0,13.0,13.0,0,0.4588,0.0,1.0
BPOW,2016-04-04,14.05,190.0,14.05,14.05,2,,,
BPOW,2016-04-06,11.95,385.0,11.95,11.95,1,,,
BPOW,2016-04-14,11.61,581.0,12.0,11.2,5,,,
BPOW,2016-04-15,11.2,1719.0,11.2,11.2,0,,,
BPOW,2016-04-18,12.0,2196.0,12.0,12.0,0,,,
BPOW,2016-05-09,13.5,560.0,13.5,13.5,14,,,
BPOW,2016-05-11,13.9,2000.0,13.9,13.9,1,,,
BPOW,2016-06-13,13.65,560.0,13.65,13.65,22,,,
BPOW,2016-06-15,13.56,7718.0,13.65,13.55,1,,,
BPOW,2016-06-17,13.55,10115.0,13.55,13.55,1,,,
BPOW,2016-06-28,13.710000000000003,900.0,13.710000000000003,13.7,6,-0.2263,1.0,0.0
BPOW,2016-06-30,15.0,8000.0,15.0,15.0,1,,,
BPOW,2016-07-01,16.0,3881.0,16.0,16.0,0,,,
BPOW,2016-07-14,16.19,500.0,16.2,16.18,8,0.0772,0.0,0.0
BPOW,2016-07-15,16.18,9000.0,16.18,16.18,0,,,
BPOW,2016-07-19,16.18,750.0,16.18,16.18,1,,,
BPOW,2016-07-21,15.0,100.0,15.0,15.0,1,,,
BPOW,2016-07-28,13.7,10300.0,13.7,13.7,4,,,
BPOW,2016-07-29,15.52,13375.0,16.1,15.0,0,,,
BPOW,2016-08-04,16.5,5000.0,16.5,16.5,3,,,
BPOW,2016-08-11,16.5,2400.0,16.5,16.5,4,,,
BPOW,2016-08-15,17.0,765.0,17.0,17.0,1,,,
BPOW,2016-08-18,19.07,7000.0,19.5,18.0,2,,,
BPOW,2016-08-31,19.8,433.0,19.8,19.8,8,0.31845,1.0,1.0
BPOW,2016-09-01,20.0,211.0,20.0,20.0,0,,,
BPOW,2016-09-02,20.0,1789.0,20.0,20.0,0,,,
BPOW,2016-09-07,20.03,1600.0,20.04,20.03,2,,,
BPOW,2016-09-08,20.02,578.0,20.02,20.02,0,,,
BPOW,2016-09-14,20.19,615.0,21.0,20.0,3,,,
BPOW,2016-09-27,25.0,100.0,25.0,25.0,8,,,
BPOW,2016-09-28,24.98,8500.0,25.0,24.8,0,,,
BPOW,2016-09-29,25.0,12400.0,25.0,25.0,0,,,
BPOW,2016-10-06,24.75,100.0,24.75,24.75,4,,,
BPOW,2016-10-11,24.6,1600.0,28.0,22.1,2,,,
BPOW,2016-10-12,24.34,1240.0,24.5,23.5,0,,,
BPOW,2016-10-13,24.4,2678.0,24.41,24.4,0,,,
BPOW,2016-10-18,24.5,3700.0,24.5,24.5,2,,,
BPOW,2016-10-20,24.5,1000.0,24.5,24.5,1,,,
BPOW,2016-10-24,24.5,5300.0,24.5,24.5,1,,,
BPOW,2016-10-25,24.5,800.0,24.5,24.5,0,,,
BPOW,2016-10-26,24.4,9700.0,24.4,24.4,0,,,
BPOW,2016-10-27,21.44,288.0,22.1,20.2,0,,,
BPOW,2016-11-07,21.56,100.0,21.56,21.56,6,,,
BPOW,2016-11-09,22.0,10100.0,22.0,21.56,1,,,
BPOW,2016-12-07,23.3,778.0,23.3,23.3,19,0.0,1.0,0.0
BPOW,2016-12-21,25.0,1000.0,25.0,25.0,9,,,
BPOW,2016-12-28,27.0,10000.0,27.0,27.0,4,,,
BPOW,2016-12-30,29.0,10000.0,30.0,28.0,1,,,
BPOW,2017-01-06,31.0,10979.0,31.0,31.0,4,,,
BPOW,2017-01-09,34.29,3500.0,34.5,34.0,0,,,
BPOW,2017-01-11,35.84,12000.0,36.0,35.0,1,,,
BPOW,2017-01-12,35.0,15000.0,35.0,35.0,0,,,
BPOW,2017-01-13,36.02,7869.0,36.6,35.5,0,,,
BPOW,2017-01-17,36.91,3852.0,37.0,36.65,1,,,
BPOW,2017-01-18,37.0,1130.0,37.0,37.0,0,,,
BPOW,2017-01-20,37.0,1850.0,37.0,37.0,1,,,
BPOW,2017-01-24,40.24,2500.0,40.4,40.0,1,,,
BPOW,2017-01-27,40.41,500.0,40.42,40.4,2,,,
BPOW,2017-01-30,40.4,100.0,40.4,40.4,0,,,
BPOW,2017-01-31,41.51,1720.0,43.05,40.4,0,,,
BPOW,2017-02-01,40.4,2000.0,40.41,40.4,0,,,
BPOW,2017-02-02,43.28,9500.0,46.47,41.0,0,,,
BPOW,2017-02-03,50.0,1200.0,50.0,50.0,0,,,
BPOW,2017-02-06,50.0,1500.0,50.0,50.0,0,,,
BPOW,2017-02-07,50.01,894181.0,50.01,50.0,0,,,
BPOW,2017-02-08,50.24,10000.0,50.5,50.01,0,,,
BPOW,2017-02-09,50.84,800.0,52.0,50.15,0,,,
BPOW,2017-02-10,52.08,100.0,52.08,52.08,0,,,
BPOW,2017-02-13,52.08,5664.0,52.08,52.08,0,,,
BPOW,2017-02-14,51.0,1500.0,51.0,51.0,0,,,
BPOW,2017-02-15,51.34,1112.0,55.05,50.01,0,,,
BPOW,2017-02-16,50.01,3000.0,50.01,50.01,0,,,
BPOW,2017-02-20,50.25,100.0,50.25,50.25,1,,,
BPOW,2017-02-23,50.5,120.0,50.5,50.5,2,0.0,1.0,0.0
BPOW,2017-02-27,55.0,221.0,55.0,55.0,1,,,
BPOW,2017-02-28,55.17,5808.0,57.6,50.25,0,,,
BPOW,2017-03-02,55.0,1200.0,55.0,55.0,1,,,
BPOW,2017-03-03,46.14,4817.0,49.8,40.4,0,,,
BPOW,2017-03-06,43.72,2336.0,46.0,37.0,0,,,
BPOW,2017-03-08,43.72,0.0,25.0,25.0,1,,,
BPOW,2017-03-10,43.7,5000.0,43.7,26.0,1,,,
BPOW,2017-03-13,37.17,2000.0,37.17,30.0,0,,,
BPOW,2017-03-14,29.81,7344.0,31.6,25.5,0,,,
BPOW,2017-03-15,36.5,100.0,36.5,36.5,0,,,
BPOW,2017-03-20,37.3,383.0,38.0,37.0,2,,,
BPOW,2017-03-21,36.6,150.0,36.6,36.6,0,,,
BPOW,2017-03-22,38.0,911.0,38.0,38.0,0,,,
BPOW,2017-03-23,36.57,500.0,36.6,36.5,0,,,
BPOW,2017-03-24,36.5,265.0,36.5,36.5,0,,,
BPOW,2017-03-28,36.5,1885.0,36.5,36.5,1,,,
BPOW,2017-03-31,35.14,827.0,36.0,35.0,2,,,
BPOW,2017-04-03,35.0,288.0,35.0,35.0,0,,,
BPOW,2017-04-05,35.03,6503.0,35.2,35.0,1,,,
BPOW,2017-04-06,35.0,500.0,35.0,35.0,0,,,
BPOW,2017-04-07,34.82,6053.0,35.0,34.7,0,,,
BPOW,2017-04-10,35.0,1006.0,35.0,35.0,0,,,
BPOW,2017-04-18,35.0,800.0,35.0,35.0,5,,,
BPOW,2017-04-20,35.0,868.0,35.0,35.0,1,,,
BPOW,2017-04-24,35.0,5895.0,35.01,35.0,1,,,
BPOW,2017-04-28,37.15,3240.0,39.0,37.0,3,,,
BPOW,2017-05-08,39.0,200.0,39.0,39.0,5,,,
BPOW,2017-05-10,39.0,4662.0,39.01,39.0,1,,,
BPOW,2017-05-11,39.0,400.0,39.0,39.0,0,,,
BPOW,2017-05-18,45.0,1000.0,45.0,45.0,4,,,
BPOW,2017-05-25,51.75,500.0,51.75,51.75,4,,,
BPOW,2017-05-26,52.0,600.0,52.0,52.0,0,,,
BPOW,2017-05-29,52.0,1097.0,52.0,52.0,0,,,
BPOW,2017-05-31,52.93,1330.0,53.5,50.0,1,,,
BPOW,2017-06-02,54.81,1978.0,55.0,53.0,1,,,
BPOW,2017-06-05,53.0,696.0,53.0,53.0,0,,,
BPOW,2017-06-07,55.23,2000.0,56.5,55.0,1,,,
BPOW,2017-06-09,54.56,3300.0,56.5,50.0,1,-0.11315,0.0,0.0
BPOW,2017-06-16,54.56,5660.0,54.56,54.56,4,,,
BPOW,2017-06-19,55.0,283.0,55.0,55.0,0,,,
BPOW,2017-06-20,50.0,2700.0,50.0,50.0,0,-0.1462,0.0,0.0
BPOW,2017-06-21,55.0,184.0,55.0,55.0,0,,,
BPOW,2017-06-23,50.0,3537.0,50.0,50.0,1,,,
BPOW,2017-06-30,50.0,5021.0,50.0,50.0,4,,,
BPOW,2017-07-04,50.0,800.0,50.0,50.0,1,,,
BPOW,2017-07-07,50.0,862.0,50.0,50.0,2,,,
BPOW,2017-07-10,44.0,1500.0,44.0,44.0,0,,,
BPOW,2017-07-14,46.21,419.0,50.0,45.02,3,,,
BPOW,2017-07-17,50.0,2082.0,50.0,49.99,0,,,
BPOW,2017-07-20,49.0,200.0,49.0,49.0,2,,,
BPOW,2017-07-24,45.0,143.0,45.0,45.0,1,,,
BPOW,2017-07-25,38.07,8588.0,39.0,38.0,0,,,
BPOW,2017-07-26,44.9,200.0,44.9,44.9,0,,,
BPOW,2017-07-27,44.0,213.0,44.0,44.0,0,,,
BPOW,2017-08-08,41.61,1080.0,41.7,41.5,7,,,
BPOW,2017-08-11,41.47,12277.0,41.5,41.4,2,0.0129,0.0,0.0
BPOW,2017-08-14,42.0,623.0,42.0,42.0,0,,,
BPOW,2017-08-15,41.92,5450.0,42.1,41.5,0,,,
BPOW,2017-08-17,40.0,560.0,40.0,40.0,1,,,
BPOW,2017-08-18,40.0,700.0,40.0,40.0,0,,,
BPOW,2017-08-21,40.0,1757.0,40.0,40.0,0,,,
