Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
CAC,2016-01-07,5.35,6000.0,5.43,4.94,0,,,
CAC,2016-01-08,5.6,15000.0,5.68,5.43,0,,,
CAC,2016-01-12,6.42,10000.0,6.42,6.42,1,,,
CAC,2016-01-13,6.5,5000.0,6.5,6.5,0,,,
CAC,2016-01-18,6.54,10300.0,6.56,6.53,2,,,
CAC,2016-02-02,6.76,12000.0,7.0,6.709999999999999,10,,,
CAC,2016-02-08,6.919999999999999,2999.0,7.0,6.760000000000001,3,,,
CAC,2016-02-11,7.0,10710.0,7.0,7.0,2,,,
CAC,2016-02-12,7.0,2290.0,7.0,7.0,0,,,
CAC,2016-02-15,7.34,15500.0,7.35,7.15,0,,,
CAC,2016-02-16,7.35,1540.0,7.35,7.35,0,,,
CAC,2016-02-17,7.35,4200.0,7.35,7.35,0,,,
CAC,2016-02-18,7.35,30760.0,7.35,7.35,0,,,
CAC,2016-02-19,7.02,4000.0,7.02,7.02,0,,,
CAC,2016-02-24,7.49,12500.0,7.5,7.36,2,,,
CAC,2016-03-03,7.35,8703.0,7.35,7.35,5,,,
CAC,2016-03-16,7.5,1200.0,7.5,7.5,8,0.0,1.0,0.0
CAC,2016-03-23,7.4,1000.0,7.4,7.4,4,,,
CAC,2016-03-30,7.0,6800.0,7.0,7.0,4,,,
CAC,2016-03-31,7.0,2620.0,7.0,7.0,0,,,
CAC,2016-04-01,6.53,1000.0,6.53,6.53,0,,,
CAC,2016-04-07,6.5,11080.0,6.53,6.5,3,,,
CAC,2016-04-08,6.5,4674.0,6.5,6.5,0,,,
CAC,2016-04-22,6.9,1400.0,6.9,6.9,9,,,
CAC,2016-05-05,6.5,1227.0,6.5,6.5,8,,,
CAC,2016-05-11,6.400000000000001,7500.0,6.400000000000001,6.400000000000001,3,,,
CAC,2016-05-13,6.4,10000.0,6.4,6.4,1,,,
CAC,2016-05-16,6.4,800.0,6.4,6.4,0,,,
CAC,2016-05-17,6.41,1000.0,6.41,6.41,0,,,
CAC,2016-05-20,6.5,1359.0,6.5,6.5,2,,,
CAC,2016-06-01,6.5,250.0,6.5,6.5,7,,,
CAC,2016-06-03,6.5,750.0,6.5,6.5,1,-0.2263,0.0,0.0
CAC,2016-06-06,6.5,2400.0,6.5,6.5,0,,,
CAC,2016-06-08,6.55,5000.0,6.55,6.55,1,,,
CAC,2016-06-09,6.55,236.0,6.55,6.55,0,,,
CAC,2016-06-16,6.7,270.0,6.7,6.7,4,-0.09385,1.0,0.0
