Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
CFF,2016-01-04,9.0,45000.0,9.0,9.0,0,,,
CFF,2016-01-05,8.51,11474.0,9.0,8.5,0,,,
CFF,2016-01-07,8.88,75871.0,8.88,8.88,1,,,
CFF,2016-01-08,9.0,7000.0,9.0,9.0,0,,,
CFF,2016-01-11,8.94,14252.0,8.99,8.88,0,,,
CFF,2016-01-12,8.99,22000.0,9.0,8.99,0,,,
CFF,2016-01-13,9.0,58200.0,9.0,8.99,0,,,
CFF,2016-01-19,8.94,11353.0,8.95,8.9,3,,,
CFF,2016-01-21,9.0,352178.0,9.0,8.95,1,,,
CFF,2016-01-26,9.0,2594.0,9.0,9.0,2,,,
CFF,2016-01-27,9.0,42656.0,9.0,9.0,0,,,
CFF,2016-01-28,9.0,4000.0,9.0,9.0,0,,,
CFF,2016-01-29,8.98,43830.0,9.0,8.5,0,,,
CFF,2016-02-01,8.95,1600.0,8.95,8.95,0,,,
CFF,2016-02-02,8.5,1896.0,8.5,8.5,0,,,
CFF,2016-02-03,8.5,600.0,8.5,8.5,0,,,
CFF,2016-02-05,8.42,37360.0,8.5,8.1,1,,,
CFF,2016-02-08,8.5,3000.0,8.5,8.5,0,,,
CFF,2016-02-09,8.5,28150.0,8.5,8.5,0,,,
CFF,2016-02-11,8.5,30000.0,8.5,8.5,1,,,
CFF,2016-02-12,8.71,5980.0,9.5,8.55,0,-0.2263,1.0,0.0
CFF,2016-02-15,8.75,750363.0,8.75,8.55,0,,,
CFF,2016-02-16,8.52,22000.0,8.55,8.5,0,,,
CFF,2016-02-17,8.5,3083.0,8.5,8.5,0,,,
CFF,2016-02-18,8.6,11285.0,8.6,8.6,0,,,
CFF,2016-02-22,8.7,3000.0,8.7,8.7,1,,,
CFF,2016-02-25,8.6,6586.0,8.61,8.6,2,,,
CFF,2016-02-29,8.6,2473.0,8.6,8.6,1,0.4588,0.0,1.0
CFF,2016-03-02,8.6,2000.0,8.6,8.6,1,0.0,1.0,0.0
CFF,2016-03-04,8.6,6000.0,8.61,8.6,1,,,
CFF,2016-03-07,8.6,11936.0,8.6,8.6,0,,,
CFF,2016-03-08,8.6,1873.0,8.6,8.6,0,,,
CFF,2016-03-10,8.5,1000.0,8.5,8.5,1,,,
CFF,2016-03-16,8.0,30800.0,8.2,8.0,3,,,
CFF,2016-03-18,8.0,3000.0,8.0,8.0,1,,,
CFF,2016-03-21,8.03,25950.0,8.09,8.0,0,,,
CFF,2016-03-24,7.83,26658.0,8.0,7.55,2,,,
CFF,2016-03-30,7.57,5000.0,7.57,7.57,3,,,
CFF,2016-03-31,7.56,3100.0,7.57,7.55,0,,,
CFF,2016-04-01,7.55,5300.0,7.55,7.55,0,,,
CFF,2016-04-04,7.56,1000.0,7.56,7.56,0,,,
CFF,2016-04-06,7.45,5335.0,7.45,7.45,1,,,
CFF,2016-04-11,8.0,5698.0,8.0,8.0,2,,,
CFF,2016-04-14,7.5,12500.0,7.5,7.5,2,,,
CFF,2016-04-15,8.55,3000.0,8.55,8.55,0,,,
CFF,2016-04-26,8.5,1222.0,8.5,8.5,6,,,
CFF,2016-05-02,8.49,104812.0,8.5,8.0,3,,,
CFF,2016-05-04,8.5,17000.0,8.5,8.5,1,,,
CFF,2016-05-17,7.38,120000.0,7.75,7.2,8,-0.0258,1.0,0.0
CFF,2016-05-18,6.55,8035.0,7.25,6.5,0,,,
CFF,2016-05-19,6.5,30000.0,6.52,6.5,0,,,
CFF,2016-05-20,8.0,2000100.0,8.0,8.0,0,,,
CFF,2016-05-27,8.0,1000000.0,8.0,8.0,4,0.4588,0.0,1.0
CFF,2016-05-31,8.0,10000.0,8.0,8.0,1,,,
CFF,2016-06-02,7.99,200.0,7.99,7.99,1,,,
CFF,2016-06-09,6.85,30000.0,6.85,6.85,4,0.4588,0.0,1.0
CFF,2016-06-10,7.5,33853.0,7.5,7.5,0,,,
CFF,2016-06-14,7.45,10000.0,7.45,7.45,1,,,
CFF,2016-06-15,7.0,50000.0,7.0,7.0,0,,,
CFF,2016-06-16,7.0,8000.0,7.0,7.0,0,,,
CFF,2016-06-17,7.0,6000.0,7.0,7.0,0,,,
CFF,2016-06-21,7.01,33700.0,7.01,7.0,1,,,
CFF,2016-06-22,6.84,9600.0,7.0,6.55,0,,,
CFF,2016-06-24,7.0,12682.0,7.0,7.0,1,,,
CFF,2016-06-30,6.56,25000.0,6.56,6.56,3,,,
CFF,2016-07-01,6.51,11039.0,6.51,6.51,0,,,
CFF,2016-07-11,6.83,110167.0,7.0,6.81,5,,,
CFF,2016-07-14,6.75,10000.0,6.75,6.75,2,,,
CFF,2016-07-25,7.0,14698.0,7.0,7.0,6,,,
CFF,2016-07-26,7.0,13002.0,7.0,7.0,0,,,
CFF,2016-07-28,6.53,28448.0,6.6,6.53,1,,,
CFF,2016-08-03,6.53,4440.0,6.53,6.53,3,,,
CFF,2016-08-05,6.5,154637.0,6.5,6.5,1,,,
CFF,2016-08-09,6.1,2000.0,6.1,6.1,1,-0.2263,1.0,0.0
CFF,2016-08-10,6.34,10200.0,6.5,6.3,0,,,
CFF,2016-08-11,7.0,195663.0,7.0,7.0,0,,,
CFF,2016-08-12,6.52,3993.0,6.52,6.52,0,-0.2263,0.0,0.0
CFF,2016-08-16,7.0,2900.0,7.0,7.0,1,,,
CFF,2016-08-22,6.849999999999999,589637.0,6.849999999999999,6.849999999999999,3,,,
CFF,2016-08-23,7.0,8910.0,7.0,7.0,0,,,
CFF,2016-08-24,7.0,2791.0,7.0,7.0,0,-0.2263,0.0,0.0
CFF,2016-08-26,7.0,2791.0,7.0,7.0,1,0.0,1.0,0.0
CFF,2016-08-30,7.2,34000.0,7.2,7.2,1,,,
CFF,2016-09-05,7.760000000000001,22558.0,7.760000000000001,7.760000000000001,3,,,
CFF,2016-09-06,8.16,32000.0,8.5,7.95,0,,,
CFF,2016-09-14,8.0,30000.0,8.0,8.0,5,0.0772,0.0,0.0
CFF,2016-09-16,8.0,7000.0,8.0,8.0,1,,,
CFF,2016-09-20,8.01,4749.0,8.01,8.01,1,,,
CFF,2016-09-21,8.01,9500.0,8.01,8.0,0,,,
CFF,2016-09-22,8.01,5358.0,8.01,8.01,0,,,
CFF,2016-09-26,8.0,5500.0,8.0,8.0,1,,,
CFF,2016-09-30,8.99,640.0,8.99,8.99,3,,,
CFF,2016-10-06,8.87,12000.0,8.99,8.7,3,,,
CFF,2016-10-07,8.38,2600.0,8.99,8.0,0,,,
CFF,2016-10-12,8.6,894508.0,8.6,8.6,2,,,
CFF,2016-10-14,8.58,4440.0,8.99,8.4,1,,,
CFF,2016-10-20,8.38,2000.0,8.38,8.38,3,,,
CFF,2016-10-26,8.38,2670.0,8.38,8.38,3,,,
CFF,2016-11-02,8.4,17460.0,8.4,8.4,4,-0.11315,0.0,0.0
CFF,2016-11-10,8.51,1430.0,8.51,8.51,5,0.0,1.0,0.0
CFF,2016-11-15,8.5,5000.0,8.51,8.5,2,,,
CFF,2016-11-16,8.5,3350.0,8.5,8.5,0,,,
CFF,2016-11-17,8.4,1650.0,8.4,8.4,0,,,
CFF,2016-11-23,8.5,17257.0,8.5,8.5,3,,,
CFF,2016-11-29,8.61,1000.0,8.61,8.61,3,,,
CFF,2016-11-30,8.55,5500.0,8.55,8.55,0,,,
CFF,2016-12-05,8.99,1630.0,8.99,8.99,2,,,
CFF,2016-12-06,9.0,11285.0,9.0,9.0,0,,,
CFF,2016-12-07,9.13,22380.0,9.95,9.0,0,,,
CFF,2016-12-13,10.949999999999998,3000.0,10.949999999999998,10.949999999999998,3,,,
CFF,2016-12-16,11.09,20512.0,11.95,11.0,2,,,
CFF,2016-12-19,13.0,5000.0,13.0,13.0,0,,,
CFF,2016-12-20,12.5,2000.0,12.5,12.5,0,,,
CFF,2016-12-21,12.24,19950.0,12.48,12.0,0,,,
CFF,2016-12-28,12.0,20000.0,12.0,12.0,4,,,
CFF,2017-01-04,11.25,13000.0,11.25,11.25,4,-0.1531,0.0,0.0
