Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
CPJ,2016-01-04,5.5,3340.0,5.5,5.5,0,,,
CPJ,2016-01-05,5.5,3636.0,5.5,5.5,0,0.4588,0.0,1.0
CPJ,2016-01-06,5.23,1500.0,5.5,4.68,0,,,
CPJ,2016-01-07,5.25,9500.0,5.48,5.05,0,,,
CPJ,2016-01-08,5.48,104165.0,5.5,5.41,0,,,
CPJ,2016-01-11,5.5,44000.0,5.6,5.49,0,0.4588,0.0,1.0
CPJ,2016-01-12,5.56,29814.0,5.57,5.55,0,,,
CPJ,2016-01-13,5.51,73400.0,5.51,5.5,0,,,
CPJ,2016-01-14,5.47,23964.0,5.5,5.45,0,,,
CPJ,2016-01-15,5.3,10392.0,5.45,5.2,0,,,
CPJ,2016-01-18,5.26,110247.0,5.3,5.2,0,,,
CPJ,2016-01-19,5.5,13361.0,5.5,5.5,0,,,
CPJ,2016-01-20,5.32,721902.0,5.65,5.2,0,,,
CPJ,2016-01-22,5.8,12389.0,5.86,5.8,1,,,
CPJ,2016-01-25,5.5,770.0,5.5,5.5,0,,,
CPJ,2016-01-26,5.5,11730.0,5.5,5.5,0,,,
CPJ,2016-01-27,5.5,55096.0,5.5,5.5,0,,,
CPJ,2016-01-28,5.1,140190.0,5.5,5.0,0,,,
CPJ,2016-01-29,5.46,11000.0,5.5,5.1,0,,,
CPJ,2016-02-01,5.99,10700.0,6.0,5.9,0,,,
CPJ,2016-02-02,5.13,13317.0,5.5,5.1,0,-0.2263,0.0,0.0
CPJ,2016-02-03,5.11,696572.0,5.5,5.1,0,,,
CPJ,2016-02-04,5.13,59990.0,5.45,5.1,0,,,
CPJ,2016-02-05,5.18,26510.0,5.5,5.1,0,,,
CPJ,2016-02-08,5.9,13500.0,5.9,5.9,0,,,
CPJ,2016-02-09,5.9,44200.0,5.9,5.9,0,0.0,1.0,0.0
CPJ,2016-02-11,5.9,52267.0,5.95,5.9,1,0.0772,0.0,0.0
CPJ,2016-02-12,5.54,99351.0,5.98,5.1,0,,,
CPJ,2016-02-15,5.85,8823.0,5.9,5.85,0,,,
CPJ,2016-02-16,5.85,90000.0,5.85,5.85,0,,,
CPJ,2016-02-17,5.5,4500.0,5.5,5.5,0,,,
CPJ,2016-02-18,5.5,350.0,5.5,5.5,0,0.4588,0.0,1.0
CPJ,2016-02-19,5.49,35300.0,5.49,5.49,0,,,
CPJ,2016-02-22,5.08,13934.0,5.3,5.0,0,,,
CPJ,2016-02-23,5.1,4000.0,5.1,5.1,0,,,
CPJ,2016-02-24,5.1,30000.0,5.1,5.1,0,,,
CPJ,2016-02-25,5.0,67954.0,5.0,5.0,0,,,
CPJ,2016-02-26,5.0,126206.0,5.01,5.0,0,,,
CPJ,2016-02-29,4.55,18386.0,5.0,4.55,0,,,
CPJ,2016-03-01,4.6,9352.0,4.6,4.6,0,,,
CPJ,2016-03-02,4.67,10577.0,4.8,4.55,0,,,
CPJ,2016-03-03,4.85,3905.0,4.85,4.85,0,,,
CPJ,2016-03-04,4.85,10410.0,4.85,4.85,0,,,
CPJ,2016-03-07,4.56,48187.0,4.6,4.55,0,,,
CPJ,2016-03-08,4.5,30000.0,4.55,4.5,0,,,
CPJ,2016-03-09,4.5,25000.0,4.5,4.5,0,,,
CPJ,2016-03-10,4.5,5000.0,4.5,4.5,0,0.4588,0.0,1.0
