Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
DTL,2016-01-05,3.8,16550.0,3.8,3.8,0,,,
DTL,2016-01-06,4.05,4930.0,4.05,4.05,0,,,
DTL,2016-01-07,4.05,27000.0,4.05,4.05,0,,,
DTL,2016-01-08,4.0,503000.0,4.05,4.0,0,,,
DTL,2016-01-12,4.05,32370.0,4.05,4.05,1,,,
DTL,2016-01-13,4.07,25000.0,4.07,4.07,0,,,
DTL,2016-01-14,4.07,23975.0,4.1,4.05,0,,,
DTL,2016-01-18,4.15,1000.0,4.15,4.15,1,,,
DTL,2016-01-19,4.15,33167.0,4.15,4.15,0,,,
DTL,2016-01-21,4.1,50000.0,4.1,4.1,1,,,
DTL,2016-01-22,4.2,83825.0,4.2,4.18,0,,,
DTL,2016-01-26,4.21,4000.0,4.21,4.21,1,,,
DTL,2016-02-02,4.51,57000.0,4.55,4.5,4,-0.2263,1.0,0.0
DTL,2016-02-03,4.5,2000.0,4.5,4.5,0,,,
DTL,2016-02-04,4.5,22390.0,4.5,4.5,0,,,
DTL,2016-02-09,4.5,5000.0,4.5,4.5,2,,,
DTL,2016-02-11,4.55,7975.0,4.55,4.55,1,,,
DTL,2016-02-15,4.65,3732015.0,4.65,4.65,1,,,
DTL,2016-02-16,5.0,162700.0,5.0,5.0,0,,,
DTL,2016-02-17,5.0,270000.0,5.0,5.0,0,,,
DTL,2016-02-18,5.0,3800.0,5.0,5.0,0,,,
DTL,2016-02-19,4.9,125.0,4.9,4.9,0,,,
DTL,2016-02-22,4.98,20000.0,4.98,4.98,0,,,
DTL,2016-02-23,4.98,1500.0,4.98,4.98,0,,,
DTL,2016-03-04,4.68,8250.0,5.0,4.5,7,0.012866666666666665,1.0,0.0
DTL,2016-03-08,4.8,2000.0,4.8,4.8,1,,,
DTL,2016-03-24,4.21,16000.0,4.21,4.21,11,,,
DTL,2016-04-01,4.14,950.0,4.2,4.0,5,,,
DTL,2016-04-13,5.0,18751.0,5.0,5.0,7,,,
DTL,2016-04-14,4.97,10000.0,5.0,4.9,0,,,
DTL,2016-04-20,4.8,1000.0,4.8,4.8,3,-0.1531,1.0,0.0
DTL,2016-05-13,4.5,400.0,4.5,4.5,16,0.0,1.0,0.0
DTL,2016-05-31,3.85,74000.0,3.85,3.85,11,,,
DTL,2016-06-10,3.3,3000.0,3.3,3.3,7,,,
DTL,2016-06-15,3.3,5250.0,3.3,3.3,2,,,
DTL,2016-06-27,3.2,100000.0,3.2,3.2,7,,,
DTL,2016-07-04,2.95,32000.0,3.1,2.95,4,-0.11315,0.0,0.0
DTL,2016-07-08,3.0,5000.0,3.0,3.0,3,,,
DTL,2016-07-11,3.0,4905.0,3.0,3.0,0,,,
DTL,2016-07-12,2.96,133163.0,3.0,2.85,0,,,
DTL,2016-07-14,3.05,32000.0,3.05,3.05,1,,,
DTL,2016-07-19,3.05,530506.0,3.05,3.05,2,,,
DTL,2016-07-20,3.06,27000.0,3.06,3.05,0,,,
DTL,2016-07-26,3.07,4000.0,3.07,3.07,3,,,
DTL,2016-07-28,3.06,9627.0,3.07,3.06,1,,,
DTL,2016-08-11,3.06,14000.0,3.06,3.05,9,,,
DTL,2016-08-16,3.05,35868.0,3.05,3.05,2,0.0,0.0,0.0
DTL,2016-08-24,3.05,7050.0,3.05,3.05,5,,,
DTL,2016-09-12,3.1,2000.0,3.1,3.1,12,,,
DTL,2016-09-23,3.5,2000.0,3.5,3.5,8,,,
DTL,2016-09-27,4.0,12360.0,4.0,4.0,1,,,
DTL,2016-09-30,3.58,10000.0,3.6,3.5,2,,,
DTL,2016-10-04,3.6,5000.0,3.6,3.6,1,,,
DTL,2016-10-06,3.6,2000.0,3.6,3.6,1,,,
DTL,2016-10-07,3.52,174323.0,3.61,3.51,0,,,
DTL,2016-10-10,4.0,96209.0,4.0,3.99,0,,,
DTL,2016-10-21,4.0,10000.0,4.0,4.0,8,,,
DTL,2016-10-26,4.62,25000.0,4.62,4.6,2,,,
DTL,2016-11-03,4.8,892.0,4.8,4.8,5,,,
DTL,2016-11-08,4.6,3500.0,4.6,4.6,2,,,
DTL,2016-11-09,4.6,4000.0,4.6,4.6,0,,,
