Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
ECL,2017-07-21,1.74,100.0,1.74,1.74,0,,,
ECL,2017-07-25,3.41,32750000.0,3.41,3.41,1,-0.2263,0.0,0.0
ECL,2017-07-26,3.54,71996755.0,4.3,3.5,0,,,
ECL,2017-07-27,4.28,71508426.0,4.62,4.02,0,,,
ECL,2017-07-28,4.84,1663796.0,5.2,4.5,0,,,
ECL,2017-07-31,5.01,1302903.0,5.08,4.8,0,,,
ECL,2017-08-02,4.91,292114.0,5.0,4.71,1,0.0772,0.0,0.0
ECL,2017-08-03,4.7,648533.0,4.85,4.5,0,,,
ECL,2017-08-04,4.44,1158203.0,4.92,3.9,0,,,
ECL,2017-08-08,5.4,6676605.0,5.57,4.22,1,,,
ECL,2017-08-09,5.2,201753.0,5.3,5.0,0,,,
ECL,2017-08-10,5.0,212564.0,5.01,5.0,0,,,
ECL,2017-08-11,5.31,12431073.0,5.5,4.75,0,0.1531,1.0,0.0
ECL,2017-08-14,5.48,3590526.0,5.6,4.75,0,,,
ECL,2017-08-15,5.22,319964.0,5.31,5.1,0,,,
ECL,2017-08-16,5.3,311836.0,5.32,5.1,0,,,
ECL,2017-08-17,5.23,78372.0,5.25,5.2,0,,,
ECL,2017-08-18,5.18,158852.0,5.24,5.11,0,,,
ECL,2017-08-21,5.11,320722.0,5.3,5.0,0,,,
ECL,2017-08-22,5.09,167140.0,5.18,5.0,0,,,
ECL,2017-08-23,4.99,89449.0,5.09,4.81,0,,,
ECL,2017-08-24,4.77,110541.0,4.9,4.51,0,,,
ECL,2017-08-25,4.28,72414.0,4.77,3.55,0,,,
ECL,2017-08-28,4.29,38177.0,4.67,4.0,0,,,
ECL,2017-08-29,4.16,436106.0,4.25,3.95,0,,,
ECL,2017-08-30,4.06,138183.0,4.2,4.0,0,,,
ECL,2017-08-31,4.34,141480.0,4.77,4.2,0,,,
ECL,2017-09-01,4.88,12895.0,4.9,4.7,0,,,
ECL,2017-09-04,4.48,71972.0,4.8,4.3,0,,,
ECL,2017-09-05,4.42,88763.0,4.5,4.2,0,,,
ECL,2017-09-06,4.7,7636.0,4.8,4.5,0,,,
ECL,2017-09-07,4.73,96468.0,4.8,4.7,0,,,
ECL,2017-09-08,4.67,130851.0,4.71,4.5,0,,,
ECL,2017-09-11,4.61,5101.0,4.8,4.4,0,,,
ECL,2017-09-12,4.61,110839.0,4.8,4.6,0,,,
ECL,2017-09-13,4.6,27947.0,4.6,4.6,0,,,
ECL,2017-09-14,4.56,60757.0,4.6,4.41,0,,,
ECL,2017-09-15,4.43,7800.0,4.5,4.4,0,,,
ECL,2017-09-18,4.53,80070.0,4.6,4.1,0,,,
ECL,2017-09-19,4.5,48077.0,4.5,4.5,0,,,
ECL,2017-09-20,4.46,35132.0,4.5,4.2,0,,,
ECL,2017-09-21,4.47,1271.0,4.47,4.47,0,,,
ECL,2017-09-22,4.4,2329.0,4.4,4.4,0,,,
ECL,2017-09-25,4.43,20314.0,4.5,4.4,0,,,
ECL,2017-09-26,4.51,37609.0,4.6,4.5,0,,,
ECL,2017-09-27,4.46,305066.0,4.6,4.45,0,,,
ECL,2017-09-28,4.47,69009.0,4.5,4.4,0,,,
ECL,2017-09-29,4.12,15440.0,4.5,4.0,0,,,
ECL,2017-10-02,4.18,17562.0,4.49,4.16,0,,,
ECL,2017-10-03,4.13,22544.0,4.3,4.0,0,,,
ECL,2017-10-04,4.05,11519.0,4.2,4.0,0,,,
ECL,2017-10-05,4.28,46800.0,4.5,4.05,0,,,
ECL,2017-10-06,4.37,17066.0,4.4,4.3,0,,,
ECL,2017-10-09,4.4,63989.0,4.5,4.4,0,,,
ECL,2017-10-10,4.49,192607.0,4.5,4.4,0,,,
ECL,2017-10-11,4.49,28301.0,4.6,4.4,0,,,
ECL,2017-10-12,4.59,66900.0,4.6,4.55,0,,,
ECL,2017-10-13,4.5,32961.0,4.5,4.5,0,,,
ECL,2017-10-17,4.44,1706.0,4.69,4.4,1,,,
ECL,2017-10-18,4.44,103623.0,4.59,4.4,0,0.2023,1.0,0.0
ECL,2017-10-19,4.9,73142.0,5.1,4.59,0,,,
ECL,2017-10-20,5.01,433774.0,5.3,4.99,0,,,
ECL,2017-10-23,5.0,106874.0,5.0,5.0,0,,,
ECL,2017-10-24,5.02,48599.0,5.05,4.95,0,,,
ECL,2017-10-25,4.96,86376.0,5.0,4.96,0,,,
ECL,2017-10-26,4.97,64390.0,5.0,4.9,0,,,
ECL,2017-10-27,4.79,56588.0,4.94,4.6,0,,,
ECL,2017-10-30,4.94,28000.0,4.94,4.94,0,,,
ECL,2017-10-31,4.93,5000.0,4.93,4.93,0,,,
ECL,2017-11-01,4.75,26731.0,4.85,4.5,0,,,
ECL,2017-11-02,4.72,18300.0,4.75,4.65,0,,,
ECL,2017-11-03,4.66,27258.0,4.72,4.65,0,,,
ECL,2017-11-06,4.61,13000.0,4.65,4.6,0,,,
ECL,2017-11-07,4.59,34752.0,4.61,4.55,0,,,
ECL,2017-11-08,4.61,320.0,4.61,4.61,0,,,
ECL,2017-11-09,4.51,41100.0,4.55,4.5,0,,,
ECL,2017-11-10,4.58,54333.0,4.6,4.5,0,,,
ECL,2017-11-13,4.55,118277.0,4.58,4.55,0,,,
ECL,2017-11-14,4.55,5046.0,4.55,4.55,0,,,
ECL,2017-11-15,4.49,13900.0,4.5,4.45,0,,,
ECL,2017-11-16,4.54,35572.0,4.55,4.4,0,,,
ECL,2017-11-17,4.55,79327.0,4.6,4.45,0,,,
ECL,2017-11-20,4.54,60376.0,4.6,4.4,0,,,
ECL,2017-11-21,4.58,21448.0,4.6,4.55,0,,,
ECL,2017-11-22,4.5,39707.0,4.7,4.4,0,,,
ECL,2017-11-23,4.4,14476.0,4.4,4.4,0,,,
ECL,2017-11-24,4.5,31819.0,4.5,4.5,0,,,
ECL,2017-11-27,4.49,19030.0,4.5,4.49,0,,,
ECL,2017-11-28,4.49,2023.0,4.49,4.49,0,,,
ECL,2017-11-29,4.35,45452.0,4.4,4.3,0,,,
ECL,2017-11-30,4.09,223501.0,4.2,4.0,0,,,
ECL,2017-12-01,4.03,136755.0,4.15,4.0,0,,,
ECL,2017-12-04,4.28,173916.0,4.5,4.0,0,,,
ECL,2017-12-05,4.0,62149.0,4.01,4.0,0,,,
ECL,2017-12-06,4.01,82125.0,4.05,4.0,0,,,
ECL,2017-12-07,4.05,5000.0,4.05,4.05,0,,,
ECL,2017-12-11,4.08,17019.0,4.08,4.08,1,,,
ECL,2017-12-12,4.13,24300.0,4.2,4.1,0,,,
ECL,2017-12-13,4.27,5189.0,4.28,4.2,0,,,
ECL,2017-12-14,4.29,24811.0,4.29,4.29,0,,,
ECL,2017-12-15,4.39,78470.0,4.7,4.15,0,,,
ECL,2017-12-18,4.37,45935.0,4.4,4.3,0,,,
ECL,2017-12-19,4.4,71358.0,4.5,4.3,0,,,
ECL,2017-12-21,4.3,4900.0,4.3,4.3,1,,,
ECL,2017-12-22,4.33,25574.0,4.4,4.3,0,,,
ECL,2017-12-27,4.3,141000.0,4.3,4.3,2,,,
ECL,2017-12-28,4.72,81427.0,5.0,4.3,0,,,
ECL,2017-12-29,4.2,25508.0,4.75,4.08,0,,,
ECL,2018-01-02,4.01,55922.0,4.2,4.0,1,,,
ECL,2018-01-03,4.13,60339.0,4.3,4.0,0,,,
ECL,2018-01-04,4.2,50000.0,4.2,4.2,0,,,
ECL,2018-01-05,4.5,97740.0,4.9,4.4,0,,,
ECL,2018-01-08,4.52,81540.0,4.6,4.5,0,,,
ECL,2018-01-09,4.5,24765.0,4.5,4.5,0,,,
ECL,2018-01-11,4.85,467639.0,5.16,4.5,1,0.2023,1.0,0.0
ECL,2018-01-12,4.98,75180.0,5.2,4.85,0,,,
ECL,2018-01-15,4.87,47496.0,4.95,4.85,0,,,
ECL,2018-01-16,4.78,234900.0,4.8,4.5,0,,,
ECL,2018-01-17,4.51,13900.0,4.6,4.5,0,0.0772,0.0,1.0
ECL,2018-01-18,4.5,11214.0,4.5,4.5,0,,,
ECL,2018-01-19,4.41,2944.0,4.5,4.2,0,,,
ECL,2018-01-22,4.26,58323.0,4.41,4.2,0,,,
ECL,2018-01-24,4.5,10000.0,4.5,4.5,1,,,
ECL,2018-01-25,4.5,23144.0,4.5,4.5,0,,,
ECL,2018-01-26,4.5,2594.0,4.5,4.5,0,,,
ECL,2018-01-29,4.49,60621.0,4.52,4.4,0,,,
ECL,2018-01-30,4.5,1997.0,4.55,4.45,0,,,
ECL,2018-01-31,4.61,29503.0,4.7,4.5,0,,,
ECL,2018-02-01,4.85,46343.0,5.0,4.55,0,,,
ECL,2018-02-02,4.43,10849.0,4.88,3.65,0,,,
ECL,2018-02-05,4.86,128117.0,4.86,4.85,0,,,
ECL,2018-02-06,4.71,75500.0,4.75,4.7,0,,,
ECL,2018-02-07,4.68,6315.0,4.71,4.53,0,,,
ECL,2018-02-09,4.66,29407.0,4.68,4.6,1,,,
ECL,2018-02-12,4.6,13733.0,4.68,4.6,0,,,
ECL,2018-02-13,4.63,5085.0,4.65,4.6,0,,,
ECL,2018-02-15,4.6,107000.0,4.6,4.6,1,,,
ECL,2018-02-16,4.59,67234.0,4.7,4.0,0,,,
