Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
EFRESH,2018-06-22,2.63,390706.0,2.8,2.5,0,,,
EFRESH,2018-06-25,2.38,319945.0,2.5,2.25,0,,,
EFRESH,2018-06-26,2.12,319746.0,2.38,2.0,0,,,
EFRESH,2018-06-27,2.17,52600.0,2.2,2.14,0,,,
EFRESH,2018-06-28,2.2,16029.0,2.22,2.2,0,,,
EFRESH,2018-06-29,2.4,160000.0,2.4,2.4,0,,,
EFRESH,2018-07-02,2.29,32820.0,2.35,2.25,0,,,
EFRESH,2018-07-03,2.3,331780.0,2.42,2.23,0,,,
EFRESH,2018-07-04,2.22,150258.0,2.5,2.2,0,,,
EFRESH,2018-07-05,2.22,287568.0,2.25,2.2,0,,,
EFRESH,2018-07-06,2.21,219931.0,2.25,2.14,0,,,
EFRESH,2018-07-09,2.01,29100.0,2.14,2.0,0,,,
EFRESH,2018-07-10,2.01,150882.0,2.1,2.0,0,,,
EFRESH,2018-07-12,2.02,169459.0,2.1,1.95,1,,,
EFRESH,2018-07-13,2.02,47261.0,2.04,2.02,0,,,
EFRESH,2018-07-16,2.1,83788.0,2.1,2.02,0,,,
EFRESH,2018-07-17,2.15,50882.0,2.15,2.15,0,,,
EFRESH,2018-07-18,2.1,23000.0,2.1,2.05,0,0.4404,1.0,0.0
EFRESH,2018-07-19,2.0,38154.0,2.0,2.0,0,,,
EFRESH,2018-07-20,1.96,103042.0,2.0,1.96,0,,,
EFRESH,2018-07-23,1.98,4173.0,2.0,1.96,0,,,
EFRESH,2018-07-24,1.96,166000.0,2.0,1.95,0,,,
EFRESH,2018-07-25,2.0,106055.0,2.0,2.0,0,,,
EFRESH,2018-07-27,2.05,91598.0,2.09,2.0,1,,,
EFRESH,2018-07-30,1.95,58725.0,2.0,1.95,0,,,
EFRESH,2018-07-31,1.93,86132.0,2.0,1.9,0,,,
EFRESH,2018-08-02,1.91,184309.0,2.0,1.9,1,,,
EFRESH,2018-08-03,1.95,7795.0,1.98,1.91,0,,,
EFRESH,2018-08-07,1.94,198030.0,1.98,1.93,1,,,
EFRESH,2018-08-08,1.93,45323.0,1.98,1.93,0,,,
EFRESH,2018-08-09,1.96,96968.0,1.99,1.91,0,,,
EFRESH,2018-08-10,1.94,157069.0,1.99,1.9,0,,,
EFRESH,2018-08-13,1.9,51500.0,1.9,1.9,0,,,
EFRESH,2018-08-14,1.86,244413.0,1.9,1.85,0,0.0,1.0,0.0
EFRESH,2018-08-15,1.98,1100731.0,2.1,1.9,0,,,
EFRESH,2018-08-16,2.18,36000.0,2.25,2.1,0,,,
EFRESH,2018-08-17,2.29,118444.0,2.5,2.0,0,,,
EFRESH,2018-08-20,2.31,81495.0,2.44,2.29,0,,,
EFRESH,2018-08-21,2.3,638665.0,2.43,2.12,0,,,
EFRESH,2018-08-22,2.31,80360.0,2.4,2.2,0,,,
EFRESH,2018-08-23,2.21,31800.0,2.25,2.2,0,,,
EFRESH,2018-08-24,2.21,141505.0,2.3,2.2,0,,,
EFRESH,2018-08-27,2.2,65426.0,2.21,2.2,0,,,
EFRESH,2018-08-28,2.2,135831.0,2.2,2.2,0,,,
EFRESH,2018-08-29,2.16,89500.0,2.2,2.12,0,,,
EFRESH,2018-08-30,2.13,36501.0,2.2,2.1,0,,,
EFRESH,2018-08-31,2.1,250585.0,2.13,2.1,0,,,
EFRESH,2018-09-03,2.15,747370.0,2.2,2.1,0,,,
EFRESH,2018-09-04,2.14,170499.0,2.25,2.1,0,,,
EFRESH,2018-09-05,2.25,43641.0,2.29,2.2,0,0.3818,0.0,1.0
EFRESH,2018-09-06,2.13,31000.0,2.2,2.1,0,,,
EFRESH,2018-09-07,2.34,497847.0,2.35,2.2,0,,,
EFRESH,2018-09-10,2.38,77000.0,2.4,2.35,0,,,
EFRESH,2018-09-11,2.41,724980.0,2.43,2.35,0,0.5994,0.0,1.0
EFRESH,2018-09-12,2.49,52166.0,2.5,2.43,0,,,
EFRESH,2018-09-13,2.37,69825.0,2.43,2.1,0,,,
EFRESH,2018-09-14,2.28,68138.0,2.4,2.1,0,0.3818,0.0,1.0
EFRESH,2018-09-17,2.35,32468.0,2.35,2.3,0,,,
EFRESH,2018-09-18,2.09,45000.0,2.3,2.0,0,,,
EFRESH,2018-09-19,2.15,21000.0,2.29,2.02,0,,,
EFRESH,2018-09-20,2.29,25134.0,2.29,2.29,0,0.3818,0.0,1.0
EFRESH,2018-09-21,2.17,58866.0,2.29,2.02,0,,,
EFRESH,2018-09-24,2.12,163250.0,2.15,2.1,0,,,
EFRESH,2018-09-25,2.09,152436.0,2.1,2.0,0,,,
EFRESH,2018-09-26,2.1,62506.0,2.12,2.1,0,,,
EFRESH,2018-09-27,2.09,108150.0,2.1,2.0,0,,,
EFRESH,2018-09-28,1.98,336061.0,2.01,1.9,0,,,
EFRESH,2018-10-01,2.0,116277.0,2.0,1.99,0,,,
EFRESH,2018-10-02,1.91,215740.0,2.0,1.9,0,,,
EFRESH,2018-10-03,1.99,180782.0,2.1,1.91,0,,,
EFRESH,2018-10-04,2.02,46790.0,2.1,2.0,0,,,
EFRESH,2018-10-05,2.03,241493.0,2.1,2.0,0,,,
EFRESH,2018-10-08,2.01,114400.0,2.1,1.99,0,,,
EFRESH,2018-10-09,1.99,28000.0,2.0,1.9,0,,,
EFRESH,2018-10-10,1.95,94000.0,2.01,1.9,0,,,
EFRESH,2018-10-11,2.04,14500.0,2.07,2.0,0,,,
EFRESH,2018-10-12,2.02,141590.0,2.08,2.0,0,,,
EFRESH,2018-10-16,2.0,157312.0,2.0,1.9,1,,,
EFRESH,2018-10-17,1.9,153000.0,1.9,1.9,0,,,
EFRESH,2018-10-18,1.9,12000.0,1.9,1.9,0,,,
EFRESH,2018-10-19,2.0,7903.0,2.0,2.0,0,,,
EFRESH,2018-10-22,1.85,111715.0,2.05,1.8,0,,,
EFRESH,2018-10-24,1.88,18000.0,1.88,1.88,1,,,
EFRESH,2018-10-25,2.0,33310.0,2.04,2.0,0,,,
EFRESH,2018-10-26,1.91,48942.0,2.04,1.9,0,,,
EFRESH,2018-10-29,2.05,106904.0,2.06,2.0,0,,,
EFRESH,2018-10-30,1.98,18369.0,2.0,1.95,0,,,
EFRESH,2018-10-31,2.0,177881.0,2.0,2.0,0,,,
EFRESH,2018-11-01,2.0,131509.0,2.0,1.93,0,,,
EFRESH,2018-11-02,1.98,53824.0,2.0,1.95,0,,,
EFRESH,2018-11-05,1.98,10950.0,1.99,1.98,0,,,
EFRESH,2018-11-06,1.94,147973.0,2.0,1.6,0,,,
EFRESH,2018-11-07,1.8,100000.0,1.8,1.8,0,,,
EFRESH,2018-11-08,1.95,57025.0,2.0,1.85,0,,,
EFRESH,2018-11-12,2.0,27394.0,2.0,1.99,1,,,
EFRESH,2018-11-13,1.96,75706.0,2.0,1.9,0,0.3182,1.0,0.0
EFRESH,2018-11-14,1.83,183881.0,1.9,1.75,0,,,
EFRESH,2018-11-15,1.66,140457.0,1.85,1.6,0,,,
EFRESH,2018-11-16,1.57,73762.0,1.8,1.5,0,,,
EFRESH,2018-11-19,1.6,11962.0,1.6,1.6,0,,,
EFRESH,2018-11-20,1.78,100.0,1.78,1.78,0,,,
EFRESH,2018-11-21,1.77,2500.0,1.77,1.77,0,,,
EFRESH,2018-11-22,1.62,114700.0,1.77,1.6,0,,,
EFRESH,2018-11-23,1.68,3925.0,1.7,1.6,0,,,
EFRESH,2018-11-26,1.62,402623.0,2.0,1.6,0,,,
EFRESH,2018-11-27,1.55,368432.0,1.65,1.5,0,,,
EFRESH,2018-11-28,1.56,40861.0,1.59,1.51,0,,,
EFRESH,2018-11-29,1.55,109600.0,1.6,1.51,0,,,
EFRESH,2018-11-30,1.55,44200.0,1.55,1.55,0,,,
EFRESH,2018-12-04,1.51,59127.0,1.55,1.5,1,,,
EFRESH,2018-12-05,1.5,145093.0,1.54,1.48,0,,,
EFRESH,2018-12-07,1.6,236237.0,1.67,1.48,1,,,
EFRESH,2018-12-10,1.31,53250.0,1.48,1.3,0,,,
EFRESH,2018-12-11,1.29,292113.0,1.33,1.28,0,,,
EFRESH,2018-12-12,1.19,30977.0,1.28,1.0,0,,,
EFRESH,2018-12-13,1.21,890.0,1.21,1.21,0,,,
EFRESH,2018-12-14,1.27,43069.0,1.28,1.27,0,,,
EFRESH,2018-12-17,1.29,132000.0,1.3,1.27,0,,,
EFRESH,2018-12-18,1.34,431780.0,1.5,1.28,0,,,
EFRESH,2018-12-19,1.34,31057.0,1.4,1.3,0,,,
EFRESH,2018-12-20,1.5,10000.0,1.5,1.5,0,,,
EFRESH,2018-12-21,1.67,58189.0,1.7,1.6,0,,,
EFRESH,2018-12-24,1.56,160924.0,1.7,1.4,0,0.3818,0.0,1.0
EFRESH,2018-12-27,1.43,7930.0,1.54,1.4,2,,,
EFRESH,2018-12-28,1.53,307076.0,1.6,1.4,0,,,
EFRESH,2018-12-31,1.55,200000.0,1.6,1.4,0,0.0,0.0,0.0
EFRESH,2019-01-02,1.74,25520.0,1.9,1.58,1,0.3818,0.0,1.0
EFRESH,2019-01-03,1.9,479.0,1.9,1.9,0,,,
EFRESH,2019-01-04,1.85,128018.0,1.9,1.76,0,,,
EFRESH,2019-01-07,1.91,71724.0,2.0,1.83,0,,,
EFRESH,2019-01-08,1.8,123750.0,2.0,1.75,0,,,
EFRESH,2019-01-09,1.78,15550.0,1.8,1.75,0,,,
EFRESH,2019-01-10,1.69,74781.0,1.89,1.56,0,,,
EFRESH,2019-01-11,1.67,39325.0,1.77,1.55,0,,,
EFRESH,2019-01-14,1.62,22115.0,1.69,1.6,0,,,
EFRESH,2019-01-15,1.69,46110.0,1.69,1.69,0,,,
EFRESH,2019-01-16,1.66,120950.0,1.7,1.65,0,,,
EFRESH,2019-01-17,1.84,45083.0,1.87,1.77,0,,,
EFRESH,2019-01-18,1.84,106600.0,1.85,1.84,0,,,
EFRESH,2019-01-21,1.85,104348.0,1.92,1.84,0,,,
EFRESH,2019-01-22,1.76,36200.0,1.92,1.65,0,,,
EFRESH,2019-01-23,1.92,39550.0,1.92,1.92,0,,,
EFRESH,2019-01-24,1.76,82577.0,1.92,1.65,0,,,
EFRESH,2019-01-25,1.9,64682.0,1.95,1.7,0,,,
EFRESH,2019-01-28,1.66,11700.0,1.66,1.66,0,,,
EFRESH,2019-01-29,1.63,258493.0,1.8,1.5,0,,,
EFRESH,2019-01-30,1.62,99303.0,1.8,1.5,0,,,
EFRESH,2019-01-31,1.6,23680.0,1.8,1.56,0,,,
EFRESH,2019-02-01,1.62,119700.0,1.75,1.6,0,,,
EFRESH,2019-02-05,1.62,10000.0,1.62,1.6,1,,,
EFRESH,2019-02-06,1.57,10000.0,1.6,1.55,0,,,
EFRESH,2019-02-07,1.6,11216.0,1.6,1.6,0,,,
EFRESH,2019-02-08,1.71,122087.0,1.83,1.55,0,,,
EFRESH,2019-02-11,1.71,63050.0,1.94,1.61,0,0.1027,0.0,0.0
EFRESH,2019-02-12,1.63,72397.0,1.78,1.55,0,,,
EFRESH,2019-02-13,1.85,18226.0,1.85,1.85,0,,,
EFRESH,2019-02-14,1.9,14030.0,1.9,1.9,0,0.0,0.0,0.0
EFRESH,2019-02-15,1.83,213985.0,2.0,1.7,0,,,
EFRESH,2019-02-18,1.8,209862.0,1.85,1.79,0,,,
EFRESH,2019-02-19,1.78,101900.0,1.83,1.7,0,,,
EFRESH,2019-02-20,1.71,57525.0,1.79,1.6,0,,,
EFRESH,2019-02-21,1.77,57666.0,1.78,1.7,0,,,
EFRESH,2019-02-22,1.74,4500.0,1.74,1.74,0,,,
EFRESH,2019-02-25,1.65,44519.0,1.65,1.65,0,,,
EFRESH,2019-02-26,1.67,12000.0,1.75,1.65,0,,,
EFRESH,2019-02-27,1.66,101000.0,1.75,1.63,0,,,
EFRESH,2019-02-28,1.63,72506.0,1.75,1.6,0,,,
EFRESH,2019-03-01,1.52,79794.0,1.65,1.5,0,,,
EFRESH,2019-03-04,1.52,38000.0,1.55,1.52,0,,,
EFRESH,2019-03-05,1.65,4402.0,1.65,1.65,0,,,
EFRESH,2019-03-07,1.56,34600.0,1.65,1.55,1,,,
EFRESH,2019-03-08,1.57,158747.0,1.65,1.52,0,,,
EFRESH,2019-03-11,1.56,24000.0,1.57,1.5,0,,,
EFRESH,2019-03-12,1.47,139500.0,1.55,1.45,0,,,
EFRESH,2019-03-13,1.5,37500.0,1.5,1.5,0,,,
EFRESH,2019-03-14,1.6,7000.0,1.6,1.6,0,,,
EFRESH,2019-03-18,1.57,55051.0,1.7,1.51,1,,,
EFRESH,2019-03-19,1.42,120000.0,1.6,1.4,0,,,
EFRESH,2019-03-20,1.79,2500.0,1.79,1.79,0,,,
EFRESH,2019-03-21,1.55,31612.0,1.57,1.55,0,,,
EFRESH,2019-03-22,1.55,36825.0,1.55,1.55,0,,,
EFRESH,2019-03-25,1.55,29268.0,1.55,1.53,0,,,
EFRESH,2019-03-26,1.55,120000.0,1.55,1.55,0,,,
EFRESH,2019-03-27,1.5,87000.0,1.5,1.5,0,,,
EFRESH,2019-03-28,1.46,164261.0,1.52,1.45,0,,,
EFRESH,2019-03-29,1.51,3000.0,1.51,1.51,0,,,
EFRESH,2019-04-01,1.45,109500.0,1.49,1.45,0,,,
EFRESH,2019-04-02,1.41,244900.0,1.5,1.4,0,,,
EFRESH,2019-04-03,1.45,46797.0,1.5,1.45,0,,,
EFRESH,2019-04-04,1.42,41194.0,1.45,1.4,0,,,
EFRESH,2019-04-05,1.41,48000.0,1.45,1.41,0,,,
EFRESH,2019-04-08,1.42,8900.0,1.45,1.41,0,,,
EFRESH,2019-04-09,1.41,163500.0,1.45,1.4,0,,,
EFRESH,2019-04-10,1.4,65492.0,1.5,1.4,0,,,
EFRESH,2019-04-11,1.42,55899.0,1.5,1.4,0,,,
EFRESH,2019-04-12,1.49,500.0,1.49,1.49,0,,,
EFRESH,2019-04-15,1.51,294056.0,1.55,1.5,0,,,
EFRESH,2019-04-16,1.44,69000.0,1.45,1.4,0,,,
EFRESH,2019-04-23,1.46,146596.0,1.5,1.44,4,0.3818,0.0,1.0
EFRESH,2019-04-24,1.49,34775.0,1.5,1.45,0,,,
EFRESH,2019-04-25,1.48,38800.0,1.5,1.48,0,,,
EFRESH,2019-04-29,1.48,17000.0,1.48,1.48,1,,,
EFRESH,2019-05-01,1.5,119546.0,1.52,1.47,1,,,
EFRESH,2019-05-02,1.55,12800.0,1.55,1.52,0,,,
EFRESH,2019-05-03,1.59,386678.0,1.61,1.5,0,,,
EFRESH,2019-05-07,1.6,23367.0,1.6,1.59,1,,,
EFRESH,2019-05-08,1.55,22876.0,1.6,1.55,0,,,
EFRESH,2019-05-09,1.58,6000.0,1.59,1.55,0,,,
EFRESH,2019-05-10,1.6,324146.0,1.6,1.59,0,,,
EFRESH,2019-05-13,1.62,48759.0,1.65,1.62,0,,,
EFRESH,2019-05-14,1.56,21040.0,1.6,1.55,0,0.0,0.0,0.0
EFRESH,2019-05-15,1.51,180495.0,1.56,1.45,0,,,
EFRESH,2019-05-16,1.53,98588.0,1.53,1.53,0,,,
EFRESH,2019-05-17,1.45,78014.0,1.53,1.44,0,,,
EFRESH,2019-05-20,1.47,10800.0,1.55,1.45,0,,,
EFRESH,2019-05-21,1.58,420000.0,1.62,1.51,0,,,
EFRESH,2019-05-22,1.6,632.0,1.6,1.6,0,,,
EFRESH,2019-05-24,1.58,1000.0,1.58,1.58,1,0.1027,1.0,0.0
EFRESH,2019-05-27,1.62,235520.0,1.65,1.51,0,,,
EFRESH,2019-05-28,1.6,111000.0,1.66,1.47,0,,,
EFRESH,2019-05-29,1.5,61384.0,1.65,1.47,0,,,
EFRESH,2019-05-30,1.57,102681.0,1.59,1.47,0,,,
EFRESH,2019-05-31,1.51,70000.0,1.58,1.47,0,,,
EFRESH,2019-06-03,1.51,2543.0,1.51,1.51,0,,,
EFRESH,2019-06-05,1.68,173457.0,1.7,1.6,1,,,
EFRESH,2019-06-06,1.72,70041.0,1.75,1.67,0,,,
EFRESH,2019-06-07,1.74,153748.0,1.75,1.6,0,,,
EFRESH,2019-06-10,1.61,24906.0,1.78,1.58,0,,,
EFRESH,2019-06-11,1.6,57514.0,1.7,1.59,0,,,
EFRESH,2019-06-12,1.59,6000.0,1.59,1.59,0,,,
