Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
EPLY,2016-02-09,400.01,2000.0,400.01,400.01,0,,,
EPLY,2016-04-05,459.0,5300.0,459.0,459.0,39,-0.2263,1.0,0.0
EPLY,2016-04-12,505.0,8357.0,505.0,505.0,4,0.4588,0.0,1.0
EPLY,2016-05-02,580.76,100.0,580.76,580.76,13,-0.2263,1.0,0.0
EPLY,2016-05-03,650.0,160000.0,650.0,650.0,0,0.25,0.0,0.0
EPLY,2016-08-12,650.0,121667.0,650.0,650.0,72,0.0772,0.0,0.0
EPLY,2016-08-26,735.0,9000.0,735.0,735.0,9,,,
EPLY,2017-04-19,4.9,0.0,12.0,12.0,167,,,
EPLY,2017-05-01,4.9,0.0,12.0,12.0,7,-0.32389999999999997,0.0,0.0
EPLY,2017-05-12,4.9,0.0,12.0,12.0,8,-0.12605,1.0,0.0
EPLY,2017-05-19,10.1,1000.0,10.1,10.1,4,,,
EPLY,2017-05-22,12.0,451928.0,12.01,12.0,0,,,
EPLY,2017-05-24,12.0,90878.0,12.0,12.0,1,0.4588,0.0,1.0
EPLY,2017-05-25,12.1,32197.0,12.5,12.0,0,,,
EPLY,2017-05-26,12.0,22931.0,12.1,12.0,0,,,
EPLY,2017-05-29,12.0,51213.0,12.0,12.0,0,,,
EPLY,2017-05-30,12.07,19015.0,12.5,12.0,0,,,
EPLY,2017-05-31,12.0,69369.0,12.0,12.0,0,,,
EPLY,2017-06-01,12.26,24915.0,13.0,11.0,0,0.4588,0.0,1.0
EPLY,2017-06-02,12.0,8036.0,12.0,12.0,0,,,
EPLY,2017-06-06,12.0,12932.0,12.0,12.0,1,0.4588,0.0,1.0
EPLY,2017-06-07,12.0,500.0,12.0,12.0,0,0.4588,0.0,1.0
EPLY,2017-06-08,12.0,9227.0,12.0,12.0,0,,,
EPLY,2017-06-09,10.01,1000.0,10.01,10.01,0,,,
EPLY,2017-06-13,11.0,1400.0,11.0,11.0,1,0.4588,0.0,1.0
EPLY,2017-06-14,12.0,27264.0,12.0,12.0,0,,,
EPLY,2017-06-15,12.01,45181.0,12.1,12.0,0,,,
EPLY,2017-06-16,12.01,1200.0,12.01,12.01,0,,,
EPLY,2017-06-19,12.0,9486.0,12.0,12.0,0,,,
EPLY,2017-06-20,11.9,2006.0,12.0,11.0,0,,,
EPLY,2017-06-23,12.98,8835.0,13.0,12.0,2,,,
EPLY,2017-06-26,12.95,200.0,12.95,12.95,0,,,
EPLY,2017-06-27,12.0,20199.0,12.0,12.0,0,,,
EPLY,2017-06-28,12.0,68212.0,12.0,12.0,0,,,
EPLY,2017-06-29,12.0,1003450.0,12.0,12.0,0,,,
EPLY,2017-06-30,12.0,6548.0,12.0,12.0,0,0.4588,0.0,1.0
EPLY,2017-07-03,12.95,6000.0,12.95,12.95,0,,,
EPLY,2017-07-06,12.95,4089.0,12.95,12.95,2,0.4588,0.0,1.0
EPLY,2017-07-11,12.38,2000.0,12.95,11.8,2,0.4588,0.0,1.0
