Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
FOSRICH,2017-12-21,2.99,16000.0,2.99,2.99,0,,,
FOSRICH,2017-12-22,3.07,496559.0,3.49,2.99,0,,,
FOSRICH,2017-12-27,3.44,311953.0,3.55,3.25,2,,,
FOSRICH,2017-12-28,3.42,408846.0,3.7,3.25,0,,,
FOSRICH,2017-12-29,3.27,122234.0,3.4,3.07,0,,,
FOSRICH,2018-01-02,3.19,297439.0,3.25,3.07,1,,,
FOSRICH,2018-01-03,3.13,605532.0,3.25,3.01,0,,,
FOSRICH,2018-01-04,3.01,125216.0,3.1,3.0,0,,,
FOSRICH,2018-01-05,2.89,77356.0,3.0,2.6,0,,,
FOSRICH,2018-01-08,2.57,227660.0,2.95,2.5,0,,,
FOSRICH,2018-01-09,2.63,122543.0,2.9,2.51,0,,,
FOSRICH,2018-01-10,2.58,67515.0,2.89,2.51,0,,,
FOSRICH,2018-01-11,2.68,138684.0,2.9,2.5,0,,,
FOSRICH,2018-01-12,2.65,38803.0,2.84,2.6,0,,,
FOSRICH,2018-01-15,2.56,281281.0,2.84,2.5,0,,,
FOSRICH,2018-01-16,2.51,369544.0,2.6,2.5,0,,,
FOSRICH,2018-01-17,2.51,85073.0,2.59,2.5,0,,,
FOSRICH,2018-01-18,2.6,459191.0,2.6,2.53,0,,,
FOSRICH,2018-01-19,2.6,316755.0,2.7,2.6,0,,,
FOSRICH,2018-01-22,2.65,47495.0,2.8,2.53,0,,,
FOSRICH,2018-01-23,2.65,41450.0,2.74,2.65,0,,,
FOSRICH,2018-01-24,2.65,18300.0,2.65,2.65,0,,,
FOSRICH,2018-01-25,2.68,97221.0,2.7,2.61,0,,,
FOSRICH,2018-01-26,2.63,15337.0,2.68,2.61,0,,,
FOSRICH,2018-01-29,2.64,11869.0,2.68,2.6,0,,,
FOSRICH,2018-01-30,2.67,77954.0,2.7,2.55,0,,,
FOSRICH,2018-01-31,2.54,114890.0,2.67,2.5,0,,,
FOSRICH,2018-02-01,2.65,99079.0,2.7,2.5,0,,,
FOSRICH,2018-02-02,2.57,246729.0,2.7,2.5,0,,,
FOSRICH,2018-02-05,2.69,29073.0,2.79,2.65,0,,,
FOSRICH,2018-02-06,2.73,33106.0,2.79,2.65,0,,,
FOSRICH,2018-02-07,2.73,49924.0,2.8,2.7,0,,,
FOSRICH,2018-02-08,2.62,150482.0,2.79,2.5,0,,,
FOSRICH,2018-02-09,2.69,163869.0,2.7,2.5,0,,,
FOSRICH,2018-02-12,2.64,552833.0,2.65,2.3,0,,,
FOSRICH,2018-02-13,2.52,11023.0,2.55,2.5,0,,,
FOSRICH,2018-02-15,2.52,78106.0,2.7,2.5,1,,,
FOSRICH,2018-02-16,2.6,1300.0,2.6,2.6,0,,,
FOSRICH,2018-02-19,2.5,5621.0,2.5,2.5,0,,,
FOSRICH,2018-02-20,2.51,19710.0,2.52,2.5,0,,,
FOSRICH,2018-02-21,2.56,327958.0,2.7,2.5,0,,,
FOSRICH,2018-02-22,2.68,208907.0,2.7,2.6,0,,,
FOSRICH,2018-02-23,2.7,12000.0,2.7,2.7,0,,,
FOSRICH,2018-02-26,2.7,103300.0,2.7,2.7,0,,,
FOSRICH,2018-02-27,2.68,62000.0,2.7,2.51,0,,,
FOSRICH,2018-03-01,2.67,72592.0,2.75,2.61,1,0.5106,1.0,0.0
FOSRICH,2018-03-02,2.58,169827.0,2.75,2.5,0,,,
FOSRICH,2018-03-05,2.56,33614.0,2.68,2.5,0,,,
FOSRICH,2018-03-06,2.53,10681.0,2.6,2.5,0,,,
FOSRICH,2018-03-07,2.68,411785.0,2.7,2.5,0,,,
FOSRICH,2018-03-08,2.72,40706.0,2.75,2.68,0,,,
FOSRICH,2018-03-09,2.74,17780.0,2.75,2.68,0,,,
FOSRICH,2018-03-12,2.68,39164.0,2.68,2.68,0,,,
FOSRICH,2018-03-14,2.56,37662.0,2.68,2.55,1,,,
FOSRICH,2018-03-15,2.5,10284.0,2.58,2.5,0,,,
FOSRICH,2018-03-16,2.51,14393.0,2.58,2.5,0,,,
FOSRICH,2018-03-19,2.53,6650.0,2.58,2.51,0,,,
FOSRICH,2018-03-20,2.54,25002.0,2.55,2.51,0,,,
FOSRICH,2018-03-21,2.49,56934.0,2.58,2.4,0,,,
FOSRICH,2018-03-22,2.65,331255.0,2.65,2.5,0,,,
FOSRICH,2018-03-23,2.65,355416.0,2.68,2.65,0,,,
FOSRICH,2018-03-26,2.4,13695.0,2.4,2.4,0,,,
FOSRICH,2018-03-27,2.5,77438.0,2.65,2.4,0,,,
FOSRICH,2018-03-28,2.57,24500.0,2.6,2.5,0,,,
FOSRICH,2018-03-29,2.59,92684.0,2.6,2.5,0,,,
FOSRICH,2018-04-03,2.52,4287.0,2.59,2.5,2,0.0772,0.0,1.0
FOSRICH,2018-04-04,2.42,9733.0,2.5,2.41,0,,,
FOSRICH,2018-04-06,2.5,24058.0,2.5,2.5,1,,,
FOSRICH,2018-04-09,2.43,8383.0,2.5,2.41,0,,,
FOSRICH,2018-04-10,2.48,56599.0,2.5,2.41,0,,,
FOSRICH,2018-04-11,2.52,103760.0,2.55,2.5,0,,,
FOSRICH,2018-04-12,2.54,48162.0,2.55,2.43,0,,,
FOSRICH,2018-04-13,2.41,70133.0,2.43,2.4,0,,,
FOSRICH,2018-04-16,2.41,11040.0,2.42,2.4,0,,,
FOSRICH,2018-04-17,2.55,17000.0,2.55,2.55,0,,,
FOSRICH,2018-04-18,2.55,143514.0,2.55,2.55,0,,,
FOSRICH,2018-04-19,2.56,174580.0,2.59,2.55,0,,,
FOSRICH,2018-04-20,2.42,13924.0,2.55,2.3,0,,,
FOSRICH,2018-04-23,2.42,3060.0,2.5,2.41,0,0.0772,0.0,1.0
FOSRICH,2018-04-24,2.43,7684.0,2.5,2.42,0,,,
FOSRICH,2018-04-25,2.43,13400.0,2.45,2.42,0,,,
FOSRICH,2018-04-26,2.35,539.0,2.35,2.35,0,,,
FOSRICH,2018-04-27,2.45,31770.0,2.5,2.35,0,,,
FOSRICH,2018-04-30,2.38,37631.0,2.5,2.38,0,0.0,1.0,0.0
FOSRICH,2018-05-01,2.4,7029.0,2.45,2.38,0,,,
FOSRICH,2018-05-02,2.38,35748.0,2.45,2.38,0,,,
FOSRICH,2018-05-03,2.45,40493.0,2.46,2.45,0,,,
FOSRICH,2018-05-04,2.49,53467.0,2.5,2.45,0,-0.2263,0.0,0.0
FOSRICH,2018-05-07,2.46,3349.0,2.49,2.45,0,,,
FOSRICH,2018-05-08,2.39,158014.0,2.49,2.35,0,,,
FOSRICH,2018-05-09,2.35,197230.0,2.45,2.3,0,,,
FOSRICH,2018-05-10,2.35,40874.0,2.35,2.35,0,,,
FOSRICH,2018-05-11,2.36,191345.0,2.4,2.3,0,,,
FOSRICH,2018-05-14,2.34,9678.0,2.36,2.3,0,,,
FOSRICH,2018-05-15,2.31,7787.0,2.31,2.31,0,,,
FOSRICH,2018-05-16,2.35,5000.0,2.35,2.35,0,-0.2263,1.0,0.0
FOSRICH,2018-05-17,2.35,31010.0,2.39,2.35,0,,,
FOSRICH,2018-05-18,2.44,108048.0,2.5,2.34,0,,,
FOSRICH,2018-05-21,2.45,464331.0,2.45,2.25,0,,,
FOSRICH,2018-05-22,2.48,61700.0,2.49,2.4,0,,,
FOSRICH,2018-05-24,2.5,126937.0,2.5,2.49,1,,,
FOSRICH,2018-05-25,2.42,9844.0,2.45,2.38,0,0.0772,0.0,1.0
FOSRICH,2018-05-28,2.4,10556.0,2.4,2.4,0,,,
FOSRICH,2018-05-29,2.48,82897.0,2.5,2.4,0,,,
FOSRICH,2018-05-30,2.52,31830.0,2.55,2.5,0,,,
FOSRICH,2018-05-31,2.56,7480.0,2.59,2.55,0,,,
