Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
FTNA,2019-01-09,3.17,162.0,3.17,3.17,0,,,
FTNA,2019-01-10,3.85,9609205.0,4.2,3.5,0,,,
FTNA,2019-01-11,3.61,6237501.0,3.8,3.4,0,,,
FTNA,2019-01-14,3.51,2462763.0,3.64,3.3,0,,,
FTNA,2019-01-15,3.06,9706020.0,3.72,3.0,0,,,
FTNA,2019-01-16,3.06,2808416.0,3.2,3.0,0,,,
FTNA,2019-01-17,3.09,7342905.0,3.25,3.02,0,,,
FTNA,2019-01-18,3.2,843661.0,3.3,3.0,0,,,
FTNA,2019-01-21,3.23,1105394.0,3.3,3.2,0,,,
FTNA,2019-01-22,3.21,9588993.0,3.33,3.19,0,,,
FTNA,2019-01-23,3.45,7606834.0,3.5,3.2,0,,,
FTNA,2019-01-24,3.5,226886.0,3.55,3.35,0,,,
FTNA,2019-01-25,3.53,1294249.0,3.6,3.35,0,,,
FTNA,2019-01-28,3.47,495371.0,3.55,3.3,0,,,
FTNA,2019-01-29,3.49,1747405.0,3.5,3.35,0,,,
FTNA,2019-01-30,3.42,368797.0,3.49,3.36,0,,,
FTNA,2019-01-31,3.56,9633854.0,3.65,3.45,0,,,
FTNA,2019-02-01,3.53,164928.0,3.6,3.5,0,,,
FTNA,2019-02-04,3.51,2781214.0,3.65,3.48,0,,,
FTNA,2019-02-05,3.57,2096413.0,3.6,3.48,0,,,
FTNA,2019-02-06,3.55,1863585.0,3.6,3.49,0,-0.2263,1.0,0.0
FTNA,2019-02-07,3.69,391687.0,3.75,3.6,0,,,
FTNA,2019-02-08,3.62,598063.0,3.7,3.6,0,,,
FTNA,2019-02-11,3.69,2408200.0,3.7,3.61,0,,,
FTNA,2019-02-12,3.69,557982.0,3.7,3.67,0,,,
FTNA,2019-02-13,3.77,487017.0,3.9,3.7,0,,,
FTNA,2019-02-14,3.99,1345881.0,4.0,3.75,0,,,
FTNA,2019-02-15,3.87,123255.0,4.0,3.8,0,,,
FTNA,2019-02-18,3.98,659124.0,4.0,3.7,0,-0.2263,0.0,0.0
FTNA,2019-02-19,3.99,844663.0,4.0,3.95,0,,,
FTNA,2019-02-20,3.89,816855.0,3.98,3.8,0,,,
FTNA,2019-02-21,3.85,211257.0,3.95,3.8,0,,,
FTNA,2019-02-22,3.91,337361.0,3.99,3.8,0,,,
FTNA,2019-02-25,3.91,913786.0,3.99,3.9,0,,,
FTNA,2019-02-26,3.91,511282.0,3.99,3.81,0,,,
FTNA,2019-02-27,3.95,344662.0,3.99,3.9,0,,,
FTNA,2019-02-28,3.99,348963.0,4.0,3.95,0,,,
FTNA,2019-03-01,3.97,164513.0,4.0,3.9,0,,,
FTNA,2019-03-04,3.99,3702697.0,4.01,3.9,0,,,
FTNA,2019-03-05,3.95,45952.0,3.99,3.9,0,,,
FTNA,2019-03-07,3.95,145041.0,4.0,3.92,1,,,
FTNA,2019-03-08,3.94,622444.0,4.01,3.89,0,,,
FTNA,2019-03-11,4.02,307794.0,4.1,4.0,0,,,
FTNA,2019-03-12,4.04,999692.0,4.15,3.9,0,,,
FTNA,2019-03-13,4.01,522903.0,4.09,3.94,0,,,
FTNA,2019-03-14,4.07,130851.0,4.09,4.06,0,,,
FTNA,2019-03-15,4.02,707485.0,4.07,3.9,0,,,
FTNA,2019-03-18,4.0,142292.0,4.0,4.0,0,,,
FTNA,2019-03-19,4.01,128716.0,4.09,3.92,0,,,
FTNA,2019-03-20,3.97,368987.0,4.0,3.9,0,,,
FTNA,2019-03-21,3.97,90464.0,4.01,3.91,0,,,
FTNA,2019-03-22,3.97,28700.0,4.01,3.95,0,,,
FTNA,2019-03-25,3.99,167291.0,4.01,3.97,0,,,
FTNA,2019-03-26,4.01,72972.0,4.05,4.0,0,,,
FTNA,2019-03-27,4.0,1669156.0,4.05,4.0,0,,,
FTNA,2019-03-28,4.05,418247.0,4.07,4.03,0,,,
FTNA,2019-03-29,4.05,199144.0,4.06,4.03,0,,,
FTNA,2019-04-01,4.04,110105.0,4.06,4.01,0,,,
FTNA,2019-04-02,4.0,770452.0,4.05,4.0,0,,,
FTNA,2019-04-03,4.03,66924.0,4.06,4.0,0,,,
FTNA,2019-04-04,4.0,511481.0,4.05,4.0,0,,,
FTNA,2019-04-05,4.0,91304.0,4.0,3.99,0,,,
FTNA,2019-04-08,3.94,288466.0,4.0,3.91,0,,,
FTNA,2019-04-09,3.89,570776.0,3.95,3.8,0,,,
FTNA,2019-04-10,3.89,223817.0,4.0,3.74,0,,,
FTNA,2019-04-11,3.94,139911.0,3.98,3.9,0,,,
FTNA,2019-04-12,3.81,162711.0,3.95,3.8,0,,,
FTNA,2019-04-15,3.85,88628.0,3.99,3.8,0,,,
FTNA,2019-04-16,3.82,207076.0,3.85,3.8,0,,,
FTNA,2019-04-17,3.88,298868.0,4.0,3.8,0,,,
FTNA,2019-04-18,3.8,39497.0,3.9,3.8,0,,,
FTNA,2019-04-23,3.81,20980.0,3.88,3.8,2,,,
FTNA,2019-04-24,3.87,118321.0,3.95,3.8,0,,,
FTNA,2019-04-25,3.96,136013.0,4.0,3.94,0,,,
FTNA,2019-04-26,3.91,107812.0,3.95,3.9,0,,,
FTNA,2019-04-29,3.96,51445.0,4.0,3.9,0,,,
FTNA,2019-04-30,3.99,226067.0,4.0,3.95,0,,,
FTNA,2019-05-01,4.03,994116.0,4.1,3.96,0,,,
FTNA,2019-05-02,4.1,64780.0,4.2,4.03,0,,,
FTNA,2019-05-03,4.12,82640.0,4.2,4.03,0,,,
FTNA,2019-05-06,4.18,45190.0,4.2,4.1,0,,,
FTNA,2019-05-07,4.27,87760.0,4.5,4.1,0,,,
FTNA,2019-05-08,4.54,242766.0,4.7,4.25,0,,,
FTNA,2019-05-09,4.55,183502.0,4.9,4.31,0,,,
FTNA,2019-05-10,4.4,195988.0,4.54,4.25,0,,,
FTNA,2019-05-13,4.5,200841.0,4.8,4.4,0,0.0,1.0,0.0
FTNA,2019-05-14,4.52,262762.0,4.6,4.4,0,0.0,1.0,0.0
FTNA,2019-05-15,4.53,470171.0,4.63,4.5,0,,,
FTNA,2019-05-16,4.55,96454.0,4.7,4.53,0,,,
FTNA,2019-05-17,4.55,106972.0,4.6,4.53,0,,,
FTNA,2019-05-20,4.55,118747.0,4.6,4.53,0,,,
FTNA,2019-05-21,4.51,406075.0,4.55,4.3,0,,,
FTNA,2019-05-22,4.51,8737.0,4.55,4.5,0,,,
FTNA,2019-05-24,4.46,60458.0,4.54,4.37,1,,,
FTNA,2019-05-27,4.36,107414.0,4.37,4.3,0,,,
FTNA,2019-05-28,4.13,168622.0,4.4,4.05,0,,,
FTNA,2019-05-29,4.11,84348.0,4.25,4.1,0,,,
FTNA,2019-05-30,4.17,186752.0,4.3,4.1,0,,,
FTNA,2019-05-31,4.34,311751.0,4.39,4.25,0,,,
FTNA,2019-06-03,4.37,96033.0,4.39,4.2,0,,,
FTNA,2019-06-04,4.39,1498782.0,4.39,4.35,0,,,
FTNA,2019-06-05,4.36,58483.0,4.38,4.2,0,,,
FTNA,2019-06-06,4.32,151064.0,4.39,4.2,0,,,
FTNA,2019-06-07,4.3,154022.0,4.39,4.25,0,,,
FTNA,2019-06-10,4.22,464115.0,4.5,4.0,0,,,
FTNA,2019-06-11,4.2,1154738.0,4.25,4.1,0,,,
FTNA,2019-06-12,4.22,120087.0,4.39,4.1,0,,,
FTNA,2019-06-13,4.27,20600.0,4.3,4.2,0,,,
FTNA,2019-06-14,4.3,461059.0,4.39,4.2,0,,,
FTNA,2019-06-17,4.33,181035.0,4.39,4.2,0,,,
FTNA,2019-06-18,4.38,77631.0,4.39,4.25,0,,,
FTNA,2019-06-19,4.4,511063.0,4.5,4.39,0,,,
FTNA,2019-06-20,4.43,207732.0,4.55,4.38,0,,,
FTNA,2019-06-21,4.47,211107.0,4.6,4.35,0,,,
FTNA,2019-06-24,4.62,152895.0,4.75,4.4,0,,,
FTNA,2019-06-25,4.7,171655.0,4.96,4.5,0,,,
FTNA,2019-06-26,4.62,90462.0,4.8,4.55,0,,,
FTNA,2019-06-27,4.75,239209.0,5.0,4.62,0,,,
FTNA,2019-06-28,4.81,77547.0,4.92,4.8,0,,,
FTNA,2019-07-01,5.03,88773.0,5.25,4.82,0,,,
FTNA,2019-07-02,5.44,144842.0,5.9,5.15,0,,,
FTNA,2019-07-03,5.76,91310.0,5.85,5.6,0,,,
FTNA,2019-07-04,6.01,418248.0,6.5,5.85,0,,,
FTNA,2019-07-05,5.9,167242.0,5.9,5.85,0,,,
FTNA,2019-07-08,5.89,95229.0,5.9,5.84,0,,,
FTNA,2019-07-09,5.83,104644.0,5.87,5.79,0,,,
FTNA,2019-07-10,5.84,342267.0,5.9,5.75,0,,,
FTNA,2019-07-11,5.96,146183.0,6.0,5.86,0,,,
FTNA,2019-07-12,5.98,227035.0,6.08,5.9,0,,,
FTNA,2019-07-15,6.04,171573.0,6.2,6.0,0,,,
FTNA,2019-07-16,6.2,51820.0,6.45,6.1,0,,,
FTNA,2019-07-17,6.84,87465.0,7.25,6.45,0,,,
FTNA,2019-07-18,7.25,83320.0,8.0,6.0,0,,,
FTNA,2019-07-19,7.76,874679.0,9.0,7.41,0,,,
FTNA,2019-07-22,7.73,675620.0,8.45,7.2,0,,,
FTNA,2019-07-23,7.99,355933.0,8.45,7.6,0,,,
FTNA,2019-07-24,8.24,1010686.0,8.85,7.7,0,,,
FTNA,2019-07-25,8.57,655120.0,9.0,8.0,0,,,
