Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
GK,2016-01-04,84.0,2483.0,84.0,84.0,0,,,
GK,2016-01-05,84.38,11249.0,85.0,84.2,0,,,
GK,2016-01-06,84.7,4031.0,84.7,84.7,0,,,
GK,2016-01-07,84.96,4033.0,85.0,84.7,0,,,
GK,2016-01-08,84.33,154940.0,85.0,84.0,0,,,
GK,2016-01-11,84.05,18969.0,84.33,84.01,0,,,
GK,2016-01-12,80.78,117534.0,84.01,80.2,0,,,
GK,2016-01-13,82.98,757.0,84.0,81.0,0,,,
GK,2016-01-14,80.52,114095.0,82.5,80.2,0,,,
GK,2016-01-15,80.23,20240.0,80.5,80.21,0,-0.5994,0.0,0.0
GK,2016-01-18,81.04,5653.0,82.0,80.21,0,,,
GK,2016-01-19,81.99,144996.0,82.5,80.55,0,,,
GK,2016-01-20,81.1,265024.0,84.0,80.5,0,,,
GK,2016-01-21,80.95,83802.0,83.01,80.5,0,,,
GK,2016-01-22,82.12,89111.0,84.0,80.5,0,,,
GK,2016-01-25,82.0,1949435.0,84.0,82.0,0,,,
GK,2016-01-26,81.74,13200.0,83.49,81.0,0,,,
GK,2016-01-27,81.16,109886.0,83.49,80.8,0,,,
GK,2016-01-28,83.48,20140.0,83.49,81.5,0,,,
GK,2016-01-29,83.14,1378.0,83.48,81.5,0,,,
GK,2016-02-02,82.49,5280.0,82.8,82.0,1,,,
GK,2016-02-03,82.24,6094.0,82.5,81.16,0,,,
GK,2016-02-04,81.84,9300.0,82.24,81.5,0,,,
GK,2016-02-05,82.0,74516.0,82.0,81.5,0,0.3818,0.0,0.0
GK,2016-02-08,83.0,242975.0,83.0,82.24,0,,,
GK,2016-02-09,83.94,4452.0,85.0,83.01,0,,,
GK,2016-02-11,84.0,1500.0,84.0,84.0,1,,,
GK,2016-02-12,83.47,10283.0,84.0,83.0,0,,,
GK,2016-02-15,84.0,103.0,84.0,84.0,0,,,
GK,2016-02-16,83.0,562543.0,84.0,83.0,0,,,
GK,2016-02-17,82.88,3269.0,83.0,82.24,0,,,
GK,2016-02-18,82.27,2449.0,83.0,82.1,0,,,
GK,2016-02-19,82.77,8369.0,82.95,82.5,0,,,
GK,2016-02-22,82.83,7160.0,84.0,82.01,0,-0.3182,0.0,0.0
GK,2016-02-23,83.0,26573.0,83.0,82.98,0,,,
GK,2016-02-24,83.0,7150.0,83.0,83.0,0,,,
GK,2016-02-25,81.73,25650.0,82.5,81.71,0,,,
GK,2016-02-26,82.25,25147.0,83.0,82.0,0,,,
GK,2016-02-29,83.99,44179.0,84.5,82.0,0,0.2263,1.0,0.0
GK,2016-03-01,84.0,64555.0,84.0,84.0,0,,,
GK,2016-03-02,83.23,3541.0,84.0,82.0,0,,,
GK,2016-03-03,83.24,432842.0,83.95,83.0,0,,,
GK,2016-03-04,83.0,165900.0,83.0,83.0,0,0.3612,0.0,1.0
GK,2016-03-07,83.0,11320.0,83.0,83.0,0,,,
GK,2016-03-08,83.01,89733.0,83.95,83.0,0,,,
GK,2016-03-09,83.41,6044.0,83.5,83.0,0,,,
GK,2016-03-10,83.5,12897.0,83.5,83.5,0,,,
GK,2016-03-11,83.01,15092.0,83.5,83.0,0,,,
GK,2016-03-14,83.09,2474.0,83.5,82.75,0,,,
GK,2016-03-15,83.49,50000.0,83.49,83.49,0,,,
GK,2016-03-16,83.01,28233.0,83.45,82.6,0,,,
GK,2016-03-17,82.99,10752.0,83.0,82.6,0,,,
GK,2016-03-18,82.99,29093.0,83.0,82.99,0,,,
GK,2016-03-21,81.52,176230.0,82.0,81.5,0,,,
GK,2016-03-22,82.0,6249.0,82.0,82.0,0,,,
GK,2016-03-23,81.44,42388.0,82.0,80.1,0,,,
GK,2016-03-24,82.44,7000.0,82.5,82.0,0,,,
GK,2016-03-29,82.45,1551.0,82.5,82.0,2,,,
GK,2016-03-30,81.91,107459.0,82.25,81.5,0,,,
GK,2016-03-31,82.04,5560.0,82.5,82.0,0,,,
GK,2016-04-01,81.76,12101.0,82.0,81.5,0,,,
GK,2016-04-04,82.0,6200.0,82.0,82.0,0,,,
GK,2016-04-05,81.52,18330.0,82.0,81.4,0,,,
GK,2016-04-06,80.05,23026.0,80.5,80.0,0,,,
GK,2016-04-07,80.0,286469.0,80.1,80.0,0,,,
GK,2016-04-08,79.8,1469.0,80.0,79.5,0,,,
GK,2016-04-11,80.0,231970.0,80.0,79.9,0,,,
GK,2016-04-12,81.0,245819.0,81.5,81.0,0,,,
GK,2016-04-13,80.77,41858.0,81.5,80.0,0,,,
GK,2016-04-14,80.97,22300.0,81.0,80.4,0,,,
GK,2016-04-15,80.9,127.0,80.9,80.9,0,,,
GK,2016-04-18,80.15,1050.0,80.15,80.15,0,,,
GK,2016-04-19,81.05,61027.0,81.52,80.0,0,,,
GK,2016-04-20,81.1,142927.0,81.1,81.0,0,,,
GK,2016-04-22,81.1,1000.0,81.1,81.1,1,,,
GK,2016-04-25,81.22,5555.0,81.51,81.1,0,,,
GK,2016-04-26,81.78,1412488.0,82.0,81.6,0,,,
GK,2016-04-28,82.85,722.0,83.0,82.5,1,,,
GK,2016-04-29,82.91,1516.0,83.0,82.5,0,,,
GK,2016-05-02,83.0,2602.0,83.0,83.0,0,,,
GK,2016-05-03,83.0,7458.0,83.49,82.05,0,0.0,1.0,0.0
GK,2016-05-04,83.0,100.0,83.0,83.0,0,,,
GK,2016-05-05,83.5,6038.0,83.5,83.49,0,,,
GK,2016-05-06,83.54,11270.0,84.0,83.5,0,-0.2263,0.0,0.0
GK,2016-05-09,83.57,7042.0,84.0,83.5,0,,,
GK,2016-05-10,84.0,945030.0,84.0,83.54,0,,,
GK,2016-05-11,84.08,108960.0,85.0,84.0,0,,,
GK,2016-05-12,84.0,1021582.0,85.0,84.0,0,0.4215,1.0,0.0
GK,2016-05-13,85.83,18308.0,87.0,85.0,0,,,
GK,2016-05-16,86.92,14300.0,90.0,85.0,0,0.1531,0.0,0.0
GK,2016-05-17,87.86,2920.0,88.0,87.0,0,,,
GK,2016-05-18,88.09,69224.0,89.0,88.0,0,,,
GK,2016-05-19,89.0,18430.0,89.01,89.0,0,,,
GK,2016-05-20,90.0,100.0,90.0,90.0,0,,,
GK,2016-05-24,90.8,12167.0,91.0,90.0,1,,,
GK,2016-05-25,91.3,1022.0,92.0,90.0,0,,,
GK,2016-05-26,94.86,3985.0,100.0,94.0,0,,,
GK,2016-05-27,109.21,5070.0,110.0,102.0,0,,,
GK,2016-05-30,114.09,24384.0,120.0,111.0,0,,,
GK,2016-05-31,115.0,2710.0,115.0,115.0,0,,,
GK,2016-06-01,114.33,1933.0,115.0,112.0,0,,,
GK,2016-06-02,114.78,11617.0,115.0,114.0,0,,,
GK,2016-06-03,115.0,4215.0,115.0,115.0,0,,,
GK,2016-06-06,110.07,1443.0,111.0,110.0,0,,,
GK,2016-06-07,118.09,247831.0,120.5,110.0,0,-0.0618,0.0,0.0
GK,2016-06-08,120.5,1020.0,120.5,120.5,0,,,
GK,2016-06-09,118.65,61191.0,121.0,116.5,0,,,
GK,2016-06-10,118.97,92137.0,121.0,118.85,0,,,
GK,2016-06-13,116.79,1299824.0,124.99,116.0,0,,,
GK,2016-06-14,118.0,9000.0,118.0,118.0,0,,,
GK,2016-06-16,124.95,196201.0,125.0,124.04,1,,,
GK,2016-06-17,124.99,157510.0,125.01,124.95,0,,,
GK,2016-06-20,119.25,305550.0,125.0,116.0,0,,,
GK,2016-06-21,124.99,253791.0,125.0,124.99,0,,,
GK,2016-06-22,125.05,8410.0,125.05,125.05,0,,,
GK,2016-06-23,124.97,25208.0,125.05,124.5,0,,,
GK,2016-06-24,124.6,386164.0,125.05,123.05,0,,,
GK,2016-06-27,123.21,440788.0,125.0,123.1,0,,,
GK,2016-06-28,124.28,17283.0,124.5,124.25,0,,,
GK,2016-06-29,123.76,11689.0,125.0,123.0,0,,,
GK,2016-06-30,122.06,62637.0,123.0,122.0,0,0.4019,1.0,0.0
GK,2016-07-01,120.44,8491.0,123.05,120.0,0,0.0,0.0,0.0
GK,2016-07-05,120.5,7280.0,120.5,120.5,1,0.29600000000000004,0.0,0.0
GK,2016-07-06,122.27,20869.0,123.0,120.01,0,,,
GK,2016-07-07,118.82,9392.0,121.0,117.0,0,0.0772,0.0,0.0
GK,2016-07-08,119.7,3722.0,120.0,119.0,0,,,
GK,2016-07-11,118.98,8396.0,120.0,117.0,0,,,
GK,2016-07-12,117.79,51096.0,119.95,117.0,0,0.276,0.0,0.0
GK,2016-07-13,119.4,14439.0,120.0,119.0,0,,,
GK,2016-07-14,122.46,767291.0,122.5,119.0,0,,,
