Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
ICREATE,2019-02-25,1.19,177897.0,1.3,1.09,0,0.8176,0.0,0.0
ICREATE,2019-02-26,1.08,561314.0,1.2,1.01,0,,,
ICREATE,2019-02-27,1.05,955125.0,1.05,1.02,0,,,
ICREATE,2019-02-28,1.03,339531.0,1.05,1.01,0,,,
ICREATE,2019-03-01,1.01,275417.0,1.02,1.0,0,,,
ICREATE,2019-03-04,1.01,60985.0,1.02,1.01,0,,,
ICREATE,2019-03-05,0.93,257234.0,1.01,0.9,0,,,
ICREATE,2019-03-07,0.94,450683.0,0.95,0.9,1,,,
ICREATE,2019-03-08,0.93,409781.0,0.95,0.9,0,,,
ICREATE,2019-03-11,0.94,66000.0,0.99,0.94,0,,,
ICREATE,2019-03-12,0.95,49810.0,0.99,0.94,0,,,
ICREATE,2019-03-13,0.95,36885.0,0.95,0.95,0,,,
ICREATE,2019-03-14,0.98,42305.0,1.0,0.96,0,,,
ICREATE,2019-03-15,0.99,68885.0,1.01,0.98,0,,,
ICREATE,2019-03-18,1.0,205264.0,1.01,0.98,0,,,
ICREATE,2019-03-19,1.01,95836.0,1.02,1.01,0,,,
ICREATE,2019-03-20,1.02,30800.0,1.02,1.02,0,,,
ICREATE,2019-03-21,1.02,20000.0,1.02,1.02,0,,,
ICREATE,2019-03-22,1.01,111640.0,1.02,1.01,0,,,
ICREATE,2019-03-25,1.01,180549.0,1.01,1.01,0,,,
ICREATE,2019-03-26,1.01,159046.0,1.02,1.0,0,,,
ICREATE,2019-03-27,1.0,122185.0,1.01,1.0,0,,,
ICREATE,2019-03-28,1.0,29500.0,1.0,1.0,0,,,
ICREATE,2019-03-29,1.0,29400.0,1.01,0.98,0,,,
ICREATE,2019-04-01,1.0,29530.0,1.1,1.0,0,,,
ICREATE,2019-04-02,1.01,6590.0,1.01,1.01,0,-0.2263,0.0,0.0
ICREATE,2019-04-03,1.0,102200.0,1.01,1.0,0,,,
ICREATE,2019-04-04,1.0,44410.0,1.0,1.0,0,,,
ICREATE,2019-04-05,0.98,100791.0,1.01,0.97,0,,,
ICREATE,2019-04-08,1.0,1011174.0,1.01,0.97,0,,,
ICREATE,2019-04-09,0.96,118694.0,1.0,0.9,0,,,
ICREATE,2019-04-10,0.98,5500.0,0.98,0.98,0,,,
ICREATE,2019-04-11,0.84,51586.0,0.98,0.8,0,,,
ICREATE,2019-04-15,0.85,16600.0,0.85,0.85,1,,,
ICREATE,2019-04-17,0.86,111400.0,0.9,0.85,1,,,
ICREATE,2019-04-18,0.81,230.0,0.81,0.81,0,,,
ICREATE,2019-04-23,0.9,9650.0,0.9,0.9,2,,,
ICREATE,2019-04-24,0.9,33400.0,0.9,0.9,0,,,
ICREATE,2019-04-25,0.9,40000.0,0.9,0.9,0,,,
ICREATE,2019-04-26,0.9,3800.0,0.9,0.9,0,,,
ICREATE,2019-04-29,0.9,79450.0,0.91,0.9,0,,,
ICREATE,2019-04-30,0.89,30300.0,0.95,0.89,0,,,
ICREATE,2019-05-01,0.89,14231.0,0.89,0.89,0,,,
ICREATE,2019-05-02,0.9,22559.0,0.91,0.9,0,,,
ICREATE,2019-05-03,0.9,120876.0,0.91,0.9,0,,,
ICREATE,2019-05-06,0.9,61000.0,0.9,0.86,0,,,
ICREATE,2019-05-07,0.8,417640.0,0.9,0.78,0,,,
ICREATE,2019-05-08,0.85,10200.0,0.9,0.85,0,,,
ICREATE,2019-05-09,0.85,10000.0,0.85,0.85,0,,,
ICREATE,2019-05-10,0.85,33000.0,0.9,0.85,0,,,
ICREATE,2019-05-13,0.9,2500.0,0.9,0.9,0,,,
ICREATE,2019-05-15,0.9,29014.0,0.9,0.9,1,,,
ICREATE,2019-05-16,0.88,41886.0,0.9,0.85,0,0.0,1.0,0.0
ICREATE,2019-05-17,0.85,39000.0,0.85,0.85,0,,,
ICREATE,2019-05-20,0.86,28733.0,0.9,0.8,0,,,
ICREATE,2019-05-21,0.9,2245.0,0.9,0.9,0,,,
ICREATE,2019-05-22,0.89,11243.0,0.9,0.85,0,,,
ICREATE,2019-05-24,0.8,102553.0,0.9,0.8,1,,,
ICREATE,2019-05-27,0.71,271400.0,0.85,0.71,0,,,
ICREATE,2019-05-28,0.73,43174.0,0.75,0.71,0,,,
ICREATE,2019-05-29,0.75,56500.0,0.8,0.74,0,,,
ICREATE,2019-05-30,0.75,37682.0,0.8,0.74,0,,,
ICREATE,2019-06-03,0.81,15600.0,0.85,0.75,1,,,
ICREATE,2019-06-05,0.8,135224.0,0.81,0.8,1,,,
ICREATE,2019-06-06,0.8,747.0,0.8,0.8,0,,,
ICREATE,2019-06-07,0.77,30573.0,0.8,0.75,0,,,
ICREATE,2019-06-10,0.79,137014.0,0.83,0.76,0,,,
ICREATE,2019-06-11,0.78,4350.0,0.8,0.77,0,,,
ICREATE,2019-06-12,0.78,15385.0,0.79,0.77,0,,,
ICREATE,2019-06-13,0.76,47115.0,0.78,0.76,0,,,
ICREATE,2019-06-14,0.78,15000.0,0.78,0.78,0,,,
ICREATE,2019-06-17,0.79,23500.0,0.79,0.79,0,,,
ICREATE,2019-06-19,0.79,59830.0,0.8,0.79,1,,,
ICREATE,2019-06-20,0.8,105757.0,0.8,0.79,0,,,
