Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
INDIES,2018-08-16,2.25,21196580.0,2.35,1.95,0,,,
INDIES,2018-08-17,2.35,2038664.0,2.45,2.0,0,,,
INDIES,2018-08-20,2.42,1628679.0,2.5,2.36,0,,,
INDIES,2018-08-21,2.49,1450417.0,2.5,2.4,0,-0.2263,0.0,0.0
INDIES,2018-08-22,2.52,984697.0,2.6,2.43,0,,,
INDIES,2018-08-23,2.54,2476772.0,2.63,2.45,0,,,
INDIES,2018-08-24,2.59,887723.0,2.7,2.54,0,,,
INDIES,2018-08-27,2.54,539221.0,2.62,2.47,0,,,
INDIES,2018-08-28,2.5,4712727.0,2.65,2.48,0,,,
INDIES,2018-08-29,2.59,269311.0,2.7,2.5,0,,,
INDIES,2018-08-30,2.61,867462.0,2.7,2.5,0,,,
INDIES,2018-08-31,2.67,232459.0,2.7,2.6,0,,,
INDIES,2018-09-03,2.74,141895.0,2.8,2.65,0,,,
INDIES,2018-09-04,2.8,367022.0,2.9,2.69,0,,,
INDIES,2018-09-05,2.93,1346124.0,3.01,2.82,0,,,
INDIES,2018-09-06,3.07,1056527.0,3.2,2.98,0,,,
INDIES,2018-09-07,3.03,1437108.0,3.18,2.99,0,,,
INDIES,2018-09-10,3.17,305131.0,3.25,3.0,0,,,
INDIES,2018-09-11,3.54,317221.0,3.7,3.26,0,,,
INDIES,2018-09-12,3.65,958728.0,3.9,3.5,0,,,
INDIES,2018-09-13,3.67,235244.0,4.0,3.65,0,,,
INDIES,2018-09-14,4.01,1012184.0,4.1,3.75,0,,,
INDIES,2018-09-17,3.91,1098497.0,4.0,3.7,0,,,
INDIES,2018-09-18,3.98,537134.0,3.99,3.92,0,,,
INDIES,2018-09-19,3.96,1534316.0,3.98,3.75,0,,,
INDIES,2018-09-20,3.79,252318.0,3.94,3.7,0,,,
INDIES,2018-09-21,3.81,622765.0,3.9,3.66,0,,,
INDIES,2018-09-24,3.63,1269841.0,3.81,3.5,0,,,
INDIES,2018-09-25,3.41,370098.0,3.9,3.0,0,,,
INDIES,2018-09-26,3.28,369580.0,3.45,3.1,0,,,
INDIES,2018-09-27,3.36,834773.0,3.6,3.0,0,,,
INDIES,2018-09-28,3.32,622577.0,3.4,3.1,0,,,
INDIES,2018-10-01,3.28,119039.0,3.4,3.25,0,,,
INDIES,2018-10-02,3.34,74921.0,3.4,3.25,0,,,
INDIES,2018-10-03,3.27,238186.0,3.38,3.16,0,,,
INDIES,2018-10-04,3.39,628525.0,3.44,3.16,0,,,
INDIES,2018-10-05,3.39,671846.0,3.4,3.3,0,,,
INDIES,2018-10-08,3.28,336300.0,3.36,3.2,0,,,
INDIES,2018-10-09,3.29,344287.0,3.35,3.2,0,,,
INDIES,2018-10-10,3.23,445397.0,3.5,3.15,0,,,
INDIES,2018-10-11,3.37,642308.0,3.39,3.2,0,,,
INDIES,2018-10-12,3.3,88392.0,3.35,3.25,0,,,
INDIES,2018-10-16,3.14,558055.0,3.39,2.99,1,,,
INDIES,2018-10-17,3.11,283523.0,3.25,2.7,0,,,
INDIES,2018-10-18,3.0,103634.0,3.2,2.7,0,,,
INDIES,2018-10-19,2.88,86975.0,3.15,2.7,0,,,
INDIES,2018-10-22,2.94,109876.0,3.0,2.86,0,,,
INDIES,2018-10-23,2.96,220937.0,3.0,2.85,0,,,
INDIES,2018-10-24,3.0,8564.0,3.0,3.0,0,,,
INDIES,2018-10-25,2.94,107461.0,3.0,2.9,0,,,
INDIES,2018-10-26,3.0,50815.0,3.0,3.0,0,,,
INDIES,2018-10-29,3.03,126444.0,3.1,3.0,0,,,
INDIES,2018-10-30,3.14,128477.0,3.2,3.1,0,,,
INDIES,2018-10-31,3.27,659403.0,3.6,3.15,0,,,
INDIES,2018-11-01,3.33,38362.0,3.4,3.3,0,,,
INDIES,2018-11-02,3.12,74333.0,3.5,2.9,0,,,
INDIES,2018-11-05,3.15,56960.0,3.45,2.9,0,,,
INDIES,2018-11-06,3.07,99543.0,3.1,3.0,0,,,
INDIES,2018-11-07,3.0,134987.0,3.08,3.0,0,,,
INDIES,2018-11-08,3.0,159542.0,3.0,3.0,0,,,
INDIES,2018-11-09,3.0,651500.0,3.1,3.0,0,,,
INDIES,2018-11-12,3.08,130739.0,3.1,3.0,0,,,
