Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
JAMT,2016-01-04,5.05,28634.0,5.05,5.05,0,,,
JAMT,2016-01-05,5.24,39500.0,5.25,5.05,0,,,
JAMT,2016-01-06,5.35,1689.0,5.5,5.25,0,,,
JAMT,2016-01-08,5.42,27000.0,5.5,5.35,1,,,
JAMT,2016-01-11,5.43,4300.0,5.5,5.4,0,,,
JAMT,2016-01-12,5.35,43000.0,5.35,5.35,0,0.5106,0.0,1.0
JAMT,2016-01-13,5.6,5820.0,5.6,5.6,0,,,
JAMT,2016-01-14,5.42,26320.0,5.6,5.0,0,,,
JAMT,2016-01-18,5.37,8848.0,5.7,5.25,1,0.5106,0.0,1.0
JAMT,2016-01-19,5.2,400.0,5.2,5.2,0,,,
JAMT,2016-01-22,5.16,46911.0,5.37,5.0,2,,,
JAMT,2016-01-28,5.0,1800.0,5.0,5.0,3,,,
JAMT,2016-01-29,4.94,61245.0,5.0,4.9,0,,,
JAMT,2016-02-01,5.0,26443.0,5.1,5.0,0,-0.1531,1.0,0.0
JAMT,2016-02-02,5.07,94640.0,5.1,5.0,0,,,
JAMT,2016-02-03,5.5,95000.0,5.5,5.5,0,,,
JAMT,2016-02-04,5.61,25704.0,5.61,5.6,0,0.5719,0.0,0.0
JAMT,2016-02-05,6.0,64051.0,6.0,6.0,0,,,
JAMT,2016-02-09,6.87,65649.0,7.0,6.5,1,-0.1287,0.0,0.0
JAMT,2016-02-11,7.29,77893.0,7.5,7.0,1,,,
JAMT,2016-02-12,7.52,34808.0,7.8,7.5,0,-0.1531,1.0,0.0
JAMT,2016-02-15,7.54,116703.0,8.0,7.0,0,,,
JAMT,2016-02-16,8.0,47795.0,8.5,8.0,0,,,
JAMT,2016-02-17,7.84,21631.0,8.0,7.5,0,,,
JAMT,2016-02-18,7.8,4688.0,7.8,7.8,0,,,
JAMT,2016-02-19,7.79,65554.0,7.8,7.13,0,,,
