Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
JETCON,2016-03-29,2.54,23736.0,2.58,2.5,0,,,
JETCON,2016-03-30,2.86,163973.0,2.9,2.69,0,,,
JETCON,2016-03-31,2.89,230128.0,2.9,2.81,0,,,
JETCON,2016-04-01,2.9,306956.0,2.99,2.9,0,,,
JETCON,2016-04-04,2.9,129320.0,2.91,2.9,0,,,
JETCON,2016-04-05,2.83,395110.0,2.9,2.8,0,,,
JETCON,2016-04-06,2.9,398120.0,2.95,2.9,0,0.4588,0.0,1.0
JETCON,2016-04-07,2.86,363344.0,2.9,2.8,0,,,
JETCON,2016-04-08,2.85,149862.0,2.85,2.84,0,,,
JETCON,2016-04-11,2.74,8680.0,2.84,2.6,0,,,
JETCON,2016-04-12,2.73,49157.0,2.78,2.6,0,,,
JETCON,2016-04-14,2.69,7000.0,2.69,2.69,1,,,
JETCON,2016-04-15,2.56,70611.0,2.68,2.55,0,,,
JETCON,2016-04-18,2.5,69809.0,2.5,2.5,0,,,
JETCON,2016-04-20,2.49,61500.0,2.5,2.47,1,,,
JETCON,2016-04-22,2.5,575835.0,2.5,2.49,1,,,
JETCON,2016-04-27,2.69,352125.0,2.85,2.55,2,0.2023,1.0,0.0
JETCON,2016-04-28,2.9,880327.0,2.97,2.7,0,,,
JETCON,2016-04-29,2.9,500.0,2.9,2.9,0,,,
JETCON,2016-05-02,2.9,66153.0,2.9,2.89,0,,,
JETCON,2016-05-03,2.86,608524.0,2.9,2.8,0,,,
JETCON,2016-05-04,2.9,294854.0,2.9,2.9,0,,,
JETCON,2016-05-05,3.0,10477.0,3.0,3.0,0,,,
JETCON,2016-05-06,3.0,785615.0,3.0,2.95,0,,,
JETCON,2016-05-09,3.0,5044.0,3.0,2.99,0,,,
JETCON,2016-05-10,3.0,8000.0,3.0,3.0,0,,,
JETCON,2016-05-11,3.0,5000.0,3.0,3.0,0,,,
JETCON,2016-05-13,3.0,60000.0,3.0,2.99,1,,,
JETCON,2016-05-16,2.92,26000.0,3.0,2.9,0,,,
JETCON,2016-05-17,2.83,7000.0,2.9,2.8,0,,,
JETCON,2016-05-19,2.75,1050.0,2.75,2.75,1,,,
JETCON,2016-05-24,2.81,90307.0,2.81,2.81,2,,,
JETCON,2016-05-25,2.83,900.0,2.83,2.83,0,,,
JETCON,2016-05-26,2.85,137712.0,3.0,2.81,0,,,
JETCON,2016-05-30,2.85,35685.0,2.85,2.83,1,,,
JETCON,2016-06-01,2.83,112918.0,2.83,2.8,1,,,
JETCON,2016-06-02,2.82,23525.0,2.87,2.75,0,,,
JETCON,2016-06-07,2.76,128775.0,3.0,2.75,2,0.4588,0.0,1.0
JETCON,2016-06-08,2.73,10000.0,2.76,2.65,0,,,
JETCON,2016-06-09,2.7,103000.0,2.8,2.7,0,,,
JETCON,2016-06-10,2.65,280878.0,2.7,2.65,0,,,
JETCON,2016-06-16,2.53,42398.0,2.57,2.5,3,,,
JETCON,2016-06-17,2.5,4690.0,2.5,2.5,0,,,
JETCON,2016-06-20,2.51,15424.0,2.51,2.51,0,,,
JETCON,2016-06-23,2.65,1557.0,2.65,2.65,2,,,
JETCON,2016-06-24,2.67,138928.0,2.7,2.65,0,,,
JETCON,2016-06-30,2.9500000000000006,100.0,2.9500000000000006,2.9500000000000006,3,0.2023,0.0,0.0
JETCON,2016-07-04,2.95,900.0,2.95,2.95,1,,,
JETCON,2016-07-05,2.66,54044.0,2.7,2.6,0,,,
JETCON,2016-07-08,2.65,2855.0,2.65,2.65,2,,,
JETCON,2016-07-11,2.7,271621.0,2.7,2.7,0,,,
JETCON,2016-07-13,2.7,43056.0,2.7,2.7,1,,,
JETCON,2016-07-14,2.65,8324.0,2.65,2.65,0,,,
JETCON,2016-07-18,2.7,60000.0,2.7,2.7,1,,,
JETCON,2016-07-21,2.55,50000.0,2.55,2.55,2,,,
JETCON,2016-08-02,2.6,6247.0,2.6,2.6,7,,,
JETCON,2016-08-03,2.7,500.0,2.7,2.7,0,,,
JETCON,2016-08-08,2.7,3700.0,2.7,2.7,2,,,
JETCON,2016-08-09,2.65,9055.0,2.65,2.65,0,,,
JETCON,2016-08-10,2.69,12000.0,2.69,2.69,0,,,
JETCON,2016-08-12,2.69,56590.0,2.69,2.69,1,,,
JETCON,2016-08-15,2.69,37411.0,2.69,2.69,0,0.2023,1.0,0.0
JETCON,2016-08-16,2.85,99225.0,3.0,2.7,0,,,
JETCON,2016-08-17,2.93,326248.0,3.0,2.85,0,,,
JETCON,2016-08-18,3.11,44951.0,3.15,3.1,0,,,
JETCON,2016-08-19,3.2,30000.0,3.2,3.2,0,,,
JETCON,2016-08-22,3.06,127964.0,3.15,3.0,0,,,
JETCON,2016-08-24,2.85,15098.0,2.85,2.85,1,,,
JETCON,2016-08-25,3.14,35000.0,3.15,3.1,0,,,
JETCON,2016-08-29,3.16,5000.0,3.16,3.16,1,0.4588,0.0,1.0
JETCON,2016-08-30,3.17,75200.0,3.2,3.16,0,,,
JETCON,2016-08-31,3.21,2000.0,3.21,3.21,0,,,
JETCON,2016-09-01,2.96,70243.0,3.23,2.9,0,0.5994,0.0,1.0
JETCON,2016-09-06,3.2,399800.0,3.2,3.2,2,0.4588,0.0,1.0
JETCON,2016-09-07,3.2,24916.0,3.2,3.2,0,,,
JETCON,2016-09-08,3.3,18991.0,3.3,3.3,0,0.4588,0.0,1.0
JETCON,2016-09-15,4.0,20000.0,4.0,4.0,4,,,
JETCON,2016-09-16,4.09,84170.0,4.3,4.0,0,,,
JETCON,2016-09-19,4.16,65867.0,4.4,4.1,0,,,
JETCON,2016-09-20,4.62,34983.0,4.8,4.5,0,,,
JETCON,2016-09-21,4.55,51980.0,4.95,4.5,0,,,
JETCON,2016-09-23,4.74,17344.0,4.75,4.7,1,,,
JETCON,2016-09-26,4.7,15745.0,4.7,4.7,0,,,
JETCON,2016-09-27,4.7,100.0,4.7,4.7,0,,,
JETCON,2016-09-28,4.7,30993.0,4.7,4.7,0,,,
JETCON,2016-09-29,4.7,2200.0,4.7,4.7,0,,,
JETCON,2016-09-30,4.59,30651.0,4.7,4.51,0,,,
JETCON,2016-10-05,4.6,108111.0,4.7,4.59,2,,,
JETCON,2016-10-11,4.16,57022.0,4.51,4.0,3,,,
JETCON,2016-10-12,3.8,6200.0,3.8,3.8,0,,,
JETCON,2016-10-13,4.0,87175.0,4.0,4.0,0,,,
JETCON,2016-10-14,4.0,48500.0,4.0,4.0,0,,,
JETCON,2016-10-18,4.0,19610.0,4.0,4.0,1,,,
JETCON,2016-10-19,4.16,15011.0,4.2,4.16,0,,,
JETCON,2016-10-24,4.23,54796.0,4.28,4.2,2,,,
JETCON,2016-10-25,4.2,82581.0,4.2,4.2,0,,,
JETCON,2016-10-26,4.15,10000.0,4.15,4.15,0,,,
JETCON,2016-10-27,4.03,1616.0,4.03,4.03,0,,,
JETCON,2016-10-28,4.08,22324.0,4.11,4.02,0,,,
JETCON,2016-10-31,4.01,5000.0,4.01,4.01,0,,,
JETCON,2016-11-01,4.51,19769.0,4.59,4.5,0,,,
JETCON,2016-11-07,4.51,152100.0,5.0,4.51,3,,,
JETCON,2016-11-08,4.72,117486.0,4.75,4.51,0,,,
JETCON,2016-11-09,4.75,15900.0,4.75,4.75,0,,,
JETCON,2016-11-10,5.0,38928.0,5.0,5.0,0,,,
JETCON,2016-11-11,5.0,48759.0,5.01,4.99,0,,,
JETCON,2016-11-14,5.0,1300.0,5.0,5.0,0,,,
JETCON,2016-11-15,5.0,227000.0,5.02,5.0,0,,,
JETCON,2016-11-16,5.02,20100.0,5.1,5.02,0,,,
JETCON,2016-11-17,5.2,17138.0,5.2,5.2,0,,,
JETCON,2016-11-18,4.97,46554.0,5.2,4.5,0,,,
JETCON,2016-11-22,4.91,10400.0,5.2,4.9,1,,,
JETCON,2016-11-23,5.0,383452.0,5.05,5.0,0,,,
JETCON,2016-11-24,5.0,17188.0,5.0,5.0,0,,,
JETCON,2016-11-25,5.0,1900.0,5.0,5.0,0,,,
JETCON,2016-11-28,5.02,149100.0,5.05,5.0,0,,,
JETCON,2016-11-29,5.16,72000.0,5.25,5.02,0,,,
JETCON,2016-11-30,5.25,138521.0,5.25,5.25,0,0.0772,0.0,1.0
JETCON,2016-12-02,5.59,7300.0,5.75,5.5,1,,,
JETCON,2016-12-05,5.65,10000.0,5.65,5.65,0,,,
JETCON,2016-12-06,5.92,50120.0,6.0,5.65,0,,,
JETCON,2016-12-08,5.97,48526.0,6.01,5.95,1,,,
JETCON,2016-12-09,5.9,10991.0,5.95,5.9,0,,,
JETCON,2016-12-13,5.89,11896.0,5.89,5.89,1,0.4588,0.0,1.0
JETCON,2016-12-14,5.89,200.0,5.89,5.89,0,,,
JETCON,2016-12-15,5.88,2290.0,5.88,5.88,0,,,
JETCON,2016-12-16,5.89,60000.0,5.89,5.88,0,,,
JETCON,2016-12-19,5.89,26416.0,5.89,5.89,0,,,
JETCON,2016-12-20,5.89,80200.0,5.89,5.89,0,,,
JETCON,2016-12-23,5.88,2450.0,5.88,5.88,2,,,
JETCON,2016-12-28,5.89,1094291.0,5.9,5.88,2,0.4588,0.0,0.0
JETCON,2016-12-29,5.95,85022.0,6.0,5.88,0,,,
JETCON,2016-12-30,6.0,42800.0,6.0,6.0,0,,,
JETCON,2017-01-04,6.0,22222.0,6.05,6.0,2,0.4588,0.0,1.0
JETCON,2017-01-05,6.01,112099.0,6.05,6.0,0,,,
JETCON,2017-01-06,6.06,141959.0,6.07,6.06,0,,,
JETCON,2017-01-09,6.43,26649.0,6.5,6.15,0,,,
JETCON,2017-01-10,6.77,15647.0,7.0,6.5,0,,,
JETCON,2017-01-11,6.73,12450.0,6.8,6.52,0,,,
JETCON,2017-01-13,7.0,2000.0,7.0,7.0,1,0.0772,0.0,0.0
JETCON,2017-01-16,8.15,298610.0,9.05,7.5,0,,,
JETCON,2017-01-17,9.74,329001.0,10.16,9.5,0,,,
JETCON,2017-01-18,9.54,298383.0,10.0,9.5,0,,,
JETCON,2017-01-19,9.72,185562.0,10.0,9.54,0,,,
JETCON,2017-01-20,10.2,48465.0,10.5,10.0,0,0.0,1.0,0.0
JETCON,2017-01-23,10.14,40750.0,10.3,9.0,0,,,
JETCON,2017-01-24,10.42,49554.0,11.0,10.0,0,,,
JETCON,2017-01-25,10.3,26500.0,10.3,10.3,0,,,
JETCON,2017-01-26,9.7,128963.0,10.42,9.54,0,,,
JETCON,2017-01-27,10.1,650.0,10.1,10.1,0,,,
JETCON,2017-01-30,10.42,21554.0,10.42,10.42,0,,,
JETCON,2017-01-31,9.87,141658.0,10.42,9.54,0,,,
JETCON,2017-02-01,10.1,53787.0,10.1,9.8,0,,,
JETCON,2017-02-02,10.18,58879.0,10.42,10.0,0,,,
JETCON,2017-02-03,10.46,475275.0,10.5,9.5,0,,,
JETCON,2017-02-06,10.5,89544.0,10.5,10.5,0,,,
JETCON,2017-02-07,10.5,212260.0,10.5,10.42,0,,,
JETCON,2017-02-08,10.49,167126.0,10.5,10.0,0,,,
JETCON,2017-02-09,10.5,32829.0,10.5,10.48,0,,,
JETCON,2017-02-10,9.6,526441.0,10.5,9.54,0,-0.2263,0.0,0.0
JETCON,2017-02-13,10.5,581999.0,10.8,9.65,0,,,
JETCON,2017-02-14,10.34,77825.0,10.5,10.0,0,,,
JETCON,2017-02-15,10.73,8195.0,10.9,10.55,0,,,
JETCON,2017-02-16,10.72,460473.0,11.0,10.7,0,,,
JETCON,2017-02-17,10.76,244231.0,11.0,10.0,0,,,
JETCON,2017-02-20,10.99,390520.0,11.0,10.9,0,,,
JETCON,2017-02-21,10.89,66550.0,11.0,10.8,0,,,
JETCON,2017-02-22,10.91,287475.0,11.0,10.78,0,,,
JETCON,2017-02-23,11.21,114946.0,11.5,10.91,0,,,
JETCON,2017-02-24,11.47,38522.0,11.5,11.21,0,,,
JETCON,2017-02-27,11.74,69981.0,12.0,11.21,0,,,
JETCON,2017-02-28,12.23,60885.0,13.0,11.7,0,0.2023,1.0,0.0
JETCON,2017-03-02,13.81,21065.0,15.0,12.51,1,,,
JETCON,2017-03-03,14.5,67324.0,14.56,14.0,0,,,
JETCON,2017-03-06,13.98,172732.0,14.0,13.8,0,,,
JETCON,2017-03-07,13.67,44310.0,13.8,13.49,0,,,
JETCON,2017-03-08,12.53,70505.0,13.0,12.0,0,,,
JETCON,2017-03-09,12.41,145125.0,13.75,12.0,0,,,
JETCON,2017-03-10,11.63,22946.0,12.53,9.65,0,,,
JETCON,2017-03-13,11.1,3839.0,11.63,11.0,0,,,
JETCON,2017-03-14,12.71,100000.0,12.71,12.7,0,,,
JETCON,2017-03-15,11.54,218973.0,12.7,11.5,0,,,
JETCON,2017-03-16,12.0,24915.0,12.0,12.0,0,,,
JETCON,2017-03-17,12.19,52496.0,12.5,12.0,0,,,
JETCON,2017-03-20,11.0,4604.0,11.0,10.1,0,,,
JETCON,2017-03-21,11.0,1700.0,11.0,11.0,0,0.4588,0.0,1.0
JETCON,2017-03-22,11.04,125851.0,12.0,11.0,0,,,
JETCON,2017-03-23,12.0,18629.0,12.0,12.0,0,,,
JETCON,2017-03-24,11.55,12000.0,12.0,11.0,0,,,
JETCON,2017-03-27,12.47,19797.0,12.71,12.0,0,,,
JETCON,2017-03-28,12.0,62090.0,12.01,11.85,0,,,
JETCON,2017-03-29,12.0,27870.0,12.0,12.0,0,,,
JETCON,2017-03-30,10.66,21970.0,11.55,10.5,0,,,
JETCON,2017-03-31,11.95,2100.0,12.0,11.0,0,,,
JETCON,2017-04-03,12.0,15000.0,12.0,12.0,0,,,
JETCON,2017-04-04,12.67,1408900.0,12.98,12.1,0,,,
JETCON,2017-04-05,11.92,10977.0,12.0,11.9,0,,,
JETCON,2017-04-06,11.89,10660.0,11.9,11.89,0,,,
JETCON,2017-04-07,11.87,4332.0,11.9,11.8,0,,,
JETCON,2017-04-10,11.5,1000.0,11.5,11.5,0,,,
JETCON,2017-04-11,11.85,35262.0,11.9,11.7,0,,,
JETCON,2017-04-12,11.63,13403.0,11.7,11.5,0,,,
JETCON,2017-04-13,11.8,4237.0,11.8,11.8,0,,,
JETCON,2017-04-18,11.86,10710.0,11.9,11.7,2,,,
JETCON,2017-04-19,11.93,87622.0,12.3,11.9,0,,,
JETCON,2017-04-20,12.02,210457.0,12.3,11.91,0,,,
JETCON,2017-04-21,12.73,34483.0,12.84,12.3,0,,,
JETCON,2017-04-24,12.84,19185.0,12.84,12.84,0,,,
JETCON,2017-04-25,12.82,24015.0,12.95,12.8,0,,,
JETCON,2017-04-26,12.95,8344.0,12.95,12.95,0,,,
JETCON,2017-04-27,13.0,1027.0,13.0,13.0,0,,,
JETCON,2017-04-28,12.76,18700.0,13.0,12.7,0,,,
JETCON,2017-05-01,12.9,347000.0,12.9,12.9,0,0.0,0.0,0.0
JETCON,2017-05-02,13.0,20675.0,13.0,13.0,0,-0.4215,0.0,0.0
JETCON,2017-05-03,13.01,326608.0,13.25,13.0,0,,,
JETCON,2017-05-04,13.25,4700.0,13.25,13.25,0,,,
JETCON,2017-05-08,15.0,3849.0,15.0,15.0,1,,,
JETCON,2017-05-09,13.72,137146.0,15.0,13.28,0,,,
JETCON,2017-05-10,13.69,10325.0,14.5,13.25,0,0.2023,1.0,0.0
JETCON,2017-05-11,14.52,97862.0,15.5,14.0,0,,,
JETCON,2017-05-12,15.12,28217.0,15.74,15.1,0,,,
JETCON,2017-05-15,15.38,205492.0,16.0,15.0,0,,,
JETCON,2017-05-16,14.99,79088.0,15.2,14.9,0,,,
JETCON,2017-05-17,15.12,66619.0,15.2,15.0,0,,,
JETCON,2017-05-18,14.67,176803.0,15.0,13.1,0,,,
JETCON,2017-05-19,14.85,15810.0,15.0,14.71,0,,,
JETCON,2017-05-22,15.0,20367.0,15.0,14.95,0,,,
JETCON,2017-05-24,15.0,14114.0,15.0,14.95,1,,,
JETCON,2017-05-25,14.99,8337.0,15.0,14.9,0,,,
JETCON,2017-05-26,14.97,29293.0,15.0,14.9,0,,,
JETCON,2017-05-29,14.69,30149.0,14.9,14.0,0,,,
