Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
JP,2016-01-04,32.0,1000.0,32.0,32.0,0,,,
JP,2016-01-05,31.5,2141.0,32.0,31.0,0,,,
JP,2016-01-06,31.99,5000.0,31.99,31.99,0,,,
JP,2016-01-07,32.0,25200.0,32.0,31.0,0,,,
JP,2016-01-08,31.56,121252.0,32.0,31.0,0,,,
JP,2016-01-12,31.56,1100.0,31.56,31.56,1,,,
JP,2016-01-13,31.59,8257.0,31.6,31.56,0,,,
JP,2016-01-14,32.2,5000.0,32.2,32.2,0,,,
JP,2016-01-15,32.3,3570.0,32.3,32.3,0,,,
JP,2016-01-18,32.11,9294.0,33.0,32.0,0,,,
JP,2016-01-19,33.11,27828.0,33.13,33.08,0,,,
JP,2016-01-20,33.18,24840.0,33.18,33.13,0,,,
JP,2016-01-21,31.5,37716.0,33.28,31.0,0,,,
JP,2016-01-22,29.42,8270.0,31.0,28.01,0,,,
JP,2016-01-25,30.71,1664.0,31.0,30.0,0,,,
JP,2016-01-26,29.01,15812.0,29.01,29.0,0,,,
JP,2016-01-27,29.1,586.0,29.1,29.1,0,,,
JP,2016-01-28,29.12,405.0,29.12,29.12,0,,,
JP,2016-01-29,29.99,100420.0,30.01,29.15,0,,,
JP,2016-02-02,29.96,5250.0,30.0,29.11,1,,,
JP,2016-02-03,30.0,21500.0,30.0,30.0,0,,,
JP,2016-02-04,30.0,122760.0,30.0,30.0,0,,,
JP,2016-02-05,29.15,1621.0,29.15,29.15,0,,,
JP,2016-02-08,29.94,10800.0,30.0,29.15,0,,,
JP,2016-02-09,29.68,30882.0,30.0,29.5,0,,,
JP,2016-02-12,30.0,10000.0,30.0,30.0,2,,,
JP,2016-02-15,29.52,30970.0,30.0,29.5,0,,,
JP,2016-02-16,29.4,5625.0,31.0,29.2,0,,,
JP,2016-02-17,29.75,10311.0,30.0,29.5,0,,,
JP,2016-02-18,29.5,187.0,29.5,29.5,0,,,
JP,2016-02-19,31.0,100.0,31.0,31.0,0,,,
JP,2016-02-22,31.0,13982.0,31.0,31.0,0,,,
JP,2016-02-24,30.18,4007.0,31.5,30.0,1,,,
JP,2016-02-29,30.03,11943.0,31.0,30.0,2,,,
JP,2016-03-01,30.0,6084.0,30.0,30.0,0,0.3818,0.0,0.0
JP,2016-03-02,29.56,1323480.0,35.05,28.95,0,0.3612,0.0,0.0
JP,2016-03-03,35.28,67930.0,35.5,32.0,0,0.0,1.0,0.0
JP,2016-03-08,34.98,47500.0,35.0,34.85,2,,,
JP,2016-03-09,32.58,1200.0,33.0,31.0,0,,,
JP,2016-03-10,30.29,489450.0,31.5,30.28,0,,,
JP,2016-03-14,30.77,29000.0,34.5,30.3,1,,,
JP,2016-03-16,30.3,13125.0,30.3,30.3,1,,,
JP,2016-03-17,30.28,542984.0,30.3,30.28,0,,,
JP,2016-03-18,31.0,2261978.0,31.0,31.0,0,,,
JP,2016-03-21,31.0,1264675.0,33.0,31.0,0,,,
JP,2016-03-22,30.16,2000.0,31.0,30.0,0,0.6808,0.0,1.0
JP,2016-03-31,31.1,1000.0,31.1,31.1,6,,,
JP,2016-04-04,31.07,16037.0,31.15,31.0,1,,,
JP,2016-04-05,31.0,400.0,31.0,31.0,0,,,
JP,2016-04-06,31.0,5000.0,31.0,31.0,0,,,
JP,2016-04-08,31.5,256.0,31.5,31.5,1,,,
JP,2016-04-14,32.0,1500000.0,32.0,32.0,3,,,
JP,2016-04-15,32.0,2139600.0,33.0,31.55,0,,,
JP,2016-04-19,32.0,1709600.0,32.5,31.9,1,0.6808,0.0,1.0
JP,2016-04-20,32.0,105600.0,32.3,32.0,0,0.6808,0.0,1.0
JP,2016-04-22,34.72,1000.0,34.93,34.5,1,,,
JP,2016-04-27,33.5,1000.0,33.5,33.5,2,,,
JP,2016-05-02,33.35,100.0,33.35,33.35,2,0.2023,1.0,0.0
JP,2016-05-03,33.4,3750.0,33.51,33.25,0,,,
JP,2016-05-05,34.5,250.0,34.5,34.5,1,,,
JP,2016-05-06,33.5,10000.0,33.5,33.5,0,-0.0258,0.0,0.0
JP,2016-05-12,32.9,142.0,32.9,32.9,3,0.0,0.0,0.0
JP,2016-05-13,32.9,161.0,32.9,32.9,0,,,
JP,2016-05-16,32.01,58803.0,32.9,32.0,0,0.7506,0.0,0.0
JP,2016-05-17,34.91,281335.0,36.05,33.5,0,0.5859,1.0,0.0
JP,2016-05-18,34.65,43641.0,35.0,32.9,0,,,
JP,2016-05-19,34.99,2000.0,35.0,34.99,0,,,
JP,2016-05-20,35.0,10000.0,35.0,35.0,0,,,
JP,2016-05-24,34.99,98860.0,34.99,34.65,1,0.3624,0.0,0.0
JP,2016-05-25,35.07,76138.0,40.0,34.99,0,,,
JP,2016-05-26,40.0,97862.0,40.0,39.99,0,,,
JP,2016-05-27,40.0,2500.0,40.0,40.0,0,,,
JP,2016-05-30,40.0,2460.0,40.0,40.0,0,,,
JP,2016-05-31,40.05,1425.0,40.1,40.0,0,,,
JP,2016-06-01,41.5,1074.0,41.5,41.5,0,,,
JP,2016-06-02,42.01,37951.0,42.02,42.0,0,,,
JP,2016-06-03,44.02,2505.0,44.05,44.0,0,,,
JP,2016-06-06,44.0,51610.0,44.0,44.0,0,,,
JP,2016-06-07,44.02,223976.0,45.0,44.0,0,,,
JP,2016-06-08,44.01,54000.0,44.02,44.0,0,,,
JP,2016-06-09,44.45,438100.0,44.5,44.1,0,,,
JP,2016-06-10,44.98,50500.0,45.0,44.5,0,,,
JP,2016-06-13,45.99,48596.0,46.0,45.4,0,,,
JP,2016-06-14,46.29,859586.0,48.0,45.7,0,,,
JP,2016-06-15,46.43,3569.0,48.0,46.0,0,,,
JP,2016-06-16,47.51,5805.0,48.0,46.7,0,,,
JP,2016-06-17,47.97,61482.0,48.0,47.5,0,,,
JP,2016-06-20,48.07,10266.0,48.51,48.0,0,,,
JP,2016-06-21,48.45,17238.0,49.0,48.01,0,,,
JP,2016-06-22,49.0,25435.0,49.0,49.0,0,,,
JP,2016-06-23,48.9,4023182.0,49.0,48.9,0,,,
JP,2016-06-24,49.0,470.0,49.0,49.0,0,0.9325,0.0,0.0
JP,2016-06-27,48.57,13353.0,49.0,48.01,0,,,
JP,2016-06-29,49.0,300.0,49.0,49.0,1,0.4019,0.0,0.0
JP,2016-06-30,47.99,63690.0,48.0,45.5,0,,,
JP,2016-07-01,48.0,10000.0,48.0,48.0,0,,,
JP,2016-07-04,48.37,3630.0,49.0,48.1,0,,,
JP,2016-07-05,49.0,6950.0,49.0,49.0,0,,,
JP,2016-07-06,49.0,4431.0,49.0,49.0,0,,,
JP,2016-07-08,7.95,11600.0,8.17,7.91,1,,,
JP,2016-07-11,8.03,5721.0,8.2,7.95,0,,,
JP,2016-07-12,8.11,19348.0,8.6,8.0,0,,,
JP,2016-07-13,7.6,88340.0,8.0,7.5,0,,,
JP,2016-07-14,7.54,381670.0,8.4,7.5,0,,,
JP,2016-07-18,8.2,3543.0,8.4,8.0,1,,,
JP,2016-07-19,8.4,13800.0,8.4,8.4,0,,,
JP,2016-07-20,8.28,24894.0,8.45,8.0,0,,,
JP,2016-07-21,8.2,6922.0,8.2,8.2,0,,,
JP,2016-07-22,8.25,68361.0,8.3,8.2,0,,,
JP,2016-07-25,8.15,40100.0,8.3,8.15,0,,,
JP,2016-07-26,8.16,60419.0,8.3,8.15,0,,,
JP,2016-07-27,8.06,13480.0,8.1,8.05,0,,,
JP,2016-07-28,8.2,7850.0,8.2,8.2,0,,,
JP,2016-07-29,8.03,36857.0,8.15,8.0,0,,,
JP,2016-08-02,8.25,1590.0,8.25,8.25,1,,,
JP,2016-08-03,8.18,65292.0,8.29,8.05,0,,,
JP,2016-08-04,8.2,12400.0,8.29,8.2,0,,,
JP,2016-08-05,8.17,14200.0,8.2,8.15,0,,,
JP,2016-08-09,7.72,158131.0,8.2,7.6,1,,,
JP,2016-08-11,8.19,29843.0,8.2,8.17,1,,,
JP,2016-08-12,8.2,34372.0,8.2,8.2,0,,,
JP,2016-08-15,7.82,87115.0,8.27,7.6,0,,,
JP,2016-08-16,8.0,6971.0,8.0,8.0,0,0.6808,1.0,0.0
JP,2016-08-17,8.2,496696.0,8.3,8.0,0,,,
JP,2016-08-18,8.2,885713.0,8.25,8.2,0,,,
JP,2016-08-19,8.32,8387030.0,8.5,8.31,0,0.0258,0.0,0.0
JP,2016-08-22,8.36,23144.0,8.47,8.32,0,,,
JP,2016-08-23,8.4,29234.0,8.5,8.4,0,,,
JP,2016-08-24,8.5,100.0,8.5,8.5,0,,,
JP,2016-08-26,8.44,25000.0,8.51,8.35,1,,,
JP,2016-08-29,8.44,21200.0,8.5,8.41,0,,,
JP,2016-08-30,8.62,195440.0,8.8,8.6,0,,,
JP,2016-08-31,8.51,115980.0,8.51,8.5,0,,,
JP,2016-09-01,8.36,574462.0,8.6,8.35,0,,,
JP,2016-09-02,8.42,2500.0,8.49,8.4,0,,,
JP,2016-09-05,8.41,19850.0,8.45,8.4,0,,,
JP,2016-09-06,8.42,9360.0,8.5,8.31,0,,,
JP,2016-09-07,8.48,300150.0,8.5,8.41,0,,,
JP,2016-09-08,8.5,450.0,8.5,8.5,0,,,
JP,2016-09-09,8.45,229519.0,8.5,8.45,0,,,
JP,2016-09-12,8.42,20124.0,8.45,8.41,0,,,
JP,2016-09-13,8.5,16259.0,8.5,8.42,0,,,
JP,2016-09-14,8.5,34510.0,8.5,8.5,0,,,
JP,2016-09-15,8.46,3615.0,8.5,8.4,0,0.8555,0.0,0.0
JP,2016-09-16,8.4,509740.0,8.5,8.4,0,,,
JP,2016-09-19,8.32,108851.0,8.5,8.2,0,,,
JP,2016-09-20,8.27,175143.0,8.5,8.05,0,,,
JP,2016-09-21,8.41,22250.0,8.5,8.3,0,,,
JP,2016-09-22,8.36,46452.0,8.4,8.36,0,,,
JP,2016-09-23,8.38,90434.0,8.49,8.3,0,,,
JP,2016-09-26,8.4,1600.0,8.4,8.4,0,,,
JP,2016-09-28,8.4,41793.0,8.4,8.4,1,,,
JP,2016-09-29,8.4,1349.0,8.4,8.4,0,,,
JP,2016-09-30,8.4,340.0,8.4,8.4,0,,,
JP,2016-10-04,8.37,9200.0,8.4,8.1,1,,,
JP,2016-10-05,8.4,40220.0,8.4,8.35,0,,,
JP,2016-10-06,8.4,991.0,8.4,8.4,0,,,
JP,2016-10-07,8.4,4240.0,8.4,8.4,0,,,
JP,2016-10-10,8.35,38606.0,8.4,8.35,0,,,
JP,2016-10-11,8.3,9464.0,8.3,8.25,0,,,
JP,2016-10-12,8.25,1730.0,8.25,8.25,0,,,
JP,2016-10-13,8.09,97749.0,8.2,8.0,0,,,
JP,2016-10-18,8.4,733.0,8.4,8.4,2,,,
JP,2016-10-19,8.07,78660.0,8.15,8.0,0,,,
JP,2016-10-21,8.3,5000.0,8.3,8.3,1,,,
JP,2016-10-24,8.29,435508.0,8.3,8.29,0,,,
JP,2016-10-25,8.29,4530.0,8.29,8.29,0,,,
JP,2016-10-26,8.25,890.0,8.25,8.25,0,,,
JP,2016-10-27,7.63,252483.0,8.15,7.5,0,,,
JP,2016-10-28,8.19,1334480.0,8.3,8.0,0,,,
JP,2016-10-31,8.19,154746.0,8.2,8.19,0,,,
JP,2016-11-02,8.2,33536.0,8.2,8.2,1,,,
JP,2016-11-03,8.27,71668.0,8.3,8.2,0,,,
JP,2016-11-04,8.3,291.0,8.3,8.3,0,,,
JP,2016-11-07,8.28,111887.0,8.3,8.24,0,,,
JP,2016-11-08,8.16,7329.0,8.2,8.15,0,,,
JP,2016-11-09,8.2,30000.0,8.24,8.16,0,,,
JP,2016-11-10,8.02,994195.0,8.24,8.0,0,,,
JP,2016-11-11,8.0,566435.0,8.27,8.0,0,,,
JP,2016-11-14,8.2,1000.0,8.2,8.2,0,,,
JP,2016-11-15,8.2,522.0,8.2,8.2,0,,,
JP,2016-11-16,8.17,124267.0,8.25,8.0,0,,,
JP,2016-11-17,8.19,129016.0,8.3,8.18,0,,,
JP,2016-11-21,8.31,104473.0,8.35,8.3,1,,,
JP,2016-11-22,8.2,264007.0,8.25,8.15,0,,,
JP,2016-11-23,8.3,2867200.0,8.5,8.21,0,,,
JP,2016-11-24,8.42,169631.0,8.62,8.3,0,,,
JP,2016-11-25,8.29,574795.0,8.42,8.21,0,,,
JP,2016-11-28,8.3,400.0,8.3,8.3,0,,,
JP,2016-11-29,8.3,8363.0,8.3,8.3,0,,,
JP,2016-11-30,8.3,218801.0,8.3,8.25,0,,,
JP,2016-12-01,8.3,85955.0,8.3,8.3,0,,,
JP,2016-12-05,8.31,31128.0,8.42,8.3,1,,,
JP,2016-12-06,8.72,126466.0,9.25,8.5,0,,,
JP,2016-12-07,8.72,205372.0,9.0,8.72,0,,,
JP,2016-12-08,8.74,233019.0,9.25,8.55,0,,,
JP,2016-12-12,9.25,3300.0,9.25,9.25,1,-0.0258,0.0,0.0
JP,2016-12-13,9.25,31595.0,9.25,9.2,0,,,
JP,2016-12-14,9.11,95464.0,9.24,9.0,0,,,
JP,2016-12-15,9.24,26986.0,9.25,9.0,0,,,
JP,2016-12-16,9.24,550.0,9.24,9.24,0,0.5267,0.0,0.0
JP,2016-12-20,9.1,46358.0,9.21,9.0,1,,,
JP,2016-12-21,8.64,949034.0,9.2,8.5,0,,,
JP,2016-12-22,9.05,137243.0,9.1,9.0,0,,,
JP,2016-12-23,8.93,1070390.0,9.4,8.5,0,,,
JP,2016-12-28,9.05,968280.0,9.2,8.85,2,,,
JP,2016-12-29,9.08,412176.0,9.25,9.05,0,,,
JP,2016-12-30,9.23,769449.0,9.35,9.15,0,,,
JP,2017-01-03,9.4,200.0,9.4,9.4,1,,,
JP,2017-01-04,9.43,27639.0,9.5,9.4,0,,,
JP,2017-01-05,9.4,4490.0,9.4,9.4,0,,,
JP,2017-01-06,9.85,3700.0,9.85,9.85,0,,,
JP,2017-01-09,9.64,63005.0,9.85,9.4,0,,,
JP,2017-01-11,9.57,5976.0,9.65,9.41,1,,,
JP,2017-01-12,9.46,113500.0,9.69,9.4,0,,,
JP,2017-01-13,9.49,66566.0,9.5,9.4,0,,,
JP,2017-01-16,9.51,88336.0,9.55,9.5,0,,,
JP,2017-01-17,9.5,30807.0,9.51,9.49,0,,,
JP,2017-01-18,9.63,62060.0,10.0,9.55,0,,,
JP,2017-01-19,9.84,585738.0,10.2,9.6,0,,,
JP,2017-01-20,9.69,1763796.0,9.84,9.5,0,,,
JP,2017-01-23,11.0,22200.0,11.0,11.0,0,,,
JP,2017-01-24,10.54,54929.0,11.5,10.0,0,,,
JP,2017-01-25,11.73,121025.0,11.8,11.5,0,,,
JP,2017-01-26,11.54,250000.0,11.65,11.5,0,,,
JP,2017-01-27,11.5,27986.0,12.5,11.11,0,,,
JP,2017-01-30,13.02,7647.0,13.06,13.0,0,,,
JP,2017-01-31,13.39,309026.0,15.0,13.1,0,,,
JP,2017-02-01,14.99,51690.0,15.0,14.0,0,,,
JP,2017-02-02,16.2,2082451.0,17.0,16.0,0,,,
JP,2017-02-03,17.59,28163.0,18.0,17.08,0,,,
JP,2017-02-06,18.27,99258.0,19.0,17.5,0,,,
JP,2017-02-07,19.16,107150.0,20.0,18.5,0,,,
JP,2017-02-08,19.39,83700.0,19.5,18.5,0,,,
JP,2017-02-09,19.31,37466.0,21.0,18.55,0,,,
JP,2017-02-10,19.73,168659.0,22.0,19.5,0,,,
JP,2017-02-13,19.79,59292.0,22.0,19.5,0,,,
JP,2017-02-14,20.78,168975.0,21.0,20.75,0,,,
JP,2017-02-15,19.25,90696.0,21.3,17.9,0,,,
JP,2017-02-16,18.0,97629.0,18.0,17.45,0,,,
JP,2017-02-17,15.28,306833.0,17.24,15.0,0,,,
JP,2017-02-20,17.99,16235.0,18.0,17.9,0,,,
JP,2017-02-21,17.98,13688.0,18.0,17.9,0,,,
JP,2017-02-22,17.88,26987.0,17.9,15.1,0,,,
JP,2017-02-23,16.8,20537.0,17.0,16.79,0,,,
JP,2017-02-24,15.29,331059.0,16.8,15.0,0,,,
JP,2017-02-27,16.92,37211.0,17.5,16.5,0,,,
JP,2017-02-28,16.17,167783.0,17.0,15.0,0,,,
JP,2017-03-02,16.3,86911.0,17.5,15.99,1,,,
JP,2017-03-03,16.33,192548.0,17.0,16.0,0,0.0,1.0,0.0
JP,2017-03-06,17.0,14340.0,17.0,17.0,0,,,
JP,2017-03-07,17.0,78317.0,17.0,17.0,0,,,
JP,2017-03-08,17.19,285549.0,17.5,17.0,0,,,
JP,2017-03-09,17.0,130718.0,17.1,16.9,0,,,
JP,2017-03-10,15.66,309509.0,17.19,15.0,0,,,
JP,2017-03-13,16.83,52904.0,17.0,15.85,0,,,
JP,2017-03-14,16.33,38980.0,17.18,15.5,0,,,
JP,2017-03-15,15.94,221428.0,17.28,15.0,0,,,
JP,2017-03-16,17.18,11895.0,17.2,17.18,0,,,
JP,2017-03-17,16.94,5957112.0,17.18,15.01,0,,,
JP,2017-03-20,15.54,120000.0,16.0,15.2,0,,,
JP,2017-03-21,15.71,208135.0,17.0,15.2,0,,,
JP,2017-03-22,16.0,13873.0,16.0,16.0,0,,,
JP,2017-03-23,16.0,76500.0,16.0,16.0,0,,,
JP,2017-03-24,15.99,12638.0,16.0,15.5,0,,,
JP,2017-03-27,16.0,5209.0,16.0,16.0,0,,,
JP,2017-03-28,15.35,143221.0,16.0,15.0,0,,,
JP,2017-03-30,15.38,18200.0,16.0,15.1,1,,,
JP,2017-03-31,14.43,50950.0,15.0,14.05,0,,,
JP,2017-04-03,15.96,14200.0,16.0,15.8,0,,,
JP,2017-04-04,16.0,2557.0,16.0,16.0,0,,,
JP,2017-04-05,15.55,122336.0,15.99,15.0,0,,,
JP,2017-04-06,14.75,252433.0,15.99,14.7,0,,,
JP,2017-04-07,15.11,24515.0,15.85,14.8,0,,,
JP,2017-04-10,14.77,5900.0,15.01,14.5,0,,,
JP,2017-04-12,15.51,63770.0,15.98,15.01,1,,,
JP,2017-04-13,15.41,5386.0,15.5,15.0,0,,,
JP,2017-04-18,15.25,100177.0,15.5,15.0,2,,,
JP,2017-04-19,15.01,7182.0,15.41,14.6,0,,,
JP,2017-04-20,14.93,133019.0,15.5,14.5,0,,,
JP,2017-04-21,15.32,950.0,15.5,14.93,0,,,
JP,2017-04-24,15.5,2602.0,15.5,15.5,0,,,
JP,2017-04-25,15.3,68731.0,15.5,15.2,0,,,
JP,2017-04-26,15.44,3187.0,15.5,15.3,0,,,
JP,2017-04-27,15.56,87300.0,16.0,15.4,0,,,
JP,2017-04-28,16.68,60114.0,17.65,15.5,0,,,
JP,2017-05-01,17.31,2590.0,17.5,16.68,0,-0.25,0.0,0.0
JP,2017-05-02,16.96,42168.0,20.0,16.0,0,,,
JP,2017-05-03,17.93,23664.0,19.98,17.73,0,,,
JP,2017-05-04,17.93,226098.0,19.99,17.55,0,,,
JP,2017-05-05,17.38,62760.0,18.6,17.0,0,,,
JP,2017-05-08,17.8,223675.0,18.6,17.55,0,,,
JP,2017-05-09,17.41,74714.0,17.8,17.0,0,,,
JP,2017-05-10,17.1,63388.0,17.99,17.0,0,,,
JP,2017-05-11,16.71,43202.0,17.0,16.5,0,,,
JP,2017-05-12,17.49,5974.0,17.5,17.49,0,,,
JP,2017-05-15,16.1,159742.0,17.6,15.5,0,0.5859,1.0,0.0
JP,2017-05-16,16.05,226826.0,17.0,16.0,0,,,
JP,2017-05-17,16.02,68329.0,16.39,15.99,0,,,
JP,2017-05-18,15.32,234241.0,15.99,15.12,0,,,
JP,2017-05-19,15.5,1258.0,15.5,15.5,0,,,
JP,2017-05-22,15.53,57385.0,15.99,15.5,0,0.7783,0.0,1.0
JP,2017-05-24,16.18,38937.0,16.4,15.6,1,,,
JP,2017-05-25,16.0,51274.0,16.0,15.85,0,,,
JP,2017-05-26,16.01,12538.0,16.4,16.0,0,,,
JP,2017-05-29,16.53,22355.0,16.9,16.01,0,,,
JP,2017-05-30,15.9,39000.0,16.55,15.6,0,,,
JP,2017-05-31,16.07,36431.0,16.99,15.61,0,,,
JP,2017-06-01,16.27,16329.0,16.7,16.0,0,,,
JP,2017-06-02,16.17,82100.0,16.5,15.61,0,,,
JP,2017-06-05,16.63,43524.0,16.75,16.0,0,,,
JP,2017-06-06,16.15,76301.0,16.75,16.1,0,,,
JP,2017-06-07,16.03,12947.0,16.1,16.0,0,,,
JP,2017-06-08,16.0,100266.0,16.0,16.0,0,,,
JP,2017-06-09,15.6,84225.0,16.0,15.3,0,,,
JP,2017-06-12,14.59,51088.0,16.0,14.1,0,,,
JP,2017-06-13,14.55,38624.0,14.59,14.4,0,,,
JP,2017-06-14,14.4,1000.0,14.4,14.4,0,,,
JP,2017-06-15,14.44,66154.0,15.0,14.4,0,,,
JP,2017-06-16,15.85,13622.0,16.03,15.5,0,,,
JP,2017-06-19,15.94,2658.0,15.95,15.85,0,,,
JP,2017-06-20,15.85,1658.0,15.85,15.85,0,,,
