Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
KEY,2016-04-01,2.6,40000.0,2.6,2.6,0,,,
KEY,2016-04-04,2.77,23159.0,2.85,2.71,0,,,
KEY,2016-04-05,2.79,79823.0,2.85,2.75,0,,,
KEY,2016-04-06,2.89,176233.0,3.0,2.85,0,,,
KEY,2016-04-07,2.9,19501.0,3.0,2.9,0,,,
KEY,2016-04-08,3.0,6300.0,3.0,3.0,0,,,
KEY,2016-04-11,3.0,8050.0,3.0,3.0,0,,,
KEY,2016-04-12,3.0,1000.0,3.0,3.0,0,,,
KEY,2016-04-15,2.69,91930.0,2.81,2.65,2,,,
KEY,2016-04-18,2.53,80039.0,2.6,2.53,0,,,
KEY,2016-04-19,2.5,10000.0,2.5,2.5,0,,,
KEY,2016-04-21,2.5,7500.0,2.5,2.5,1,,,
KEY,2016-04-22,2.55,30114.0,2.55,2.55,0,,,
KEY,2016-04-25,2.5,7913.0,2.5,2.5,0,,,
KEY,2016-05-02,2.8,5300.0,2.8,2.8,4,,,
KEY,2016-05-03,2.8,25121.0,2.8,2.8,0,,,
KEY,2016-05-12,2.68,4600.0,2.7,2.67,6,-0.2263,1.0,0.0
KEY,2016-05-13,2.5,3000.0,2.5,2.5,0,,,
KEY,2016-05-17,2.5,15129.0,2.5,2.5,1,,,
KEY,2016-05-24,2.69,100.0,2.69,2.69,4,,,
KEY,2016-06-02,2.7,61900.0,2.75,2.69,6,,,
KEY,2016-06-07,2.75,1500.0,2.75,2.75,2,,,
KEY,2016-06-08,2.5,5000.0,2.5,2.5,0,,,
KEY,2016-06-13,2.5,10892.0,2.5,2.5,2,,,
KEY,2016-06-28,2.5,3600.0,2.5,2.5,10,,,
KEY,2016-07-07,2.6,1837.0,2.6,2.6,6,,,
KEY,2016-07-13,2.65,1000.0,2.65,2.65,3,,,
KEY,2016-07-21,2.6,3163.0,2.6,2.6,5,0.5859,0.0,0.0
KEY,2016-07-25,2.5,66862.0,2.5,2.5,1,,,
KEY,2016-07-27,2.5,3539.0,2.5,2.5,1,,,
KEY,2016-07-29,2.5,253785.0,2.5,2.5,1,,,
KEY,2016-08-03,2.52,1883.0,2.6,2.5,2,,,
KEY,2016-08-04,2.6,2000.0,2.6,2.6,0,,,
KEY,2016-08-10,2.5,9713.0,2.5,2.5,3,,,
KEY,2016-08-15,2.5,75413.0,2.5,2.5,2,-0.2263,1.0,0.0
KEY,2016-08-22,2.65,1653.0,2.65,2.65,4,,,
KEY,2016-09-15,2.49,10000.0,2.49,2.49,17,,,
KEY,2016-10-04,2.26,2500.0,2.3,2.2,12,,,
KEY,2016-10-05,2.24,27266.0,2.25,2.23,0,,,
KEY,2016-10-11,2.23,6434.0,2.23,2.23,3,,,
KEY,2016-10-27,2.05,5924.0,2.06,2.0,11,,,
KEY,2016-11-14,2.0,25621.0,2.0,2.0,11,,,
KEY,2016-11-16,2.1,145963.0,2.15,2.05,1,0.0,1.0,0.0
KEY,2016-11-18,2.15,1300.0,2.15,2.15,1,,,
KEY,2016-11-25,2.35,6783.0,2.35,2.35,4,,,
KEY,2016-11-28,2.5,21100.0,2.5,2.5,0,,,
KEY,2016-11-30,2.5,15000.0,2.5,2.5,1,,,
KEY,2016-12-01,2.55,3000.0,2.55,2.55,0,-0.4767,0.0,0.0
KEY,2016-12-02,2.5,63100.0,2.5,2.5,0,,,
KEY,2016-12-05,2.5,28471.0,2.5,2.5,0,,,
KEY,2016-12-06,2.87,1000.0,2.87,2.87,0,,,
KEY,2016-12-07,2.5,350.0,2.5,2.5,0,,,
KEY,2016-12-13,2.5,31512.0,2.5,2.5,3,,,
KEY,2016-12-14,2.94,13157.0,3.0,2.9,0,,,
KEY,2016-12-15,3.0,4193.0,3.0,3.0,0,,,
KEY,2016-12-21,2.6,30346.0,2.6,2.6,3,,,
KEY,2016-12-23,2.6,2980.0,2.6,2.6,1,,,
KEY,2017-01-03,2.8,55524.0,2.8,2.8,6,,,
KEY,2017-01-05,3.05,54033.0,3.2,3.0,1,,,
KEY,2017-01-13,3.1,34688.0,3.1,3.1,5,,,
KEY,2017-01-20,3.0,33300.0,3.0,3.0,4,,,
KEY,2017-02-01,3.35,15000.0,3.35,3.35,7,,,
