Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
KLE,2016-01-04,1.87,17920.0,1.87,1.87,0,,,
KLE,2016-01-05,1.87,123397.0,1.87,1.87,0,,,
KLE,2016-01-06,1.87,49632.0,1.87,1.87,0,,,
KLE,2016-01-07,1.86,15000.0,1.87,1.85,0,,,
KLE,2016-01-11,1.83,97024.0,1.87,1.5,1,,,
KLE,2016-01-12,1.83,14941.0,1.83,1.83,0,,,
KLE,2016-01-13,1.9,71470.0,1.9,1.9,0,,,
KLE,2016-01-14,1.97,146721.0,2.0,1.9,0,,,
KLE,2016-01-18,2.0,23500.0,2.0,2.0,1,,,
KLE,2016-01-19,2.0,127714.0,2.0,2.0,0,,,
KLE,2016-01-20,2.09,52926.0,2.1,2.0,0,,,
KLE,2016-01-21,2.12,34000.0,2.2,2.1,0,,,
KLE,2016-01-22,2.3,14743.0,2.3,2.3,0,,,
KLE,2016-01-25,2.35,95331.0,2.75,2.3,0,,,
KLE,2016-01-26,2.2,47000.0,2.23,2.2,0,,,
KLE,2016-01-28,2.21,11700.0,2.5,2.2,1,,,
KLE,2016-01-29,2.2,21800.0,2.22,2.2,0,,,
KLE,2016-02-01,2.5,4400.0,2.5,2.5,0,,,
KLE,2016-02-02,2.75,89800.0,2.75,2.5,0,,,
KLE,2016-02-03,2.75,6000.0,2.75,2.75,0,,,
KLE,2016-02-05,2.75,18100.0,2.75,2.5,1,,,
KLE,2016-02-08,2.75,4000.0,2.75,2.75,0,,,
KLE,2016-02-09,2.75,28126.0,2.75,2.75,0,,,
KLE,2016-02-11,2.75,13604.0,2.75,2.75,1,,,
KLE,2016-02-12,2.75,23471.0,2.75,2.75,0,,,
KLE,2016-02-15,2.75,12220.0,2.75,2.75,0,,,
KLE,2016-02-16,2.5,10000.0,2.5,2.5,0,,,
KLE,2016-02-18,2.73,134981.0,2.8,2.5,1,,,
KLE,2016-02-19,2.8,60764.0,2.8,2.8,0,,,
KLE,2016-02-22,2.64,8619.0,2.75,2.5,0,,,
KLE,2016-02-25,2.5,47759.0,2.5,2.5,2,,,
KLE,2016-02-29,2.2,1270.0,2.2,2.2,1,,,
KLE,2016-03-01,2.08,32420.0,2.2,1.9,0,-0.2263,1.0,0.0
KLE,2016-03-04,2.1,4591.0,2.1,2.1,2,,,
KLE,2016-03-24,2.2,4000.0,2.2,2.2,13,,,
KLE,2016-03-31,2.1,1000.0,2.1,2.1,4,,,
KLE,2016-04-01,1.65,201343.0,1.67,1.65,0,,,
KLE,2016-04-04,1.66,100000.0,1.66,1.65,0,,,
KLE,2016-04-05,1.7,6795.0,1.71,1.7,0,,,
KLE,2016-04-06,1.68,9000.0,1.7,1.66,0,,,
KLE,2016-04-11,1.69,1485.0,1.69,1.69,2,,,
KLE,2016-04-12,1.65,4231.0,1.7,1.65,0,,,
KLE,2016-04-13,1.65,270000.0,1.65,1.65,0,,,
KLE,2016-04-14,1.5,16018.0,1.7,1.43,0,,,
KLE,2016-04-18,1.43,21400.0,1.43,1.43,1,,,
KLE,2016-04-21,1.4,155115.0,1.4,1.4,2,,,
KLE,2016-04-26,1.4,331000.0,1.45,1.4,2,,,
KLE,2016-04-27,1.45,1000000.0,1.45,1.45,0,,,
KLE,2016-05-05,1.6,518582.0,1.6,1.6,5,-0.11315,1.0,0.0
