Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
KPREIT,2016-01-05,7.07,150.0,7.07,7.07,0,,,
KPREIT,2016-01-07,7.07,43707.0,7.07,7.07,1,,,
KPREIT,2016-01-11,7.08,100.0,7.08,7.08,1,,,
KPREIT,2016-01-12,7.07,59543.0,7.08,7.05,0,,,
KPREIT,2016-01-13,7.04,2000.0,7.04,7.04,0,,,
KPREIT,2016-01-14,7.04,404.0,7.04,7.04,0,,,
KPREIT,2016-01-18,6.8,20000.0,6.8,6.8,1,,,
KPREIT,2016-01-21,7.04,200.0,7.04,7.04,2,,,
KPREIT,2016-01-26,6.8,79853.0,6.8,6.8,2,-0.2263,0.0,0.0
KPREIT,2016-02-22,6.8,13340.0,6.8,6.8,18,0.0772,0.0,0.0
KPREIT,2016-03-18,6.9,1500.0,6.9,6.9,18,,,
KPREIT,2016-03-29,6.9,652.0,6.9,6.9,6,,,
KPREIT,2016-04-08,6.9,600.0,6.9,6.9,7,,,
KPREIT,2016-04-12,6.5,3000.0,6.5,6.5,1,,,
KPREIT,2016-04-13,6.5,2435.0,6.5,6.5,0,,,
KPREIT,2016-04-14,6.5,1000.0,6.5,6.5,0,,,
KPREIT,2016-04-15,6.5,3565.0,6.5,6.5,0,,,
KPREIT,2016-04-27,6.5,9287.0,6.5,6.5,7,0.0,1.0,0.0
KPREIT,2016-04-28,6.5,350.0,6.5,6.5,0,0.0772,0.0,0.0
KPREIT,2016-04-29,6.5,3178.0,6.5,6.5,0,0.4404,0.0,0.0
KPREIT,2016-05-02,6.5,6201.0,6.5,6.5,0,,,
KPREIT,2016-05-03,6.5,12084.0,6.5,6.5,0,,,
KPREIT,2016-05-24,9.8,3000.0,9.8,9.8,14,0.5859,0.0,0.0
KPREIT,2016-05-27,9.98,9795.0,10.0,9.8,2,,,
KPREIT,2016-05-31,10.0,900.0,10.0,10.0,1,,,
KPREIT,2016-06-03,10.0,447.0,10.0,10.0,2,,,
KPREIT,2016-06-09,10.0,200.0,10.0,10.0,3,,,
KPREIT,2016-06-28,10.0,200.0,10.0,10.0,12,,,
KPREIT,2016-07-06,10.0,2350.0,10.0,10.0,5,,,
KPREIT,2016-07-07,10.0,650.0,10.0,10.0,0,,,
KPREIT,2016-07-11,9.17,1000.0,9.75,9.0,1,,,
KPREIT,2016-07-29,9.0,147.0,9.0,9.0,13,,,
KPREIT,2016-08-02,9.0,370.0,9.0,9.0,1,,,
KPREIT,2016-08-03,8.93,10483.0,8.93,8.93,0,,,
KPREIT,2016-08-08,9.0,1950.0,9.0,9.0,2,,,
KPREIT,2016-08-09,9.0,50000.0,9.0,9.0,0,,,
KPREIT,2016-08-19,9.11,537135.0,9.11,9.11,7,-0.011999999999999997,1.0,0.0
KPREIT,2016-09-07,9.12,900.0,9.12,9.12,12,,,
KPREIT,2016-10-06,9.03,14000.0,9.14,9.0,20,,,
KPREIT,2016-10-12,9.06,664191.0,9.06,9.06,3,,,
KPREIT,2016-10-26,9.16,255.0,9.16,9.16,9,,,
KPREIT,2016-10-28,10.0,555.0,10.0,10.0,1,,,
KPREIT,2016-11-02,10.0,2745.0,10.0,10.0,2,,,
KPREIT,2016-11-09,9.19,29600.0,10.0,9.0,4,,,
KPREIT,2016-11-28,9.19,3000.0,9.19,9.19,12,,,
KPREIT,2016-12-06,9.02,10000.0,9.1,9.0,5,,,
KPREIT,2016-12-13,9.09,3680.0,9.1,9.03,4,,,
KPREIT,2016-12-14,9.02,3000.0,9.02,9.02,0,,,
KPREIT,2016-12-20,9.0,811.0,9.0,9.0,3,,,
KPREIT,2016-12-23,9.02,1600.0,9.02,9.02,2,,,
KPREIT,2016-12-30,10.0,1878.0,10.0,10.0,4,,,
KPREIT,2017-01-04,9.13,3541.0,9.15,9.0,2,,,
KPREIT,2017-01-05,9.0,400.0,9.0,9.0,0,,,
KPREIT,2017-01-06,8.06,13795.0,8.06,8.05,0,,,
KPREIT,2017-01-09,8.06,447.0,8.06,8.06,0,,,
KPREIT,2017-01-10,9.0,11779.0,9.0,9.0,0,-0.2263,0.0,0.0
KPREIT,2017-01-19,8.5,365.0,8.5,8.5,6,-0.2263,0.0,0.0
KPREIT,2017-01-24,8.5,1200.0,8.5,8.5,2,-0.4767,0.0,0.0
KPREIT,2017-01-25,8.5,18435.0,8.5,8.5,0,,,
KPREIT,2017-02-02,9.5,19600.0,9.5,9.5,5,,,
KPREIT,2017-02-03,9.5,10000.0,9.5,9.5,0,,,
KPREIT,2017-02-06,9.95,9400.0,10.0,9.5,0,,,
KPREIT,2017-02-07,10.0,1500.0,10.0,10.0,0,,,
KPREIT,2017-02-10,10.0,24500.0,10.0,10.0,2,,,
KPREIT,2017-02-14,10.0,23048.0,10.0,10.0,1,,,
KPREIT,2017-02-17,10.85,600.0,11.0,10.1,2,,,
KPREIT,2017-02-21,11.0,3045.0,11.0,11.0,1,,,
KPREIT,2017-02-27,11.0,1500.0,11.0,11.0,3,,,
KPREIT,2017-03-06,11.34,19835.0,12.0,11.0,4,-0.011999999999999997,1.0,0.0
KPREIT,2017-03-07,12.0,3455.0,12.0,12.0,0,,,
KPREIT,2017-03-08,14.0,2545.0,14.0,14.0,0,,,
KPREIT,2017-03-09,15.55,2000.0,15.55,15.55,0,,,
KPREIT,2017-03-13,16.0,879.0,16.0,16.0,1,-0.2263,0.0,0.0
KPREIT,2017-03-14,16.03,1221.0,16.35,16.0,0,,,
KPREIT,2017-03-15,16.35,1600.0,16.35,16.35,0,,,
KPREIT,2017-03-17,16.35,500.0,16.35,16.35,1,,,
KPREIT,2017-03-20,16.0,350.0,16.0,16.0,0,,,
KPREIT,2017-03-21,16.0,955227.0,16.2,16.0,0,,,
KPREIT,2017-03-22,16.2,150.0,16.2,16.2,0,,,
KPREIT,2017-03-24,16.28,20976.0,16.35,16.2,1,,,
KPREIT,2017-03-27,16.35,200.0,16.35,16.35,0,,,
KPREIT,2017-03-28,16.35,2250.0,16.35,16.35,0,,,
KPREIT,2017-03-30,16.35,5300.0,16.35,16.35,1,,,
KPREIT,2017-03-31,16.35,460.0,16.35,16.35,0,,,
KPREIT,2017-04-04,16.0,9031.0,16.0,16.0,1,-0.2263,0.0,0.0
KPREIT,2017-04-05,16.0,1035.0,16.0,16.0,0,,,
KPREIT,2017-04-06,15.92,2079.0,15.98,15.9,0,,,
KPREIT,2017-04-07,15.98,3730.0,15.98,15.95,0,,,
KPREIT,2017-04-10,15.99,4000.0,16.0,15.98,0,,,
KPREIT,2017-04-11,16.0,100.0,16.0,16.0,0,,,
KPREIT,2017-04-13,15.95,530.0,15.95,15.95,1,,,
KPREIT,2017-04-18,15.95,200.0,15.95,15.95,2,,,
KPREIT,2017-04-19,15.5,2800.0,15.5,15.5,0,,,
KPREIT,2017-04-24,15.72,5980.0,16.0,15.5,2,-0.2263,0.0,0.0
KPREIT,2017-04-28,16.0,500.0,16.0,16.0,3,0.0,0.0,0.0
KPREIT,2017-05-02,16.0,1610.0,16.0,16.0,1,,,
KPREIT,2017-05-04,16.0,1140.0,16.0,16.0,1,,,
KPREIT,2017-05-05,16.0,250.0,16.0,16.0,0,,,
KPREIT,2017-05-09,16.6,112.0,16.6,16.6,1,,,
KPREIT,2017-05-10,16.6,243.0,16.6,16.6,0,,,
KPREIT,2017-05-11,15.52,5100.0,16.6,15.5,0,,,
KPREIT,2017-05-18,16.6,4650.0,16.6,16.6,4,0.0386,1.0,0.0
KPREIT,2017-05-24,10.0,7820.0,16.0,10.0,3,,,
KPREIT,2017-05-25,11.98,10253.0,12.0,11.95,0,,,
KPREIT,2017-05-26,11.73,52625.0,12.0,11.4,0,,,
KPREIT,2017-05-30,11.52,3006.0,11.73,11.5,1,,,
KPREIT,2017-06-02,11.52,15277.0,11.62,11.0,2,,,
KPREIT,2017-06-05,11.33,1224.0,11.49,11.0,0,,,
KPREIT,2017-06-09,10.35,4977.0,11.26,10.0,3,,,
KPREIT,2017-06-15,10.02,10000.0,10.4,10.0,3,,,
KPREIT,2017-06-19,10.0,224.0,10.0,10.0,1,,,
KPREIT,2017-06-20,10.25,900.0,10.25,10.25,0,,,
KPREIT,2017-06-21,10.25,384.0,10.25,10.25,0,,,
KPREIT,2017-06-22,10.02,9443.0,10.25,10.0,0,,,
KPREIT,2017-06-26,9.95,2000.0,9.95,9.95,1,,,
KPREIT,2017-06-28,9.95,5000.0,9.95,9.95,1,,,
KPREIT,2017-06-29,9.95,4500.0,9.96,9.95,0,,,
KPREIT,2017-06-30,9.95,182.0,9.95,9.95,0,,,
KPREIT,2017-07-05,9.0,4000.0,9.0,9.0,2,,,
KPREIT,2017-07-06,8.0,3200.0,8.0,8.0,0,,,
KPREIT,2017-07-07,8.84,2569.0,9.0,8.0,0,,,
KPREIT,2017-07-12,8.85,2500.0,8.85,8.85,2,,,
KPREIT,2017-07-14,8.8,400.0,8.8,8.8,1,,,
KPREIT,2017-07-17,8.85,2000.0,8.85,8.85,0,,,
KPREIT,2017-07-18,8.8,2288.0,8.8,8.8,0,,,
KPREIT,2017-07-19,8.0,13150.0,8.0,8.0,0,,,
KPREIT,2017-07-20,7.15,1400.0,7.15,7.15,0,,,
KPREIT,2017-07-21,7.15,12526.0,7.15,7.15,0,,,
KPREIT,2017-07-25,7.25,3282.0,7.3,7.2,1,,,
KPREIT,2017-07-27,7.2,474.0,7.2,7.2,1,,,
KPREIT,2017-07-28,8.0,2394.0,8.0,8.0,0,,,
KPREIT,2017-07-31,8.0,2200.0,8.0,8.0,0,,,
KPREIT,2017-08-02,8.0,400.0,8.0,8.0,1,,,
KPREIT,2017-08-14,8.0,1000.0,8.0,8.0,7,0.2023,1.0,0.0
KPREIT,2017-08-15,7.5,43400.0,8.0,7.2,0,,,
KPREIT,2017-08-23,8.0,5729.0,8.0,8.0,5,,,
KPREIT,2017-08-24,8.0,1250.0,8.0,8.0,0,,,
KPREIT,2017-08-25,8.0,3014.0,8.0,8.0,0,,,
KPREIT,2017-08-28,8.0,4184.0,8.0,8.0,0,,,
KPREIT,2017-08-29,7.5,10325.0,7.6,7.5,0,,,
KPREIT,2017-08-31,7.21,12000.0,7.25,7.2,1,,,
KPREIT,2017-09-01,7.5,742.0,7.5,7.5,0,,,
KPREIT,2017-09-05,7.5,1700.0,7.5,7.5,1,,,
KPREIT,2017-09-07,7.0,88633.0,7.15,7.0,1,,,
KPREIT,2017-09-12,7.0,3000.0,7.0,7.0,2,,,
KPREIT,2017-09-13,7.0,1325.0,7.0,7.0,0,,,
KPREIT,2017-09-15,7.0,83308.0,7.0,7.0,1,,,
KPREIT,2017-09-19,7.0,598296.0,7.0,7.0,1,,,
KPREIT,2017-09-25,7.0,2000.0,7.0,7.0,3,-0.22630000000000003,0.0,0.0
KPREIT,2017-09-26,6.8,200.0,6.8,6.8,0,-0.6249,1.0,0.0
KPREIT,2017-09-27,7.0,4758.0,7.0,7.0,0,,,
KPREIT,2017-09-29,7.4,5000.0,7.4,7.4,1,,,
KPREIT,2017-10-05,7.2,1400.0,7.2,7.2,3,,,
KPREIT,2017-10-09,7.15,2000.0,7.15,7.15,1,,,
KPREIT,2017-10-10,7.15,4744.0,7.15,7.15,0,,,
KPREIT,2017-10-11,7.2,3640.0,7.2,7.15,0,,,
KPREIT,2017-10-17,7.2,160.0,7.2,7.2,3,,,
KPREIT,2017-10-27,8.0,1244.0,8.0,8.0,7,,,
KPREIT,2017-11-02,8.03,15950.0,8.07,8.0,3,,,
KPREIT,2017-11-14,8.0,6096.0,8.03,8.0,7,0.2023,1.0,0.0
KPREIT,2017-11-28,8.01,1300.0,8.01,8.01,9,,,
KPREIT,2017-12-27,7.7,2090.0,7.7,7.7,20,,,
KPREIT,2018-01-02,7.7,3100.0,7.7,7.7,3,,,
KPREIT,2018-01-15,6.0,1834.0,6.0,6.0,8,,,
KPREIT,2018-01-17,6.0,5694.0,6.0,6.0,1,,,
KPREIT,2018-01-18,6.0,3698.0,6.01,6.0,0,,,
KPREIT,2018-01-19,6.01,2444.0,6.01,6.01,0,,,
KPREIT,2018-02-07,6.01,200000.0,6.03,6.0,12,0.0772,0.0,1.0
KPREIT,2018-02-15,6.0,2500.0,6.0,6.0,5,0.0772,0.0,1.0
KPREIT,2018-02-16,6.65,7265.0,6.65,6.65,0,,,
KPREIT,2018-02-22,6.650000000000001,3899.0,6.650000000000001,6.650000000000001,3,,,
KPREIT,2018-02-27,6.65,300.0,6.65,6.65,2,,,
KPREIT,2018-03-01,6.65,384.0,6.65,6.65,1,0.0,1.0,0.0
KPREIT,2018-03-02,6.18,2059.0,6.65,6.0,0,,,
KPREIT,2018-03-05,6.65,680.0,6.65,6.65,0,,,
KPREIT,2018-03-07,6.65,300.0,6.65,6.65,1,,,
KPREIT,2018-03-15,6.21,7500.0,6.639999999999999,6.0,5,,,
KPREIT,2018-03-19,6.25,1060.0,6.25,6.25,1,,,
KPREIT,2018-03-20,6.25,1440.0,6.25,6.25,0,,,
KPREIT,2018-03-21,6.25,3560.0,6.25,6.25,0,,,
KPREIT,2018-04-03,6.4,5000.0,6.4,6.4,8,,,
KPREIT,2018-04-05,6.64,13000.0,6.64,6.64,1,,,
KPREIT,2018-04-06,6.64,1360.0,6.64,6.64,0,,,
KPREIT,2018-04-11,5.9,18273.0,6.25,5.8,2,-0.3239,0.0,0.0
KPREIT,2018-04-12,5.8,2000.0,5.8,5.8,0,,,
KPREIT,2018-04-13,5.47,12000.0,5.5,5.45,0,,,
KPREIT,2018-04-16,5.25,3727.0,5.25,5.25,0,,,
KPREIT,2018-04-27,6.639999999999999,840.0,6.639999999999999,6.639999999999999,8,0.0,0.0,0.0
KPREIT,2018-05-04,6.65,12801.0,6.65,6.65,4,,,
KPREIT,2018-05-11,6.65,4600.0,6.65,6.65,4,0.2023,1.0,0.0
KPREIT,2018-05-14,6.65,4000.0,6.65,6.65,0,,,
KPREIT,2018-05-21,6.64,1988.0,6.64,6.64,4,,,
KPREIT,2018-05-25,6.64,2172.0,6.64,6.64,3,-0.22630000000000003,0.0,0.0
KPREIT,2018-05-30,6.6,2000.0,6.6,6.6,2,,,
KPREIT,2018-06-01,6.6,200.0,6.6,6.6,1,,,
KPREIT,2018-06-07,6.53,1800.0,6.55,6.5,3,,,
KPREIT,2018-06-11,6.0,2100.0,6.0,6.0,1,,,
KPREIT,2018-06-13,5.35,2400.0,5.35,5.35,1,,,
KPREIT,2018-06-15,5.07,6000.0,5.35,5.0,1,0.3612,0.0,1.0
KPREIT,2018-06-19,5.15,20000.0,5.4,5.02,1,0.3612,0.0,1.0
KPREIT,2018-07-06,5.39,12780.0,6.2,5.15,12,,,
KPREIT,2018-07-12,5.15,8400.0,5.15,5.14,3,,,
KPREIT,2018-07-23,5.35,2100.0,5.35,5.35,6,,,
KPREIT,2018-08-13,5.5,20000.0,5.5,5.5,14,0.0,1.0,0.0
KPREIT,2018-08-23,5.75,5000.0,5.75,5.75,7,,,
KPREIT,2018-08-29,5.900000000000001,1943.0,5.900000000000001,5.900000000000001,3,,,
KPREIT,2018-08-30,5.9,350.0,5.9,5.9,0,,,
KPREIT,2018-09-03,5.78,7102.0,5.8,5.75,1,,,
KPREIT,2018-09-04,6.0,172.0,6.0,6.0,0,,,
KPREIT,2018-09-06,6.0,4828.0,6.0,6.0,1,,,
KPREIT,2018-09-13,5.92,269.0,6.2,5.75,4,-0.2263,0.0,0.0
KPREIT,2018-09-17,5.97,7450.0,6.0,5.9,1,,,
KPREIT,2018-09-18,6.0,16905.0,6.0,6.0,0,,,
KPREIT,2018-09-21,6.0,5095.0,6.0,6.0,2,,,
KPREIT,2018-09-25,6.0,2000.0,6.0,6.0,1,,,
KPREIT,2018-10-01,6.0,8000.0,6.0,6.0,3,,,
KPREIT,2018-10-03,6.25,1500.0,6.25,6.25,1,,,
KPREIT,2018-10-09,6.0,2500.0,6.0,6.0,3,,,
KPREIT,2018-10-12,6.0,2500.0,6.0,6.0,2,,,
KPREIT,2018-10-17,6.25,400.0,6.25,6.25,2,,,
KPREIT,2018-10-22,6.86,4810.0,6.9,6.5,2,,,
KPREIT,2018-10-26,6.98,10599.0,8.0,6.5,3,,,
KPREIT,2018-10-31,6.26,9977.0,6.55,6.25,2,-0.2263,0.0,0.0
KPREIT,2018-11-01,6.17,27542.0,6.4,6.0,0,,,
KPREIT,2018-11-02,6.0,400.0,6.0,6.0,0,,,
KPREIT,2018-11-05,6.0,1000.0,6.0,6.0,0,,,
KPREIT,2018-11-06,6.0,500.0,6.0,6.0,0,,,
KPREIT,2018-11-12,5.75,670.0,5.75,5.75,3,,,
KPREIT,2018-11-13,5.05,40407.0,5.95,5.0,0,-0.0516,0.0,0.0
KPREIT,2018-11-14,5.0,283186.0,5.0,5.0,0,0.0,1.0,0.0
KPREIT,2018-11-20,5.0,2301.0,5.0,5.0,3,,,
KPREIT,2018-11-22,5.14,2688.0,5.2,5.11,1,,,
KPREIT,2018-11-23,5.95,18965.0,5.95,5.95,0,,,
KPREIT,2018-11-29,5.95,1700.0,5.95,5.95,3,,,
KPREIT,2018-12-07,6.0,5000.0,6.0,6.0,5,,,
KPREIT,2018-12-10,6.0,6000.0,6.0,6.0,0,,,
KPREIT,2018-12-21,6.0,4000.0,6.0,6.0,8,,,
KPREIT,2018-12-24,6.5,1300.0,6.5,6.5,0,,,
KPREIT,2018-12-27,6.5,100.0,6.5,6.5,2,-0.2263,0.0,0.0
KPREIT,2018-12-28,6.0,1200.0,6.0,6.0,0,,,
KPREIT,2019-01-03,6.0,15300.0,6.05,6.0,3,,,
KPREIT,2019-01-16,6.5,500.0,6.5,6.5,8,,,
KPREIT,2019-01-17,6.2,350.0,6.2,6.2,0,,,
KPREIT,2019-01-18,6.5,2298.0,6.5,6.5,0,,,
KPREIT,2019-01-22,6.0,194545.0,6.0,6.0,1,,,
KPREIT,2019-01-24,5.95,300.0,5.95,5.95,1,,,
KPREIT,2019-01-25,6.0,350.0,6.0,6.0,0,,,
KPREIT,2019-01-28,6.0,480.0,6.0,6.0,0,,,
KPREIT,2019-01-30,5.95,500.0,5.95,5.95,1,,,
