Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
LAB,2019-07-26,1.3,100.0,1.3,1.3,0,0.0,0.0,0.0
LAB,2019-07-29,2.1,69589.0,2.15,2.1,0,0.5719,0.0,0.0
LAB,2019-07-30,2.94,9233651.0,3.0,2.0,0,,,
LAB,2019-07-31,3.1,5684628.0,3.5,3.0,0,,,
LAB,2019-08-02,3.64,3292680.0,3.8,3.0,1,,,
LAB,2019-08-05,3.95,2638421.0,4.0,3.75,0,,,
LAB,2019-08-07,3.97,4245953.0,4.51,3.85,1,,,
LAB,2019-08-08,3.86,1029798.0,4.2,3.64,0,,,
LAB,2019-08-09,3.44,2335719.0,4.0,3.15,0,,,
LAB,2019-08-12,3.04,1193400.0,3.6,2.94,0,,,
LAB,2019-08-13,2.93,2985179.0,3.0,2.75,0,,,
LAB,2019-08-14,2.92,3761358.0,3.5,2.79,0,,,
LAB,2019-08-15,3.12,803097.0,3.5,2.95,0,,,
LAB,2019-08-16,3.18,312043.0,3.3,2.92,0,,,
LAB,2019-08-19,3.08,1833785.0,3.3,3.0,0,,,
LAB,2019-08-20,3.13,1928642.0,3.29,3.0,0,,,
LAB,2019-08-21,3.14,279233.0,3.3,3.0,0,,,
LAB,2019-08-22,3.26,318261.0,3.3,3.01,0,,,
LAB,2019-08-23,3.16,195125.0,3.25,3.0,0,,,
LAB,2019-08-26,3.04,239674.0,3.25,3.0,0,,,
LAB,2019-08-27,3.25,771984.0,3.3,3.05,0,,,
LAB,2019-08-28,3.08,176195.0,3.2,3.0,0,,,
LAB,2019-08-29,3.11,150067.0,3.2,3.1,0,,,
LAB,2019-08-30,3.18,356168.0,3.2,3.05,0,-0.2263,1.0,0.0
LAB,2019-09-02,3.19,374926.0,3.23,3.0,0,,,
LAB,2019-09-03,3.1,34438.0,3.22,3.0,0,,,
LAB,2019-09-04,3.11,72040.0,3.18,3.0,0,,,
LAB,2019-09-05,2.98,270872.0,3.1,2.95,0,,,
LAB,2019-09-06,3.0,882015.0,3.05,2.95,0,,,
LAB,2019-09-09,3.02,127443.0,3.1,3.0,0,-0.2263,0.0,0.0
LAB,2019-09-10,3.01,575667.0,3.08,3.0,0,,,
LAB,2019-09-11,3.02,382871.0,3.1,2.95,0,,,
LAB,2019-09-12,3.01,228456.0,3.09,2.95,0,,,
LAB,2019-09-13,3.0,55005.0,3.01,3.0,0,,,
LAB,2019-09-16,2.99,349292.0,3.09,2.95,0,,,
LAB,2019-09-17,2.96,165769.0,3.0,2.95,0,,,
LAB,2019-09-18,2.93,166362.0,2.96,2.8,0,,,
LAB,2019-09-19,2.85,2386967.0,2.9,2.8,0,,,
LAB,2019-09-20,2.93,1236217.0,3.0,2.52,0,,,
LAB,2019-09-23,2.62,252272.0,2.89,2.53,0,,,
LAB,2019-09-24,2.54,243826.0,2.65,2.51,0,,,
LAB,2019-09-25,2.54,464624.0,2.6,2.5,0,0.3612,0.0,1.0
LAB,2019-09-26,2.52,174427.0,2.6,2.5,0,,,
LAB,2019-09-27,2.65,226883.0,2.8,2.5,0,,,
LAB,2019-09-30,2.88,294838.0,2.97,2.6,0,,,
LAB,2019-10-01,2.84,201729.0,3.0,2.51,0,,,
LAB,2019-10-02,2.83,88901.0,2.85,2.82,0,,,
LAB,2019-10-03,2.81,90522.0,2.85,2.75,0,,,
LAB,2019-10-04,2.63,65972.0,2.8,2.55,0,,,
LAB,2019-10-07,2.78,150562.0,2.8,2.7,0,,,
LAB,2019-10-08,2.61,11200.0,2.62,2.6,0,,,
LAB,2019-10-09,2.61,141969.0,2.7,2.6,0,,,
LAB,2019-10-10,2.73,275900.0,2.8,2.58,0,0.3612,0.0,1.0
LAB,2019-10-11,2.61,9719.0,2.72,2.6,0,,,
LAB,2019-10-14,2.57,59039.0,2.72,2.51,0,,,
LAB,2019-10-15,2.59,256454.0,2.6,2.55,0,,,
LAB,2019-10-16,2.51,187195.0,2.56,2.5,0,,,
LAB,2019-10-17,2.55,130664.0,2.56,2.5,0,,,
LAB,2019-10-18,2.56,89957.0,2.57,2.55,0,,,
LAB,2019-10-22,2.51,33046.0,2.56,2.5,1,,,
LAB,2019-10-23,2.55,78286.0,2.62,2.5,0,,,
LAB,2019-10-24,2.5,302524.0,2.61,2.5,0,,,
LAB,2019-10-25,2.51,48936.0,2.61,2.5,0,,,
LAB,2019-10-28,2.5,30992.0,2.52,2.45,0,,,
LAB,2019-10-29,2.48,54518.0,2.6,2.35,0,,,
LAB,2019-10-30,2.63,153520.0,2.72,2.5,0,,,
LAB,2019-10-31,2.92,130400.0,2.95,2.73,0,,,
LAB,2019-11-01,2.99,665000.0,3.0,2.75,0,,,
LAB,2019-11-04,2.9,116064.0,3.0,2.72,0,,,
LAB,2019-11-05,2.75,24920.0,2.98,2.72,0,,,
LAB,2019-11-06,2.97,42500.0,2.98,2.9,0,,,
LAB,2019-11-07,2.74,95414.0,2.95,2.72,0,,,
LAB,2019-11-08,2.87,24700.0,2.95,2.74,0,,,
LAB,2019-11-11,2.95,78399.0,2.98,2.74,0,,,
LAB,2019-11-12,2.8,202400.0,2.98,2.72,0,,,
LAB,2019-11-13,2.94,662.0,2.94,2.94,0,0.4588,0.0,1.0
LAB,2019-11-14,2.88,200891.0,2.9,2.88,0,,,
LAB,2019-11-15,2.75,25784.0,2.9,2.72,0,,,
LAB,2019-11-18,2.72,29632.0,2.72,2.72,0,,,
LAB,2019-11-19,2.72,339758.0,2.75,2.72,0,,,
LAB,2019-11-20,2.72,106146.0,2.73,2.72,0,,,
LAB,2019-11-21,2.72,11232.0,2.72,2.72,0,,,
LAB,2019-11-25,2.71,63595.0,2.75,2.65,1,,,
LAB,2019-11-26,2.75,33137.0,2.8,2.65,0,,,
LAB,2019-11-27,2.84,56121.0,2.98,2.8,0,,,
LAB,2019-11-28,2.97,103837.0,3.0,2.82,0,,,
LAB,2019-11-29,2.89,29455.0,3.0,2.83,0,,,
LAB,2019-12-02,2.962,7500.0,2.98,2.95,0,,,
LAB,2019-12-03,2.89,88879.0,2.95,2.86,0,,,
LAB,2019-12-04,2.85,36234.0,2.86,2.82,0,,,
LAB,2019-12-05,2.77,32050.0,2.9,2.64,0,,,
LAB,2019-12-06,2.77,8328.0,2.9,2.77,0,,,
LAB,2019-12-09,2.813884,26272.0,2.85,2.77,0,-0.2263,0.0,0.0
LAB,2019-12-10,2.806577,31662.0,2.9,2.77,0,,,
LAB,2019-12-11,2.818651,126814.0,2.9,2.8,0,,,
LAB,2019-12-12,2.819691,27920.0,2.85,2.8,0,,,
LAB,2019-12-13,2.897093,29990.0,2.98,2.81,0,,,
LAB,2019-12-16,2.842291,86530.0,2.93,2.78,0,-0.2263,0.0,0.0
LAB,2019-12-17,2.976108,499296.0,3.01,2.8,0,0.06365000000000001,0.0,0.0
LAB,2019-12-18,3.04881,309984.0,3.1,3.0,0,,,
LAB,2019-12-19,3.084585,174308.0,3.15,3.0,0,,,
LAB,2019-12-20,3.072662,24518.0,3.09,3.05,0,,,
LAB,2019-12-23,3.040577,124259.0,3.09,3.0,0,,,
LAB,2019-12-24,2.998871,113993.0,3.0,2.99,0,,,
LAB,2019-12-27,2.983641,75820.0,3.0,2.9,2,,,
LAB,2019-12-30,3.0,23000.0,3.0,3.0,0,,,
LAB,2019-12-31,3.011879,132698.0,3.1,2.9,0,,,
LAB,2020-01-02,3.04743,66096.0,3.1,3.0,1,,,
LAB,2020-01-03,3.0445450000000003,199350.0,3.1,3.0,0,,,
LAB,2020-01-06,2.971285,103876.0,3.0,2.9,0,,,
LAB,2020-01-07,2.974901,42845.0,3.0,2.94,0,,,
LAB,2020-01-08,2.943394,175981.0,3.0,2.9,0,,,
LAB,2020-01-09,2.902582,77843.0,2.91,2.9,0,,,
LAB,2020-01-10,2.897193,91316.0,3.0,2.85,0,,,
LAB,2020-01-13,2.9789380000000003,95938.0,3.0,2.86,0,,,
LAB,2020-01-14,3.000678,273353.0,3.04,3.0,0,,,
LAB,2020-01-15,2.935651,25369.0,3.0,2.9,0,,,
LAB,2020-01-16,2.841903,108276.0,2.9,2.75,0,,,
LAB,2020-01-17,2.81808,87009.0,3.0,2.75,0,,,
LAB,2020-01-20,2.890778,28873.0,2.99,2.77,0,,,
LAB,2020-01-21,2.879553,29418.0,2.99,2.85,0,,,
LAB,2020-01-22,2.88,29860.0,2.88,2.88,0,,,
LAB,2020-01-23,2.9253240000000003,31552.0,2.99,2.88,0,,,
LAB,2020-01-24,2.91193,31893.0,2.99,2.89,0,,,
LAB,2020-01-27,2.9,20460.0,2.9,2.9,0,,,
LAB,2020-01-28,2.90217,105176.0,2.91,2.89,0,,,
LAB,2020-01-29,2.9,13610.0,2.9,2.9,0,,,
LAB,2020-01-30,2.763576,134882.0,2.9,2.7,0,,,
LAB,2020-01-31,2.841267,153706.0,2.9,2.7,0,,,
LAB,2020-02-03,2.73422,12788.0,2.9,2.71,0,,,
LAB,2020-02-04,2.558892,744674.0,2.73,2.5,0,,,
LAB,2020-02-05,2.621389,36617.0,2.69,2.6,0,,,
LAB,2020-02-06,2.556326,115393.0,2.62,2.41,0,,,
LAB,2020-02-07,2.838357,158018.0,2.9,2.6,0,,,
LAB,2020-02-10,2.773652,44140.0,2.85,2.69,0,,,
LAB,2020-02-11,2.809593,88513.0,2.89,2.73,0,,,
LAB,2020-02-12,2.716715,57010.0,2.89,2.67,0,,,
LAB,2020-02-13,2.692336,17553.0,2.74,2.65,0,,,
LAB,2020-02-14,2.711329,37504.0,2.72,2.67,0,,,
LAB,2020-02-17,2.620891,124928.0,2.7,2.56,0,,,
LAB,2020-02-18,2.61496,136851.0,2.65,2.6,0,,,
LAB,2020-02-19,2.659647,75541.0,2.7,2.61,0,,,
LAB,2020-02-20,2.680422,16628.0,2.89,2.65,0,,,
LAB,2020-02-21,2.731867,123008.0,2.75,2.7,0,,,
LAB,2020-02-24,2.827768,184695.0,2.89,2.77,0,,,
LAB,2020-02-25,2.739992,337503.0,2.88,2.7,0,,,
LAB,2020-02-27,2.776453,5527680.0,2.78,2.66,1,,,
LAB,2020-02-28,2.777134,241060.0,2.89,2.66,0,,,
LAB,2020-03-02,2.876447,651375.0,2.9,2.71,0,,,
LAB,2020-03-03,2.724921,75712.0,2.88,2.62,0,,,
LAB,2020-03-04,2.61283,86934.0,2.7,2.51,0,,,
LAB,2020-03-05,2.482576,237677.0,2.6,2.4,0,,,
LAB,2020-03-06,2.477151,318551.0,2.6,2.4,0,,,
LAB,2020-03-09,2.446344,123710.0,2.69,2.4,0,,,
