Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
LASD,2016-01-04,5.52,389944.0,5.55,5.45,0,,,
LASD,2016-01-05,5.66,750787.0,5.7,5.5,0,,,
LASD,2016-01-06,5.79,4538.0,6.02,5.72,0,,,
LASD,2016-01-07,6.46,1354455.0,6.55,6.0,0,,,
LASD,2016-01-08,7.26,525060.0,7.4,7.01,0,,,
LASD,2016-01-11,8.75,400262.0,9.01,8.3,0,,,
LASD,2016-01-12,8.98,1420762.0,9.0,8.0,0,,,
LASD,2016-01-13,8.76,398319.0,9.0,8.5,0,,,
LASD,2016-01-14,8.11,953127.0,8.75,8.0,0,,,
LASD,2016-01-15,8.09,366072.0,8.1,8.0,0,,,
LASD,2016-01-18,7.85,366363.0,8.1,7.5,0,,,
LASD,2016-01-19,7.89,105295.0,8.0,7.62,0,,,
LASD,2016-01-20,7.87,117645.0,8.0,7.8,0,,,
LASD,2016-01-21,7.91,150700.0,7.95,7.87,0,,,
LASD,2016-01-22,7.82,164550.0,7.9,7.8,0,,,
LASD,2016-01-25,7.62,242356.0,7.9,7.3,0,,,
LASD,2016-01-26,7.61,177836.0,7.82,7.35,0,,,
LASD,2016-01-27,7.78,92771.0,7.8,7.56,0,,,
LASD,2016-01-28,7.25,1602277.0,7.8,7.2,0,,,
LASD,2016-01-29,7.12,214200.0,7.78,7.01,0,,,
LASD,2016-02-01,7.22,38198.0,7.25,7.1,0,,,
LASD,2016-02-02,7.32,44649.0,7.38,7.3,0,,,
LASD,2016-02-03,7.46,141838.0,7.5,7.3,0,,,
LASD,2016-02-04,7.77,277371.0,7.8,7.5,0,-0.0258,0.0,0.0
LASD,2016-02-05,7.8,177571.0,7.8,7.6,0,,,
LASD,2016-02-08,7.73,225255.0,7.9,7.5,0,,,
LASD,2016-02-09,7.67,29125.0,7.95,7.5,0,,,
LASD,2016-02-11,7.81,86476.0,7.85,7.5,1,,,
LASD,2016-02-12,7.82,92821.0,7.9,7.5,0,,,
LASD,2016-02-15,7.88,335916.0,8.0,7.4,0,,,
LASD,2016-02-16,7.81,56362.0,8.0,7.79,0,,,
LASD,2016-02-17,7.54,5323.0,7.79,7.35,0,,,
LASD,2016-02-18,7.68,73795.0,7.79,7.5,0,,,
LASD,2016-02-19,7.43,198317.0,7.5,7.3,0,,,
LASD,2016-02-22,7.06,255540.0,7.5,6.5,0,,,
LASD,2016-02-23,7.45,282210.0,7.8,7.0,0,,,
LASD,2016-02-24,7.0,193650.0,7.05,7.0,0,-0.0258,0.0,0.0
LASD,2016-02-25,6.17,204850.0,7.0,5.95,0,0.4019,0.0,0.0
LASD,2016-02-26,5.51,809400.0,6.0,5.06,0,,,
LASD,2016-02-29,5.29,52455.0,5.51,5.1,0,,,
LASD,2016-03-01,5.49,108550.0,5.66,5.29,0,,,
LASD,2016-03-02,5.39,1209662.0,5.5,5.0,0,,,
LASD,2016-03-03,5.52,489879.0,6.0,5.39,0,,,
LASD,2016-03-04,5.83,284369.0,6.0,5.51,0,,,
LASD,2016-03-07,5.93,10500.0,6.0,5.7,0,0.0772,0.0,0.0
LASD,2016-03-08,6.16,651257.0,6.9,6.0,0,,,
LASD,2016-03-09,6.0,12100.0,6.0,5.99,0,,,
LASD,2016-03-10,6.0,490999.0,6.0,5.95,0,,,
LASD,2016-03-11,5.99,44507.0,6.0,5.95,0,,,
LASD,2016-03-14,5.98,121420.0,6.0,5.9,0,,,
LASD,2016-03-15,6.0,67515.0,6.0,6.0,0,,,
LASD,2016-03-16,5.99,60500.0,6.0,5.98,0,,,
LASD,2016-03-17,5.97,139820.0,5.98,5.76,0,,,
LASD,2016-03-18,5.98,32418.0,5.98,5.98,0,,,
LASD,2016-03-21,5.68,88618.0,5.95,5.6,0,,,
LASD,2016-03-22,5.9,5457.0,5.95,5.89,0,,,
LASD,2016-03-23,5.69,43440.0,5.89,5.51,0,,,
LASD,2016-03-24,5.81,100892.0,5.95,5.75,0,,,
LASD,2016-03-29,5.83,23420.0,5.85,5.8,2,,,
LASD,2016-03-30,5.8,21300.0,5.8,5.8,0,,,
LASD,2016-03-31,5.76,19100.0,5.8,5.75,0,,,
LASD,2016-04-01,5.66,177390.0,5.8,5.52,0,,,
LASD,2016-04-04,5.65,61955.0,5.8,5.6,0,,,
LASD,2016-04-05,4.96,362475.0,5.6,4.61,0,,,
LASD,2016-04-06,4.53,1548585.0,4.97,4.51,0,,,
LASD,2016-04-07,4.59,110580.0,4.93,4.5,0,,,
LASD,2016-04-08,4.95,14882.0,5.0,4.93,0,,,
LASD,2016-04-11,5.0,319314.0,5.0,4.98,0,,,
LASD,2016-04-12,5.04,30890.0,5.45,5.0,0,,,
LASD,2016-04-13,5.06,59000.0,5.42,5.04,0,,,
LASD,2016-04-14,5.04,178600.0,5.06,5.0,0,,,
LASD,2016-04-15,5.36,93665.0,5.4,5.1,0,,,
LASD,2016-04-18,5.44,211347.0,5.5,5.4,0,,,
LASD,2016-04-19,5.5,634064.0,5.5,5.45,0,,,
LASD,2016-04-20,5.67,216200.0,5.8,5.5,0,,,
LASD,2016-04-21,6.19,5469528.0,6.5,5.52,0,,,
LASD,2016-04-22,7.13,528460.0,7.8,6.61,0,,,
LASD,2016-04-25,7.34,344182.0,7.8,7.0,0,,,
LASD,2016-04-26,6.93,115359.0,7.45,6.52,0,,,
LASD,2016-04-27,7.2,265511.0,7.25,7.0,0,,,
LASD,2016-04-28,7.21,272349.0,7.25,7.2,0,,,
LASD,2016-04-29,7.23,998711.0,7.6,7.19,0,,,
LASD,2016-05-02,7.59,213679.0,7.65,7.5,0,,,
LASD,2016-05-03,7.54,130860.0,7.62,7.2,0,,,
LASD,2016-05-04,7.59,16472533.0,7.6,7.2,0,,,
LASD,2016-05-05,7.53,84517.0,7.6,7.5,0,,,
LASD,2016-05-06,7.49,185483.0,7.59,7.45,0,,,
LASD,2016-05-09,7.54,41950.0,7.59,7.5,0,,,
LASD,2016-05-10,7.57,112755.0,7.6,7.5,0,,,
LASD,2016-05-11,7.63,314461.0,7.7,7.55,0,,,
LASD,2016-05-12,7.63,29698.0,7.65,7.61,0,,,
LASD,2016-05-13,7.63,42370.0,7.65,7.6,0,,,
LASD,2016-05-16,7.52,22730.0,7.63,7.5,0,,,
LASD,2016-05-17,7.37,718998.0,7.5,6.51,0,,,
LASD,2016-05-18,7.36,155159.0,7.5,7.3,0,,,
LASD,2016-05-19,7.38,102750.0,7.4,7.35,0,,,
LASD,2016-05-20,7.41,159489.0,7.54,7.36,0,,,
LASD,2016-05-24,7.37,265100.0,7.53,7.2,1,,,
LASD,2016-05-25,7.45,1277830.0,7.5,7.01,0,,,
LASD,2016-05-26,7.44,76820.0,7.5,7.25,0,,,
LASD,2016-05-27,7.46,87170.0,7.5,7.4,0,,,
LASD,2016-05-30,7.5,72543.0,7.5,7.5,0,,,
LASD,2016-05-31,7.48,349561.0,7.63,7.47,0,0.2023,1.0,0.0
LASD,2016-06-01,7.68,1033123.0,8.0,7.41,0,,,
LASD,2016-06-02,7.62,1000000.0,7.9,7.51,0,,,
LASD,2016-06-03,7.62,514000.0,8.0,7.6,0,,,
LASD,2016-06-06,7.67,105688.0,8.0,7.6,0,0.4767,0.0,0.0
LASD,2016-06-07,7.61,550886.0,8.0,7.6,0,,,
LASD,2016-06-08,7.5,472645.0,7.62,7.5,0,,,
LASD,2016-06-09,7.67,10847.0,7.99,7.5,0,,,
LASD,2016-06-10,7.99,2800.0,7.99,7.99,0,0.0772,0.0,0.0
LASD,2016-06-13,7.99,139744.0,8.0,7.85,0,,,
LASD,2016-06-14,8.0,225096.0,8.0,7.99,0,,,
LASD,2016-06-15,7.99,291702.0,7.99,7.99,0,,,
LASD,2016-06-16,7.99,130530.0,7.99,7.99,0,,,
LASD,2016-06-17,7.98,85399.0,7.99,7.98,0,,,
LASD,2016-06-20,7.96,105769.0,8.0,7.94,0,,,
LASD,2016-06-21,7.88,10675.0,7.95,7.8,0,,,
LASD,2016-06-22,7.91,29867.0,7.97,7.85,0,,,
LASD,2016-06-23,7.68,16280.0,7.8,7.6,0,,,
LASD,2016-06-24,7.68,67216.0,7.8,7.5,0,0.29600000000000004,0.0,0.0
LASD,2016-06-27,7.67,27017.0,7.68,7.6,0,,,
LASD,2016-06-28,7.14,184611.0,7.6,7.0,0,,,
LASD,2016-06-29,7.57,12110.0,7.68,7.2,0,,,
LASD,2016-06-30,7.5,85577.0,7.5,7.5,0,,,
LASD,2016-07-01,7.5,76398.0,7.51,7.5,0,,,
LASD,2016-07-04,7.38,11893.0,7.38,7.35,0,,,
LASD,2016-07-05,7.44,23496.0,7.7,7.4,0,,,
LASD,2016-07-06,7.05,342459.0,7.4,7.0,0,,,
LASD,2016-07-07,5.82,412422.0,7.0,5.3,0,,,
LASD,2016-07-08,5.5,124864.0,6.0,5.41,0,,,
LASD,2016-07-11,6.0,1500.0,6.0,6.0,0,,,
LASD,2016-07-12,6.05,2586.0,6.05,6.05,0,,,
LASD,2016-07-13,6.56,22000.0,6.56,6.55,0,,,
LASD,2016-07-14,7.28,16383.0,7.48,7.21,0,,,
LASD,2016-07-15,7.1,130134.0,7.5,7.01,0,,,
LASD,2016-07-18,7.09,29775.0,7.4,7.06,0,,,
LASD,2016-07-19,7.08,183959.0,7.45,7.0,0,,,
LASD,2016-07-20,7.46,141930.0,7.5,7.1,0,,,
LASD,2016-07-21,7.49,192726.0,7.49,7.3,0,,,
LASD,2016-07-22,7.5,86000.0,7.7,7.26,0,,,
LASD,2016-07-25,7.01,456259.0,7.45,7.0,0,,,
LASD,2016-07-26,7.35,9710.0,7.4,7.25,0,,,
LASD,2016-07-27,7.39,9640.0,7.4,7.35,0,0.0,1.0,0.0
LASD,2016-07-28,6.99,40453.0,7.4,6.55,0,,,
LASD,2016-07-29,7.24,161341.0,7.3,7.1,0,,,
LASD,2016-08-02,7.21,76102.0,7.4,7.2,1,,,
LASD,2016-08-03,7.0,1234719.0,7.01,7.0,0,,,
LASD,2016-08-04,7.04,37152.0,7.15,7.0,0,,,
LASD,2016-08-05,7.0,15784.0,7.15,7.0,0,,,
LASD,2016-08-08,6.93,77580.0,7.0,6.8,0,,,
LASD,2016-08-09,6.9,243560.0,7.1,6.8,0,,,
LASD,2016-08-10,7.0,59700.0,7.0,7.0,0,0.0,1.0,0.0
LASD,2016-08-11,6.79,3964178.0,7.15,6.7,0,,,
LASD,2016-08-12,7.15,592109.0,7.15,7.0,0,,,
LASD,2016-08-15,6.61,646920.0,6.9,6.35,0,,,
LASD,2016-08-16,7.12,222361.0,7.15,6.55,0,,,
LASD,2016-08-17,7.0,1054718.0,7.0,7.0,0,,,
LASD,2016-08-18,7.01,1419722.0,7.01,7.0,0,,,
LASD,2016-08-19,7.02,8392560.0,7.02,7.0,0,,,
LASD,2016-08-22,7.01,1782910.0,7.05,7.01,0,,,
LASD,2016-08-23,7.03,11700.0,7.05,7.02,0,,,
LASD,2016-08-24,7.01,18002.0,7.04,7.0,0,,,
LASD,2016-08-25,7.02,81400.0,7.02,7.0,0,,,
