Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
LUMBER,2019-12-13,1.59,359997.0,1.59,1.56,0,,,
LUMBER,2019-12-16,2.335041,1481121.0,2.36,2.11,0,,,
LUMBER,2019-12-17,2.385355,3855904.0,2.67,2.15,0,,,
LUMBER,2019-12-18,2.150607,15177863.0,2.45,2.0,0,,,
LUMBER,2019-12-19,2.009952,1581307.0,2.15,1.91,0,,,
LUMBER,2019-12-20,1.967761,4257486.0,2.1,1.9,0,,,
LUMBER,2019-12-23,1.925065,1392924.0,2.0,1.86,0,,,
LUMBER,2019-12-24,1.842911,1720435.0,1.9,1.8,0,,,
LUMBER,2019-12-27,1.778293,1704385.0,1.89,1.75,2,,,
LUMBER,2019-12-30,1.7368720000000002,2090343.0,1.88,1.6,0,,,
LUMBER,2019-12-31,1.643914,1212706.0,1.7,1.6,0,,,
LUMBER,2020-01-02,1.59449,3793154.0,1.61,1.56,1,,,
LUMBER,2020-01-03,1.53077,1616977.0,1.61,1.5,0,,,
LUMBER,2020-01-06,1.544578,2302905.0,1.55,1.5,0,,,
LUMBER,2020-01-07,1.504169,2400221.0,1.55,1.41,0,,,
LUMBER,2020-01-08,1.502999,2622080.0,1.55,1.48,0,,,
LUMBER,2020-01-09,1.495847,214051.0,1.55,1.47,0,,,
LUMBER,2020-01-10,1.517648,1014362.0,1.59,1.5,0,,,
LUMBER,2020-01-13,1.519339,531327.0,1.58,1.46,0,,,
LUMBER,2020-01-14,1.5463870000000002,158203.0,1.58,1.5,0,,,
LUMBER,2020-01-15,1.597105,736293.0,1.65,1.53,0,,,
LUMBER,2020-01-16,1.612298,1508978.0,1.65,1.56,0,,,
LUMBER,2020-01-17,1.637534,576476.0,1.75,1.6,0,,,
LUMBER,2020-01-20,1.671097,1018540.0,1.8,1.5,0,,,
LUMBER,2020-01-21,1.651505,491831.0,1.7,1.64,0,,,
LUMBER,2020-01-22,1.65159,438893.0,1.67,1.62,0,,,
LUMBER,2020-01-23,1.645226,707508.0,1.66,1.62,0,,,
LUMBER,2020-01-24,1.592743,231475.0,1.65,1.51,0,,,
LUMBER,2020-01-27,1.602653,419324.0,1.65,1.53,0,,,
LUMBER,2020-01-28,1.529611,146262.0,1.6,1.51,0,,,
LUMBER,2020-01-29,1.515991,80966.0,1.56,1.51,0,,,
LUMBER,2020-01-30,1.5138280000000002,188056.0,1.59,1.5,0,,,
LUMBER,2020-01-31,1.517696,130061.0,1.53,1.5,0,,,
LUMBER,2020-02-03,1.516233,519559.0,1.53,1.5,0,,,
LUMBER,2020-02-04,1.554909,975842.0,1.6,1.5,0,,,
LUMBER,2020-02-05,1.544354,544386.0,1.56,1.52,0,,,
LUMBER,2020-02-06,1.53022,160220.0,1.55,1.52,0,,,
LUMBER,2020-02-07,1.518375,712522.0,1.54,1.5,0,,,
LUMBER,2020-02-10,1.53679,1090903.0,1.55,1.5,0,,,
LUMBER,2020-02-11,1.5465870000000002,1215564.0,1.57,1.5,0,,,
LUMBER,2020-02-12,1.500094,639468.0,1.52,1.5,0,,,
LUMBER,2020-02-13,1.484071,362084.0,1.5,1.47,0,,,
LUMBER,2020-02-14,1.501394,21598.0,1.55,1.48,0,,,
LUMBER,2020-02-17,1.515315,137253.0,1.55,1.48,0,,,
LUMBER,2020-02-18,1.490338,58429.0,1.52,1.48,0,,,
LUMBER,2020-02-19,1.471852,160568.0,1.51,1.44,0,,,
LUMBER,2020-02-20,1.49023,58017.0,1.5,1.46,0,,,
LUMBER,2020-02-21,1.500852,174180.0,1.51,1.46,0,,,
LUMBER,2020-02-24,1.499227,111911.0,1.51,1.48,0,,,
LUMBER,2020-02-25,1.484926,8160.0,1.51,1.47,0,,,
LUMBER,2020-02-27,1.493491,213526.0,1.51,1.47,1,,,
LUMBER,2020-02-28,1.455116,199573.0,1.5,1.43,0,,,
LUMBER,2020-03-02,1.440782,68227.0,1.47,1.42,0,,,
LUMBER,2020-03-03,1.401053,105531.0,1.42,1.4,0,,,
LUMBER,2020-03-04,1.464032,983141.0,1.5,1.4,0,,,
LUMBER,2020-03-05,1.37808,83259.0,1.4,1.37,0,,,
LUMBER,2020-03-06,1.272931,664558.0,1.4,1.2,0,,,
LUMBER,2020-03-09,1.14819,775632.0,1.29,1.0,0,,,
LUMBER,2020-03-10,1.160073,391523.0,1.25,1.06,0,,,
LUMBER,2020-03-11,1.1728459999999998,140824.0,1.2,1.16,0,0.0,1.0,0.0
LUMBER,2020-03-12,1.229757,309333.0,1.29,1.18,0,,,
LUMBER,2020-03-13,1.286208,24161.0,1.29,1.28,0,,,
LUMBER,2020-03-16,1.275335,99777.0,1.29,1.27,0,,,
LUMBER,2020-03-17,1.191638,448162.0,1.27,1.15,0,,,
LUMBER,2020-03-18,1.169599,8504752.0,1.2,1.0,0,,,
LUMBER,2020-03-19,1.134327,144020.0,1.27,1.03,0,,,
LUMBER,2020-03-20,1.24,192203.0,1.3,1.03,0,,,
LUMBER,2020-03-23,1.2383309999999998,429151.0,1.27,1.2,0,,,
LUMBER,2020-03-24,1.046015,356449.0,1.25,1.03,0,,,
LUMBER,2020-03-25,1.0767870000000002,338706.0,1.23,1.0,0,,,
LUMBER,2020-03-26,1.143464,1302525.0,1.2,1.05,0,,,
LUMBER,2020-03-27,1.110993,787765.0,1.22,1.04,0,,,
LUMBER,2020-03-30,1.110603,883100.0,1.22,1.06,0,,,
LUMBER,2020-03-31,1.183395,21273.0,1.19,1.18,0,,,
LUMBER,2020-04-01,1.125293,811825.0,1.19,1.12,0,,,
LUMBER,2020-04-02,1.199961,3106285.0,1.2,1.19,0,,,
LUMBER,2020-04-03,1.196835,171387.0,1.21,1.19,0,,,
LUMBER,2020-04-06,1.175374,1697016.0,1.25,1.13,0,,,
LUMBER,2020-04-07,1.199899,97133.0,1.25,1.15,0,,,
LUMBER,2020-04-08,1.16894,235061.0,1.23,1.12,0,,,
LUMBER,2020-04-09,1.180503,140230.0,1.2,1.12,0,,,
LUMBER,2020-04-14,1.157234,478200.0,1.19,1.12,2,,,
LUMBER,2020-04-15,1.176671,80593.0,1.19,1.16,0,,,
LUMBER,2020-04-16,1.151984,268822.0,1.18,1.13,0,,,
LUMBER,2020-04-17,1.138456,175873.0,1.19,1.13,0,,,
LUMBER,2020-04-20,1.156826,33539.0,1.18,1.14,0,,,
LUMBER,2020-04-21,1.158215,301254.0,1.18,1.12,0,,,
LUMBER,2020-04-22,1.140093,107917.0,1.15,1.14,0,,,
LUMBER,2020-04-23,1.142795,180795.0,1.16,1.14,0,,,
LUMBER,2020-04-24,1.140843,471109.0,1.16,1.13,0,,,
LUMBER,2020-04-27,1.131018,297770.0,1.16,1.1,0,,,
LUMBER,2020-04-28,1.13005,4795516.0,1.15,1.13,0,,,
LUMBER,2020-04-29,1.137728,88633.0,1.16,1.13,0,,,
LUMBER,2020-04-30,1.13191,257140.0,1.15,1.12,0,,,
LUMBER,2020-05-01,1.08555,646793.0,1.15,1.05,0,,,
LUMBER,2020-05-04,1.096949,193918.0,1.14,1.05,0,,,
LUMBER,2020-05-05,1.03492,385452.0,1.09,1.02,0,,,
LUMBER,2020-05-06,1.061403,122067.0,1.13,1.05,0,,,
LUMBER,2020-05-07,1.139885,62061.0,1.14,1.13,0,,,
LUMBER,2020-05-08,1.1125969999999998,33771.0,1.12,1.11,0,,,
LUMBER,2020-05-11,1.123276,135602.0,1.14,1.05,0,,,
LUMBER,2020-05-12,1.10117,96195.0,1.14,1.09,0,,,
LUMBER,2020-05-13,1.13,199124.0,1.13,1.13,0,,,
LUMBER,2020-05-14,1.113131,176447.0,1.14,1.11,0,,,
LUMBER,2020-05-15,1.13,2000.0,1.13,1.13,0,,,
LUMBER,2020-05-18,1.118785,87105.0,1.13,1.11,0,,,
LUMBER,2020-05-19,1.121344,93000.0,1.13,1.12,0,,,
LUMBER,2020-05-20,1.126776,95476.0,1.13,1.11,0,,,
LUMBER,2020-05-21,1.130157,79678.0,1.14,1.13,0,,,
LUMBER,2020-05-22,1.132062,370242.0,1.14,1.12,0,,,
LUMBER,2020-05-26,1.133309,136889.0,1.14,1.11,1,,,
LUMBER,2020-05-27,1.131427,88045.0,1.14,1.1,0,,,
LUMBER,2020-05-28,1.132637,140862.0,1.14,1.1,0,,,
LUMBER,2020-05-29,1.124871,66100.0,1.14,1.12,0,,,
LUMBER,2020-06-01,1.1296700000000002,2136838.0,1.14,1.1,0,,,
LUMBER,2020-06-02,1.132289,76135.0,1.14,1.12,0,,,
LUMBER,2020-06-03,1.105487,57949.0,1.14,1.1,0,,,
LUMBER,2020-06-04,1.096239,552285.0,1.14,1.06,0,,,
LUMBER,2020-06-05,1.12854,121357.0,1.14,1.1,0,,,
LUMBER,2020-06-08,1.090402,11147733.0,1.1,1.09,0,,,
LUMBER,2020-06-09,1.1040299999999998,135250.0,1.12,1.1,0,,,
LUMBER,2020-06-10,1.11,97749.0,1.11,1.11,0,,,
LUMBER,2020-06-11,1.116251,419408.0,1.12,1.09,0,,,
LUMBER,2020-06-12,1.110873,350500.0,1.12,1.1,0,,,
LUMBER,2020-06-15,1.11,19200.0,1.11,1.11,0,,,
LUMBER,2020-06-16,1.110606,82500.0,1.13,1.11,0,,,
LUMBER,2020-06-17,1.109509,447532.0,1.13,1.1,0,,,
LUMBER,2020-06-18,1.125428,475645.0,1.13,1.1,0,,,
LUMBER,2020-06-19,1.127752,71620.0,1.13,1.11,0,,,
LUMBER,2020-06-22,1.128734,67719.0,1.13,1.11,0,,,
LUMBER,2020-06-23,1.11,277086.0,1.12,1.1,0,,,
LUMBER,2020-06-24,1.128178,61947.0,1.13,1.1,0,,,
LUMBER,2020-06-25,1.095781,210000.0,1.12,1.09,0,,,
LUMBER,2020-06-26,1.100703,94801.0,1.12,1.1,0,,,
LUMBER,2020-06-29,1.001899,10120000.0,1.12,1.0,0,,,
LUMBER,2020-06-30,1.119441,133144.0,1.13,1.11,0,,,
LUMBER,2020-07-01,1.1297620000000002,5122.0,1.13,1.12,0,,,
LUMBER,2020-07-02,1.079302,173176.0,1.12,1.02,0,,,
LUMBER,2020-07-03,1.091199,124953.0,1.11,1.05,0,-0.4939,1.0,0.0
LUMBER,2020-07-06,1.099183,159328.0,1.12,1.07,0,,,
LUMBER,2020-07-07,1.064102,94866.0,1.07,1.05,0,,,
LUMBER,2020-07-08,1.045181,309800.0,1.07,1.02,0,,,
LUMBER,2020-07-09,1.050311,798698.0,1.07,1.05,0,,,
LUMBER,2020-07-10,1.052753,250122.0,1.07,1.02,0,,,
LUMBER,2020-07-13,1.065051,208644.0,1.07,1.04,0,,,
LUMBER,2020-07-14,1.063792,786349.0,1.07,1.05,0,,,
LUMBER,2020-07-15,1.03548,1076643.0,1.07,1.0,0,0.0,1.0,0.0
LUMBER,2020-07-16,1.021308,380038.0,1.03,1.02,0,,,
LUMBER,2020-07-17,1.030139,31202.0,1.04,1.02,0,,,
LUMBER,2020-07-20,1.02695,54815.0,1.04,1.02,0,,,
LUMBER,2020-07-21,1.023434,38434.0,1.05,1.02,0,,,
LUMBER,2020-07-22,1.064401,56079.0,1.07,1.05,0,,,
LUMBER,2020-07-23,1.037591,21077.0,1.07,1.03,0,,,
LUMBER,2020-07-24,1.038843,36832.0,1.05,1.03,0,,,
LUMBER,2020-07-27,1.040529,224046.0,1.07,1.01,0,,,
LUMBER,2020-07-28,1.005242,191852.0,1.06,0.99,0,,,
LUMBER,2020-07-29,1.000249,200427.0,1.05,1.0,0,,,
LUMBER,2020-07-30,1.054398,6194.0,1.06,1.01,0,,,
LUMBER,2020-07-31,1.056138,7768.0,1.06,1.05,0,,,
LUMBER,2020-08-03,1.055467,15002.0,1.06,1.0,0,,,
LUMBER,2020-08-04,1.053265,147000.0,1.07,1.05,0,,,
LUMBER,2020-08-05,1.050369,97071.0,1.07,1.02,0,,,
LUMBER,2020-08-07,1.059253,5944.0,1.06,1.05,1,,,
LUMBER,2020-08-10,1.000025,806750.0,1.04,1.0,0,,,
LUMBER,2020-08-11,1.038691,362184.0,1.06,1.01,0,,,
LUMBER,2020-08-12,1.010605,308194.0,1.05,1.0,0,,,
LUMBER,2020-08-13,0.985878,130838.0,1.03,0.96,0,,,
LUMBER,2020-08-14,1.05,2100.0,1.05,1.05,0,,,
LUMBER,2020-08-17,0.998426,131521.0,1.04,0.99,0,,,
LUMBER,2020-08-19,0.995036,31500.0,1.0,0.98,1,,,
LUMBER,2020-08-20,0.978227,347991.0,1.0,0.97,0,0.0,0.0,0.0
LUMBER,2020-08-21,1.014666,32270.0,1.05,0.98,0,,,
LUMBER,2020-08-24,1.0205879999999998,102.0,1.05,1.02,0,0.0,1.0,0.0
LUMBER,2020-08-25,0.99,20000.0,1.0,0.98,0,,,
LUMBER,2020-08-26,0.996525,92005.0,1.05,0.99,0,,,
LUMBER,2020-08-27,0.999711,380966.0,1.0,0.99,0,,,
LUMBER,2020-08-28,0.993384,244122.0,1.05,0.99,0,,,
LUMBER,2020-08-31,1.021197,17125.0,1.05,1.0,0,,,
LUMBER,2020-09-01,0.993458,184359.0,1.05,0.98,0,,,
LUMBER,2020-09-02,0.992166,9232.0,1.0,0.99,0,,,
LUMBER,2020-09-03,1.0499,4511.0,1.05,1.0,0,,,
