Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
MIL,2016-01-04,4.35,750.0,4.35,4.35,0,,,
MIL,2016-01-05,4.35,33628.0,4.35,4.35,0,,,
MIL,2016-01-06,4.35,10530.0,4.4,4.3,0,,,
MIL,2016-01-07,4.4,11010.0,4.4,4.4,0,,,
MIL,2016-01-11,4.65,20000.0,4.65,4.65,1,,,
MIL,2016-01-12,4.65,426379.0,4.7,4.65,0,,,
MIL,2016-01-13,4.72,71024.0,4.8,4.7,0,,,
MIL,2016-01-14,4.87,2540.0,5.0,4.72,0,,,
MIL,2016-01-15,4.7,327979.0,5.0,4.7,0,,,
MIL,2016-01-18,4.71,101452.0,4.75,4.7,0,,,
MIL,2016-01-19,4.83,94603.0,4.85,4.7,0,,,
MIL,2016-01-20,4.9,10687021.0,4.9,4.87,0,,,
MIL,2016-01-22,4.88,48924.0,4.9,4.7,1,,,
MIL,2016-01-25,4.85,8450.0,4.85,4.85,0,,,
MIL,2016-01-26,4.51,201632.0,4.7,4.5,0,,,
MIL,2016-01-28,4.51,24568.0,4.55,4.51,1,,,
MIL,2016-01-29,4.35,20000.0,4.35,4.35,0,,,
MIL,2016-02-01,4.5,4386.0,4.5,4.5,0,,,
MIL,2016-02-02,4.59,4278.0,4.6,4.5,0,,,
MIL,2016-02-03,4.7,50655.0,4.7,4.6,0,,,
MIL,2016-02-04,4.53,66744.0,4.65,4.5,0,,,
MIL,2016-02-05,4.65,614873.0,5.0,4.5,0,,,
MIL,2016-02-08,4.5,207543.0,5.0,4.5,0,,,
MIL,2016-02-11,4.7,8060.0,4.7,4.7,2,,,
MIL,2016-02-12,4.95,130126.0,5.0,4.7,0,,,
MIL,2016-02-15,5.0,464350.0,5.0,4.9,0,,,
MIL,2016-02-16,4.88,41436.0,5.01,4.5,0,,,
MIL,2016-02-17,4.5,26020.0,4.5,4.4,0,,,
MIL,2016-02-18,4.68,16800.0,4.8,4.6,0,,,
MIL,2016-02-19,4.84,35970.0,4.85,4.7,0,,,
MIL,2016-02-22,4.84,23366.0,4.9,4.75,0,,,
MIL,2016-02-23,4.7,11123.0,4.75,4.7,0,,,
MIL,2016-02-24,4.8,76234.0,4.8,4.8,0,,,
MIL,2016-02-26,4.7,1020.0,4.7,4.7,1,,,
MIL,2016-02-29,4.78,6020.0,4.8,4.7,0,0.0,1.0,0.0
MIL,2016-03-01,4.83,1499312.0,5.0,4.51,0,0.6369,0.0,1.0
MIL,2016-03-02,4.93,12224.0,5.08,4.59,0,0.0772,0.0,1.0
MIL,2016-03-03,4.63,58956.0,4.83,4.09,0,,,
MIL,2016-03-04,4.7,1000.0,4.7,4.7,0,0.4588,0.0,1.0
MIL,2016-03-07,4.7,3000.0,4.7,4.7,0,0.4588,0.0,1.0
MIL,2016-03-08,4.82,6000.0,4.82,4.82,0,,,
MIL,2016-03-09,4.4,36200.0,4.55,4.05,0,,,
MIL,2016-03-11,4.41,27938.0,4.45,4.4,1,0.4588,0.0,1.0
MIL,2016-03-17,4.1,1957711.0,4.7,4.0,3,,,
MIL,2016-03-18,4.4,41168.0,4.45,4.2,0,,,
MIL,2016-03-21,4.45,20680.0,4.45,4.45,0,0.765,0.0,1.0
MIL,2016-03-22,4.45,40000.0,4.45,4.45,0,,,
MIL,2016-03-23,4.45,9391.0,4.45,4.45,0,,,
MIL,2016-03-24,4.2,26016.0,4.2,4.2,0,,,
