Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
MJE,2018-07-31,9.07,963295.0,9.82,8.6,0,,,
MJE,2018-08-02,8.55,522731.0,8.69,8.5,1,,,
MJE,2018-08-03,8.53,469705.0,8.6,8.25,0,0.4588,0.0,1.0
MJE,2018-08-07,8.23,269427.0,8.55,8.2,1,,,
MJE,2018-08-08,8.23,75683.0,8.25,8.2,0,0.4588,0.0,1.0
MJE,2018-08-09,8.28,372452.0,8.31,8.22,0,,,
MJE,2018-08-10,8.3,9408575.0,8.4,8.28,0,,,
MJE,2018-08-13,8.3,2626900.0,8.5,8.3,0,,,
MJE,2018-08-14,8.45,1244346.0,9.0,8.3,0,0.6369,0.0,1.0
MJE,2018-08-15,8.91,472927.0,9.0,8.3,0,,,
MJE,2018-08-16,8.97,231400.0,9.0,8.55,0,0.7376499999999999,0.0,1.0
MJE,2018-08-17,9.48,1046000.0,10.0,8.5,0,,,
MJE,2018-08-20,9.53,349204.0,10.0,8.5,0,,,
MJE,2018-08-21,9.83,1031384.0,10.0,9.0,0,0.4588,0.0,1.0
MJE,2018-08-22,9.6,115853.0,9.7,9.53,0,,,
MJE,2018-08-23,9.87,369237.0,10.0,9.7,0,0.4588,0.0,0.0
MJE,2018-08-24,9.75,610068.0,10.0,9.75,0,,,
MJE,2018-08-27,9.98,59514.0,10.0,9.6,0,,,
MJE,2018-08-28,9.73,441937.0,10.0,9.4,0,0.6369,0.0,0.0
MJE,2018-08-29,9.1,13374.0,9.75,8.5,0,0.62165,0.0,1.0
MJE,2018-08-30,9.69,9904.0,9.9,8.5,0,0.54785,0.0,0.0
MJE,2018-08-31,9.74,36539.0,9.75,9.69,0,0.6369,0.0,0.0
MJE,2018-09-03,9.67,11649.0,9.75,9.5,0,,,
MJE,2018-09-04,9.74,864.0,9.74,9.74,0,0.6369,0.0,0.0
MJE,2018-09-05,9.99,141858.0,10.0,9.8,0,,,
MJE,2018-09-06,9.98,195067.0,10.0,9.0,0,0.6369,0.0,0.0
MJE,2018-09-07,10.0,58323.0,10.0,9.98,0,0.54785,0.0,0.0
MJE,2018-09-10,9.99,304922.0,10.5,9.7,0,,,
MJE,2018-09-11,9.75,22945.0,10.0,9.0,0,0.6369,0.0,0.0
MJE,2018-09-12,10.02,25642.0,10.08,9.75,0,0.54785,0.0,0.0
MJE,2018-09-13,9.94,15253.0,10.0,9.0,0,0.6369,0.0,0.0
MJE,2018-09-14,9.89,225459.0,10.15,9.75,0,0.7107,0.0,0.0
MJE,2018-09-17,10.09,85408.0,10.57,10.0,0,,,
MJE,2018-09-18,10.11,8436.0,10.3,10.09,0,0.4588,0.0,1.0
MJE,2018-09-19,10.19,33733.0,10.35,10.16,0,0.5775333333333333,0.0,0.0
MJE,2018-09-20,10.42,83486.0,10.5,10.1,0,0.6369,0.0,0.0
MJE,2018-09-21,10.46,1942.0,10.5,10.45,0,,,
MJE,2018-09-24,10.25,55551.0,10.46,10.1,0,,,
MJE,2018-09-25,10.36,20600.0,10.4,10.25,0,0.6369,0.0,0.0
MJE,2018-09-26,10.35,55901.0,10.4,10.35,0,,,
