Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
MTL,2016-01-13,0.10495,9000.0,0.105,0.1049,0,,,
MTL,2016-01-14,0.105,10500.0,0.105,0.105,0,-0.2263,1.0,0.0
MTL,2016-01-15,0.105,1128920.0,0.105,0.105,0,,,
MTL,2016-01-19,0.105825,120594.0,0.11,0.105,1,,,
MTL,2016-01-20,0.11,94500.0,0.11,0.11,0,,,
MTL,2016-01-21,0.11,41800.0,0.11,0.11,0,-0.2263,0.0,0.0
MTL,2016-01-26,0.1105,27000.0,0.1105,0.1105,2,,,
MTL,2016-01-27,0.1105,73000.0,0.1105,0.1105,0,,,
MTL,2016-01-28,0.1105,151100.0,0.1105,0.1105,0,,,
MTL,2016-02-01,0.12,1000.0,0.12,0.12,1,,,
MTL,2016-02-04,0.120504,21000.0,0.1206,0.1205,2,0.0772,0.0,0.0
MTL,2016-02-05,0.135,102000.0,0.135,0.135,0,,,
MTL,2016-02-08,0.13699999999999998,35000.0,0.13699999999999998,0.13699999999999998,0,,,
MTL,2016-02-09,0.14,500.0,0.14,0.14,0,,,
MTL,2016-02-11,0.149722,180290.0,0.15,0.14,1,,,
MTL,2016-02-12,0.140291,30900.0,0.15,0.14,0,,,
MTL,2016-02-15,0.149255,120900.0,0.15,0.149,0,,,
MTL,2016-02-17,0.149016,7423.0,0.15,0.149,1,,,
MTL,2016-02-18,0.15,6400.0,0.15,0.15,0,,,
MTL,2016-02-19,0.149,6460.0,0.149,0.149,0,,,
MTL,2016-02-23,0.145,43600.0,0.145,0.145,1,,,
MTL,2016-02-24,0.145401,506000.0,0.15,0.145,0,,,
MTL,2016-02-29,0.144527,400300.0,0.145,0.1445,2,,,
MTL,2016-03-01,0.15,2640.0,0.15,0.15,0,,,
MTL,2016-03-02,0.15,6410.0,0.15,0.15,0,,,
MTL,2016-03-04,0.15,2500.0,0.15,0.15,1,,,
MTL,2016-03-07,0.15,250.0,0.15,0.15,0,,,
MTL,2016-03-09,0.14,7000.0,0.14,0.14,1,,,
MTL,2016-03-10,0.131,199000.0,0.131,0.131,0,,,
MTL,2016-03-14,0.130193,45000.0,0.131,0.13,1,,,
MTL,2016-03-16,0.13,4270.0,0.13,0.13,1,,,
MTL,2016-03-24,0.13,2500.0,0.13,0.13,5,,,
MTL,2016-03-29,0.1299,2300.0,0.1299,0.1299,2,,,
MTL,2016-03-31,0.13273900000000002,273730.0,0.135,0.1299,1,,,
MTL,2016-04-01,0.151462,298149.0,0.16,0.15,0,,,
MTL,2016-04-04,0.178592,540951.0,0.179,0.145,0,,,
MTL,2016-04-07,0.15,1750.0,0.15,0.15,2,,,
MTL,2016-04-11,0.140439,5230.0,0.15,0.14,1,,,
MTL,2016-04-12,0.145,6000.0,0.145,0.145,0,,,
MTL,2016-04-13,0.141389,7000.0,0.145,0.14,0,,,
MTL,2016-04-14,0.148703,27000.0,0.15,0.145,0,0.0,1.0,0.0
MTL,2016-04-18,0.149322,1772051.0,0.15,0.149,1,,,
MTL,2016-04-19,0.174572,577051.0,0.1747,0.16,0,,,
MTL,2016-04-20,0.160342,138798.0,0.165,0.15,0,,,
MTL,2016-04-27,0.16,1000.0,0.16,0.16,4,,,
MTL,2016-04-28,0.16,3150.0,0.16,0.16,0,,,
MTL,2016-04-29,0.16,2000.0,0.16,0.16,0,,,
MTL,2016-05-03,0.16,20039.0,0.16,0.16,1,,,
MTL,2016-05-05,0.16,1771.0,0.16,0.16,1,,,
MTL,2016-05-06,0.16,109.0,0.16,0.16,0,,,
MTL,2016-05-09,0.165374,46700.0,0.17,0.16,0,,,
MTL,2016-05-10,0.16502,402850.0,0.17,0.165,0,,,
MTL,2016-05-16,0.17,1370.0,0.17,0.17,3,,,
MTL,2016-05-17,0.174415,427500.0,0.175,0.17,0,,,
MTL,2016-05-19,0.2,200.0,0.2,0.2,1,,,
MTL,2016-05-20,0.2,531220.0,0.2,0.2,0,,,
MTL,2016-05-24,0.2,49500.0,0.2,0.2,1,,,
MTL,2016-06-20,0.2001,200.0,0.2001,0.2001,18,,,
MTL,2016-06-22,0.2,4265.0,0.2,0.2,1,,,
MTL,2016-06-27,0.2,1695.0,0.2,0.2,2,,,
MTL,2016-06-29,0.195,5000.0,0.195,0.195,1,,,
MTL,2016-07-01,0.19,159040.0,0.19,0.19,1,,,
MTL,2016-07-05,0.209831,164600.0,0.21,0.205,1,,,
MTL,2016-07-08,0.2,1295.0,0.2,0.2,2,,,
MTL,2016-07-11,0.2,7450.0,0.2,0.2,0,,,
MTL,2016-07-13,0.2,100.0,0.2,0.2,1,,,
MTL,2016-07-18,0.197565,1109980.0,0.21,0.185,2,,,
MTL,2016-07-19,0.195494,57080.0,0.21,0.1949,0,,,
MTL,2016-07-20,0.195,82940.0,0.195,0.195,0,,,
MTL,2016-07-21,0.204842,157045.0,0.21,0.1901,0,,,
MTL,2016-07-25,0.181195,4390.0,0.19,0.18,1,,,
MTL,2016-08-12,0.19,500.0,0.19,0.19,13,0.0,1.0,0.0
MTL,2016-08-15,0.18600000000000005,17326.0,0.18600000000000005,0.18600000000000005,0,,,
MTL,2016-08-26,0.2,18300.0,0.2,0.2,8,,,
MTL,2016-08-31,0.21,300000.0,0.21,0.21,2,,,
MTL,2016-09-01,0.209916,237000.0,0.21,0.2001,0,,,
MTL,2016-09-02,0.21,360272.0,0.21,0.21,0,,,
MTL,2016-09-05,0.237914,348738.0,0.2395,0.21,0,,,
MTL,2016-09-06,0.21,2710.0,0.21,0.21,0,,,
MTL,2016-09-07,0.21,6540.0,0.21,0.21,0,,,
MTL,2016-09-21,0.215,3150.0,0.215,0.215,9,,,
MTL,2016-09-23,0.223,10700.0,0.223,0.223,1,,,
MTL,2016-09-26,0.238225,31000.0,0.24,0.23,0,,,
MTL,2016-09-27,0.230058,48100.0,0.2301,0.23,0,,,
MTL,2016-09-28,0.235,120000.0,0.235,0.235,0,,,
MTL,2016-09-30,0.22155500000000006,9658.0,0.23,0.221,1,,,
MTL,2016-10-14,0.223,250.0,0.223,0.223,9,,,
