Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
NCBFG,2017-03-16,63.0,3625.0,65.0,62.0,0,,,
NCBFG,2017-03-17,63.02,4114559.0,64.9,63.0,0,,,
NCBFG,2017-03-20,62.63,426812.0,63.5,58.5,0,,,
NCBFG,2017-03-21,61.85,34365.0,61.99,61.0,0,0.4588,0.0,0.0
NCBFG,2017-03-22,61.99,3045325.0,62.0,61.0,0,,,
NCBFG,2017-03-23,61.1,76297.0,61.99,61.0,0,0.0,0.0,0.0
NCBFG,2017-03-24,62.0,31659.0,62.0,61.99,0,,,
NCBFG,2017-03-27,61.67,11943.0,61.98,61.5,0,,,
NCBFG,2017-03-28,61.62,39418.0,61.9,61.4,0,,,
NCBFG,2017-03-29,61.18,70854.0,61.99,61.0,0,-0.07455,0.0,0.0
NCBFG,2017-03-30,61.12,12137.0,61.99,61.0,0,,,
NCBFG,2017-03-31,61.56,88020.0,61.8,60.0,0,,,
NCBFG,2017-04-03,61.55,7299.0,61.8,60.0,0,,,
NCBFG,2017-04-04,61.94,292664.0,62.0,61.0,0,,,
NCBFG,2017-04-05,61.97,318152.0,62.0,61.0,0,,,
NCBFG,2017-04-06,62.0,1862138.0,62.0,61.9,0,,,
NCBFG,2017-04-07,62.4,2216545.0,63.0,62.0,0,,,
NCBFG,2017-04-10,62.69,15500.0,63.5,62.3,0,,,
NCBFG,2017-04-11,63.5,19712.0,65.0,62.4,0,,,
NCBFG,2017-04-12,64.92,98474.0,65.0,63.2,0,,,
NCBFG,2017-04-13,65.01,43392.0,66.9,64.0,0,,,
NCBFG,2017-04-18,65.1,38440.0,75.0,64.92,2,,,
NCBFG,2017-04-19,66.59,36393.0,70.0,65.0,0,,,
NCBFG,2017-04-20,64.96,1133567.0,66.0,64.01,0,,,
NCBFG,2017-04-21,65.0,45850.0,65.0,64.55,0,,,
NCBFG,2017-04-24,65.0,37342.0,65.0,64.6,0,,,
NCBFG,2017-04-25,64.14,65960.0,65.0,63.5,0,,,
NCBFG,2017-04-26,65.0,65310.0,65.0,64.5,0,,,
NCBFG,2017-04-27,63.78,93122.0,65.0,63.01,0,-0.2263,1.0,0.0
NCBFG,2017-04-28,68.25,138083.0,72.5,64.99,0,-0.2263,0.0,0.0
NCBFG,2017-05-01,69.75,116119.0,70.0,67.5,0,,,
NCBFG,2017-05-02,69.98,153071.0,70.0,69.1,0,0.29600000000000004,0.0,0.0
NCBFG,2017-05-03,70.39,374261.0,71.0,69.1,0,,,
NCBFG,2017-05-04,71.82,99565.0,72.0,70.5,0,,,
NCBFG,2017-05-05,70.69,77094.0,72.0,70.5,0,,,
NCBFG,2017-05-08,70.53,143410.0,71.0,70.11,0,,,
NCBFG,2017-05-09,71.48,129724.0,72.0,70.5,0,0.0772,0.0,1.0
NCBFG,2017-05-10,71.9,46216.0,72.0,71.5,0,,,
NCBFG,2017-05-11,71.92,62220.0,72.0,70.56,0,,,
NCBFG,2017-05-12,71.23,95793.0,72.0,70.02,0,0.0772,0.0,1.0
NCBFG,2017-05-15,71.47,49561.0,72.0,70.02,0,,,
NCBFG,2017-05-16,71.76,36196.0,72.0,71.25,0,,,
NCBFG,2017-05-17,71.63,130222.0,72.0,71.4,0,,,
NCBFG,2017-05-18,70.9,35485.0,72.0,70.51,0,,,
NCBFG,2017-05-19,71.9,9368.0,71.99,71.8,0,,,
NCBFG,2017-05-22,71.22,170655.0,72.0,70.55,0,,,
NCBFG,2017-05-24,70.87,13881.0,71.5,70.55,1,,,
NCBFG,2017-05-25,70.98,43749.0,71.5,70.61,0,,,
NCBFG,2017-05-26,70.67,242233.0,71.0,70.0,0,,,
NCBFG,2017-05-29,70.79,61352.0,71.0,70.0,0,,,
NCBFG,2017-05-30,70.95,6478.0,71.0,70.6,0,,,
NCBFG,2017-05-31,70.87,29295.0,71.0,70.5,0,0.4588,0.0,1.0
NCBFG,2017-06-01,70.91,50828.0,71.0,70.5,0,,,
NCBFG,2017-06-02,70.91,69538.0,71.0,70.49,0,,,
NCBFG,2017-06-05,70.79,6431.0,70.99,70.55,0,,,
NCBFG,2017-06-06,70.93,94931.0,71.0,70.0,0,,,
NCBFG,2017-06-07,70.3,4079621.0,71.5,70.0,0,,,
NCBFG,2017-06-08,70.17,96597.0,71.0,70.0,0,,,
NCBFG,2017-06-09,71.01,886407.0,71.5,70.2,0,0.4588,0.0,1.0
NCBFG,2017-06-12,71.23,206040.0,71.9,71.0,0,,,
NCBFG,2017-06-13,71.07,67138.0,71.23,70.5,0,,,
NCBFG,2017-06-14,71.72,147890.0,72.0,70.05,0,,,
