Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
PJAM,2016-01-05,94.01,770.0,94.01,94.01,0,,,
PJAM,2016-01-06,94.0,125.0,94.0,94.0,0,,,
PJAM,2016-01-07,94.0,750.0,94.0,94.0,0,,,
PJAM,2016-01-08,96.0,3555.0,96.0,96.0,0,,,
PJAM,2016-01-11,96.0,400.0,96.0,96.0,0,,,
PJAM,2016-01-12,94.85,109010.0,95.01,94.5,0,,,
PJAM,2016-01-13,96.0,6500.0,96.0,96.0,0,,,
PJAM,2016-01-14,94.14,5247.0,94.15,94.06,0,,,
PJAM,2016-01-15,94.08,8528.0,94.15,94.06,0,,,
PJAM,2016-01-18,94.05,15238.0,95.0,94.0,0,,,
PJAM,2016-01-19,94.0,144908.0,94.05,94.0,0,,,
PJAM,2016-01-20,95.65,1217051.0,96.0,94.01,0,,,
PJAM,2016-01-21,96.0,10779.0,96.0,96.0,0,,,
PJAM,2016-01-22,96.0,4382.0,96.0,96.0,0,,,
PJAM,2016-01-26,97.69,10830.0,98.0,97.5,1,,,
PJAM,2016-01-27,94.45,100100.0,98.0,94.0,0,,,
PJAM,2016-01-28,96.5,3346.0,96.5,96.5,0,,,
PJAM,2016-01-29,98.0,100.0,98.0,98.0,0,,,
PJAM,2016-02-01,94.94,2930.0,98.0,94.0,0,,,
PJAM,2016-02-03,96.95,6030.0,97.5,94.94,1,,,
PJAM,2016-02-04,94.33,3187.0,97.5,94.0,0,,,
PJAM,2016-02-08,96.0,400000.0,96.0,96.0,1,,,
PJAM,2016-02-09,94.53,192708.0,97.5,94.5,0,,,
PJAM,2016-02-12,96.0,2045279.0,96.0,96.0,2,,,
PJAM,2016-02-16,96.0,49943.0,96.0,94.55,1,,,
PJAM,2016-02-17,96.0,334.0,96.0,96.0,0,,,
PJAM,2016-02-18,96.0,300.0,96.01,96.0,0,,,
PJAM,2016-02-19,95.36,14727.0,96.0,94.7,0,,,
PJAM,2016-02-22,95.5,300.0,95.5,95.5,0,0.34,0.0,0.0
PJAM,2016-02-25,94.5,4231.0,94.5,94.5,2,,,
PJAM,2016-02-29,94.87,986.0,95.0,94.5,1,,,
PJAM,2016-03-01,94.27,1633.0,94.3,94.2,0,,,
PJAM,2016-03-02,95.0,33044.0,95.0,95.0,0,0.6486,0.0,0.0
PJAM,2016-03-03,95.0,600.0,95.0,95.0,0,,,
PJAM,2016-03-04,94.99,27256.0,95.0,94.2,0,,,
PJAM,2016-03-07,95.0,20000.0,95.0,95.0,0,,,
PJAM,2016-03-08,95.48,12900.0,96.0,95.0,0,,,
PJAM,2016-03-10,94.0,1011.0,94.0,94.0,1,,,
PJAM,2016-03-11,94.0,1223.0,94.0,94.0,0,,,
PJAM,2016-03-16,95.0,100.0,95.0,95.0,2,,,
PJAM,2016-03-18,93.35,6096.0,94.0,93.02,1,0.2023,1.0,0.0
PJAM,2016-03-21,93.11,48996.0,93.75,93.0,0,,,
PJAM,2016-03-22,93.0,468.0,93.0,93.0,0,,,
PJAM,2016-03-23,93.0,15039.0,93.0,93.0,0,,,
PJAM,2016-03-24,93.96,62670.0,94.0,93.0,0,,,
PJAM,2016-03-29,94.0,1034.0,94.0,94.0,2,,,
PJAM,2016-03-31,93.37,5435.0,94.0,93.0,1,,,
PJAM,2016-04-01,93.01,4288.0,93.05,93.0,0,,,
PJAM,2016-04-04,93.0,3500.0,93.0,93.0,0,,,
PJAM,2016-04-05,93.02,34232.0,94.0,93.0,0,,,
PJAM,2016-04-06,93.0,15826.0,93.1,93.0,0,,,
PJAM,2016-04-07,93.0,41878.0,93.0,93.0,0,,,
PJAM,2016-04-08,93.1,3999.0,93.1,93.0,0,,,
PJAM,2016-04-12,90.0,265.0,90.0,90.0,1,,,
PJAM,2016-04-13,90.0,17626.0,90.0,90.0,0,,,
PJAM,2016-04-14,90.2,564.0,90.2,90.2,0,,,
PJAM,2016-04-15,90.0,550.0,90.0,90.0,0,,,
PJAM,2016-04-19,89.53,1821.0,90.0,89.0,1,,,
PJAM,2016-04-20,89.42,11500.0,90.0,89.0,0,,,
