Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
PULS,2016-01-06,2.85,10000.0,2.85,2.85,0,,,
PULS,2016-01-11,2.87,5765.0,3.0,2.85,2,,,
PULS,2016-01-13,2.85,17000.0,2.85,2.85,1,,,
PULS,2016-01-14,2.84,4321.0,2.9,2.75,0,,,
PULS,2016-01-20,2.7000000000000006,7000.0,2.7000000000000006,2.7000000000000006,3,,,
PULS,2016-01-21,2.5,30100.0,2.7,2.5,0,,,
PULS,2016-01-26,2.6,19848.0,2.6,2.6,2,-0.2263,1.0,0.0
PULS,2016-01-28,2.99,102235.0,3.0,2.85,1,,,
PULS,2016-01-29,3.19,29583.0,3.25,3.0,0,,,
PULS,2016-02-01,3.22,10002000.0,3.22,3.0,0,,,
PULS,2016-02-02,3.25,27417.0,3.25,3.25,0,0.4588,0.0,1.0
PULS,2016-02-03,3.5,50000.0,3.5,3.5,0,,,
PULS,2016-02-04,3.9,20000.0,3.9,3.9,0,,,
PULS,2016-02-05,3.96,819301.0,4.01,3.9,0,,,
PULS,2016-02-09,4.12,263268.0,4.5,4.1,1,,,
PULS,2016-02-11,4.25,230500.0,4.8,4.1,1,,,
PULS,2016-02-12,4.65,5000.0,4.65,4.65,0,,,
PULS,2016-02-16,4.64,2500.0,4.64,4.64,1,,,
PULS,2016-02-19,4.4,1500.0,4.4,4.4,2,,,
PULS,2016-02-24,3.78,5900.0,4.25,3.7,2,,,
PULS,2016-02-25,3.34,206000.0,3.56,3.22,0,,,
PULS,2016-02-26,3.7,20000.0,3.7,3.7,0,,,
PULS,2016-03-01,3.76,95000.0,3.92,3.15,1,,,
PULS,2016-03-09,2.56,22294.0,2.75,2.4,5,,,
PULS,2016-03-10,2.5,344533.0,2.55,2.5,0,,,
PULS,2016-03-11,2.91,77000.0,2.91,2.91,0,,,
PULS,2016-03-15,2.9,12400.0,2.91,2.9,1,,,
PULS,2016-03-17,3.3,10000.0,3.3,3.3,1,,,
PULS,2016-03-30,2.9,2000.0,2.9,2.9,8,-0.2263,0.0,0.0
PULS,2016-03-31,3.23,50000.0,3.23,3.23,0,,,
PULS,2016-04-08,2.99,10000.0,2.99,2.99,5,,,
PULS,2016-04-12,3.18,64000.0,3.19,3.0,1,,,
PULS,2016-04-21,3.0,1400.0,3.0,3.0,6,,,
PULS,2016-04-22,2.62,12996.0,3.0,2.5,0,,,
PULS,2016-04-27,2.27,72980.0,2.8,2.25,2,,,
PULS,2016-04-28,2.53,185515.0,2.95,2.5,0,,,
PULS,2016-05-03,3.01,3987.0,3.01,3.01,2,,,
PULS,2016-05-16,3.1,1500.0,3.1,3.1,8,,,
PULS,2016-05-19,3.01,3800.0,3.1,3.0,2,0.0,1.0,0.0
PULS,2016-05-20,3.1,4000.0,3.1,3.1,0,,,
PULS,2016-05-26,3.1,10164.0,3.1,3.1,3,,,
PULS,2016-05-27,3.2,5600.0,3.2,3.2,0,,,
PULS,2016-05-31,3.11,5836.0,3.11,3.1,1,,,
PULS,2016-06-02,3.0,2000.0,3.0,3.0,1,,,
PULS,2016-06-06,3.0,100000.0,3.0,3.0,1,,,
PULS,2016-06-09,2.55,2000.0,2.55,2.55,2,,,
PULS,2016-06-10,2.9,3000.0,2.9,2.9,0,,,
PULS,2016-06-15,3.0,8300.0,3.0,3.0,2,,,
PULS,2016-06-16,2.99,8000.0,2.99,2.99,0,,,
PULS,2016-06-27,2.55,3000.0,2.55,2.55,6,,,
PULS,2016-06-28,2.55,3000.0,2.55,2.55,0,,,
PULS,2016-06-30,2.55,14985.0,2.55,2.54,1,,,
PULS,2016-07-11,2.49,30877.0,2.5,2.49,6,,,
PULS,2016-07-12,2.55,30000.0,2.55,2.55,0,,,
PULS,2016-07-19,2.9,7000.0,2.9,2.9,4,,,
PULS,2016-07-20,3.25,200000.0,3.25,3.25,0,,,
PULS,2016-07-21,3.3,30000.0,3.3,3.3,0,,,
PULS,2016-07-28,3.7,1500.0,3.7,3.7,4,,,
PULS,2016-07-29,3.85,8000.0,3.85,3.85,0,,,
PULS,2016-08-04,3.85,2000.0,3.85,3.85,3,,,
PULS,2016-08-09,3.86,1700.0,3.86,3.86,2,,,
PULS,2016-08-18,3.7599999999999993,25000.0,3.8600000000000003,3.5,6,,,
PULS,2016-08-22,3.89,15000.0,4.0,3.8,1,,,
PULS,2016-08-23,3.9,1500.0,3.9,3.9,0,,,
PULS,2016-08-31,3.75,800.0,3.75,3.75,5,-0.2263,1.0,0.0
PULS,2016-09-02,3.2,8000.0,3.2,3.2,1,,,
PULS,2016-09-14,3.2,3387.0,3.2,3.2,7,,,
PULS,2016-09-15,3.65,2550.0,3.65,3.65,0,,,
PULS,2016-09-16,3.85,37200.0,4.0,3.75,0,,,
PULS,2016-09-20,3.98,5500.0,4.0,3.9,1,,,
PULS,2016-09-22,3.9,2200.0,3.9,3.9,1,,,
PULS,2016-10-06,3.9,6613.0,3.9,3.9,9,,,
PULS,2016-10-07,3.9,6700.0,3.9,3.9,0,,,
PULS,2016-10-20,3.9,1098.0,3.9,3.9,8,,,
PULS,2016-10-24,3.3,20000.0,3.3,3.3,1,,,
PULS,2016-11-10,3.3,50000.0,3.3,3.3,12,,,
PULS,2016-11-15,3.5,350.0,3.5,3.5,2,,,
PULS,2016-11-16,3.9,5163.0,3.9,3.9,0,,,
PULS,2016-11-25,3.9,25000.0,4.0,3.9,6,,,
PULS,2016-12-05,4.0,5000.0,4.0,4.0,5,,,
PULS,2016-12-07,4.0,11000.0,4.0,4.0,1,0.0772,0.0,0.0
PULS,2016-12-12,3.9,4546.0,3.9,3.9,2,,,
PULS,2016-12-13,3.9,13523.0,3.9,3.9,0,,,
PULS,2016-12-28,3.56,115621.0,4.0,3.0,10,0.4588,0.0,0.0
PULS,2017-01-04,4.0,5000.0,4.0,4.0,4,,,
PULS,2017-01-05,3.98,19715.0,4.0,3.5,0,,,
PULS,2017-01-06,3.82,53383.0,4.0,3.7,0,,,
PULS,2017-01-09,3.97,43803.0,4.0,3.95,0,,,
PULS,2017-01-11,4.0,1000.0,4.0,4.0,1,,,
PULS,2017-01-12,4.0,25000.0,4.0,4.0,0,,,
PULS,2017-01-17,4.03,24651.0,4.5,4.0,2,,,
PULS,2017-01-18,3.98,57791.0,4.5,3.7,0,,,
PULS,2017-01-19,4.35,1500.0,4.35,4.35,0,,,
PULS,2017-01-20,4.35,1000.0,4.35,4.35,0,,,
PULS,2017-01-23,4.35,1961.0,4.35,4.35,0,,,
PULS,2017-01-24,4.35,30000.0,4.35,4.35,0,,,
PULS,2017-01-25,4.75,12000.0,4.95,4.35,0,,,
