Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
SALF,2016-02-19,8.62,240.0,8.62,8.62,0,,,
SALF,2016-02-23,9.25,30197.0,9.25,9.25,1,,,
SALF,2016-02-24,9.25,19327.0,9.25,9.25,0,,,
SALF,2016-02-26,8.55,25826.0,8.62,8.5,1,,,
SALF,2016-04-15,8.8,100.0,8.8,8.8,34,,,
SALF,2016-05-11,7.720000000000001,6000.0,8.8,7.5,17,,,
SALF,2016-06-22,8.0,90000.0,8.0,8.0,29,,,
SALF,2016-07-26,8.05,100.0,8.05,8.05,23,,,
SALF,2016-08-17,8.2,500.0,8.2,8.2,15,,,
SALF,2016-08-19,8.19,598045.0,8.19,8.19,1,0.4404,0.0,0.0
SALF,2016-08-24,8.2,2400.0,8.2,8.2,2,,,
SALF,2016-08-26,9.15,1015.0,9.15,9.15,1,,,
SALF,2016-09-12,8.0,900.0,8.0,8.0,10,,,
SALF,2016-09-20,8.2,494.0,8.4,7.9,5,,,
SALF,2016-09-22,7.9,10525.0,7.9,7.9,1,,,
SALF,2016-09-23,7.9,1565.0,7.9,7.9,0,,,
SALF,2016-09-27,7.9,1416.0,7.9,7.9,1,,,
SALF,2016-09-28,7.9,10000.0,7.9,7.9,0,,,
SALF,2016-11-01,8.5,5400.0,8.5,8.5,23,,,
SALF,2017-01-06,8.5,320.0,8.5,8.5,47,,,
SALF,2017-01-19,8.06,6000.0,8.15,8.05,8,,,
SALF,2017-01-26,8.0,1213.0,8.0,8.0,4,0.0,1.0,0.0
SALF,2017-01-30,8.0,148787.0,8.0,8.0,1,,,
SALF,2017-02-07,9.25,20000.0,9.25,9.25,5,0.0,1.0,0.0
SALF,2017-02-10,9.24,1802.0,9.24,9.24,2,,,
SALF,2017-02-14,9.24,100.0,9.24,9.24,1,,,
SALF,2017-02-16,9.24,2990.0,9.24,9.24,1,,,
SALF,2017-02-27,9.24,1000.0,9.24,9.24,6,,,
SALF,2017-03-27,9.0,320.0,9.0,9.0,19,,,
SALF,2017-03-30,9.0,23000.0,9.0,9.0,2,,,
SALF,2017-03-31,8.04,3560.0,8.05,8.0,0,,,
SALF,2017-04-19,7.05,1000.0,7.05,7.05,12,,,
SALF,2017-04-20,6.9,450.0,6.9,6.9,0,,,
SALF,2017-04-21,6.5,3870.0,6.5,6.5,0,,,
SALF,2017-05-02,7.99,15400.0,8.0,7.99,6,,,
SALF,2017-05-08,8.0,2700.0,8.0,8.0,3,,,
SALF,2017-05-10,8.0,122816.0,8.0,8.0,1,0.0,1.0,0.0
SALF,2017-05-18,7.85,9000.0,7.85,7.85,5,,,
SALF,2017-05-22,7.5,8000.0,7.5,7.48,1,,,
SALF,2017-05-26,8.5,10000.0,8.5,8.5,3,,,
SALF,2017-05-29,8.5,4000.0,8.5,8.5,0,,,
SALF,2017-06-05,9.73,350.0,10.0,9.05,4,,,
SALF,2017-06-06,10.0,2000.0,10.0,10.0,0,,,
SALF,2017-06-09,10.02,101650.0,11.0,10.0,2,,,
SALF,2017-06-12,11.0,220.0,11.0,11.0,0,,,
SALF,2017-06-13,10.0,500.0,10.0,10.0,0,,,
SALF,2017-06-16,10.0,300.0,10.0,10.0,2,,,
SALF,2017-06-19,10.0,1428.0,10.0,10.0,0,,,
SALF,2017-07-06,10.0,1128.0,10.0,10.0,12,,,
SALF,2017-07-20,9.0,400.0,9.0,9.0,9,,,
SALF,2017-07-31,9.33,20000.0,9.33,9.33,6,,,
SALF,2017-08-02,8.61,60000.0,8.61,8.61,1,,,
SALF,2017-08-04,9.3,1300.0,9.3,9.3,1,,,
SALF,2017-08-09,9.11,2430.0,9.11,9.11,2,0.0,1.0,0.0
SALF,2017-08-10,9.5,128.0,9.5,9.5,0,,,
SALF,2017-08-15,9.5,442.0,9.5,9.5,2,,,
SALF,2017-08-16,9.5,1158.0,9.5,9.5,0,,,
SALF,2017-08-21,10.0,250.0,10.0,10.0,2,,,
SALF,2017-08-23,10.0,2000.0,10.0,10.0,1,,,
SALF,2017-08-29,10.0,7705.0,10.0,10.0,3,,,
SALF,2017-08-31,8.03,100000.0,8.6,8.0,1,,,
SALF,2017-09-01,8.5,100000.0,8.5,8.5,0,,,
SALF,2017-09-04,8.5,200000.0,8.55,8.5,0,,,
SALF,2017-09-05,8.6,100000.0,8.6,8.6,0,,,
SALF,2017-09-06,8.6,100500.0,8.6,8.5,0,,,
SALF,2017-09-07,8.64,53870.0,10.5,8.5,0,0.4588,0.0,1.0
SALF,2017-09-08,8.5,500.0,8.5,8.5,0,,,
SALF,2017-09-11,8.5,1000.0,8.5,8.5,0,,,
SALF,2017-09-13,8.0,1500.0,8.0,8.0,1,,,
SALF,2017-09-14,8.5,75000.0,8.5,8.5,0,0.0,0.0,0.0
SALF,2017-09-19,8.0,9000.0,8.0,8.0,2,,,
SALF,2017-09-20,8.0,88783.0,8.0,8.0,0,,,
SALF,2017-09-21,8.0,3316.0,8.0,8.0,0,,,
SALF,2017-09-28,8.55,10250.0,9.0,8.5,4,0.5994,0.0,1.0
SALF,2017-09-29,8.5,7400.0,8.5,8.5,0,,,
SALF,2017-10-05,8.5,10000.0,8.5,8.5,3,0.29600000000000004,0.0,1.0
SALF,2017-10-12,8.5,200000.0,8.5,8.5,4,,,
SALF,2017-10-13,8.5,350000.0,8.5,8.5,0,,,
SALF,2017-10-19,9.8,1000.0,10.0,9.75,3,,,
SALF,2017-10-20,9.8,2000.0,9.8,9.8,0,,,
SALF,2017-11-02,8.5,10000.0,8.5,8.5,8,,,
SALF,2017-11-03,7.58,321960.0,8.5,7.5,0,,,
SALF,2017-11-17,8.5,742613.0,9.5,8.5,9,-0.2263,0.0,0.0
SALF,2017-11-20,8.57,824963.0,9.1,8.5,0,,,
SALF,2017-11-22,9.79,16250.0,10.8,9.77,1,,,
SALF,2017-11-23,10.0,2000.0,10.0,10.0,0,,,
SALF,2017-11-28,8.81,2000.0,8.81,8.81,2,,,
SALF,2017-12-07,7.94,60000.0,8.8,7.480000000000001,6,-0.2263,1.0,0.0
SALF,2017-12-08,9.0,5000.0,9.0,9.0,0,,,
SALF,2017-12-11,9.5,5000.0,9.5,9.5,0,,,
SALF,2017-12-12,9.61,3117.0,9.61,9.61,0,,,
SALF,2017-12-13,9.87,5450.0,10.0,9.85,0,,,
SALF,2017-12-19,9.95,5000.0,9.95,9.95,3,0.0772,0.0,1.0
SALF,2017-12-21,9.95,4000.0,9.95,9.95,1,0.0772,0.0,1.0
SALF,2017-12-22,9.95,500.0,9.95,9.95,0,,,
SALF,2017-12-27,10.32,28000.0,10.5,10.0,2,,,
SALF,2017-12-28,11.46,102000.0,11.5,11.0,0,,,
SALF,2017-12-29,11.25,32049.0,11.25,11.25,0,,,
SALF,2018-01-02,11.58,117951.0,12.0,11.5,1,,,
SALF,2018-01-03,13.0,1000.0,13.0,13.0,0,,,
SALF,2018-01-05,11.0,30000.0,11.0,11.0,1,,,
SALF,2018-01-08,11.0,34000.0,11.0,11.0,0,0.4588,0.0,1.0
SALF,2018-01-11,11.0,232.0,11.0,11.0,2,,,
SALF,2018-01-18,11.02,5000.0,11.5,11.0,4,,,
SALF,2018-01-19,12.5,220.0,12.5,12.5,0,,,
SALF,2018-01-22,12.5,1735.0,12.51,12.5,0,,,
SALF,2018-01-29,12.55,100.0,12.55,12.55,4,-0.21075,0.0,0.0
SALF,2018-01-30,11.0,500.0,11.0,11.0,0,,,
SALF,2018-01-31,10.8,1355.0,11.0,10.5,0,,,
SALF,2018-02-02,10.5,49471.0,10.5,10.5,1,,,
SALF,2018-02-06,10.51,2950.0,10.51,10.51,1,,,
SALF,2018-02-08,10.66,102000.0,11.2,10.65,1,-0.2263,1.0,0.0
SALF,2018-02-09,12.0,300.0,12.0,12.0,0,,,
SALF,2018-02-13,10.51,200.0,10.51,10.51,1,,,
SALF,2018-02-15,10.38,1000.0,10.51,9.95,1,,,
SALF,2018-02-19,11.0,10000.0,11.0,11.0,1,0.4588,0.0,1.0
SALF,2018-02-21,12.0,9100.0,12.0,12.0,1,0.4588,0.0,1.0
SALF,2018-02-22,11.49,77119.0,12.2,11.0,0,,,
SALF,2018-02-23,12.0,5000.0,12.0,12.0,0,,,
SALF,2018-02-27,10.5,100.0,10.5,10.5,1,,,
SALF,2018-02-28,11.5,50000.0,11.5,11.5,0,,,
SALF,2018-03-01,10.56,687500.0,10.85,10.5,0,,,
SALF,2018-03-08,12.05,250.0,12.05,12.05,4,,,
