Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
SCIJMD,2018-09-05,11.42,4000.0,11.42,11.42,0,0.4588,0.0,0.0
SCIJMD,2019-06-20,13.059999999999999,794875.0,13.059999999999999,13.059999999999999,205,,,
SCIJMD,2019-11-22,13.059999999999999,900.0,13.059999999999999,13.059999999999999,110,,,
SCIJMD,2019-11-27,13.06,12700.0,13.06,13.06,2,,,
SCIJMD,2019-12-02,23.0,3135.0,23.0,23.0,2,,,
SCIJMD,2019-12-03,23.22,14192.0,23.73,23.0,0,,,
SCIJMD,2019-12-04,23.44,84455.0,23.99,22.5,0,,,
SCIJMD,2019-12-05,23.91,4258.0,23.98,23.5,0,,,
SCIJMD,2019-12-06,23.0,13692.0,23.5,23.0,0,,,
SCIJMD,2019-12-09,21.799195,33846.0,23.0,21.0,0,,,
SCIJMD,2019-12-10,21.073152,212489.0,22.9,21.0,0,,,
SCIJMD,2019-12-11,21.355736,74515.0,22.95,21.0,0,,,
SCIJMD,2019-12-12,22.49232,20111.0,23.0,21.6,0,,,
SCIJMD,2019-12-13,21.62,20476.0,22.1,21.2,0,,,
SCIJMD,2019-12-16,22.269512,10599.0,22.79,21.21,0,,,
SCIJMD,2019-12-17,22.812549,496227.0,22.9,22.79,0,,,
SCIJMD,2019-12-18,23.685792000000006,78111.0,24.0,22.9,0,,,
SCIJMD,2019-12-19,24.95101,47758.0,27.0,24.0,0,,,
SCIJMD,2019-12-20,27.200021000000003,72065.0,30.0,26.0,0,,,
SCIJMD,2019-12-23,26.993726,146425.0,28.0,26.5,0,,,
SCIJMD,2019-12-24,26.979255,26030.0,27.0,26.5,0,,,
SCIJMD,2019-12-27,25.920203,34783.0,27.0,25.14,2,,,
SCIJMD,2019-12-30,26.288743,25823.0,27.0,25.7,0,,,
SCIJMD,2019-12-31,25.981259,10672.0,26.0,25.8,0,,,
SCIJMD,2020-01-02,25.751977,8472.0,26.0,25.0,1,,,
SCIJMD,2020-01-03,25.832639,34336.0,26.0,25.0,0,,,
SCIJMD,2020-01-06,25.839008,22416.0,26.0,25.1,0,,,
SCIJMD,2020-01-07,25.780445,9747.0,26.0,25.5,0,,,
SCIJMD,2020-01-08,25.841987,29709.0,26.0,25.55,0,,,
SCIJMD,2020-01-09,26.393149,92554.0,27.0,25.7,0,,,
SCIJMD,2020-01-10,27.0,740.0,27.0,27.0,0,,,
SCIJMD,2020-01-13,26.932663,49904.0,27.0,26.5,0,,,
SCIJMD,2020-01-14,26.982612,9633.0,27.0,26.5,0,,,
SCIJMD,2020-01-15,25.951517000000006,38791.0,27.0,25.51,0,,,
SCIJMD,2020-01-16,26.999225,3869.0,27.0,26.94,0,,,
SCIJMD,2020-01-17,26.925285,25616.0,26.95,26.5,0,,,
SCIJMD,2020-01-20,26.579882,22847.0,26.95,25.7,0,,,
SCIJMD,2020-01-21,26.293324,31627.0,26.95,25.6,0,,,
SCIJMD,2020-01-22,26.035359,29288.0,26.9,25.75,0,,,
SCIJMD,2020-01-23,26.907298,19340.0,26.95,26.9,0,,,
SCIJMD,2020-01-24,26.9283,717706.0,26.95,26.61,0,,,
SCIJMD,2020-01-27,26.639412,46961.0,26.93,25.8,0,,,
SCIJMD,2020-01-28,25.301979,62072.0,26.5,25.0,0,,,
SCIJMD,2020-01-29,25.629498,6031.0,26.5,25.0,0,,,
SCIJMD,2020-01-30,25.809216,2474.0,26.0,25.5,0,,,
SCIJMD,2020-01-31,26.010883,37121.0,26.5,25.5,0,,,
SCIJMD,2020-02-03,26.213517,14870.0,26.5,25.9,0,,,
SCIJMD,2020-02-04,25.906562,21007.0,26.5,24.5,0,,,
SCIJMD,2020-02-05,23.637058,47837.0,25.5,20.0,0,,,
SCIJMD,2020-02-06,24.650182,29744.0,25.6,24.25,0,,,
