Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
SELECTF,2019-08-09,1.44,335000.0,1.69,1.3,0,0.8658,0.0,0.0
SELECTF,2019-08-12,1.76,41648703.0,1.98,1.48,0,,,
SELECTF,2019-08-13,1.64,57202242.0,1.81,1.53,0,,,
SELECTF,2019-08-14,1.66,101996594.0,1.76,1.65,0,,,
SELECTF,2019-08-15,1.66,60735373.0,1.78,1.53,0,,,
SELECTF,2019-08-16,1.67,31216748.0,1.73,1.6,0,,,
SELECTF,2019-08-19,1.63,22385866.0,1.92,1.5,0,,,
SELECTF,2019-08-20,1.61,24684133.0,1.66,1.6,0,,,
SELECTF,2019-08-21,1.6,18124079.0,1.7,1.58,0,,,
SELECTF,2019-08-22,1.54,11980023.0,1.61,1.5,0,,,
SELECTF,2019-08-23,1.44,19082235.0,1.51,1.31,0,,,
SELECTF,2019-08-26,1.39,22963415.0,1.5,1.3,0,,,
SELECTF,2019-08-27,1.28,12817758.0,1.5,1.2,0,,,
SELECTF,2019-08-28,1.29,15930383.0,1.5,1.15,0,,,
SELECTF,2019-08-29,1.29,16343848.0,1.34,1.26,0,,,
SELECTF,2019-08-30,1.26,13442708.0,1.33,1.25,0,,,
SELECTF,2019-09-02,1.27,7352770.0,1.3,1.25,0,,,
SELECTF,2019-09-03,1.28,7886757.0,1.3,1.2,0,,,
SELECTF,2019-09-04,1.28,8140570.0,1.35,1.15,0,,,
SELECTF,2019-09-05,1.28,2877223.0,1.31,1.25,0,,,
SELECTF,2019-09-06,1.25,2021287.0,1.3,1.22,0,,,
SELECTF,2019-09-09,1.23,3696281.0,1.29,1.17,0,,,
SELECTF,2019-09-10,1.16,6665393.0,1.35,1.11,0,,,
SELECTF,2019-09-11,1.15,10371508.0,1.17,1.12,0,,,
SELECTF,2019-09-12,1.15,11818639.0,1.17,1.15,0,,,
SELECTF,2019-09-13,1.16,9092602.0,1.3,1.05,0,,,
SELECTF,2019-09-16,1.16,4631465.0,1.17,1.13,0,,,
SELECTF,2019-09-17,1.18,4469207.0,1.2,1.15,0,,,
SELECTF,2019-09-18,1.16,3599425.0,1.18,1.15,0,,,
SELECTF,2019-09-19,1.16,3231618.0,1.2,1.15,0,,,
SELECTF,2019-09-20,1.18,2429303.0,1.19,1.16,0,,,
SELECTF,2019-09-23,1.16,4292388.0,1.27,1.15,0,,,
SELECTF,2019-09-24,1.16,4325118.0,1.18,1.15,0,,,
SELECTF,2019-09-25,1.17,2789787.0,1.18,1.15,0,,,
SELECTF,2019-09-26,1.16,3422485.0,1.18,1.15,0,,,
SELECTF,2019-09-27,1.16,1367372.0,1.18,1.15,0,,,
SELECTF,2019-09-30,1.17,3773640.0,1.19,1.16,0,,,
SELECTF,2019-10-01,1.2,8895701.0,1.24,1.15,0,,,
SELECTF,2019-10-02,1.22,3035129.0,1.25,1.2,0,,,
SELECTF,2019-10-03,1.21,3996141.0,1.24,1.18,0,,,
SELECTF,2019-10-04,1.21,2571470.0,1.25,1.19,0,,,
SELECTF,2019-10-07,1.17,6441397.0,1.2,1.15,0,,,
SELECTF,2019-10-08,1.16,2038274.0,1.19,1.16,0,,,
SELECTF,2019-10-09,1.17,4055288.0,1.19,1.16,0,,,
SELECTF,2019-10-10,1.17,4487545.0,1.2,1.16,0,,,
SELECTF,2019-10-11,1.17,1083466.0,1.19,1.17,0,,,
SELECTF,2019-10-14,1.17,1306796.0,1.19,1.16,0,,,
SELECTF,2019-10-15,1.18,2666245.0,1.19,1.18,0,,,
SELECTF,2019-10-16,1.18,3380255.0,1.19,1.17,0,,,
SELECTF,2019-10-17,1.16,10192112.0,1.18,1.15,0,,,
SELECTF,2019-10-18,1.16,3070187.0,1.17,1.15,0,,,
SELECTF,2019-10-22,1.16,7058519.0,1.17,1.15,1,,,
SELECTF,2019-10-23,1.15,7139375.0,1.16,1.15,0,,,
SELECTF,2019-10-24,1.15,13004955.0,1.16,1.15,0,,,
SELECTF,2019-10-25,1.15,5609823.0,1.16,1.15,0,,,
SELECTF,2019-10-28,1.15,3459988.0,1.16,1.12,0,,,
SELECTF,2019-10-29,1.15,6428964.0,1.16,1.12,0,,,
SELECTF,2019-10-30,1.15,4409138.0,1.16,1.14,0,,,
SELECTF,2019-10-31,1.15,3252010.0,1.17,1.15,0,,,
SELECTF,2019-11-01,1.15,3829883.0,1.16,1.15,0,,,
SELECTF,2019-11-04,1.16,12679224.0,1.18,1.15,0,0.0,1.0,0.0
SELECTF,2019-11-05,1.15,2167966.0,1.18,1.15,0,,,
SELECTF,2019-11-06,1.15,3391099.0,1.17,1.15,0,,,
SELECTF,2019-11-07,1.15,9763264.0,1.17,1.15,0,,,
SELECTF,2019-11-08,1.15,6580550.0,1.18,1.11,0,,,
SELECTF,2019-11-11,1.15,7006664.0,1.16,1.15,0,,,
SELECTF,2019-11-12,1.15,6932144.0,1.16,1.15,0,,,
SELECTF,2019-11-13,1.15,10653332.0,1.16,1.15,0,,,
SELECTF,2019-11-14,1.15,10773922.0,1.16,1.11,0,,,
SELECTF,2019-11-15,1.11,5480923.0,1.14,1.05,0,,,
SELECTF,2019-11-18,1.11,12420552.0,1.14,1.07,0,,,
SELECTF,2019-11-19,1.1,5241140.0,1.11,1.1,0,,,
SELECTF,2019-11-20,1.09,5975701.0,1.1,1.09,0,,,
SELECTF,2019-11-21,1.09,13393773.0,1.1,1.09,0,,,
SELECTF,2019-11-22,1.09,8041664.0,1.1,1.09,0,,,
SELECTF,2019-11-25,1.08,9357041.0,1.11,1.0,0,,,
SELECTF,2019-11-26,1.1,16049428.0,1.11,1.08,0,,,
SELECTF,2019-11-27,1.1,8392678.0,1.11,1.1,0,,,
SELECTF,2019-11-28,1.1,3370350.0,1.11,1.1,0,,,
SELECTF,2019-11-29,1.09,17687226.0,1.12,1.09,0,,,
SELECTF,2019-12-02,1.108398,9548324.0,1.14,1.0,0,,,
SELECTF,2019-12-03,1.13,5137984.0,1.14,1.13,0,,,
SELECTF,2019-12-04,1.13,6071947.0,1.15,1.13,0,,,
SELECTF,2019-12-05,1.14,5471096.0,1.15,1.13,0,,,
SELECTF,2019-12-06,1.13,2154882.0,1.15,1.13,0,,,
SELECTF,2019-12-09,1.133288,1841554.0,1.15,1.13,0,,,
SELECTF,2019-12-10,1.131114,2350512.0,1.14,1.13,0,,,
SELECTF,2019-12-11,1.130946,4512077.0,1.15,1.13,0,,,
SELECTF,2019-12-12,1.131909,2440274.0,1.14,1.13,0,,,
SELECTF,2019-12-13,1.1338780000000002,1932449.0,1.14,1.13,0,,,
SELECTF,2019-12-16,1.130564,4633492.0,1.14,1.13,0,,,
SELECTF,2019-12-17,1.1315,3992987.0,1.14,1.13,0,,,
SELECTF,2019-12-18,1.130379,2425244.0,1.14,1.13,0,,,
SELECTF,2019-12-19,1.130231,4012548.0,1.14,1.13,0,,,
SELECTF,2019-12-20,1.128536,6223596.0,1.14,1.12,0,,,
SELECTF,2019-12-23,1.121463,3683453.0,1.13,1.12,0,,,
SELECTF,2019-12-24,1.127173,3055362.0,1.13,1.12,0,,,
