Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
SEP,2016-01-04,20.84,2938.0,21.0,20.56,0,,,
SEP,2016-01-06,20.6,15775.0,20.6,20.56,1,,,
SEP,2016-01-07,20.6,1500.0,20.6,20.6,0,,,
SEP,2016-01-08,20.0,2165.0,20.0,20.0,0,,,
SEP,2016-01-11,20.6,20541.0,20.6,20.6,0,,,
SEP,2016-01-12,20.57,18206.0,20.6,20.0,0,,,
SEP,2016-01-13,21.0,6037.0,21.0,21.0,0,,,
SEP,2016-01-14,21.0,463.0,21.0,21.0,0,,,
SEP,2016-01-15,18.62,83600.0,20.6,18.51,0,,,
SEP,2016-01-18,19.0,800.0,19.0,19.0,0,,,
SEP,2016-01-19,19.0,9658.0,19.0,19.0,0,,,
SEP,2016-01-22,19.0,763.0,19.0,19.0,2,,,
SEP,2016-01-25,19.0,4421.0,19.0,19.0,0,,,
SEP,2016-01-26,20.0,10000.0,20.0,20.0,0,,,
SEP,2016-01-27,20.5,109692.0,20.5,20.5,0,,,
SEP,2016-01-28,20.2,1000.0,20.2,20.2,0,,,
SEP,2016-01-29,20.16,1330.0,20.5,20.0,0,,,
SEP,2016-02-02,18.84,10303.0,19.51,18.51,1,,,
SEP,2016-02-03,19.19,91557.0,21.05,18.51,0,,,
SEP,2016-02-04,19.49,1666.0,20.5,18.75,0,,,
SEP,2016-02-08,21.99,3564.0,21.99,21.99,1,,,
SEP,2016-02-09,21.68,38921.0,22.0,21.0,0,,,
SEP,2016-02-11,22.0,100.0,22.0,22.0,1,,,
SEP,2016-02-15,20.0,20137.0,20.5,20.0,1,,,
SEP,2016-02-16,21.89,69528.0,22.05,21.5,0,,,
SEP,2016-02-17,22.0,33153.0,22.0,22.0,0,,,
SEP,2016-02-18,22.0,104200.0,22.0,22.0,0,,,
SEP,2016-02-19,22.01,26364.0,22.1,22.0,0,,,
SEP,2016-03-10,19.78,11625.0,19.8,19.2,13,,,
SEP,2016-03-18,18.52,57544.0,19.2,18.51,5,,,
SEP,2016-03-21,18.51,30000.0,18.51,18.51,0,,,
SEP,2016-03-22,18.51,364.0,18.51,18.51,0,,,
SEP,2016-03-23,18.5,6000.0,18.5,18.5,0,,,
SEP,2016-03-24,16.5,72250.0,18.5,15.85,0,,,
SEP,2016-03-29,16.0,4000.0,16.0,16.0,2,,,
SEP,2016-03-31,16.0,2436.0,16.0,16.0,1,-0.2263,1.0,0.0
SEP,2016-04-01,16.5,12000.0,19.0,16.0,0,,,
SEP,2016-04-08,16.0,19314.0,16.0,16.0,4,,,
SEP,2016-04-12,16.07,32500.0,17.25,16.0,1,,,
SEP,2016-04-13,16.99,1176.0,16.99,16.99,0,,,
SEP,2016-04-22,16.99,1000.0,16.99,16.99,6,,,
SEP,2016-04-25,16.96,1512.0,16.99,16.9,0,,,
SEP,2016-05-02,15.83,19777.0,16.0,15.6,4,-0.0516,0.0,0.0
SEP,2016-05-04,16.82,15000.0,17.0,15.83,1,0.0,1.0,0.0
SEP,2016-05-09,17.0,748.0,17.0,17.0,2,0.29600000000000004,0.0,0.0
SEP,2016-05-10,16.27,13284.0,17.0,16.0,0,,,
SEP,2016-05-11,17.0,1500.0,17.0,17.0,0,,,
SEP,2016-05-12,16.75,24301.0,17.0,16.75,0,,,
SEP,2016-05-16,17.5,1900.0,17.5,17.5,1,,,
SEP,2016-05-17,17.5,731.0,17.5,17.5,0,,,
SEP,2016-05-18,17.5,2000.0,17.5,17.5,0,,,
SEP,2016-05-19,17.27,21667.0,17.5,17.0,0,0.1806,0.0,0.0
SEP,2016-05-20,16.94,395.0,17.5,16.75,0,,,
SEP,2016-05-25,16.9,14202.0,17.0,16.9,2,,,
SEP,2016-05-26,16.99,10392.0,16.99,16.99,0,,,
SEP,2016-05-27,16.64,1343.0,16.75,16.5,0,,,
SEP,2016-05-31,16.95,53450.0,16.95,16.95,1,,,
SEP,2016-06-01,16.89,235333.0,16.9,16.8,0,,,
SEP,2016-06-02,16.9,69500.0,16.9,16.88,0,,,
SEP,2016-06-03,16.87,33377.0,16.88,16.8,0,0.4588,0.0,1.0
