Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
SIL,2016-01-05,13.0,200.0,13.0,13.0,0,,,
SIL,2016-01-06,13.0,26000.0,13.01,13.0,0,,,
SIL,2016-01-11,13.0,1000.0,13.0,13.0,2,,,
SIL,2016-01-21,13.0,157800.0,13.05,13.0,7,,,
SIL,2016-01-22,13.0,4530.0,13.0,13.0,0,,,
SIL,2016-01-25,12.9,100000.0,12.9,12.9,0,,,
SIL,2016-01-27,13.0,3850.0,13.0,13.0,1,,,
SIL,2016-02-02,13.0,92266.0,13.0,13.0,3,,,
SIL,2016-02-03,13.0,1000.0,13.0,13.0,0,,,
SIL,2016-02-29,13.0,199.0,13.0,13.0,17,0.0386,0.0,0.0
SIL,2016-03-29,12.930000000000001,3000.0,12.99,12.8,20,,,
SIL,2016-03-30,12.78,14500.0,12.9,12.75,0,,,
SIL,2016-04-01,13.0,45000.0,13.0,13.0,1,,,
SIL,2016-04-04,13.0,1106.0,13.0,13.0,0,,,
SIL,2016-04-05,12.9,2000.0,12.9,12.9,0,,,
SIL,2016-04-11,12.9,100.0,12.9,12.9,3,,,
SIL,2016-04-12,12.89,5000.0,12.89,12.89,0,,,
SIL,2016-04-13,12.9,1000.0,12.9,12.9,0,,,
SIL,2016-04-14,12.85,98601.0,12.85,12.85,0,,,
SIL,2016-04-18,12.0,1500.0,12.0,12.0,1,,,
SIL,2016-04-22,12.9,660.0,12.9,12.9,3,,,
SIL,2016-04-26,12.9,7500.0,12.9,12.88,1,0.0,1.0,0.0
SIL,2016-05-02,12.89,600.0,12.9,12.89,3,0.0,1.0,0.0
SIL,2016-05-03,12.78,1515.0,12.9,11.98,0,,,
SIL,2016-05-09,12.9,11800.0,12.9,12.9,3,,,
SIL,2016-05-16,12.9,2000.0,12.9,12.9,4,,,
SIL,2016-05-20,12.0,24800.0,12.0,11.979999999999999,3,0.21075,1.0,0.0
SIL,2016-05-26,11.97,10410.0,12.1,11.949999999999998,3,,,
SIL,2016-05-27,11.95,10000.0,11.95,11.95,0,,,
SIL,2016-05-31,11.77,39190.0,12.3,11.5,1,,,
SIL,2016-06-01,11.5,173979.0,11.5,11.5,0,,,
SIL,2016-06-15,12.99,6000.0,12.99,12.99,9,,,
SIL,2016-06-22,12.99,5324.0,12.99,12.99,4,,,
SIL,2016-06-29,12.99,3000.0,12.99,12.99,4,,,
SIL,2016-07-06,11.5,14000.0,11.5,11.5,4,,,
SIL,2016-07-18,13.0,15224.0,13.0,13.0,7,,,
SIL,2016-07-19,13.0,10000.0,13.0,13.0,0,-0.2263,0.0,0.0
SIL,2016-07-21,13.0,3680.0,13.0,13.0,1,,,
SIL,2016-07-22,13.0,1220.0,13.0,13.0,0,,,
SIL,2016-07-26,13.0,2700.0,13.0,13.0,1,,,
SIL,2016-07-28,13.0,7000.0,13.0,13.0,1,,,
SIL,2016-08-05,13.0,3000.0,13.0,13.0,5,-0.2263,0.0,0.0
SIL,2016-08-09,12.51,2000.0,12.51,12.51,1,,,
SIL,2016-08-11,13.0,395000.0,13.0,13.0,1,0.0386,1.0,0.0
SIL,2016-08-19,13.01,2673905.0,13.05,13.0,5,,,
SIL,2016-08-23,13.0,308.0,13.0,13.0,1,,,
SIL,2016-08-24,13.0,1850.0,13.0,13.0,0,,,
SIL,2016-08-25,13.0,1700.0,13.0,13.0,0,,,
SIL,2016-08-26,13.0,1434.0,13.0,13.0,0,,,
SIL,2016-09-05,14.15,4000.0,14.15,14.15,5,0.0772,0.0,0.0
SIL,2016-09-07,14.15,2176.0,14.15,14.15,1,,,
SIL,2016-09-12,14.0,5000.0,14.0,14.0,2,,,
SIL,2016-09-14,14.12,1037.0,14.12,14.12,1,,,
SIL,2016-09-19,14.12,800.0,14.12,14.12,2,,,
SIL,2016-09-20,14.36,5098.0,15.0,14.15,0,,,
