Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
SOS,2017-08-10,2.0,0.0,2.0,2.0,0,0.3182,0.0,0.0
SOS,2017-08-11,5.39,1309722.0,5.8,5.0,0,,,
SOS,2017-08-14,5.73,1290789.0,6.0,5.4,0,,,
SOS,2017-08-15,5.18,725061.0,5.7,4.7,0,,,
SOS,2017-08-16,4.9,604415.0,5.0,4.15,0,,,
SOS,2017-08-17,4.8,122353.0,4.9,4.7,0,,,
SOS,2017-08-18,4.54,422213.0,4.8,4.49,0,,,
SOS,2017-08-21,4.25,961015.0,4.55,4.1,0,,,
SOS,2017-08-22,4.0,411573.0,4.2,3.8,0,,,
SOS,2017-08-23,3.82,429587.0,4.1,3.5,0,,,
SOS,2017-08-24,3.84,222755.0,3.9,3.7,0,,,
SOS,2017-08-25,3.93,1933085.0,4.0,3.8,0,,,
SOS,2017-08-28,3.64,796273.0,4.1,3.5,0,,,
SOS,2017-08-29,3.78,655536.0,4.15,3.5,0,,,
SOS,2017-08-30,4.0,11782.0,4.0,4.0,0,,,
SOS,2017-08-31,4.02,122234.0,4.2,4.0,0,,,
SOS,2017-09-01,4.36,97647.0,4.4,4.2,0,,,
SOS,2017-09-04,4.03,74962.0,4.2,4.0,0,,,
SOS,2017-09-05,4.22,209557.0,4.29,4.05,0,0.0,1.0,0.0
SOS,2017-09-06,4.47,295964.0,4.75,4.2,0,,,
SOS,2017-09-07,4.92,153232.0,5.0,4.7,0,,,
SOS,2017-09-08,4.74,330633.0,5.0,4.7,0,,,
SOS,2017-09-11,4.86,108607.0,4.99,4.8,0,,,
SOS,2017-09-12,4.66,372562.0,4.99,4.5,0,,,
SOS,2017-09-13,4.89,5390.0,4.9,4.8,0,,,
SOS,2017-09-14,4.85,5510.0,4.85,4.8,0,,,
SOS,2017-09-15,4.77,1647399.0,4.9,4.75,0,,,
SOS,2017-09-18,4.86,98500.0,4.9,4.75,0,,,
SOS,2017-09-19,4.94,156871.0,4.99,4.75,0,,,
SOS,2017-09-20,4.86,60391.0,4.9,4.75,0,,,
SOS,2017-09-21,4.9,12968.0,4.94,4.85,0,,,
SOS,2017-09-22,4.77,37210.0,4.84,4.75,0,,,
SOS,2017-09-25,4.77,26188.0,4.77,4.75,0,,,
SOS,2017-09-26,4.79,69149.0,4.8,4.75,0,,,
SOS,2017-09-27,4.8,84437.0,4.82,4.8,0,,,
SOS,2017-09-28,4.8,48070.0,4.85,4.8,0,,,
SOS,2017-09-29,4.85,323000.0,4.85,4.8,0,,,
SOS,2017-10-02,4.83,126441.0,4.85,4.8,0,,,
SOS,2017-10-03,4.77,38095.0,4.8,4.75,0,,,
SOS,2017-10-04,4.78,60000.0,4.8,4.75,0,,,
SOS,2017-10-05,4.85,1765.0,4.85,4.85,0,,,
SOS,2017-10-06,4.78,300.0,4.78,4.78,0,,,
SOS,2017-10-09,4.72,56894.0,4.78,4.7,0,,,
SOS,2017-10-10,4.7,81373.0,4.7,4.7,0,,,
SOS,2017-10-11,4.7,16146.0,4.7,4.7,0,,,
SOS,2017-10-12,4.71,2500.0,4.71,4.71,0,,,
SOS,2017-10-17,4.8,276242.0,4.8,4.8,2,,,
SOS,2017-10-18,4.8,692137.0,4.83,4.8,0,,,
SOS,2017-10-19,5.01,236628.0,5.05,4.85,0,,,
SOS,2017-10-20,5.14,62599.0,5.5,5.1,0,,,
SOS,2017-10-23,5.36,132451.0,5.6,5.1,0,,,
SOS,2017-10-24,5.6,182772.0,5.8,5.5,0,,,
SOS,2017-10-25,5.54,8544.0,5.75,5.5,0,,,
SOS,2017-10-26,5.47,55697.0,5.52,5.36,0,,,
SOS,2017-10-27,5.47,1986.0,5.47,5.47,0,,,
SOS,2017-10-30,5.41,18344.0,5.47,5.36,0,,,
SOS,2017-10-31,5.14,14649.0,5.3,4.83,0,,,
SOS,2017-11-02,4.99,174609.0,5.0,4.85,1,,,
SOS,2017-11-03,5.0,26804.0,5.01,4.99,0,,,
SOS,2017-11-06,4.85,22436.0,4.85,4.85,0,,,
SOS,2017-11-07,4.96,97993.0,5.05,4.85,0,,,
SOS,2017-11-08,5.0,43850.0,5.0,5.0,0,,,
SOS,2017-11-09,5.01,239418.0,5.2,5.0,0,,,
SOS,2017-11-10,5.0,143928.0,5.01,4.85,0,,,
