Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
SSLVC,2018-09-03,1.74,145958.0,2.05,1.7,0,,,
SSLVC,2018-09-04,1.7,44534.0,1.7,1.7,0,,,
SSLVC,2018-09-05,1.52,18444.0,1.7,1.5,0,0.6249,0.0,0.0
SSLVC,2018-09-06,1.51,6709.0,1.52,1.5,0,,,
SSLVC,2018-09-11,1.55,500.0,1.55,1.55,2,,,
SSLVC,2018-09-13,1.59,80500.0,1.6,1.57,1,0.3612,0.0,0.0
SSLVC,2018-09-14,1.7,19340.0,1.7,1.7,0,,,
SSLVC,2018-09-17,1.7,104500.0,1.7,1.7,0,,,
SSLVC,2018-09-18,1.7,30000.0,1.7,1.7,0,,,
SSLVC,2018-09-19,1.7,9000.0,1.7,1.7,0,,,
SSLVC,2018-09-20,1.7,52200.0,1.7,1.7,0,,,
SSLVC,2018-09-21,1.69,110370.0,1.7,1.65,0,,,
SSLVC,2018-09-26,1.7,144938.0,1.7,1.7,2,,,
SSLVC,2018-09-27,1.7,362062.0,1.7,1.7,0,,,
SSLVC,2018-10-02,2.07,10030.0,2.3,1.7,2,,,
SSLVC,2018-10-04,2.05,10000.0,2.05,2.05,1,,,
SSLVC,2018-10-05,2.34,1000.0,2.5,2.3,0,,,
SSLVC,2018-10-08,2.22,65968.0,2.3,2.1,0,,,
SSLVC,2018-10-09,1.94,742921.0,2.3,1.91,0,,,
SSLVC,2018-10-10,2.0,134323.0,2.0,2.0,0,,,
SSLVC,2018-10-11,2.0,302677.0,2.0,2.0,0,,,
SSLVC,2018-10-12,2.0,294500.0,2.0,1.97,0,,,
SSLVC,2018-10-17,2.0,268584.0,2.0,2.0,2,,,
SSLVC,2018-10-18,2.0,9500.0,2.0,2.0,0,,,
SSLVC,2018-10-19,2.0,2000.0,2.0,2.0,0,,,
SSLVC,2018-10-23,2.0,13416.0,2.0,2.0,1,,,
SSLVC,2018-10-24,2.05,1000.0,2.05,2.05,0,,,
SSLVC,2018-10-29,2.05,400.0,2.05,2.05,2,,,
SSLVC,2018-10-30,2.0,7173.0,2.0,2.0,0,,,
SSLVC,2018-11-01,2.0,1827.0,2.0,2.0,1,,,
SSLVC,2018-11-05,2.0,16821.0,2.0,2.0,1,,,
SSLVC,2018-11-06,2.0,83179.0,2.0,2.0,0,,,
SSLVC,2018-11-07,1.84,57508.0,2.0,1.81,0,,,
SSLVC,2018-11-08,1.81,317645.0,1.81,1.81,0,,,
SSLVC,2018-11-12,1.81,10000.0,1.81,1.81,1,,,
SSLVC,2018-11-13,1.81,17050.0,1.81,1.81,0,,,
SSLVC,2018-11-14,1.77,581561.0,1.81,1.76,0,,,
SSLVC,2018-11-15,1.77,1900.0,1.77,1.75,0,,,
SSLVC,2018-11-16,1.75,4599.0,1.75,1.75,0,0.0,1.0,0.0
SSLVC,2018-11-19,1.81,2500.0,1.81,1.81,0,,,
SSLVC,2018-11-21,1.76,5300.0,1.76,1.76,1,-0.6808,0.0,0.0
SSLVC,2018-11-22,1.76,41063.0,1.78,1.76,0,,,
SSLVC,2018-11-23,1.79,24025000.0,1.8,1.79,0,,,
SSLVC,2018-11-26,1.8,3500.0,1.8,1.8,0,,,
SSLVC,2018-11-27,1.8,9823.0,1.8,1.8,0,,,
SSLVC,2018-11-28,1.8,5000.0,1.8,1.8,0,,,
SSLVC,2018-11-29,1.74,2526362.0,1.79,1.74,0,,,
SSLVC,2018-11-30,1.77,3547275.0,1.77,1.75,0,,,
SSLVC,2018-12-03,1.74,6000000.0,1.74,1.74,0,0.4588,0.0,1.0
SSLVC,2018-12-04,1.8,2000.0,1.8,1.8,0,0.4588,0.0,1.0
SSLVC,2018-12-05,1.79,12000.0,1.8,1.79,0,0.0772,0.0,1.0
SSLVC,2018-12-06,1.81,15798.0,1.81,1.8,0,,,
SSLVC,2018-12-10,1.82,2590.0,1.82,1.82,1,,,
SSLVC,2018-12-14,2.0,98000.0,2.0,2.0,3,,,
SSLVC,2018-12-17,2.0,47156.0,2.0,2.0,0,,,
SSLVC,2018-12-18,2.0,1000.0,2.0,2.0,0,,,
SSLVC,2018-12-19,1.9,62840.0,2.0,1.9,0,,,
SSLVC,2018-12-21,1.95,30000.0,1.95,1.95,1,-0.2263,1.0,0.0
SSLVC,2018-12-24,1.95,1210.0,1.95,1.95,0,,,
SSLVC,2018-12-27,1.95,13700.0,1.95,1.95,2,,,
SSLVC,2019-01-02,1.95,500.0,1.95,1.95,3,,,
SSLVC,2019-01-03,1.95,19200.0,1.95,1.94,0,,,
SSLVC,2019-01-04,1.93,5115.0,1.93,1.93,0,,,
SSLVC,2019-01-08,1.83,29000.0,1.95,1.8,1,,,
SSLVC,2019-01-09,1.8,1075153.0,1.95,1.8,0,,,
SSLVC,2019-01-17,1.95,2000.0,1.95,1.95,5,-0.2263,0.0,0.0
SSLVC,2019-01-18,1.8,92000.0,2.0,1.71,0,,,
SSLVC,2019-01-21,1.95,33723.0,1.95,1.95,0,,,
SSLVC,2019-01-23,1.95,10000.0,1.95,1.95,1,,,
SSLVC,2019-01-24,1.95,1100.0,1.95,1.95,0,,,
SSLVC,2019-01-28,1.95,12706.0,1.95,1.95,1,,,
SSLVC,2019-01-30,1.71,367161.0,1.75,1.7,1,,,
SSLVC,2019-02-04,1.75,567557.0,1.75,1.75,2,,,
SSLVC,2019-02-07,1.95,2000.0,1.95,1.95,2,,,
SSLVC,2019-02-08,1.94,5300.0,1.95,1.93,0,,,
SSLVC,2019-02-11,1.94,700.0,1.94,1.94,0,,,
SSLVC,2019-02-12,1.95,1000.0,1.95,1.95,0,,,
SSLVC,2019-02-15,1.7,594200.0,1.95,1.7,2,,,
SSLVC,2019-02-18,1.85,54880.0,1.9,1.7,0,-0.6124,0.0,0.0
SSLVC,2019-02-19,1.95,5108.0,1.95,1.95,0,,,
SSLVC,2019-02-20,1.91,9803.0,1.93,1.9,0,,,
SSLVC,2019-02-21,1.87,23937.0,1.91,1.7,0,,,
SSLVC,2019-02-22,1.95,4500.0,1.95,1.95,0,0.0772,0.0,0.0
SSLVC,2019-02-25,1.95,4500.0,1.95,1.95,0,,,
