Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
TTECH,2016-01-07,3.05,257952.0,3.07,3.0,0,,,
TTECH,2016-01-08,3.6,69981.0,3.6,3.6,0,,,
TTECH,2016-01-11,4.12,70994.0,4.16,4.05,0,,,
TTECH,2016-01-12,5.35,22396.0,5.35,5.35,0,,,
TTECH,2016-01-13,5.69,385034.0,6.0,5.33,0,,,
TTECH,2016-01-14,5.46,280595.0,5.75,5.01,0,,,
TTECH,2016-01-15,5.0,100261.0,5.01,4.95,0,,,
TTECH,2016-01-18,4.77,20388.0,4.99,4.65,0,,,
TTECH,2016-01-19,4.84,60583.0,4.95,4.7,0,,,
TTECH,2016-01-20,4.84,129821.0,4.9,4.7,0,,,
TTECH,2016-01-21,4.7,27964.0,4.7,4.7,0,,,
TTECH,2016-01-22,4.86,27096.0,4.9,4.7,0,,,
TTECH,2016-01-26,4.87,93105.0,5.0,4.8,1,,,
TTECH,2016-01-27,4.73,92161.0,4.98,4.7,0,,,
TTECH,2016-01-28,4.74,18908.0,4.75,4.7,0,,,
TTECH,2016-01-29,4.68,17996.0,4.75,4.6,0,,,
TTECH,2016-02-01,4.75,8388.0,4.75,4.75,0,,,
TTECH,2016-02-02,4.75,2050.0,4.75,4.75,0,,,
TTECH,2016-02-03,4.72,9500.0,4.75,4.7,0,,,
TTECH,2016-02-04,4.71,12000.0,4.75,4.65,0,,,
TTECH,2016-02-05,4.75,15000.0,4.75,4.75,0,,,
TTECH,2016-02-08,4.71,37187.0,4.75,4.61,0,,,
TTECH,2016-02-09,4.6,228954.0,4.7,4.6,0,,,
TTECH,2016-02-11,4.7,5447.0,4.7,4.7,1,,,
TTECH,2016-02-12,4.6,100000.0,4.74,4.6,0,,,
TTECH,2016-02-15,4.9,21300.0,4.9,4.75,0,,,
TTECH,2016-02-16,4.9,20000.0,4.9,4.9,0,,,
TTECH,2016-02-17,4.93,9807.0,4.98,4.85,0,,,
TTECH,2016-02-18,4.85,8996.0,4.85,4.85,0,,,
TTECH,2016-02-19,4.99,22000.0,5.0,4.97,0,,,
TTECH,2016-02-22,4.65,44897.0,5.0,4.51,0,,,
TTECH,2016-02-26,4.67,33593.0,4.85,4.6,3,,,
TTECH,2016-03-01,4.67,200.0,4.67,4.67,1,,,
TTECH,2016-03-02,4.66,12538.0,4.67,4.61,0,,,
TTECH,2016-03-03,4.58,24601.0,4.61,4.51,0,,,
TTECH,2016-03-04,4.51,26387.0,4.51,4.5,0,,,
TTECH,2016-03-07,4.5,45012.0,4.52,4.5,0,,,
TTECH,2016-03-08,4.33,10971.0,4.5,4.25,0,,,
TTECH,2016-03-09,4.27,22574.0,4.45,4.25,0,,,
TTECH,2016-03-10,4.25,7510.0,4.25,4.25,0,,,
TTECH,2016-03-14,4.41,105000.0,4.5,4.2,1,,,
TTECH,2016-03-15,4.5,13000.0,4.5,4.5,0,,,
TTECH,2016-03-16,4.25,1007.0,4.25,4.25,0,,,
TTECH,2016-03-17,4.27,8656.0,4.35,4.2,0,,,
TTECH,2016-03-22,4.3,2000.0,4.3,4.3,2,,,
TTECH,2016-03-24,4.26,139942.0,4.29,4.25,1,,,
TTECH,2016-03-29,4.3,2500.0,4.3,4.26,2,,,
TTECH,2016-03-30,4.48,1000.0,4.48,4.48,0,,,
TTECH,2016-04-01,4.0,17500.0,4.01,4.0,1,0.3612,0.0,1.0
TTECH,2016-04-04,4.3,5300.0,4.3,4.3,0,,,
TTECH,2016-04-05,4.3,2500.0,4.3,4.3,0,,,
TTECH,2016-04-08,4.0,19740.0,4.01,4.0,2,,,
TTECH,2016-04-12,4.22,2000.0,4.22,4.22,1,,,
TTECH,2016-04-14,4.19,10271.0,4.22,4.08,1,,,
TTECH,2016-04-15,4.07,37729.0,4.08,4.05,0,,,
TTECH,2016-04-18,4.1,2910.0,4.1,4.1,0,,,
TTECH,2016-04-19,4.12,1155.0,4.12,4.12,0,,,
TTECH,2016-04-20,4.15,5744.0,4.15,4.12,0,,,
TTECH,2016-04-21,4.17,9829.0,4.17,4.17,0,,,
TTECH,2016-04-22,4.17,47415.0,4.18,4.17,0,,,
TTECH,2016-04-25,4.18,29200.0,4.18,4.18,0,,,
TTECH,2016-04-26,4.15,27965.0,4.15,4.15,0,,,
TTECH,2016-04-28,4.18,2162.0,4.18,4.18,1,,,
TTECH,2016-04-29,4.45,500.0,4.45,4.45,0,,,
TTECH,2016-05-02,4.25,8688.0,4.45,4.15,0,,,
TTECH,2016-05-05,4.45,7800.0,4.45,4.45,2,,,
TTECH,2016-05-06,4.45,225.0,4.45,4.45,0,,,
TTECH,2016-05-09,4.27,22376.0,4.31,4.25,0,,,
TTECH,2016-05-11,4.48,120980.0,4.5,4.35,1,,,
TTECH,2016-05-12,4.47,6399.0,4.5,4.4,0,0.0,0.0,0.0
TTECH,2016-05-13,4.5,1470.0,4.5,4.5,0,,,
TTECH,2016-05-17,4.49,20000.0,4.5,4.4,1,,,
TTECH,2016-05-18,4.5,170.0,4.5,4.5,0,,,
TTECH,2016-05-19,4.5,129000.0,4.5,4.5,0,,,
TTECH,2016-05-24,4.5,37750.0,4.5,4.5,2,,,
TTECH,2016-05-25,4.3,8203.0,4.3,4.3,0,,,
TTECH,2016-05-26,4.3,6821.0,4.3,4.3,0,,,
TTECH,2016-05-27,4.5,12500.0,4.5,4.5,0,,,
TTECH,2016-05-30,4.5,45704.0,4.5,4.5,0,,,
TTECH,2016-05-31,4.31,15988.0,4.35,4.3,0,,,
TTECH,2016-06-02,4.3,8537.0,4.51,4.3,1,,,
TTECH,2016-06-03,4.28,6472.0,4.3,4.25,0,,,
