Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
WIG,2019-05-22,0.64,8351000.0,0.65,0.6,0,-0.4215,0.0,0.0
WIG,2019-05-24,0.79,472804639.0,0.83,0.64,1,,,
WIG,2019-05-27,0.79,197506687.0,0.95,0.75,0,,,
WIG,2019-05-28,0.74,156940934.0,0.95,0.71,0,,,
WIG,2019-05-29,0.73,247315264.0,0.8,0.7,0,,,
WIG,2019-05-30,0.74,194075235.0,0.78,0.7,0,,,
WIG,2019-05-31,0.78,139615797.0,0.85,0.73,0,,,
WIG,2019-06-03,0.75,18327818.0,0.86,0.73,0,,,
WIG,2019-06-04,0.74,25291643.0,0.75,0.72,0,,,
WIG,2019-06-05,0.74,20073502.0,0.83,0.73,0,,,
WIG,2019-06-06,0.74,13878940.0,0.8,0.73,0,,,
WIG,2019-06-07,0.74,93756911.0,0.84,0.7,0,,,
WIG,2019-06-10,0.74,20025808.0,0.76,0.74,0,,,
WIG,2019-06-11,0.74,22346009.0,0.75,0.74,0,,,
WIG,2019-06-12,0.75,37901182.0,0.75,0.74,0,,,
WIG,2019-06-13,0.75,34719107.0,0.77,0.74,0,,,
WIG,2019-06-14,0.78,55909534.0,0.82,0.74,0,,,
WIG,2019-06-17,0.83,73966140.0,0.85,0.74,0,,,
WIG,2019-06-18,0.81,37462288.0,0.86,0.79,0,,,
WIG,2019-06-19,0.81,20694261.0,0.83,0.8,0,,,
WIG,2019-06-20,0.84,80220448.0,0.85,0.8,0,,,
WIG,2019-06-21,0.84,42676496.0,0.9,0.8,0,,,
WIG,2019-06-24,0.87,40021022.0,0.89,0.85,0,,,
WIG,2019-06-25,0.89,73066874.0,0.93,0.84,0,,,
WIG,2019-06-26,0.89,38204805.0,0.9,0.83,0,,,
WIG,2019-06-27,0.88,72068695.0,0.9,0.81,0,,,
WIG,2019-06-28,0.88,30940859.0,0.9,0.83,0,,,
WIG,2019-07-01,0.87,15919515.0,0.91,0.83,0,,,
WIG,2019-07-02,0.87,21302813.0,0.93,0.83,0,,,
WIG,2019-07-03,0.88,61067993.0,0.9,0.83,0,,,
WIG,2019-07-04,0.89,16500626.0,0.9,0.84,0,,,
WIG,2019-07-05,0.89,38836925.0,0.91,0.83,0,,,
WIG,2019-07-08,0.87,18692928.0,0.91,0.84,0,,,
WIG,2019-07-09,0.89,29749338.0,0.91,0.84,0,,,
WIG,2019-07-10,0.9,59443574.0,0.93,0.85,0,,,
WIG,2019-07-11,0.9,27445277.0,1.01,0.86,0,,,
WIG,2019-07-12,0.9,14495401.0,0.95,0.86,0,,,
WIG,2019-07-15,0.89,10325876.0,1.0,0.86,0,,,
WIG,2019-07-16,0.86,9550215.0,0.95,0.84,0,,,
WIG,2019-07-17,0.84,4316283.0,0.95,0.83,0,,,
