Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
XFUND,2016-01-06,11.0,4000.0,11.0,11.0,0,,,
XFUND,2016-01-07,10.27,120708.0,11.6,10.0,0,,,
XFUND,2016-01-08,11.1,66500.0,11.6,10.5,0,,,
XFUND,2016-01-11,11.6,34900.0,11.6,11.6,0,,,
XFUND,2016-01-12,11.6,9000.0,11.6,11.6,0,,,
XFUND,2016-01-13,11.0,12400.0,11.0,11.0,0,,,
XFUND,2016-01-14,11.0,83740.0,11.0,11.0,0,,,
XFUND,2016-01-18,11.06,4141.0,11.1,11.0,1,,,
XFUND,2016-01-19,11.6,30245.0,11.6,11.6,0,,,
XFUND,2016-01-20,10.91,152000.0,11.6,10.9,0,,,
XFUND,2016-01-21,11.59,1000.0,11.59,11.59,0,,,
XFUND,2016-01-22,11.09,4291.0,11.59,11.05,0,,,
XFUND,2016-01-25,11.59,1675.0,11.59,11.59,0,,,
XFUND,2016-01-26,11.54,74254.0,11.6,11.5,0,,,
XFUND,2016-01-27,11.59,52946.0,11.6,11.5,0,,,
XFUND,2016-01-28,11.55,40881.0,11.6,11.5,0,,,
XFUND,2016-02-01,11.6,4581.0,11.6,11.6,1,,,
XFUND,2016-02-02,11.63,5953.0,11.65,11.6,0,,,
XFUND,2016-02-04,11.62,13447.0,11.7,11.6,1,,,
XFUND,2016-02-08,11.5,3000.0,11.5,11.5,1,,,
XFUND,2016-02-09,12.0,43900.0,12.0,12.0,0,,,
XFUND,2016-02-11,11.92,65892.0,12.05,11.8,1,,,
XFUND,2016-02-12,11.92,10023.0,12.0,11.8,0,,,
XFUND,2016-02-15,12.0,13100.0,12.0,12.0,0,,,
XFUND,2016-02-17,12.0,25183.0,12.0,12.0,1,,,
XFUND,2016-02-18,12.01,6388.0,12.03,12.0,0,,,
XFUND,2016-02-22,12.0,14050.0,12.0,12.0,1,,,
XFUND,2016-02-23,12.0,478.0,12.0,12.0,0,,,
XFUND,2016-02-24,11.71,8888.0,12.0,11.7,0,,,
XFUND,2016-02-25,11.95,1000.0,11.95,11.95,0,,,
XFUND,2016-02-26,11.8,49758.0,11.9,11.5,0,,,
XFUND,2016-02-29,11.5,5000.0,11.5,11.5,0,,,
XFUND,2016-03-02,11.34,26820.0,11.5,11.3,1,-0.2263,1.0,0.0
XFUND,2016-03-03,11.3,5100.0,11.3,11.3,0,,,
XFUND,2016-03-04,11.3,1000.0,11.3,11.3,0,,,
XFUND,2016-03-07,11.5,325.0,11.5,11.5,0,,,
XFUND,2016-03-09,11.02,114030.0,11.3,11.0,1,,,
XFUND,2016-03-10,11.0,44310.0,11.0,11.0,0,,,
XFUND,2016-03-11,11.0,11087.0,11.0,11.0,0,,,
XFUND,2016-03-14,10.36,2200.0,10.46,10.0,0,,,
