instrument_code,post_date,sentiment,is_regarding_financial_report,is_sold_pur_shares
138SL,2016-01-05,0.4588,0,1
138SL,2016-01-22,0.3182,1,0
138SL,2016-02-12,-0.2263,1,0
138SL,2016-05-11,0.0,1,0
138SL,2016-06-13,0.296,0,0
138SL,2016-08-12,0.0,1,0
138SL,2016-11-11,0.0772,0,1
138SL,2016-11-14,0.0,1,0
138SL,2016-12-29,0.0,1,0
138SL,2016-12-30,-0.2263,1,0
138SL,2017-01-18,0.0772,0,1
138SL,2017-01-31,0.4939,0,0
138SL,2017-02-09,0.0,1,0
138SL,2017-05-11,0.0,1,0
138SL,2017-05-30,0.6486,0,0
138SL,2017-08-11,0.0,1,0
138SL,2017-08-23,-0.5106,0,0
138SL,2017-09-01,0.296,0,0
138SL,2017-11-09,0.296,0,0
138SL,2017-11-13,0.0,1,0
138SL,2017-12-29,0.0,0,0
138SL,2018-01-04,0.0516,0,0
138SL,2018-01-19,0.0,1,0
138SL,2018-01-20,-0.2263,0,0
138SL,2018-02-15,0.0,1,0
138SL,2018-03-16,0.296,0,0
138SL,2018-04-05,0.296,0,0
138SL,2018-05-18,-0.4939,1,0
138SL,2018-05-30,0.0,1,0
138SL,2018-07-06,0.7184,0,0
138SL,2018-08-14,0.2023,1,0
138SL,2018-09-12,0.4588,0,1
138SL,2018-11-28,-0.4939,1,0
138SL,2018-11-30,-0.0516,0,0
138SL,2018-12-10,0.0,1,0
138SL,2018-12-31,0.0,1,0
138SL,2019-01-07,-0.2263,0,0
138SL,2019-01-10,0.0,1,0
138SL,2019-01-30,-0.6705,0,0
138SL,2019-01-31,-0.2263,0,0
138SL,2019-02-15,0.0,1,0
138SL,2019-05-16,0.0,1,0
138SL,2019-07-03,-0.2263,0,0
138SL,2019-07-05,-0.0516,0,0
138SL,2019-08-29,0.0,1,0
138SL,2019-11-19,0.0,1,0
138SL,2019-12-30,0.0,0,0
138SL,2020-02-10,0.0,0,0
138SL,2020-02-17,0.0,1,0
138SL,2020-02-24,0.0772,0,1
138SL,2020-02-25,0.064,0,0
138SL,2020-03-03,0.0772,0,1
138SL,2020-05-18,0.0,1,0
138SL,2020-07-16,-0.2263,0,0
138SL,2020-08-14,0.0,1,0
138SL,2020-11-13,0.0,1,0
138SL,2020-12-31,0.0,1,0
1834,2016-02-05,-0.2023,0,0
1834,2016-02-19,0.7579,0,0
1834,2016-03-11,0.9001,0,0
1834,2016-03-18,0.0,0,0
1834,2016-04-06,-0.2263,0,0
1834,2016-05-27,-0.7003,1,0
1834,2016-06-09,-0.7964,1,0
1834,2016-07-05,-0.4215,1,0
1834,2016-07-22,-0.0258,1,0
1834,2016-08-02,-0.4215,0,0
1834,2016-08-08,-0.4939,0,0
1834,2016-08-22,0.5423,1,0
1834,2016-08-30,-0.5719,0,0
1834,2016-10-27,-0.2263,0,0
1834,2016-11-03,-0.2263,0,0
1834,2016-11-23,0.0,1,0
1834,2017-02-16,0.4019,0,0
1834,2017-04-18,-0.2263,0,0
1834,2017-04-21,-0.2263,0,0
1834,2017-05-31,-0.4939,1,0
1834,2017-07-04,-0.7783,1,0
1834,2017-07-18,0.3818,1,0
1834,2017-08-24,-0.2263,1,0
1834,2017-10-13,-0.2263,0,0
1834,2017-10-20,-0.4767,0,0
1834,2017-10-26,-0.0258,0,0
1834,2017-11-06,-0.2263,0,0
1834,2017-11-20,0.2023,1,0
1834,2018-02-22,-0.4939,1,0
1834,2018-03-12,-0.0258,1,0
1834,2018-06-01,-0.4939,1,0
1834,2018-07-10,-0.2263,1,0
1834,2018-08-10,-0.4939,1,0
1834,2018-08-22,-0.4939,1,0
1834,2018-08-28,0.3818,1,0
1834,2018-09-17,0.2023,1,0
1834,2018-10-12,0.0,1,0
1834,2018-10-16,-0.2263,0,0
1834,2018-10-26,-0.2263,0,0
1834,2018-11-02,-0.4767,0,0
1834,2018-11-13,-0.4767,0,0
1834,2018-11-15,0.2023,1,0
1834,2019-02-18,-0.4939,1,0
1834,2019-02-25,-0.4939,1,0
1834,2019-03-13,-0.4939,1,0
1834,2019-03-28,0.5423,0,0
1834,2019-06-03,-0.4939,1,0
1834,2019-06-18,-0.0258,1,0
1834,2019-08-16,-0.4939,1,0
1834,2019-08-20,-0.4939,1,0
1834,2019-08-26,0.2023,1,0
1834,2019-08-27,-0.2263,0,0
1834,2019-08-30,-0.2263,0,0
1834,2019-09-05,-0.11315,0,0
1834,2019-11-20,0.5423,1,0
1834,2019-12-19,-0.4215,0,0
1834,2020-02-17,0.5423,1,0
1834,2020-05-20,-0.2263,0,0
1834,2020-05-28,-0.4404,1,0
1834,2020-06-29,-0.4939,1,0
1834,2020-07-01,-0.2263,0,0
1834,2020-07-15,0.3818,0,0
1834,2020-08-03,-0.4939,1,0
1834,2020-08-14,0.5423,1,0
1834,2020-08-17,-0.2263,0,0
1834,2020-11-03,-0.2263,0,0
1834,2020-11-10,-0.07543333333333334,0,0
1834,2020-11-11,-0.7579,0,0
