Date,Open,High,Low,Close,Volume
1995-01-03,3.8,3.8,3.8,3.85,6900
1995-01-05,3.85,4,4,4.05,121884
1995-01-10,4.05,4.5,4.35,4.55,27000
1995-01-12,4.55,5.6,5.6,5.6,50000
1995-01-17,5.6,5,5,5,2000
1995-01-23,5,5.5,5.5,4.94,4100
1995-02-06,4.94,4.3,4.3,4.3,16341
1995-02-20,4.3,3.95,3.95,3.9,2625
1995-03-08,3.9,4,4,4.05,16906
1995-03-14,4.05,4.15,4.15,4.15,10688
1995-04-06,4.15,3,3,3.15,11000
1995-05-11,3.15,3.4,3.4,3.3,2000
1995-05-15,3.3,3,3,2.9,9350
1995-05-22,2.9,3,3,3,6970
1995-08-17,3,2.25,2.25,2.25,7000
1995-09-21,2.25,2.6,2.6,2.54,10000
1995-09-27,2.54,2.55,2.55,2.55,4581
1995-09-28,2.55,2.55,2.55,2.56,2333
1995-10-26,2.56,2.8,2.75,2.95,23983
1995-12-11,2.95,2.6,2.55,2.55,12157
1996-01-11,2.55,3.1,3.1,3.1,6500
1996-02-22,3.1,2.7,2.7,2.7,8571
1996-02-27,2.7,2.65,2.65,2.65,2436
1996-03-07,2.65,2.75,2.75,2.75,23000
1996-04-11,2.75,3.3,3.25,3.4,147750
1996-04-23,3.4,3.4,3.4,3.4,30000
1996-04-29,3.4,3.5,3.5,3.5,13024
1996-05-07,3.5,3.65,3.65,3.65,210000
1996-05-21,3.65,3.65,3.65,3.6,11000
1996-05-22,3.6,3.55,3.55,3.55,3000
1996-07-01,3.55,3.75,3.75,3.78,7900
1996-07-04,3.78,3.6,3.6,3.6,25000
1996-07-25,3.6,3.4,3.4,3.4,8400
1996-08-13,3.4,3.6,3.6,3.6,2000
1996-09-19,3.6,4.35,4.35,4.5,2000
1996-12-02,4.5,4.1,4.1,4.3,4024
1997-01-08,4.3,5,5,4.95,10000
1997-01-13,4.95,4.4,4.4,4.4,20934
1997-01-14,4.4,4.23,4.23,4.1,2000
1997-03-04,4.1,4.6,4.6,4.6,18020
1997-04-28,4.6,3.05,3.05,3.05,3400
1997-06-23,3.05,3.2,3.2,3.2,30095
1997-07-07,3.2,3,3,3,2700
1997-07-08,3,2.8,2.8,2.8,247200
1997-07-16,2.8,3.22,3.22,3.22,54922
1997-09-09,3.22,2.85,2.85,2.86,10000
1997-09-15,2.86,2.8,2.75,2.75,17450
1997-09-16,2.75,2.75,2.75,2.75,32297
1997-09-17,2.75,2.8,2.75,2.8,178919
1997-09-18,2.8,2.8,2.8,2.8,20200
1997-09-22,2.8,2.8,2.8,2.8,6500
1997-09-23,2.8,2.8,2.8,2.8,27150
1997-09-24,2.8,2.75,2.7,2.75,224892
1997-09-25,2.75,2.8,2.75,2.8,349413
1997-09-29,2.8,2.8,2.8,2.8,27466
1997-09-30,2.8,2.8,2.8,2.8,44119
1997-10-01,2.8,2.85,2.8,2.8,37000
1997-10-02,2.8,3,2.8,3,163185
1997-10-06,3,3,3,3,34316
1997-10-09,3,3,3,3,5061
1997-10-13,3,3,2.95,2.95,10000
1997-10-14,2.95,2.9,2.9,2.9,15000
1997-10-15,2.9,2.85,2.85,2.85,81250
1997-10-16,2.85,2.85,2.85,2.85,8602
1997-10-21,2.85,3,2.85,3,20520
1997-10-22,3,3.1,3,3.1,25368
1997-10-23,3.1,3.35,3.2,3.35,36562
1997-10-27,3.35,3.4,3.35,3.4,95344
1997-10-28,3.4,3.4,3.4,3.4,22500
1997-10-30,3.4,3.4,3.4,3.4,6625
1997-11-04,3.4,3.4,3.4,3.4,3375
1997-11-11,3.4,3,2.7,2.7,6000
1997-11-12,2.7,2.7,2.7,2.7,107013
1997-11-13,2.7,2.7,2.7,2.7,207968
1997-11-18,2.7,2.75,2.7,2.75,50700
1997-11-19,2.75,2.75,2.75,2.75,25933
1997-11-20,2.75,2.75,2.75,2.75,17616
1997-11-24,2.75,2.75,2.75,2.75,40478
1997-11-27,2.75,2.75,2.75,2.75,6000
1997-12-01,2.75,2.75,2.75,2.75,11803
1997-12-02,2.75,2.85,2.85,2.85,7375
1998-01-08,2.85,2.7,2.7,2.75,2000
1998-02-04,2.75,2.75,2.75,2.75,4436
1998-03-02,2.75,2.5,2.5,2.4,7181
1998-03-03,2.4,2.35,2.35,2.3,5000
1998-05-14,2.3,2.65,2.65,2.65,32666
1998-08-26,2.65,2.1,2.1,2.1,34670
1998-08-27,2.1,2.1,2.1,2.1,54413
1998-09-01,2.1,2.25,2.15,2.25,27905
1998-09-02,2.25,2.35,2.25,2.35,48750
1998-09-03,2.35,2.4,2.4,2.4,18108
1998-09-07,2.4,2.5,2.45,2.5,229884
1998-09-08,2.5,2.5,2.45,2.5,120680
1998-09-09,2.5,2.5,2.5,2.5,4600
1998-09-23,2.5,2.25,2.2,2.2,14671
1998-09-24,2.2,2.05,2.05,2.05,20000
1998-09-29,2.05,1.95,1.9,1.9,107875
1998-09-30,1.9,1.85,1.8,1.8,14067
1998-10-01,1.8,1.75,1.75,1.75,73108
1998-10-06,1.75,1.75,1.75,1.75,288041
1998-10-07,1.75,1.75,1.75,1.75,3000
1998-10-13,1.75,1.75,1.75,1.75,7500
1998-10-15,1.75,1.75,1.75,1.75,9344
1998-10-21,1.75,1.75,1.75,1.75,4175
1998-10-22,1.75,1.75,1.75,1.75,4625
1998-10-26,1.75,1.75,1.75,1.75,19000
1998-10-27,1.75,1.75,1.75,1.75,21993
1998-11-05,1.75,1.55,1.55,1.55,31500
1998-11-09,1.55,1.55,1.55,1.55,2000
1998-11-10,1.55,1.5,1.5,1.5,10000
1998-11-11,1.5,1.45,1.45,1.45,430000
1998-11-16,1.45,1.45,1.45,1.45,10000
1998-11-25,1.45,1.35,1.3,1.3,51119
1998-11-26,1.3,1.2,1.2,1.2,2000
1998-11-30,1.2,1.1,1.05,1.05,153000
1998-12-01,1.05,1.05,1.05,1.05,4248
1998-12-07,1.05,1.38,1.3,1.38,4000
1998-12-08,1.38,1.45,1.4,1.45,5104
1998-12-09,1.45,1.5,1.5,1.5,4500
1998-12-15,1.5,1.5,1.5,1.5,3000
1998-12-21,1.5,1.6,1.6,1.65,2350
1999-03-09,1.65,1.95,1.95,1.95,100000
1999-03-10,1.95,1.95,1.95,1.95,50000
1999-03-22,1.95,2,2,2,35281
1999-03-23,2,2,2,2,15000
1999-03-24,2,2.05,2.05,2.05,111655
1999-04-01,2.05,3.22,3.22,3.22,4900
1999-04-07,3.22,3.3,3.3,3.3,2319
1999-04-08,3.3,3.2,3.2,3.45,19414
1999-04-12,3.45,3.45,3.45,3.45,6750
1999-04-14,3.45,3.45,3.45,3.5,5000
1999-04-19,3.5,3.6,3.5,3.55,30000
1999-04-27,3.55,3.55,3.55,3.5,74000
1999-05-05,3.5,3.5,3.5,3.55,5834
1999-05-13,3.55,3.5,3.5,3.5,15000
1999-07-07,3.5,3,3,3,4123
1999-08-23,3,2.4,2.4,2.4,3000
1999-09-27,2.4,3.1,3.1,3.1,4000
1999-11-11,3.1,2.95,2.95,2.95,6000
1999-11-22,2.95,3,3,3,73095
1999-11-23,3,3,3,3,2686
1999-11-24,3,3,3,3,3150
1999-11-30,3,3,3,3,104716
1999-12-06,3,3,3,3,38595
1999-12-07,3,3,3,3,85509
1999-12-08,3,3,3,3,22100
1999-12-14,3,3,3,3,55420
1999-12-15,3,3,3,3,22380
1999-12-16,3,3,3,3,60000
2000-01-04,3,3,3,3,45934
2000-01-05,3,3,3,3,24268
2000-01-10,3,3.05,3,3.05,19900
2000-01-11,3.05,3.05,3.05,3.05,12452
2000-01-12,3.05,3.1,3.1,3.1,34000
2000-01-13,3.1,3.15,3.1,3.15,24380
2000-01-17,3.15,3.2,3.2,3.2,9650
2000-01-19,3.2,3.35,3.25,3.35,24600
2000-01-24,3.35,3.4,3.35,3.4,61038
2000-01-27,3.4,3.5,3.45,3.5,13330
2000-02-01,3.5,3.5,3.5,3.5,56299
2000-02-03,3.5,3.6,3.6,3.6,5000
2000-02-08,3.6,3.8,3.66,3.8,120000
2000-02-10,3.8,4,4,4,75269
2000-02-14,4,4,4,4,20100
2000-02-15,4,4.05,4.05,4.05,54385
2000-02-16,4.05,4.05,4.05,4.05,107000
2000-02-17,4.05,4,4,4,47624
2000-02-21,4,4,3.9,4,361804
2000-02-22,4,3.95,3.9,3.9,340429
2000-02-23,3.9,3.85,3.85,3.85,71424
2000-02-24,3.85,3.85,3.85,3.85,5000
2000-02-28,3.85,3.8,3.74,3.8,123250
2000-02-29,3.8,3.8,3.75,3.8,196755
2000-03-01,3.8,3.8,3.75,3.75,316531
2000-03-02,3.75,3.8,3.8,3.8,395126
2000-03-06,3.8,3.75,3.74,3.74,23675
2000-03-07,3.74,3.7,3.65,3.65,45502
2000-03-09,3.65,3.66,3.6,3.6,12061
2000-03-13,3.6,3.7,3.6,3.7,43875
2000-03-14,3.7,3.8,3.8,3.8,183279
2000-03-15,3.8,3.8,3.8,3.8,125600
2000-03-16,3.8,3.8,3.8,3.8,15619
2000-03-20,3.8,4,3.85,3.8,119822
2000-03-21,3.8,4.25,4,4.25,132022
2000-03-22,4.25,4.35,4.25,4.25,114120
2000-03-23,4.25,4.25,4.1,4.1,415000
2000-03-27,4.1,4,4,4,5000
2000-03-28,4,3.9,3.89,3.9,15684
2000-03-29,3.9,3.9,3.9,3.9,26650
2000-03-30,3.9,3.81,3.81,3.81,750
2000-04-03,3.81,3.8,3.8,3.8,19900
2000-04-04,3.8,3.85,3.81,3.85,49086
2000-04-05,3.85,3.8,3.8,3.8,940984
2000-04-06,3.8,3.8,3.8,3.8,3067864
2000-04-10,3.8,4.21,3.85,4.21,2200974
2000-04-11,4.21,4.84,4.5,4.6,2676715
2000-04-12,4.6,4.85,4.8,4.8,237665
2000-04-13,4.8,4.8,4.7,4.7,130690
2000-04-17,4.7,4.7,4.65,4.65,172482
2000-04-18,4.65,4.6,4.6,4.6,15750
2000-04-19,4.6,4.4,3.91,3.91,327960
2000-04-20,3.91,3.85,3.6,3.6,12556
2000-04-25,3.6,3.6,3.6,3.6,24750
2000-04-26,3.6,3.8,3.51,3.8,4001999
2000-04-27,3.8,3.85,3.8,3.85,73784
2000-05-01,3.85,4,3.95,4,75316
2000-05-02,4,4.6,4.6,4.6,144659
2000-05-03,4.6,4.6,4.6,4.6,624850
2000-05-04,4.6,4.61,4.6,4.61,2973950
2000-05-08,4.61,4.66,4.65,4.65,276100
2000-05-09,4.65,4.65,4.61,4.61,1085021
2000-05-10,4.61,4.59,4.59,4.59,5300
2000-05-11,4.59,4.4,4.3,4.4,35150
2000-05-15,4.4,4.4,4.4,4.4,17550
2000-05-16,4.4,4.4,4.4,4.4,58074
2000-05-17,4.4,4.41,4.41,4.41,3000
2000-05-18,4.41,4.4,4.3,4.3,2300
2000-05-22,4.3,4.29,4,4,60700
2000-05-24,4,4,4,4,13838
2000-05-25,4,4,4,4,15799
2000-05-29,4,4,3.99,3.99,3350
2000-05-30,3.99,3.9,3.75,3.75,33000
2000-05-31,3.75,3.75,3.75,3.75,8425
2000-06-01,3.75,3.75,3.74,3.74,41575
2000-06-05,3.74,3.75,3.75,3.75,48462
2000-06-06,3.75,3.75,3.75,3.75,28936
2000-06-07,3.75,3.8,3.8,3.8,5900
2000-06-08,3.8,3.9,3.8,3.9,2675035
2000-06-12,3.9,4.05,4,4,514850
2000-06-13,4,3.87,3.85,3.85,198718
2000-06-14,3.85,3.85,3.85,3.85,56184
2000-06-15,3.85,3.85,3.85,3.85,65417
2000-06-19,3.85,3.99,3.85,3.99,8000
2000-06-21,3.99,3.85,3.85,3.85,154686
2000-06-22,3.85,3.85,3.85,3.85,7772
2000-06-27,3.85,3.8,3.6,3.6,77000
2000-06-28,3.6,3.28,3.28,3.28,70788
2000-06-29,3.28,3.4,3.4,3.4,10425
2000-07-03,3.4,3.41,3.41,3.41,100
2000-07-04,3.41,3.41,3.41,3.41,2000
2000-07-10,3.41,3.8,3.39,3.8,53675
2000-07-11,3.8,3.35,3.28,3.28,378097
2000-07-12,3.28,3.33,3.33,3.33,15704
2000-07-13,3.33,3.36,3.34,3.36,10000
2000-07-17,3.36,3.5,3.4,3.5,54529
2000-07-24,3.5,3.45,3.4,3.4,121296
2000-07-25,3.4,3.3,3.3,3.3,5000
