
Symbol,Date,"52 Week High","52 Week Low","Previous Year Div","Current Year Div","Volume (non block)","Today High","Today Low","Last Traded","Close Price","Price Change","Closing Bid","Closing Ask"
CCC,1995-01-03,26.500000,.590000,,,6900.000000,3.800000,3.800000,3.850000,3.850000,,3.800000,3.850000
CCC,1995-01-05,26.500000,.590000,,,121884.000000,4.000000,4.000000,4.050000,4.050000,.200000,4.000000,4.100000
CCC,1995-01-10,26.500000,.590000,,,27000.000000,4.500000,4.350000,4.550000,4.550000,.500000,4.000000,4.550000
CCC,1995-01-12,26.500000,.590000,,,50000.000000,5.600000,5.600000,5.600000,5.600000,1.050000,5.500000,.000000
CCC,1995-01-17,26.500000,.590000,,,2000.000000,5.000000,5.000000,5.000000,5.000000,-.600000,4.950000,5.000000
CCC,1995-01-23,26.500000,.590000,,,4100.000000,5.500000,5.500000,4.940000,4.940000,-.060000,.000000,4.950000
CCC,1995-02-06,26.500000,.590000,,,16341.000000,4.300000,4.300000,4.300000,4.300000,-.640000,4.100000,4.300000
CCC,1995-02-20,26.500000,.590000,,,2625.000000,3.950000,3.950000,3.900000,3.900000,-.400000,.000000,3.950000
CCC,1995-03-08,26.500000,.590000,,,16906.000000,4.000000,4.000000,4.050000,4.050000,.150000,4.000000,4.050000
CCC,1995-03-14,26.500000,.590000,,,10688.000000,4.150000,4.150000,4.150000,4.150000,.100000,.000000,4.200000
CCC,1995-04-06,26.500000,.590000,,,11000.000000,3.000000,3.000000,3.150000,3.150000,-1.000000,3.150000,.000000
CCC,1995-05-11,26.500000,.590000,,,2000.000000,3.400000,3.400000,3.300000,3.300000,.150000,3.250000,3.300000
CCC,1995-05-15,26.500000,.590000,,,9350.000000,3.000000,3.000000,2.900000,2.900000,-.400000,2.900000,2.950000
CCC,1995-05-22,26.500000,.590000,,,6970.000000,3.000000,3.000000,3.000000,3.000000,.100000,3.000000,.000000
CCC,1995-08-17,26.500000,.590000,,,7000.000000,2.250000,2.250000,2.250000,2.250000,-.750000,2.250000,2.300000
CCC,1995-09-21,26.500000,.590000,,,10000.000000,2.600000,2.600000,2.540000,2.540000,.290000,2.500000,2.540000
CCC,1995-09-27,26.500000,.590000,,,4581.000000,2.550000,2.550000,2.550000,2.550000,.010000,2.550000,2.600000
CCC,1995-09-28,26.500000,.590000,,,2333.000000,2.550000,2.550000,2.560000,2.560000,.010000,2.560000,2.600000
CCC,1995-10-26,26.500000,.590000,,,23983.000000,2.800000,2.750000,2.950000,2.950000,.390000,2.900000,3.000000
