Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
AFS,2016-01-04,16.0,8510.0,16.0,16.0,0,,,
AFS,2016-01-05,16.06,5900.0,16.06,16.06,0,,,
AFS,2016-01-07,16.0,22300.0,16.0,16.0,1,-0.2263,0.0,0.0
AFS,2016-01-13,16.27,9000.0,16.5,16.02,3,,,
AFS,2016-01-14,16.5,711.0,16.5,16.5,0,,,
AFS,2016-01-18,16.6,10000.0,16.6,16.6,1,0.29600000000000004,0.0,0.0
AFS,2016-01-20,17.0,2136.0,17.0,17.0,1,,,
AFS,2016-01-22,16.77,1821.0,17.0,16.5,1,,,
AFS,2016-01-27,16.8,200.0,16.8,16.8,2,0.0772,0.0,0.0
AFS,2016-01-29,16.86,9500.0,17.1,16.8,1,,,
AFS,2016-02-19,19.11,14100.0,20.0,19.0,14,,,
AFS,2016-02-22,20.0,1400.0,20.0,20.0,0,,,
AFS,2016-02-23,20.0,100.0,20.0,20.0,0,,,
AFS,2016-02-24,19.5,764000.0,20.0,19.5,0,,,
AFS,2016-02-25,18.0,1426.0,18.0,18.0,0,,,
AFS,2016-02-26,17.53,78424.0,18.0,17.5,0,,,
AFS,2016-02-29,17.5,4000.0,17.5,17.5,0,,,
AFS,2016-03-01,16.5,2550.0,16.5,16.5,0,,,
AFS,2016-03-02,16.55,9776.0,16.55,16.5,0,,,
AFS,2016-03-03,17.45,13701.0,17.45,17.45,0,,,
AFS,2016-03-07,20.2,100.0,20.2,20.2,1,,,
AFS,2016-03-08,20.41,3900.0,21.0,20.2,0,,,
AFS,2016-03-09,20.07,1720.0,20.21,20.0,0,,,
AFS,2016-03-10,17.29,3448.0,17.5,17.0,0,,,
AFS,2016-03-17,16.51,762000.0,16.51,16.51,4,,,
AFS,2016-03-18,16.5,24500.0,16.5,16.5,0,,,
AFS,2016-03-21,17.0,220.0,17.0,17.0,0,,,
AFS,2016-03-22,17.0,1990.0,17.0,17.0,0,,,
AFS,2016-04-05,16.6,1500.0,16.6,16.6,9,,,
AFS,2016-04-11,16.6,6220.0,16.6,16.6,3,,,
AFS,2016-04-12,16.6,500.0,16.6,16.6,0,,,
AFS,2016-04-13,16.55,30500.0,16.6,16.5,0,,,
AFS,2016-04-25,16.5,150.0,16.5,16.5,7,,,
AFS,2016-04-26,16.5,5000.0,16.5,16.5,0,,,
AFS,2016-04-27,16.5,12000.0,16.5,16.5,0,,,
AFS,2016-05-26,16.66,8300.0,17.15,16.5,20,0.0772,0.0,0.0
AFS,2016-06-06,17.0,1162.0,17.0,17.0,6,0.14800000000000002,0.0,0.0
AFS,2016-06-09,17.0,3200.0,17.0,17.0,2,,,
AFS,2016-06-10,17.09,4500.0,17.1,17.0,0,,,
AFS,2016-06-16,17.3,4210.0,17.3,17.3,3,,,
AFS,2016-06-17,17.35,4400.0,17.35,17.35,0,,,
AFS,2016-06-21,17.4,100.0,17.4,17.4,1,,,
AFS,2016-06-30,17.4,8055.0,17.45,17.36,6,,,
AFS,2016-07-25,17.5,8860.0,17.6,17.5,16,,,
