Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
BIL,2016-01-11,3.85,31500.0,3.95,3.8,0,,,
BIL,2016-01-12,3.99,10275.0,4.0,3.95,0,,,
BIL,2016-01-13,3.91,13800.0,4.0,3.8,0,,,
BIL,2016-01-14,3.9,10000.0,3.9,3.9,0,,,
BIL,2016-01-15,4.03,134925.0,4.4,4.0,0,,,
BIL,2016-01-18,4.5,12000.0,4.5,4.5,0,,,
BIL,2016-01-19,4.6,6000.0,4.6,4.6,0,,,
BIL,2016-01-20,5.26,2000.0,5.28,5.1,0,,,
BIL,2016-01-21,4.54,20000.0,6.0,4.05,0,,,
BIL,2016-01-22,4.09,11000.0,4.1,4.03,0,,,
BIL,2016-01-25,3.71,200500.0,3.9,3.7,0,,,
BIL,2016-01-28,4.18,1000.0,4.18,4.18,2,,,
BIL,2016-01-29,4.28,100.0,4.28,4.28,0,,,
BIL,2016-02-02,4.33,135900.0,4.48,4.28,1,-0.2263,1.0,0.0
BIL,2016-02-03,4.48,64500.0,4.48,4.48,0,,,
BIL,2016-02-04,4.59,141883.0,4.6,4.56,0,,,
BIL,2016-02-05,4.4,655019.0,4.56,4.28,0,,,
BIL,2016-02-08,4.78,100.0,4.78,4.78,0,0.4767,0.0,0.0
BIL,2016-02-09,4.69,35224.0,4.78,4.5,0,,,
BIL,2016-02-11,4.75,5478.0,4.75,4.75,1,,,
BIL,2016-02-12,4.62,12000.0,4.75,4.6,0,,,
BIL,2016-02-15,4.77,1250.0,4.77,4.77,0,,,
BIL,2016-02-16,4.65,6150.0,4.7,4.6,0,0.0772,0.0,0.0
BIL,2016-02-17,4.65,11000.0,4.7,4.6,0,,,
BIL,2016-02-18,4.46,119000.0,4.6,4.2,0,-0.2263,1.0,0.0
BIL,2016-02-19,4.2,10000.0,4.2,4.2,0,,,
BIL,2016-02-23,4.0,950.0,4.0,4.0,1,,,
BIL,2016-02-29,3.97,71090.0,4.0,3.9500000000000006,3,,,
BIL,2016-03-01,3.72,25000.0,3.72,3.72,0,,,
BIL,2016-03-07,3.52,9000.0,3.52,3.52,3,,,
BIL,2016-03-11,3.52,4000.0,3.52,3.52,3,,,
BIL,2016-03-18,3.5,2400.0,3.5,3.5,4,,,
BIL,2016-03-22,3.5,600.0,3.5,3.5,1,0.0,1.0,0.0
BIL,2016-04-05,3.25,900.0,3.25,3.25,9,,,
BIL,2016-04-11,3.5,62383.0,3.5,3.5,3,,,
BIL,2016-04-13,3.3,20617.0,3.3,3.3,1,,,
BIL,2016-04-20,3.44,3000.0,3.72,3.3,4,,,
