Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
BRG,2016-01-04,3.19,85100.0,3.2,3.15,0,,,
BRG,2016-01-05,3.12,27839.0,3.2,3.1,0,,,
BRG,2016-01-06,3.15,4349578.0,3.4,3.1,0,,,
BRG,2016-01-07,3.69,159300.0,3.7,3.5,0,,,
BRG,2016-01-08,3.31,362381.0,3.7,3.2,0,,,
BRG,2016-01-11,3.77,25670.0,3.81,3.69,0,,,
BRG,2016-01-12,3.38,199897.0,3.9,3.2,0,,,
BRG,2016-01-13,3.23,518126.0,4.0,3.2,0,,,
BRG,2016-01-15,3.75,18500.0,3.75,3.75,1,,,
BRG,2016-01-18,3.61,27730.0,3.7,3.3,0,,,
BRG,2016-01-19,3.64,9000.0,3.7,3.6,0,,,
BRG,2016-01-20,3.63,1808.0,3.65,3.6,0,,,
BRG,2016-01-21,3.6,11893.0,3.63,3.6,0,,,
BRG,2016-01-22,3.6,107349.0,3.6,3.6,0,,,
BRG,2016-01-25,3.31,337791.0,3.63,3.2,0,,,
BRG,2016-01-26,3.6,103176.0,3.7,3.31,0,,,
BRG,2016-01-27,3.65,87946.0,3.7,3.4,0,,,
BRG,2016-01-28,3.72,403923.0,3.75,3.63,0,,,
BRG,2016-01-29,3.71,106008.0,3.75,3.64,0,,,
BRG,2016-02-01,3.66,26559.0,3.74,3.63,0,0.0,1.0,0.0
BRG,2016-02-02,3.99,300001.0,4.0,3.89,0,,,
BRG,2016-02-03,4.14,117500.0,4.25,4.0,0,,,
BRG,2016-02-04,4.27,94400.0,4.28,4.14,0,,,
BRG,2016-02-05,4.75,2350.0,4.8,4.75,0,,,
BRG,2016-02-08,4.8,1610.0,4.8,4.8,0,,,
BRG,2016-02-09,4.74,191462.0,5.05,4.5,0,,,
BRG,2016-02-11,4.95,100764.0,5.08,4.75,1,,,
BRG,2016-02-12,4.92,14021.0,5.0,4.76,0,,,
BRG,2016-02-15,4.85,38961.0,4.99,4.8,0,,,
BRG,2016-02-16,4.84,50576.0,4.85,4.8,0,,,
BRG,2016-02-17,4.75,37301.0,4.76,4.5,0,,,
BRG,2016-02-18,4.7,13950.0,4.7,4.7,0,,,
BRG,2016-02-19,4.41,5070.0,4.6,4.21,0,,,
BRG,2016-02-22,4.21,167477.0,4.8,4.0,0,,,
BRG,2016-02-26,4.88,2862.0,4.88,4.88,3,,,
BRG,2016-03-01,4.88,1734.0,4.88,4.88,1,,,
BRG,2016-03-03,4.0,16210.0,4.0,4.0,1,,,
BRG,2016-03-04,4.0,7790.0,4.0,4.0,0,,,
BRG,2016-03-07,4.03,13159.0,4.37,4.0,0,,,
BRG,2016-03-08,4.1,5869.0,4.1,4.1,0,,,
BRG,2016-03-09,4.0,3450.0,4.0,4.0,0,,,
BRG,2016-03-11,4.05,28300.0,4.1,4.0,1,,,
BRG,2016-03-14,3.92,18799.0,4.0,3.9,0,,,
BRG,2016-03-15,3.81,14612.0,4.0,3.4,0,,,
BRG,2016-03-16,3.5,5000.0,3.5,3.5,0,,,
BRG,2016-03-22,3.52,1000.0,3.52,3.52,3,,,
BRG,2016-03-23,3.57,35604.0,3.75,3.5,0,,,
BRG,2016-03-29,3.76,9000.0,3.76,3.76,3,,,
BRG,2016-03-30,3.88,4000.0,4.0,3.76,0,,,
BRG,2016-04-01,3.96,30352.0,4.0,3.76,1,,,
BRG,2016-04-05,3.76,12500.0,3.8,3.76,1,,,
BRG,2016-04-07,3.51,62542.0,3.76,3.5,1,,,
BRG,2016-04-12,4.0,1300.0,4.0,4.0,2,,,
BRG,2016-04-13,3.83,2300.0,4.0,3.8,0,,,
BRG,2016-04-14,3.8,26400.0,3.83,3.8,0,,,
BRG,2016-04-18,3.69,5227.0,3.8,3.5,1,-0.2263,0.0,0.0
BRG,2016-04-20,3.92,26000.0,4.0,3.8,1,,,
BRG,2016-04-25,3.94,6899.0,3.95,3.9,2,0.5106,0.0,0.0
BRG,2016-04-26,4.0,14027.0,4.0,4.0,0,,,
BRG,2016-04-27,3.9,601.0,3.9,3.9,0,,,
BRG,2016-04-28,3.9,19399.0,3.9,3.9,0,,,
BRG,2016-04-29,4.0,2472.0,4.0,4.0,0,,,
BRG,2016-05-02,4.0,3200.0,4.0,4.0,0,,,
BRG,2016-05-03,4.03,218684.0,4.1,4.0,0,,,
BRG,2016-05-06,4.14,42400.0,4.25,4.0,2,0.2023,1.0,0.0
BRG,2016-05-10,4.19,99158.0,4.2,4.0,1,,,
BRG,2016-05-11,4.31,40000.0,4.7,4.25,0,,,
BRG,2016-05-12,4.25,21849.0,4.25,4.25,0,,,
BRG,2016-05-13,4.25,13000.0,4.26,4.25,0,,,
BRG,2016-05-17,4.28,20000.0,4.28,4.28,1,,,
BRG,2016-05-19,4.38,5389.0,4.38,4.38,1,,,
BRG,2016-05-20,4.38,4500.0,4.41,4.38,0,,,
BRG,2016-05-24,4.38,450.0,4.38,4.38,1,,,
BRG,2016-05-25,4.5,431.0,4.5,4.5,0,,,
BRG,2016-05-27,4.4,5000.0,4.4,4.4,1,,,
BRG,2016-05-30,4.45,95000.0,4.45,4.4,0,,,
BRG,2016-06-01,4.42,20300.0,4.49,4.4,1,,,
BRG,2016-06-03,4.49,100.0,4.49,4.49,1,,,
BRG,2016-06-06,4.5,10259.0,4.5,4.43,0,,,
BRG,2016-06-07,4.8,1734.0,4.8,4.8,0,,,
BRG,2016-06-08,4.48,12200.0,4.5,4.47,0,,,
BRG,2016-06-09,4.5,16450.0,4.5,4.5,0,,,
BRG,2016-06-10,4.51,21000.0,4.8,4.5,0,,,
BRG,2016-06-13,4.5,3799.0,4.5,4.5,0,,,
BRG,2016-06-14,4.5,7812.0,4.5,4.5,0,,,
BRG,2016-06-16,4.5,5000.0,4.5,4.5,1,,,
BRG,2016-06-21,4.5,13940.0,4.5,4.5,2,,,
BRG,2016-06-22,4.37,95404.0,4.38,4.05,0,,,
BRG,2016-06-24,4.35,3799.0,4.35,4.35,1,,,
BRG,2016-06-27,4.5,21726.0,4.5,4.49,0,,,
BRG,2016-06-28,4.5,3274.0,4.5,4.5,0,0.0,1.0,0.0
BRG,2016-06-29,4.48,3000.0,4.5,4.45,0,,,
BRG,2016-06-30,4.46,11081.0,4.55,4.3,0,,,
BRG,2016-07-01,4.32,6800.0,4.35,4.3,0,,,
BRG,2016-07-04,4.47,104073.0,4.5,4.35,0,,,
BRG,2016-07-05,4.5,300.0,4.5,4.5,0,,,
BRG,2016-07-06,4.46,36539.0,4.5,4.45,0,,,
BRG,2016-07-12,4.59,107426.0,5.0,4.46,3,,,
BRG,2016-07-13,4.5,1000.0,4.5,4.5,0,,,
BRG,2016-07-14,4.47,504496.0,4.5,4.47,0,,,
BRG,2016-07-15,4.5,8793.0,4.5,4.5,0,,,
BRG,2016-07-18,4.45,14014.0,4.45,4.45,0,,,
BRG,2016-07-19,4.41,1000.0,4.41,4.41,0,,,
BRG,2016-07-20,4.41,3369.0,4.41,4.4,0,,,
BRG,2016-07-26,4.55,15196.0,4.55,4.55,3,,,
BRG,2016-07-27,4.55,1604.0,4.55,4.55,0,,,
BRG,2016-07-29,4.55,15850.0,4.55,4.55,1,,,
BRG,2016-08-02,4.55,1608.0,4.55,4.55,1,,,
BRG,2016-08-03,4.55,10892.0,4.55,4.55,0,,,
BRG,2016-08-04,4.56,10809.0,4.56,4.56,0,,,
BRG,2016-08-05,4.6,4558.0,4.6,4.6,0,,,
BRG,2016-08-08,4.59,6608.0,4.7,4.56,0,,,
BRG,2016-08-10,4.57,5480.0,4.57,4.56,1,0.0,1.0,0.0
BRG,2016-08-11,4.53,71099.0,4.61,4.5,0,,,
BRG,2016-08-12,5.16,6200.0,5.25,4.8,0,,,
