Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
CABROKERS,2020-03-09,2.49468,204158.0,2.53,2.45,0,0.8689,0.0,0.0
CABROKERS,2020-03-10,2.365904,677685.0,2.45,1.91,0,,,
CABROKERS,2020-03-11,2.259309,287251.0,2.35,2.0,0,,,
CABROKERS,2020-03-12,1.93197,527442.0,2.24,1.81,0,,,
CABROKERS,2020-03-13,1.865287,215459.0,2.19,1.6,0,,,
CABROKERS,2020-03-16,1.990123,102431.0,2.2,1.85,0,0.0,1.0,0.0
CABROKERS,2020-03-17,1.964952,92300.0,2.3,1.89,0,,,
CABROKERS,2020-03-18,1.879734,110320.0,2.0,1.85,0,,,
CABROKERS,2020-03-19,1.963309,203463.0,2.01,1.95,0,,,
CABROKERS,2020-03-20,1.943095,51369.0,1.95,1.85,0,,,
CABROKERS,2020-03-23,1.956343,188778.0,1.96,1.93,0,,,
CABROKERS,2020-03-24,1.953178,86638.0,1.98,1.85,0,,,
CABROKERS,2020-03-25,1.972517,168230.0,1.98,1.85,0,,,
CABROKERS,2020-03-26,1.92173,26640.0,1.99,1.85,0,,,
CABROKERS,2020-03-27,2.051501,40823.0,2.2,1.98,0,,,
CABROKERS,2020-03-30,2.04471,105746.0,2.3,1.93,0,,,
CABROKERS,2020-03-31,2.128931,86765.0,2.3,2.04,0,,,
CABROKERS,2020-04-01,2.154074,283523.0,2.3,2.0,0,,,
CABROKERS,2020-04-02,2.049109,196792.0,2.44,1.93,0,,,
CABROKERS,2020-04-03,2.00578,120109.0,2.19,1.93,0,,,
CABROKERS,2020-04-06,2.179598,26087.0,2.2,2.01,0,,,
CABROKERS,2020-04-07,2.030482,23097.0,2.19,2.0,0,,,
CABROKERS,2020-04-08,2.05714,20300.0,2.19,2.0,0,,,
CABROKERS,2020-04-09,2.20521,1538738.0,2.42,2.19,0,,,
CABROKERS,2020-04-14,2.394956,93035.0,2.44,2.2,2,,,
CABROKERS,2020-04-15,2.687846,87069.0,2.8,2.45,0,,,
CABROKERS,2020-04-16,2.556597,436727.0,2.85,2.45,0,,,
CABROKERS,2020-04-17,2.3300080000000003,179260.0,2.54,2.2,0,,,
CABROKERS,2020-04-20,2.363291,41983.0,2.5,2.35,0,,,
CABROKERS,2020-04-21,2.3511450000000003,303958.0,2.5,2.35,0,,,
CABROKERS,2020-04-22,2.202512,76901.0,2.5,2.01,0,,,
CABROKERS,2020-04-23,2.234653,41883.0,2.48,2.01,0,,,
CABROKERS,2020-04-24,2.3488740000000004,4750.0,2.35,2.34,0,,,
CABROKERS,2020-04-27,2.200627,208027.0,2.48,2.03,0,,,
CABROKERS,2020-04-28,2.112631,647069.0,2.3,2.03,0,,,
CABROKERS,2020-04-29,2.123018,15673.0,2.29,2.03,0,,,
CABROKERS,2020-04-30,2.28,2500.0,2.28,2.28,0,,,
CABROKERS,2020-05-01,2.19937,88627.0,2.2,2.1,0,,,
CABROKERS,2020-05-04,2.069782,91717.0,2.27,2.06,0,,,
CABROKERS,2020-05-05,2.119478,21483.0,2.19,2.08,0,,,
CABROKERS,2020-05-06,2.18,1500.0,2.18,2.18,0,,,
CABROKERS,2020-05-07,2.177873,3000.0,2.18,2.17,0,,,
CABROKERS,2020-05-08,2.168857,39833.0,2.2,2.07,0,,,
CABROKERS,2020-05-11,2.19,2000.0,2.19,2.19,0,,,
CABROKERS,2020-05-12,2.19,12500.0,2.19,2.19,0,,,
CABROKERS,2020-05-13,2.220618,18768.0,2.25,2.19,0,,,
CABROKERS,2020-05-14,2.303784,16774.0,2.37,2.12,0,,,
CABROKERS,2020-05-15,2.323323,24683.0,2.49,2.15,0,0.34,1.0,0.0
CABROKERS,2020-05-18,2.214062,71724.0,2.35,2.15,0,,,
CABROKERS,2020-05-19,2.35,1000.0,2.35,2.35,0,,,
CABROKERS,2020-05-20,2.39,1750.0,2.39,2.39,0,,,
CABROKERS,2020-05-21,2.297275,80524.0,2.6,2.2,0,,,
CABROKERS,2020-05-22,2.231955,37243.0,2.5,2.2,0,,,
CABROKERS,2020-05-26,2.403684,9500.0,2.45,2.4,1,,,
CABROKERS,2020-05-27,2.3,5834.0,2.3,2.3,0,,,
CABROKERS,2020-05-28,2.295083,17695.0,2.3,2.27,0,,,
CABROKERS,2020-05-29,2.269711,45726.0,2.3,2.2,0,,,
CABROKERS,2020-06-01,2.283679,54706.0,2.29,2.15,0,,,
CABROKERS,2020-06-02,2.29,2500.0,2.29,2.29,0,,,
CABROKERS,2020-06-03,2.1965220000000003,172094.0,2.29,2.17,0,,,
CABROKERS,2020-06-04,2.092537,27678.0,2.2,2.08,0,,,
CABROKERS,2020-06-05,2.257778,6750.0,2.29,2.25,0,,,
CABROKERS,2020-06-08,2.2583740000000003,33700.0,2.28,2.15,0,,,
CABROKERS,2020-06-09,2.28,22607.0,2.28,2.28,0,,,
CABROKERS,2020-06-10,2.24,2000.0,2.24,2.24,0,,,
CABROKERS,2020-06-11,2.15,45000.0,2.15,2.15,0,,,
CABROKERS,2020-06-12,2.149278,4850.0,2.24,2.12,0,,,
CABROKERS,2020-06-15,2.191186,5133.0,2.24,2.16,0,,,
CABROKERS,2020-06-16,2.232662,15350.0,2.28,2.2,0,,,
CABROKERS,2020-06-17,2.166909,30679.0,2.21,2.16,0,,,
CABROKERS,2020-06-18,2.25,1000.0,2.25,2.25,0,,,
CABROKERS,2020-06-19,2.200606,103132.0,2.28,2.16,0,,,
CABROKERS,2020-06-22,2.289626,24013.0,2.3,2.2,0,,,
CABROKERS,2020-06-23,2.273084,4822.0,2.3,2.25,0,,,
CABROKERS,2020-06-24,2.3,201000.0,2.3,2.3,0,,,
CABROKERS,2020-06-25,2.211376,52337.0,2.25,2.12,0,,,
CABROKERS,2020-06-26,2.157601,67210.0,2.2,2.15,0,,,
CABROKERS,2020-06-29,2.198651,26721.0,2.2,2.15,0,,,
CABROKERS,2020-06-30,2.175198,6549.0,2.2,2.06,0,,,
CABROKERS,2020-07-01,2.2,2000.0,2.2,2.2,0,,,
CABROKERS,2020-07-02,2.206092,2052.0,2.25,2.2,0,,,
CABROKERS,2020-07-03,2.18247,7332.0,2.2,2.06,0,,,
CABROKERS,2020-07-06,2.24,1000.0,2.24,2.24,0,,,
CABROKERS,2020-07-07,2.23,1750.0,2.23,2.23,0,,,
CABROKERS,2020-07-08,2.103792,8286.0,2.23,2.07,0,,,
CABROKERS,2020-07-09,2.2,1500.0,2.2,2.2,0,,,
CABROKERS,2020-07-10,2.2,1000.0,2.2,2.2,0,,,
CABROKERS,2020-07-13,2.009162,69107.0,2.2,1.92,0,,,
CABROKERS,2020-07-14,2.127252,5503.0,2.2,2.01,0,,,
CABROKERS,2020-07-15,1.972383,51571.0,2.2,1.94,0,,,
CABROKERS,2020-07-16,2.01,1000.0,2.01,2.01,0,,,
CABROKERS,2020-07-17,2.157181,6044.0,2.19,2.0,0,,,
CABROKERS,2020-07-20,2.112057,2820.0,2.15,2.05,0,,,
CABROKERS,2020-07-21,2.058716,7664.0,2.1,2.0,0,,,
CABROKERS,2020-07-22,2.104166,12565.0,2.15,2.01,0,,,
CABROKERS,2020-07-23,2.206474,8966.0,2.25,2.15,0,,,
CABROKERS,2020-07-24,2.15,10795.0,2.15,2.15,0,,,
CABROKERS,2020-07-27,2.151249,14184.0,2.25,2.04,0,,,
CABROKERS,2020-07-29,2.211279,6100.0,2.25,2.14,1,,,
CABROKERS,2020-07-30,2.24,3500.0,2.24,2.24,0,,,
CABROKERS,2020-07-31,2.25,2250.0,2.25,2.25,0,,,
CABROKERS,2020-08-03,2.25,1100.0,2.25,2.25,0,,,
CABROKERS,2020-08-04,2.10553,58475.0,2.3,2.06,0,,,
CABROKERS,2020-08-05,2.101506,8048.0,2.2,2.04,0,,,
CABROKERS,2020-08-07,2.123239,8688.0,2.2,2.02,1,,,
CABROKERS,2020-08-10,2.200387,2065.0,2.28,2.12,0,,,
CABROKERS,2020-08-11,2.15,1014.0,2.15,2.15,0,,,
CABROKERS,2020-08-12,2.033196,19410.0,2.24,2.0,0,0.34,1.0,0.0
CABROKERS,2020-08-13,1.997045,50770.0,2.18,1.97,0,,,
CABROKERS,2020-08-14,2.04,11000.0,2.04,2.04,0,,,
CABROKERS,2020-08-17,1.933756,10047.0,2.03,1.92,0,,,
CABROKERS,2020-08-19,1.93,41233.0,1.93,1.93,1,,,
CABROKERS,2020-08-20,2.168488,12714.0,2.23,1.94,0,,,
CABROKERS,2020-08-21,2.154328,12020.0,2.22,2.05,0,,,
CABROKERS,2020-08-24,1.910001,1500010.0,2.06,1.91,0,,,
CABROKERS,2020-08-25,1.91,7329.0,1.91,1.91,0,,,
CABROKERS,2020-08-26,2.05,1500.0,2.05,2.05,0,,,
CABROKERS,2020-08-27,1.901657,53369.0,2.05,1.9,0,,,
CABROKERS,2020-08-28,2.000351,6405.0,2.1,1.91,0,,,
CABROKERS,2020-08-31,2.029023,6818.0,2.09,1.91,0,,,
CABROKERS,2020-09-01,1.906667,31500.0,2.0,1.9,0,,,
CABROKERS,2020-09-03,1.94,1000.0,1.94,1.94,1,,,
CABROKERS,2020-09-07,2.006886,15249.0,2.07,2.0,1,,,
CABROKERS,2020-09-08,1.909767,135152.0,1.91,1.9,0,,,
CABROKERS,2020-09-09,1.910004,39656.0,2.07,1.91,0,,,
CABROKERS,2020-09-11,1.910301,116159.0,2.05,1.91,1,,,
CABROKERS,2020-09-14,1.91,2505.0,1.91,1.91,0,,,
CABROKERS,2020-09-15,1.903528,36773.0,2.05,1.9,0,,,
CABROKERS,2020-09-16,1.913317,44013.0,2.03,1.91,0,,,
CABROKERS,2020-09-17,1.92,2093.0,1.92,1.92,0,,,
CABROKERS,2020-09-18,1.928768,6276.0,1.96,1.92,0,,,
CABROKERS,2020-09-21,1.898172,95620.0,1.92,1.88,0,,,
CABROKERS,2020-09-23,1.81713,22145.0,1.9,1.65,1,,,
CABROKERS,2020-09-24,1.91,100.0,1.91,1.91,0,,,
CABROKERS,2020-09-25,1.85375,48000.0,1.91,1.85,0,,,
CABROKERS,2020-09-28,1.85,3551.0,1.85,1.85,0,,,
CABROKERS,2020-09-29,1.916537,12289.0,2.01,1.9,0,,,
CABROKERS,2020-09-30,2.014812,6000.0,2.02,2.01,0,,,
CABROKERS,2020-10-01,2.009653,750.0,2.01,2.0,0,,,
CABROKERS,2020-10-02,1.99,10000.0,1.99,1.99,0,,,
CABROKERS,2020-10-05,1.885802,3249.0,1.99,1.85,0,,,
CABROKERS,2020-10-06,1.901848,4032.0,1.99,1.85,0,0.6808,0.0,0.0
CABROKERS,2020-10-07,1.883429,4188.0,1.99,1.85,0,,,
CABROKERS,2020-10-08,1.85,550.0,1.85,1.85,0,,,
CABROKERS,2020-10-09,1.850192,47500.0,1.99,1.85,0,,,
CABROKERS,2020-10-12,1.95,750.0,1.95,1.95,0,,,
CABROKERS,2020-10-14,1.9,300.0,1.9,1.9,1,,,
CABROKERS,2020-10-20,1.8,150.0,1.8,1.8,3,,,
CABROKERS,2020-10-21,1.8,1067.0,1.8,1.8,0,,,
CABROKERS,2020-10-22,1.779094,2748.0,1.8,1.67,0,,,
CABROKERS,2020-10-23,1.83,1167.0,1.83,1.83,0,,,
CABROKERS,2020-10-26,1.84,3290.0,1.84,1.84,0,,,
CABROKERS,2020-10-27,1.814247,5152.0,1.85,1.8,0,,,
CABROKERS,2020-10-28,1.736363,29989.0,1.85,1.65,0,,,
CABROKERS,2020-10-29,1.94859,15009.0,1.95,1.93,0,,,
CABROKERS,2020-10-30,1.8,4282.0,1.8,1.8,0,,,
CABROKERS,2020-11-02,1.923042,10100.0,1.94,1.9,0,,,
CABROKERS,2020-11-03,1.814418,29480.0,1.92,1.8,0,,,
CABROKERS,2020-11-04,1.825888,1919.0,1.89,1.8,0,,,
CABROKERS,2020-11-05,1.935887,885.0,1.94,1.9,0,,,
CABROKERS,2020-11-06,1.832098,7702.0,1.91,1.83,0,,,
CABROKERS,2020-11-09,1.83,10068.0,1.83,1.83,0,,,
CABROKERS,2020-11-10,1.830384,32563.0,1.9,1.83,0,0.34,1.0,0.0
CABROKERS,2020-11-11,1.793549,8362.0,1.83,1.75,0,,,
CABROKERS,2020-11-12,1.767278,71961.0,1.8,1.76,0,,,
