Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
CAR,2016-01-04,60.11,2261300.0,62.0,60.0,0,,,
CAR,2016-01-05,61.04,1640.0,61.99,60.85,0,,,
CAR,2016-01-06,60.61,1720.0,61.0,60.22,0,,,
CAR,2016-01-07,60.49,5873.0,61.0,60.2,0,,,
CAR,2016-01-08,60.15,102883.0,61.0,60.0,0,,,
CAR,2016-01-11,61.0,69500.0,61.0,60.99,0,,,
CAR,2016-01-12,61.0,20149.0,61.0,61.0,0,,,
CAR,2016-01-13,59.86,94600.0,60.5,59.0,0,,,
CAR,2016-01-14,59.19,34895.0,60.05,59.0,0,,,
CAR,2016-01-15,60.02,60210.0,60.5,60.0,0,,,
CAR,2016-01-18,60.05,1432.0,60.05,60.05,0,,,
CAR,2016-01-19,60.03,33262.0,60.99,60.0,0,,,
CAR,2016-01-20,60.37,38550.0,61.0,60.0,0,,,
CAR,2016-01-21,60.03,50666.0,61.0,60.0,0,,,
CAR,2016-01-22,61.33,15369.0,63.05,61.0,0,,,
CAR,2016-01-25,62.62,1956.0,63.0,62.5,0,,,
CAR,2016-01-26,62.44,86825.0,62.51,61.5,0,0.01185,0.0,0.0
CAR,2016-01-27,62.18,22915.0,63.2,62.0,0,,,
CAR,2016-01-28,62.5,100.0,62.5,62.5,0,,,
CAR,2016-01-29,62.5,2274.0,62.5,62.5,0,,,
CAR,2016-02-01,62.04,15670.0,63.0,62.0,0,,,
CAR,2016-02-02,62.94,33751.0,62.95,61.55,0,,,
CAR,2016-02-03,62.63,35941.0,63.0,61.55,0,,,
CAR,2016-02-04,62.49,375002.0,63.0,62.0,0,,,
CAR,2016-02-05,62.51,527435.0,63.0,62.5,0,0.4215,0.0,0.0
CAR,2016-02-09,62.81,18990.0,63.02,62.7,1,0.29600000000000004,0.0,0.0
CAR,2016-02-12,63.36,15180.0,63.5,63.05,2,-0.0242,0.0,0.0
CAR,2016-02-15,63.84,84243.0,65.0,63.0,0,,,
CAR,2016-02-16,65.0,625721.0,65.7,65.0,0,,,
CAR,2016-02-17,65.0,245117.0,65.7,65.0,0,,,
CAR,2016-02-18,67.56,150641.0,68.0,65.5,0,,,
CAR,2016-02-19,65.48,6072.0,66.5,65.0,0,,,
CAR,2016-02-22,65.02,95101.0,66.5,65.0,0,,,
CAR,2016-02-23,65.3,14646.0,66.0,65.0,0,,,
CAR,2016-02-24,65.01,205078.0,65.5,65.0,0,,,
CAR,2016-02-25,65.03,31891.0,66.0,65.0,0,,,
CAR,2016-02-26,64.99,15400.0,65.02,64.1,0,,,
CAR,2016-02-29,65.04,143005.0,66.5,65.0,0,,,
CAR,2016-03-01,65.01,3290.0,65.04,64.5,0,,,
CAR,2016-03-02,64.99,216663.0,65.04,64.5,0,-0.0258,0.0,0.0
CAR,2016-03-03,65.0,60983.0,65.0,65.0,0,,,
CAR,2016-03-04,64.92,6840.0,65.0,64.5,0,,,
CAR,2016-03-07,65.0,576410.0,65.03,64.1,0,,,
CAR,2016-03-08,64.0,7157.0,64.0,64.0,0,,,
CAR,2016-03-09,64.62,2930.0,65.0,64.0,0,,,
CAR,2016-03-10,64.99,402191.0,64.99,64.5,0,,,
CAR,2016-03-11,64.5,11000.0,64.5,64.5,0,,,
CAR,2016-03-14,64.99,120.0,64.99,64.99,0,,,
CAR,2016-03-15,64.5,14840.0,64.5,64.5,0,,,
CAR,2016-03-16,64.4,28704.0,65.0,64.0,0,,,
CAR,2016-03-18,64.96,38075.0,65.0,64.5,1,,,
CAR,2016-03-21,65.24,4806.0,66.0,65.0,0,,,
CAR,2016-03-22,65.96,123177.0,66.0,65.0,0,,,
CAR,2016-03-23,65.61,1100.0,65.7,65.5,0,,,
CAR,2016-03-24,66.01,5268.0,66.5,66.0,0,,,
CAR,2016-03-29,66.44,131575.0,66.5,66.0,2,,,
CAR,2016-03-30,66.15,640.0,66.15,66.15,0,,,
CAR,2016-03-31,66.15,36750.0,66.15,66.15,0,,,
CAR,2016-04-01,66.1,3340.0,66.15,66.0,0,,,
CAR,2016-04-04,66.11,23490.0,66.15,66.1,0,,,
CAR,2016-04-05,65.59,10055.0,66.15,65.02,0,,,
CAR,2016-04-06,65.2,6526.0,66.14,65.0,0,,,
CAR,2016-04-07,65.0,23000.0,65.0,65.0,0,,,
CAR,2016-04-08,65.0,108094.0,65.0,65.0,0,,,
CAR,2016-04-11,64.99,421078.0,65.0,64.99,0,,,
CAR,2016-04-12,65.37,1900.0,66.0,65.0,0,,,
CAR,2016-04-13,65.06,66741.0,66.15,65.0,0,,,
CAR,2016-04-14,65.22,9260.0,66.0,65.0,0,,,
CAR,2016-04-15,65.46,4715.0,65.5,65.1,0,,,
CAR,2016-04-18,66.0,2000.0,66.0,66.0,0,,,
CAR,2016-04-19,66.0,5370.0,66.0,66.0,0,,,
CAR,2016-04-20,66.0,18790.0,66.0,66.0,0,,,
CAR,2016-04-21,64.99,103826.0,65.0,64.99,0,,,
CAR,2016-04-22,64.82,2030.0,65.0,64.5,0,,,
CAR,2016-04-25,64.61,8286.0,65.0,64.1,0,,,
CAR,2016-04-26,64.54,270430.0,65.0,64.5,0,,,
CAR,2016-04-27,63.36,64337.0,65.0,63.0,0,,,
CAR,2016-04-28,63.0,1805.0,63.4,62.5,0,,,
CAR,2016-04-29,62.84,16265.0,63.01,62.5,0,,,
CAR,2016-05-02,61.73,6000.0,62.5,61.5,0,,,
CAR,2016-05-03,63.17,12521.0,63.4,63.0,0,,,
CAR,2016-05-04,63.41,18929.0,63.5,63.4,0,,,
CAR,2016-05-05,63.54,18220.0,64.0,63.49,0,,,
CAR,2016-05-06,63.97,10995.0,64.0,63.5,0,,,
CAR,2016-05-09,64.0,19576.0,64.0,64.0,0,,,
CAR,2016-05-10,64.0,290.0,64.0,64.0,0,0.0,1.0,0.0
CAR,2016-05-11,63.93,373051.0,64.05,63.5,0,,,
CAR,2016-05-12,63.37,2459.0,63.5,63.0,0,,,
CAR,2016-05-13,63.56,96066.0,64.0,63.01,0,,,
CAR,2016-05-17,63.6,20000.0,64.0,63.6,1,-0.2263,0.0,0.0
CAR,2016-05-18,63.99,111082.0,66.0,63.37,0,,,
CAR,2016-05-19,66.0,300.0,66.0,66.0,0,,,
CAR,2016-05-20,64.87,20051.0,65.0,64.5,0,,,
CAR,2016-05-24,65.19,69370.0,65.2,64.5,1,,,
CAR,2016-05-25,65.21,32147.0,65.5,64.87,0,0.4215,0.0,0.0
CAR,2016-05-26,65.87,13016.0,66.45,65.0,0,,,
CAR,2016-05-27,65.53,36517.0,66.44,65.0,0,,,
CAR,2016-05-30,65.19,10090.0,65.6,65.0,0,-0.2263,1.0,0.0
CAR,2016-05-31,64.25,391.0,64.81,64.01,0,,,
CAR,2016-06-01,65.8,265.0,65.8,65.8,0,,,
CAR,2016-06-02,65.93,1000.0,66.0,65.81,0,,,
CAR,2016-06-03,65.84,43851.0,66.0,65.8,0,,,
CAR,2016-06-06,65.02,1206443.0,65.5,65.0,0,,,
CAR,2016-06-07,65.02,101167.0,65.02,64.7,0,,,
