Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
CBNY,2016-01-06,0.26,57841.0,0.26,0.25,0,,,
CBNY,2016-01-07,0.24,1200.0,0.24,0.24,0,,,
CBNY,2016-01-08,0.25,32159.0,0.25,0.25,0,,,
CBNY,2016-01-11,0.26,1318523.0,0.26,0.25,0,,,
CBNY,2016-01-12,0.27,198400.0,0.27,0.25,0,,,
CBNY,2016-01-13,0.25,72323.0,0.25,0.25,0,0.0,1.0,0.0
CBNY,2016-01-14,0.25,1834.0,0.25,0.25,0,,,
CBNY,2016-01-15,0.25,15474.0,0.25,0.25,0,,,
CBNY,2016-01-18,0.25,104035.0,0.25,0.24,0,,,
CBNY,2016-01-19,0.25,1724839.0,0.26,0.24,0,,,
CBNY,2016-01-21,0.26,100.0,0.26,0.26,1,,,
CBNY,2016-01-22,0.24,502380.0,0.25,0.24,0,,,
CBNY,2016-01-25,0.27,200555.0,0.27,0.27,0,,,
CBNY,2016-01-26,0.27,3500.0,0.27,0.27,0,,,
CBNY,2016-01-27,0.27,323200.0,0.27,0.27,0,,,
CBNY,2016-01-28,0.24,502865.0,0.27,0.24,0,,,
CBNY,2016-02-01,0.23,248000.0,0.23,0.23,1,,,
CBNY,2016-02-02,0.24,1035533.0,0.24,0.22,0,,,
CBNY,2016-02-03,0.24,100000.0,0.24,0.24,0,,,
CBNY,2016-02-05,0.24,532700.0,0.24,0.21,1,,,
CBNY,2016-02-08,0.21,20632.0,0.21,0.21,0,,,
CBNY,2016-02-09,0.21,72660.0,0.21,0.21,0,,,
CBNY,2016-02-15,0.21,593564.0,0.21,0.21,3,,,
CBNY,2016-02-16,0.21,4000.0,0.21,0.21,0,,,
CBNY,2016-02-17,0.19,37005.0,0.21,0.18,0,,,
CBNY,2016-02-18,0.21,1156.0,0.21,0.21,0,,,
CBNY,2016-02-19,0.13,2955517.0,0.18,0.13,0,,,
CBNY,2016-02-22,0.14,180000.0,0.14,0.14,0,,,
CBNY,2016-02-24,0.15,210000.0,0.16,0.14,1,,,
CBNY,2016-02-26,0.19,50000.0,0.19,0.19,1,,,
CBNY,2016-03-01,0.21,4939.0,0.21,0.21,1,,,
CBNY,2016-03-09,0.22000000000000003,2769.0,0.22000000000000003,0.22000000000000003,5,,,
CBNY,2016-03-10,0.22,109574.0,0.23,0.22,0,,,
CBNY,2016-03-15,0.22,113542.0,0.22,0.21,2,,,
CBNY,2016-03-18,0.21,3000.0,0.21,0.21,2,,,
CBNY,2016-03-23,0.19,28000.0,0.19,0.19,2,,,
CBNY,2016-03-29,0.18000000000000002,15000.0,0.18000000000000002,0.18000000000000002,3,,,
CBNY,2016-03-30,0.18,3500.0,0.18,0.18,0,,,
CBNY,2016-03-31,0.18,80463.0,0.18,0.18,0,,,
CBNY,2016-04-05,0.16,312673.0,0.18,0.16,2,,,
CBNY,2016-04-12,0.17,300000.0,0.17,0.17,4,,,
