Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
CHL,2016-01-06,37.65,126.0,37.65,37.65,0,,,
CHL,2016-01-07,37.5,589.0,37.5,37.5,0,,,
CHL,2016-01-11,37.65,125.0,37.65,37.65,1,,,
CHL,2016-01-13,37.6,1000.0,37.6,37.6,1,,,
CHL,2016-01-14,38.5,541.0,38.5,38.5,0,,,
CHL,2016-01-18,39.01,959.0,39.01,39.01,1,,,
CHL,2016-01-21,39.0,2280.0,39.0,39.0,2,-0.2263,0.0,0.0
CHL,2016-02-15,40.3,4000.0,40.3,40.3,16,,,
CHL,2016-02-19,40.46,2289.0,40.5,40.3,3,0.0,0.0,0.0
CHL,2016-03-15,43.0,126.0,43.0,43.0,16,,,
CHL,2016-04-19,43.51,1000.0,43.51,43.51,24,,,
CHL,2016-04-22,45.0,100.0,45.0,45.0,2,,,
CHL,2016-04-27,45.0,525.0,45.0,45.0,2,,,
CHL,2016-05-25,46.0,1855.0,46.0,46.0,19,,,
CHL,2016-06-22,46.0,4000.0,46.0,46.0,19,,,
CHL,2016-07-08,46.0,2146.0,46.0,46.0,11,,,
CHL,2016-07-19,46.0,5198.0,46.0,46.0,6,,,
CHL,2016-07-20,46.0,250.0,46.0,46.0,0,,,
CHL,2016-07-27,49.0,1000.0,49.0,49.0,4,0.23224999999999998,0.0,0.0
CHL,2016-07-29,56.0,1875.0,56.0,56.0,1,,,
CHL,2016-08-03,56.0,1000.0,56.0,56.0,2,,,
CHL,2016-08-10,70.0,500.0,70.0,70.0,4,0.11180000000000001,0.0,0.0
CHL,2016-08-12,69.56,6725.0,70.01,68.0,1,,,
CHL,2016-08-15,72.0,1500.0,72.0,72.0,0,,,
CHL,2016-08-16,72.0,3719.0,72.02,72.0,0,,,
CHL,2016-08-19,75.05,11324264.0,75.05,75.05,2,,,
CHL,2016-08-22,75.07,4000.0,75.1,75.04,0,,,
CHL,2016-08-24,75.99,7518.0,76.1,75.03,1,-0.2263,0.0,0.0
CHL,2016-08-26,76.17,3470.0,77.0,76.01,1,,,
CHL,2016-09-02,82.0,915.0,82.0,82.0,4,,,
CHL,2016-09-08,86.0,1500.0,86.0,86.0,3,,,
CHL,2016-09-12,86.1,200.0,86.1,86.1,1,,,
CHL,2016-10-10,90.0,3500.0,90.0,90.0,19,,,
CHL,2016-10-11,90.0,3170.0,90.0,90.0,0,,,
CHL,2016-10-13,90.0,325.0,90.0,90.0,1,,,
CHL,2016-10-18,90.0,15000.0,90.0,90.0,2,,,
