Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
CPFV,2019-08-29,46.82,6000.0,50.0,46.18,0,,,
CPFV,2019-08-30,48.11,3308.0,50.0,46.18,0,,,
CPFV,2019-09-02,48.13,326.0,48.13,48.13,0,,,
CPFV,2019-09-03,47.25,1984.0,48.5,46.18,0,,,
CPFV,2019-09-04,46.18,5160.0,46.18,46.18,0,,,
CPFV,2019-09-05,46.18,5571.0,46.18,46.18,0,,,
CPFV,2019-09-06,46.35,2574.0,47.0,46.18,0,,,
CPFV,2019-09-09,46.0,2000.0,46.0,46.0,0,,,
CPFV,2019-09-11,43.36,450.0,44.6,43.0,1,,,
CPFV,2019-09-12,44.99,200.0,44.99,44.99,0,,,
CPFV,2019-09-13,43.07,208.0,46.0,39.9,0,,,
CPFV,2019-09-17,38.07,1610.0,39.0,38.0,1,,,
CPFV,2019-09-18,38.0,300.0,38.0,38.0,0,,,
CPFV,2019-09-19,36.98,26535.0,37.95,36.0,0,,,
CPFV,2019-09-20,35.32,310.0,36.0,35.0,0,,,
CPFV,2019-09-23,32.74,25635.0,36.0,30.0,0,,,
CPFV,2019-09-24,33.51,19580.0,37.0,30.0,0,,,
CPFV,2019-09-25,38.23,10025.0,39.0,32.0,0,,,
CPFV,2019-09-26,38.5,4740.0,39.0,35.0,0,0.0772,0.0,1.0
CPFV,2019-09-27,36.0,1720.0,36.0,36.0,0,,,
CPFV,2019-09-30,35.79,143410.0,38.0,32.53,0,,,
CPFV,2019-10-01,34.75,1200.0,35.0,34.0,0,,,
CPFV,2019-10-02,34.51,29340.0,35.0,34.51,0,,,
CPFV,2019-10-03,35.99,5480.0,36.0,35.5,0,,,
CPFV,2019-10-04,36.0,2220.0,36.0,35.99,0,,,
CPFV,2019-10-07,36.18,100.0,36.18,36.18,0,,,
CPFV,2019-10-08,36.0,2850.0,36.0,36.0,0,,,
CPFV,2019-10-09,35.91,6280.0,36.0,35.0,0,,,
CPFV,2019-10-10,36.86,4001.0,42.0,35.0,0,,,
CPFV,2019-10-11,39.49,2448.0,40.0,39.0,0,,,
CPFV,2019-10-14,39.97,1761.0,41.0,38.0,0,,,
CPFV,2019-10-15,40.0,200.0,40.0,40.0,0,,,
CPFV,2019-10-16,40.54,1480.0,42.0,40.0,0,,,
CPFV,2019-10-17,40.0,930.0,40.0,40.0,0,0.0772,0.0,1.0
CPFV,2019-10-18,38.0,64000.0,38.0,38.0,0,,,
CPFV,2019-10-23,35.92,5650.0,39.5,35.0,2,,,
CPFV,2019-10-28,35.08,3000.0,36.0,35.01,2,,,
CPFV,2019-10-29,36.0,400.0,36.0,36.0,0,,,
CPFV,2019-10-30,34.76,6500.0,36.0,32.0,0,,,
CPFV,2019-10-31,34.13,1000.0,34.76,34.0,0,,,
CPFV,2019-11-04,35.0,100.0,35.0,35.0,1,,,
CPFV,2019-11-05,34.55,2780.0,35.0,34.5,0,,,
CPFV,2019-11-07,35.13,1080.0,35.13,35.13,1,,,
CPFV,2019-11-08,35.55,2640.0,37.0,35.01,0,,,
CPFV,2019-11-11,36.99,1000.0,36.99,36.99,0,,,
CPFV,2019-11-12,35.0,6000.0,35.01,35.0,0,,,
CPFV,2019-11-14,35.09,9750.0,36.0,34.0,1,0.34,1.0,0.0
CPFV,2019-11-18,36.62,7210.0,37.0,36.05,1,,,
CPFV,2019-11-20,38.0,100.0,38.0,38.0,1,,,
CPFV,2019-11-25,36.6,299.0,36.6,36.6,2,,,
CPFV,2019-11-26,31.76,850.0,33.0,30.0,0,,,
CPFV,2019-11-27,33.0,2300.0,33.0,33.0,0,-0.2263,0.0,0.0
CPFV,2019-11-28,35.9,2900.0,35.9,35.9,0,,,
CPFV,2019-12-02,34.262069,116.0,35.9,34.0,1,,,
CPFV,2019-12-03,36.0,4695.0,36.0,35.9,0,,,
CPFV,2019-12-04,36.6,1151.0,36.6,36.6,0,,,
CPFV,2019-12-05,37.5,100.0,37.5,37.5,0,-0.2263,0.0,0.0
CPFV,2019-12-09,37.875351,2491.0,38.0,37.5,1,,,
CPFV,2019-12-10,38.360224,1565.0,39.5,36.0,0,,,
CPFV,2019-12-11,37.9198,1200.0,38.2,37.88,0,,,
CPFV,2019-12-12,38.02,200.0,38.02,38.02,0,,,
CPFV,2019-12-13,38.02,210.0,38.02,38.02,0,0.0772,0.0,0.0
CPFV,2019-12-16,33.268735,32346.0,38.02,30.0,0,0.0772,0.0,0.0
CPFV,2019-12-17,31.080995,16538.0,34.0,30.0,0,,,
CPFV,2019-12-18,30.987591,14482.0,32.0,30.0,0,,,
CPFV,2019-12-19,31.365051,1960.0,32.0,31.05,0,,,
CPFV,2019-12-23,32.0,1070.0,32.0,32.0,1,,,
CPFV,2019-12-24,32.232558000000004,2150.0,33.0,32.0,0,,,
CPFV,2019-12-27,32.0,400.0,32.0,32.0,2,0.3548,1.0,0.0
CPFV,2019-12-30,37.719924,25455.0,39.6,34.99,0,,,
CPFV,2019-12-31,43.190274,15320.0,44.5,42.0,0,-0.2263,0.0,0.0
CPFV,2020-01-02,40.0,110.0,40.0,40.0,1,,,
CPFV,2020-01-03,43.771255,1235.0,44.5,40.0,0,0.0772,0.0,0.0
CPFV,2020-01-06,43.680074,8060.0,44.2,43.19,0,,,
CPFV,2020-01-07,43.999243,434430.0,44.0,43.77,0,0.4588,0.0,1.0
CPFV,2020-01-08,42.230715,6150.0,43.77,41.0,0,,,
CPFV,2020-01-09,41.530065,1229.0,42.23,41.05,0,,,
CPFV,2020-01-10,41.265167,4190.0,43.0,40.5,0,,,
CPFV,2020-01-13,39.604058,1577.0,40.5,36.01,0,,,
CPFV,2020-01-14,36.978143,4630.0,37.01,36.02,0,,,
CPFV,2020-01-15,37.678689,610.0,38.0,37.02,0,,,
CPFV,2020-01-20,38.0,3200.0,38.0,38.0,2,,,
CPFV,2020-01-21,38.03,100.0,38.03,38.03,0,,,
CPFV,2020-01-22,39.0,1000.0,39.0,39.0,0,,,
CPFV,2020-01-23,38.04,500.0,38.04,38.04,0,,,
CPFV,2020-01-24,38.637561,1640.0,40.0,38.04,0,,,
CPFV,2020-01-27,38.04,710.0,38.04,38.04,0,,,
CPFV,2020-01-28,38.151486,2490.0,39.0,38.03,0,,,
CPFV,2020-01-29,37.577033,19450.0,41.27,37.0,0,,,
CPFV,2020-01-31,41.327353,3400.0,41.53,41.27,1,,,
CPFV,2020-02-03,37.121331,6610.0,40.0,37.0,0,,,
CPFV,2020-02-04,39.050408,15690.0,42.0,37.0,0,,,
CPFV,2020-02-05,38.986646,12165.0,41.07,37.12,0,,,
CPFV,2020-02-06,37.50157700000001,6340.0,37.51,37.5,0,,,
CPFV,2020-02-07,37.035455,550.0,37.04,37.03,0,,,
CPFV,2020-02-10,37.007136,15980.0,37.03,37.0,0,,,
CPFV,2020-02-11,37.0,1100.0,37.0,37.0,0,,,
CPFV,2020-02-12,37.0,200.0,37.0,37.0,0,,,
CPFV,2020-02-13,41.088598,6791.0,42.0,37.0,0,,,
CPFV,2020-02-14,42.0,5600.0,42.0,42.0,0,0.34,1.0,0.0
CPFV,2020-02-17,42.0,5569.0,42.0,42.0,0,,,
CPFV,2020-02-18,42.0,12765.0,42.0,42.0,0,0.0772,0.0,1.0
CPFV,2020-02-19,42.0,8860.0,42.0,42.0,0,,,
CPFV,2020-02-20,42.343333,1800.0,43.0,42.0,0,,,
CPFV,2020-02-21,42.0,680.0,42.0,42.0,0,,,
CPFV,2020-02-24,42.0,1000.0,42.0,42.0,0,,,
CPFV,2020-02-25,42.013636,3300.0,42.45,42.0,0,,,
CPFV,2020-02-27,42.004955,1011.0,42.01,42.0,1,,,
CPFV,2020-02-28,43.594904,5200.0,46.0,42.0,0,,,
CPFV,2020-03-02,42.002943,1699.0,42.01,42.0,0,,,
CPFV,2020-03-03,37.51,9.0,37.51,37.51,0,,,
CPFV,2020-03-04,37.500309,3240.0,37.51,37.5,0,,,
CPFV,2020-03-05,41.512097,2480.0,45.9,37.5,0,,,
CPFV,2020-03-06,40.0,160.0,40.0,40.0,0,,,
CPFV,2020-03-09,40.0,1090.0,40.0,40.0,0,,,
CPFV,2020-03-10,37.707312,45951.0,39.8,37.7,0,,,
CPFV,2020-03-12,37.7,3720.0,37.7,37.7,1,,,
CPFV,2020-03-13,37.7,1000.0,37.7,37.7,0,,,
CPFV,2020-03-17,37.7,2790.0,37.7,37.7,1,,,
CPFV,2020-03-18,37.7,49770.0,37.7,37.7,0,,,
CPFV,2020-03-20,37.913006,10658.0,41.0,32.5,1,,,
CPFV,2020-03-23,32.065292,582.0,41.0,30.5,0,,,
CPFV,2020-03-25,36.064202,5140.0,36.5,33.0,1,,,
CPFV,2020-03-26,37.283627,2669.0,40.0,35.0,0,,,
CPFV,2020-03-27,39.996744,5931.0,40.0,39.99,0,,,
CPFV,2020-03-31,38.888889,4500.0,39.5,34.0,1,0.4588,0.0,1.0
CPFV,2020-04-01,39.0,13580.0,39.0,39.0,0,,,
CPFV,2020-04-03,37.25,200.0,39.5,35.0,1,,,
CPFV,2020-04-06,37.25,534.0,37.25,37.25,0,0.5994,0.0,1.0
CPFV,2020-04-08,34.353941,5430.0,35.51,33.33,1,,,
CPFV,2020-04-09,33.823,1200.0,34.35,33.33,0,,,
CPFV,2020-04-14,36.0,10.0,36.0,36.0,2,,,
CPFV,2020-04-15,36.0,1000.0,36.0,36.0,0,,,
CPFV,2020-04-16,34.191028,3920.0,36.0,33.51,0,,,
CPFV,2020-04-20,35.0,510.0,35.0,35.0,1,,,
CPFV,2020-04-21,34.19,1000.0,34.19,34.19,0,,,
CPFV,2020-04-22,34.585195,1490.0,35.0,34.02,0,,,
CPFV,2020-04-23,33.439363,3000.0,34.02,33.01,0,,,
CPFV,2020-04-29,34.445792,808.0,36.0,33.01,3,,,
CPFV,2020-05-01,37.126168,1070.0,37.5,35.5,1,,,
CPFV,2020-05-05,34.0,120.0,34.0,34.0,1,,,
CPFV,2020-05-07,33.966884,2272.0,34.0,33.01,1,,,
CPFV,2020-05-08,31.276777000000006,30390.0,33.01,30.0,0,,,
CPFV,2020-05-12,32.28,100.0,32.28,32.28,1,,,
CPFV,2020-05-13,32.28,100.0,32.28,32.28,0,,,
CPFV,2020-05-18,34.116378999999995,1160.0,35.5,34.0,2,0.34,1.0,0.0
CPFV,2020-05-19,37.455274,1532.0,37.49,37.39,0,,,
