Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
DCOVE,2016-01-05,15.6,4400.0,15.6,15.6,0,,,
DCOVE,2016-01-08,15.6,4846.0,15.6,15.6,2,,,
DCOVE,2016-01-14,15.589999999999998,20092.0,15.75,15.5,3,,,
DCOVE,2016-01-18,15.6,9148.0,15.6,15.6,1,,,
DCOVE,2016-01-19,15.6,1000.0,15.6,15.6,0,,,
DCOVE,2016-01-21,15.68,20000.0,15.68,15.68,1,,,
DCOVE,2016-01-22,15.75,3816.0,15.75,15.75,0,,,
DCOVE,2016-01-27,15.69,14200.0,16.0,15.68,2,,,
DCOVE,2016-01-29,15.69,5560.0,15.69,15.69,1,,,
DCOVE,2016-02-01,15.72,4631.0,15.72,15.72,0,,,
DCOVE,2016-02-03,15.73,9847.0,16.0,15.72,1,,,
DCOVE,2016-02-12,15.720000000000002,400.0,15.720000000000002,15.720000000000002,6,,,
DCOVE,2016-02-15,15.97,35670.0,16.0,15.61,0,,,
DCOVE,2016-02-17,15.62,3300.0,15.97,15.61,1,,,
DCOVE,2016-02-19,15.61,7500.0,15.61,15.61,1,,,
DCOVE,2016-02-22,15.94,80718.0,16.0,15.61,0,,,
DCOVE,2016-02-23,15.61,7000.0,15.61,15.61,0,,,
DCOVE,2016-02-24,15.61,500.0,15.61,15.61,0,,,
DCOVE,2016-02-25,15.62,3100.0,15.62,15.62,0,,,
DCOVE,2016-02-29,15.95,582.0,15.95,15.95,1,,,
DCOVE,2016-03-07,15.4,1700.0,15.4,15.4,4,0.0,1.0,0.0
DCOVE,2016-03-09,15.3,900.0,15.3,15.3,1,,,
DCOVE,2016-03-15,15.29,1000.0,15.29,15.29,3,,,
DCOVE,2016-03-18,15.29,100.0,15.29,15.29,2,,,
DCOVE,2016-03-29,15.289999999999997,800.0,15.289999999999997,15.289999999999997,6,,,
DCOVE,2016-03-30,14.5,1850.0,14.5,14.5,0,,,
DCOVE,2016-04-07,14.5,190.0,14.5,14.5,5,,,
DCOVE,2016-04-19,13.0,200.0,13.0,13.0,7,,,
DCOVE,2016-04-22,13.0,714.0,13.0,13.0,2,-0.2263,0.0,0.0
DCOVE,2016-04-25,13.0,20000.0,13.0,13.0,0,,,
DCOVE,2016-04-27,12.5,250.0,12.5,12.5,1,,,
DCOVE,2016-05-02,12.47,16144.0,12.5,12.25,2,-0.07455,1.0,0.0
DCOVE,2016-05-04,12.51,23856.0,12.51,12.51,1,,,
DCOVE,2016-05-09,12.55,40524.0,12.55,12.55,2,-0.2263,0.0,0.0
DCOVE,2016-05-10,12.75,162.0,12.75,12.75,0,-0.2263,1.0,0.0
DCOVE,2016-05-11,12.55,11346.0,12.55,12.55,0,,,
DCOVE,2016-05-16,12.75,1515.0,12.75,12.75,2,,,
DCOVE,2016-05-17,12.51,1160.0,12.51,12.51,0,,,
DCOVE,2016-05-18,12.68,2524.0,12.68,12.68,0,,,
