Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
ELITE,2018-02-20,2.0,0.0,2.0,2.0,0,,,
ELITE,2018-02-21,3.13,2520373.0,3.4,2.6,0,0.9081,0.0,0.0
ELITE,2018-02-22,3.05,6672725.0,3.3,3.0,0,,,
ELITE,2018-02-23,3.01,4055011.0,3.05,2.9,0,,,
ELITE,2018-02-26,2.77,1231455.0,2.99,2.67,0,,,
ELITE,2018-02-27,2.7,1297976.0,2.8,2.66,0,,,
ELITE,2018-02-28,2.89,31748062.0,2.9,2.7,0,,,
ELITE,2018-03-01,2.74,317840.0,2.85,2.7,0,,,
ELITE,2018-03-02,2.82,633886.0,2.99,2.68,0,0.4588,0.0,1.0
ELITE,2018-03-05,2.78,381025.0,2.8,2.75,0,,,
ELITE,2018-03-06,2.88,451759.0,3.0,2.77,0,,,
ELITE,2018-03-07,2.97,484999.0,3.0,2.82,0,,,
ELITE,2018-03-08,2.95,293553.0,3.0,2.91,0,,,
ELITE,2018-03-09,2.99,2009501.0,3.01,2.91,0,,,
ELITE,2018-03-12,3.0,318518.0,3.0,2.98,0,,,
ELITE,2018-03-13,3.0,343051.0,3.02,2.9,0,,,
ELITE,2018-03-14,3.01,236396.0,3.03,3.0,0,,,
ELITE,2018-03-15,3.05,147535.0,3.06,3.03,0,,,
ELITE,2018-03-16,3.09,287518.0,3.2,3.05,0,,,
ELITE,2018-03-19,3.1,464986.0,3.15,3.07,0,,,
ELITE,2018-03-20,3.1,566108.0,3.16,3.1,0,0.0772,0.0,1.0
ELITE,2018-03-21,3.12,310018.0,3.19,3.1,0,0.4588,0.0,1.0
ELITE,2018-03-22,3.13,116140.0,3.15,3.11,0,,,
ELITE,2018-03-23,3.17,339242.0,3.2,3.11,0,0.0772,0.0,1.0
ELITE,2018-03-26,3.15,400400.0,3.21,3.1,0,,,
ELITE,2018-03-27,3.19,181010.0,3.3,3.11,0,0.4588,0.0,1.0
ELITE,2018-03-28,3.22,187108.0,3.22,3.21,0,,,
ELITE,2018-03-29,3.25,165877.0,3.29,3.22,0,,,
ELITE,2018-04-03,3.28,244041.0,3.31,3.22,2,,,
ELITE,2018-04-04,3.31,77645.0,3.35,3.3,0,,,
ELITE,2018-04-05,3.36,238216.0,3.4,3.3,0,,,
ELITE,2018-04-06,3.36,81202.0,3.45,3.3,0,0.1531,1.0,0.0
ELITE,2018-04-09,3.33,32504.0,3.36,3.3,0,,,
ELITE,2018-04-10,3.37,133727.0,3.4,3.3,0,,,
ELITE,2018-04-11,3.44,57291.0,3.45,3.4,0,,,
ELITE,2018-04-12,3.43,88727.0,3.48,3.4,0,0.0,1.0,0.0
ELITE,2018-04-13,3.35,384979.0,3.41,3.3,0,,,
ELITE,2018-04-16,3.31,303573.0,3.43,3.25,0,,,
ELITE,2018-04-17,3.24,97662.0,3.32,3.18,0,,,
ELITE,2018-04-18,3.18,34294.0,3.18,3.18,0,0.0772,0.0,1.0
ELITE,2018-04-19,3.14,374941.0,3.2,3.1,0,,,
ELITE,2018-04-20,3.18,129503.0,3.2,3.15,0,,,
ELITE,2018-04-23,3.24,126731.0,3.32,3.18,0,,,
ELITE,2018-04-24,3.22,31420.0,3.32,3.22,0,,,
ELITE,2018-04-25,3.22,85572.0,3.23,3.2,0,,,
ELITE,2018-04-26,3.25,368218.0,3.4,3.2,0,,,
ELITE,2018-04-27,3.22,118377.0,3.3,3.2,0,,,
ELITE,2018-04-30,3.25,121237.0,3.32,3.2,0,,,
ELITE,2018-05-01,3.21,57474.0,3.25,3.2,0,,,
ELITE,2018-05-02,3.22,58033.0,3.25,3.21,0,,,
ELITE,2018-05-03,3.23,16367.0,3.25,3.2,0,,,
ELITE,2018-05-04,3.24,53409.0,3.25,3.21,0,,,
ELITE,2018-05-07,3.26,76190.0,3.3,3.25,0,,,
ELITE,2018-05-08,3.26,167349.0,3.28,3.25,0,,,
ELITE,2018-05-09,3.25,35042.0,3.25,3.25,0,,,
ELITE,2018-05-10,3.25,34366.0,3.26,3.25,0,,,
ELITE,2018-05-11,3.24,50456.0,3.26,3.2,0,,,
ELITE,2018-05-14,3.22,56513.0,3.26,3.2,0,,,
ELITE,2018-05-15,3.21,135689.0,3.25,3.2,0,,,
ELITE,2018-05-16,3.23,39249.0,3.25,3.22,0,0.0,1.0,0.0
ELITE,2018-05-17,3.2,36784.0,3.2,3.2,0,,,
ELITE,2018-05-18,3.17,74992.0,3.2,3.15,0,,,
ELITE,2018-05-21,3.1,32894.0,3.15,3.05,0,,,
ELITE,2018-05-22,3.16,154745.0,3.17,3.1,0,,,
ELITE,2018-05-24,3.15,331841.0,3.15,3.15,1,,,
ELITE,2018-05-25,3.15,88702.0,3.2,3.1,0,,,
ELITE,2018-05-28,3.13,50000.0,3.13,3.13,0,,,
ELITE,2018-05-29,3.13,86062.0,3.15,3.1,0,,,
ELITE,2018-05-30,3.15,16229.0,3.15,3.15,0,,,
ELITE,2018-06-01,3.14,61939.0,3.15,3.13,1,,,
ELITE,2018-06-04,3.13,24000.0,3.13,3.13,0,,,
ELITE,2018-06-05,3.13,52293.0,3.13,3.13,0,,,
ELITE,2018-06-06,3.13,48467.0,3.13,3.12,0,,,
ELITE,2018-06-07,3.12,99568.0,3.13,3.12,0,,,
ELITE,2018-06-08,3.15,36257.0,3.16,3.13,0,,,
ELITE,2018-06-11,3.16,2700.0,3.16,3.16,0,,,
ELITE,2018-06-12,3.13,70419.0,3.15,3.12,0,,,
ELITE,2018-06-13,3.12,18000.0,3.12,3.12,0,,,
ELITE,2018-06-14,3.12,15351.0,3.12,3.12,0,,,
ELITE,2018-06-15,3.08,36587.0,3.12,3.05,0,,,
ELITE,2018-06-18,3.1,17500.0,3.1,3.1,0,,,
ELITE,2018-06-19,3.09,75106.0,3.1,3.06,0,,,
ELITE,2018-06-20,3.06,15000.0,3.06,3.06,0,,,
ELITE,2018-06-21,3.1,21926.0,3.1,3.1,0,,,
ELITE,2018-06-22,3.07,60164.0,3.12,3.05,0,,,
ELITE,2018-06-25,3.05,59976.0,3.06,3.05,0,,,
ELITE,2018-06-26,3.06,77077.0,3.12,3.05,0,,,
ELITE,2018-06-27,3.1,97600.0,3.1,3.05,0,,,
ELITE,2018-06-28,3.01,191218.0,3.1,3.0,0,,,
ELITE,2018-06-29,3.02,77171.0,3.11,3.0,0,,,
ELITE,2018-07-02,3.01,112684.0,3.05,3.0,0,,,
ELITE,2018-07-03,3.05,18002.0,3.05,3.05,0,,,
ELITE,2018-07-04,2.98,65477.0,3.01,2.97,0,,,
ELITE,2018-07-05,3.02,32097.0,3.05,2.97,0,,,
ELITE,2018-07-06,3.01,95139.0,3.05,3.0,0,,,
ELITE,2018-07-09,2.99,20046806.0,3.0,2.97,0,,,
ELITE,2018-07-10,2.99,5606.0,3.0,2.97,0,,,
ELITE,2018-07-11,2.97,42000.0,2.98,2.95,0,,,
ELITE,2018-07-12,2.96,38510.0,2.96,2.96,0,,,
ELITE,2018-07-13,2.97,204045.0,3.0,2.95,0,,,
ELITE,2018-07-16,2.96,7000.0,2.96,2.96,0,,,
ELITE,2018-07-17,2.95,168000.0,2.96,2.95,0,,,
ELITE,2018-07-18,2.95,16011.0,2.96,2.95,0,,,
ELITE,2018-07-19,2.95,37206.0,2.96,2.95,0,,,
ELITE,2018-07-20,2.99,117229.0,3.0,2.96,0,,,
ELITE,2018-07-23,2.92,27749.0,2.95,2.9,0,,,
ELITE,2018-07-24,2.8,17106.0,2.9,2.8,0,,,
ELITE,2018-07-25,2.87,51331.0,2.92,2.8,0,,,
ELITE,2018-07-26,2.9,29004.0,2.9,2.9,0,,,
ELITE,2018-07-27,2.9,29475.0,2.9,2.9,0,,,
ELITE,2018-07-30,2.85,17000.0,2.85,2.85,0,,,
ELITE,2018-07-31,2.9,33526.0,2.97,2.85,0,,,
ELITE,2018-08-02,2.87,156163.0,2.97,2.86,1,,,
ELITE,2018-08-03,2.9,49649.0,2.9,2.9,0,,,
ELITE,2018-08-07,2.85,28545.0,2.9,2.8,1,,,
ELITE,2018-08-08,2.85,53599.0,2.9,2.75,0,,,
ELITE,2018-08-09,2.75,6000.0,2.75,2.75,0,,,
ELITE,2018-08-10,2.87,90678.0,2.9,2.75,0,,,
ELITE,2018-08-13,2.85,66552.0,2.9,2.8,0,,,
ELITE,2018-08-14,2.85,5000.0,2.85,2.85,0,0.0,1.0,0.0
ELITE,2018-08-15,2.88,1270903.0,2.9,2.71,0,,,
ELITE,2018-08-16,2.89,77748.0,2.9,2.85,0,,,
ELITE,2018-08-17,2.88,90264.0,2.9,2.85,0,,,
ELITE,2018-08-20,2.94,56166.0,2.95,2.9,0,,,
ELITE,2018-08-21,2.9,18382.0,2.9,2.9,0,,,
ELITE,2018-08-22,3.0,34150.0,3.0,3.0,0,,,
ELITE,2018-08-23,3.04,430597.0,3.25,2.91,0,,,
ELITE,2018-08-24,3.1,296533.0,3.25,3.0,0,,,
ELITE,2018-08-27,3.1,26004.0,3.1,3.1,0,,,
ELITE,2018-08-28,3.1,24500.0,3.1,3.1,0,,,
ELITE,2018-08-29,3.01,308958.0,3.1,2.9,0,,,
ELITE,2018-08-30,3.01,487961.0,3.1,3.0,0,,,
ELITE,2018-08-31,3.0,31215.0,3.01,3.0,0,,,
ELITE,2018-09-04,3.0,15996.0,3.02,3.0,1,0.4588,0.0,1.0
ELITE,2018-09-05,3.04,79407.0,3.1,3.0,0,,,
ELITE,2018-09-06,3.12,8000.0,3.12,3.12,0,,,
ELITE,2018-09-07,3.12,9695.0,3.12,3.11,0,,,
ELITE,2018-09-10,3.16,6400.0,3.16,3.16,0,,,
ELITE,2018-09-11,3.21,11300.0,3.25,3.16,0,,,
ELITE,2018-09-12,3.3,33983.0,3.44,3.16,0,,,
ELITE,2018-09-13,3.49,141028.0,3.5,3.48,0,,,
ELITE,2018-09-14,3.49,106043.0,3.5,3.45,0,,,
ELITE,2018-09-17,3.39,56916.0,3.5,3.25,0,,,
ELITE,2018-09-18,3.4,10000.0,3.4,3.4,0,,,
ELITE,2018-09-19,3.17,5000.0,3.17,3.17,0,,,
ELITE,2018-09-20,3.18,31816.0,3.3,3.16,0,,,
ELITE,2018-09-21,3.16,31792.0,3.16,3.16,0,,,
ELITE,2018-09-24,3.15,66264.0,3.16,3.12,0,,,
ELITE,2018-09-25,3.11,169251.0,3.15,3.1,0,,,
ELITE,2018-09-26,3.01,398534.0,3.3,3.0,0,,,
ELITE,2018-09-27,3.01,37358.0,3.02,3.01,0,0.0,1.0,0.0
ELITE,2018-09-28,3.11,54569.0,3.3,3.0,0,,,
ELITE,2018-10-02,3.13,53573.0,3.15,3.07,1,,,
ELITE,2018-10-03,3.25,87300.0,3.5,3.07,0,,,
ELITE,2018-10-04,3.15,6000.0,3.15,3.15,0,,,
ELITE,2018-10-05,3.47,170003.0,3.55,3.2,0,,,
ELITE,2018-10-08,3.49,620.0,3.5,3.45,0,,,
ELITE,2018-10-09,3.35,15110.0,3.45,3.3,0,,,
ELITE,2018-10-10,3.47,54177.0,3.55,3.3,0,,,
ELITE,2018-10-11,3.43,27890.0,3.45,3.4,0,,,
ELITE,2018-10-12,3.5,203518.0,3.5,3.5,0,,,
ELITE,2018-10-16,3.5,47045.0,3.5,3.5,1,,,
ELITE,2018-10-17,3.43,18495.0,3.5,3.4,0,,,
ELITE,2018-10-18,3.4,63315.0,3.4,3.4,0,,,
ELITE,2018-10-19,3.5,21229.0,3.5,3.5,0,,,
ELITE,2018-10-22,3.4,21494.0,3.4,3.4,0,,,
ELITE,2018-10-24,3.45,13958.0,3.45,3.45,1,,,
ELITE,2018-10-25,3.4,15100.0,3.45,3.4,0,,,
ELITE,2018-10-26,3.35,155009.0,3.4,3.17,0,,,
ELITE,2018-10-29,3.17,15175.0,3.17,3.17,0,,,
ELITE,2018-10-30,3.18,28229.0,3.2,3.17,0,,,
ELITE,2018-10-31,3.17,18229.0,3.2,3.17,0,-0.2263,0.0,0.0
ELITE,2018-11-01,3.21,19090.0,3.4,3.18,0,0.0,1.0,0.0
ELITE,2018-11-02,3.09,25351.0,3.17,3.02,0,,,
ELITE,2018-11-06,3.04,10000.0,3.1,3.02,1,,,
ELITE,2018-11-07,3.16,14275.0,3.2,3.02,0,,,
ELITE,2018-11-08,3.19,88474.0,3.2,3.05,0,,,
ELITE,2018-11-09,3.24,53251.0,3.4,3.2,0,,,
ELITE,2018-11-12,3.19,17459.0,3.4,3.19,0,,,
ELITE,2018-11-13,3.38,2606.0,3.4,3.25,0,,,
ELITE,2018-11-14,3.33,3685.0,3.4,3.3,0,,,
ELITE,2018-11-15,3.24,50984.0,3.3,3.2,0,,,
ELITE,2018-11-19,3.08,112035.0,3.4,3.0,1,0.0,1.0,0.0
ELITE,2018-11-20,3.0,103120.0,3.0,3.0,0,,,
ELITE,2018-11-21,3.17,15500.0,3.18,3.0,0,,,
ELITE,2018-11-22,3.2,7216.0,3.2,3.18,0,,,
ELITE,2018-11-23,3.0,67496.0,3.0,3.0,0,,,
ELITE,2018-11-26,3.0,40896.0,3.0,3.0,0,,,
ELITE,2018-11-27,3.13,70455.0,3.19,3.0,0,,,
ELITE,2018-11-29,3.11,17449.0,3.13,3.11,1,,,
ELITE,2018-12-03,3.12,1200.0,3.12,3.12,1,,,
ELITE,2018-12-04,2.89,42256.0,3.05,2.85,0,0.29600000000000004,0.0,1.0
ELITE,2018-12-06,2.87,15140.0,2.87,2.87,1,0.0772,0.0,1.0
ELITE,2018-12-10,3.0,75051.0,3.0,2.9,1,,,
ELITE,2018-12-11,3.0,20074.0,3.0,3.0,0,,,
ELITE,2018-12-12,2.87,15702.0,2.9,2.87,0,,,
ELITE,2018-12-13,3.0,1500.0,3.0,3.0,0,,,
ELITE,2018-12-14,2.87,8354.0,2.88,2.87,0,,,
ELITE,2018-12-18,2.89,19246.0,2.9,2.89,1,,,
ELITE,2018-12-19,2.88,34019.0,3.0,2.87,0,,,
ELITE,2018-12-20,2.88,84921.0,3.0,2.87,0,,,
ELITE,2018-12-21,2.95,29950.0,3.0,2.9,0,,,
ELITE,2018-12-24,2.91,1229.0,2.95,2.87,0,,,
ELITE,2018-12-27,2.91,35425.0,3.0,2.87,2,,,
ELITE,2018-12-31,2.92,35000.0,2.95,2.91,1,,,
ELITE,2019-01-02,2.94,7441.0,2.95,2.93,1,,,
ELITE,2019-01-04,2.93,20996.0,2.95,2.9,1,,,
ELITE,2019-01-07,2.87,42801.0,2.9,2.85,0,,,
ELITE,2019-01-08,2.85,98577.0,2.95,2.85,0,,,
ELITE,2019-01-09,2.85,2591.0,2.85,2.85,0,,,
ELITE,2019-01-10,2.86,33379.0,2.95,2.85,0,,,
ELITE,2019-01-11,2.89,57342.0,2.95,2.86,0,,,
ELITE,2019-01-14,2.85,160558.0,2.89,2.85,0,,,
ELITE,2019-01-15,2.86,23579.0,2.95,2.85,0,,,
ELITE,2019-01-16,2.91,81386.0,2.95,2.86,0,,,
ELITE,2019-01-17,2.91,20051.0,2.95,2.86,0,,,
ELITE,2019-01-18,2.87,4500.0,2.87,2.87,0,,,
ELITE,2019-01-21,2.96,382687.0,3.05,2.93,0,,,
ELITE,2019-01-22,2.91,2400.0,2.91,2.91,0,,,
ELITE,2019-01-23,2.94,39213.0,3.0,2.88,0,,,
ELITE,2019-01-24,2.85,5000.0,2.87,2.85,0,,,
ELITE,2019-01-25,2.93,21300.0,3.0,2.88,0,,,
ELITE,2019-01-28,2.97,36297.0,3.0,2.95,0,,,
ELITE,2019-01-29,3.0,7000.0,3.0,3.0,0,,,
ELITE,2019-01-30,3.0,350.0,3.0,3.0,0,,,
ELITE,2019-01-31,3.0,36461.0,3.05,3.0,0,,,
ELITE,2019-02-01,3.05,29106.0,3.1,3.01,0,,,
ELITE,2019-02-04,3.08,44371.0,3.1,3.0,0,,,
ELITE,2019-02-05,3.1,44913.0,3.11,3.1,0,,,
ELITE,2019-02-06,3.1,60616.0,3.11,3.1,0,,,
ELITE,2019-02-07,3.13,5000.0,3.13,3.13,0,,,
ELITE,2019-02-08,3.17,81437.0,3.19,3.13,0,,,
ELITE,2019-02-11,3.22,26852.0,3.25,3.19,0,,,
ELITE,2019-02-12,3.07,53414.0,3.19,3.0,0,,,
ELITE,2019-02-13,3.12,58350.0,3.15,3.09,0,,,
