Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
GENAC,2016-01-04,2.05,5600.0,2.05,2.05,0,,,
GENAC,2016-01-05,2.1,63115.0,2.19,2.1,0,,,
GENAC,2016-01-06,2.1,1318600.0,2.18,2.0,0,,,
GENAC,2016-01-07,2.1,23600.0,2.11,2.1,0,,,
GENAC,2016-01-08,2.04,89100.0,2.1,2.0,0,,,
GENAC,2016-01-11,2.07,32334.0,2.1,2.02,0,,,
GENAC,2016-01-12,2.01,111376.0,2.1,2.0,0,,,
GENAC,2016-01-13,2.0,78900.0,2.01,2.0,0,,,
GENAC,2016-01-14,2.07,135534.0,2.1,2.05,0,,,
GENAC,2016-01-15,2.18,10000.0,2.19,2.18,0,-0.0258,0.0,1.0
GENAC,2016-01-18,2.36,245379.0,2.45,2.19,0,,,
GENAC,2016-01-19,2.18,573067.0,2.19,2.07,0,,,
GENAC,2016-01-20,2.3,28821.0,2.3,2.3,0,,,
GENAC,2016-01-21,2.1,2100.0,2.2,2.1,0,,,
GENAC,2016-01-22,2.15,5369.0,2.15,2.15,0,,,
GENAC,2016-01-25,2.31,222764.0,2.6,2.2,0,,,
GENAC,2016-01-26,2.14,120000.0,2.3,2.06,0,,,
GENAC,2016-01-27,2.07,84631.0,2.1,2.05,0,,,
GENAC,2016-01-28,2.15,138984.0,2.17,2.07,0,,,
GENAC,2016-01-29,2.08,47541.0,2.15,2.0,0,,,
GENAC,2016-02-01,2.05,231733.0,2.05,2.05,0,,,
GENAC,2016-02-02,2.1,49450.0,2.18,2.1,0,,,
GENAC,2016-02-03,2.16,110204.0,2.25,2.15,0,,,
GENAC,2016-02-04,2.1,521900.0,2.18,2.1,0,,,
GENAC,2016-02-05,2.06,53100.0,2.25,2.05,0,,,
GENAC,2016-02-08,2.11,21835.0,2.15,2.1,0,,,
GENAC,2016-02-09,2.06,31741.0,2.06,2.06,0,,,
GENAC,2016-02-11,2.1,35600.0,2.1,2.1,1,,,
GENAC,2016-02-15,2.15,4801700.0,2.15,2.15,1,,,
GENAC,2016-02-16,2.18,320806.0,2.35,2.1,0,-0.4767,1.0,0.0
GENAC,2016-02-17,2.1,133703.0,2.1,2.1,0,,,
GENAC,2016-02-18,2.12,4198.0,2.12,2.12,0,,,
GENAC,2016-02-19,2.0,32302.0,2.0,2.0,0,,,
GENAC,2016-02-23,2.18,250000.0,2.2,2.12,1,,,
GENAC,2016-02-24,2.22,690326.0,2.5,2.1,0,,,
GENAC,2016-02-26,2.5,21315.0,2.5,2.5,1,,,
GENAC,2016-02-29,2.8,1000.0,2.8,2.8,0,,,
GENAC,2016-03-01,2.91,5000.0,3.0,2.85,0,,,
GENAC,2016-03-02,2.8,11484.0,2.8,2.8,0,,,
GENAC,2016-03-03,2.74,168361.0,2.8,2.6,0,,,
GENAC,2016-03-07,2.6,12305.0,2.6,2.6,1,,,
GENAC,2016-03-08,2.6,21910.0,2.8,2.6,0,,,
GENAC,2016-03-09,2.5,100000.0,2.51,2.5,0,,,
GENAC,2016-03-10,2.5,150999.0,2.69,2.21,0,,,
GENAC,2016-03-14,2.7,9000.0,2.7,2.7,1,,,
GENAC,2016-03-15,2.75,5246.0,2.8,2.75,0,,,
GENAC,2016-03-16,2.8,500.0,2.8,2.8,0,,,
GENAC,2016-03-17,2.68,24248.0,2.75,2.4,0,,,
GENAC,2016-03-18,2.79,2811669.0,3.0,2.7,0,,,
GENAC,2016-03-21,3.0,129400.0,3.0,3.0,0,,,
GENAC,2016-03-22,3.0,3000.0,3.0,3.0,0,,,
GENAC,2016-03-29,2.98,1000.0,2.98,2.98,4,,,
GENAC,2016-04-05,2.9,100.0,2.9,2.9,4,-0.4767,1.0,0.0
GENAC,2016-04-06,2.7,56296.0,2.9,2.7,0,,,
GENAC,2016-04-07,2.34,93021.0,2.4,2.33,0,,,
GENAC,2016-04-08,2.59,580.0,2.59,2.59,0,,,
GENAC,2016-04-11,2.59,59420.0,2.59,2.59,0,,,
GENAC,2016-04-14,2.64,63000.0,2.9,2.59,2,,,
GENAC,2016-04-15,2.9,594.0,2.9,2.9,0,,,
GENAC,2016-04-18,2.5,5000.0,2.5,2.5,0,,,
GENAC,2016-04-20,2.65,939649.0,2.9,2.65,1,,,
GENAC,2016-04-21,2.76,1150656.0,3.0,2.65,0,,,
GENAC,2016-04-25,2.65,1447523.0,2.9,2.65,1,,,
GENAC,2016-04-26,2.65,136177.0,2.65,2.65,0,,,
GENAC,2016-04-27,2.65,147688.0,2.65,2.65,0,,,
GENAC,2016-05-03,2.7000000000000006,3600.0,2.7000000000000006,2.7000000000000006,3,-0.4767,1.0,0.0
GENAC,2016-05-04,2.7,9000.0,2.7,2.7,0,,,
GENAC,2016-05-05,2.71,649313.0,2.72,2.65,0,,,
GENAC,2016-05-06,2.63,1541.0,2.65,2.6,0,,,
GENAC,2016-05-10,2.65,432078.0,2.65,2.64,1,,,
GENAC,2016-05-11,2.51,71500.0,2.65,2.5,0,,,
GENAC,2016-05-12,2.55,45784.0,2.59,2.55,0,,,
GENAC,2016-05-17,2.34,16037.0,2.35,2.0,2,0.2023,1.0,0.0
GENAC,2016-05-18,1.94,322467.0,2.06,1.9,0,,,
GENAC,2016-05-19,2.1,260368.0,2.11,2.1,0,-0.6124,0.0,0.0
GENAC,2016-05-20,2.1,50000.0,2.1,2.1,0,,,
GENAC,2016-05-24,2.15,299208.0,2.15,2.15,1,,,
GENAC,2016-05-26,2.15,49000.0,2.16,2.15,1,,,
GENAC,2016-05-27,2.18,20000.0,2.18,2.18,0,,,
GENAC,2016-06-01,2.44,2200.0,2.44,2.44,2,,,
GENAC,2016-06-06,2.29,6650.0,2.4,2.26,2,,,
GENAC,2016-06-09,2.3,7500.0,2.3,2.3,2,,,
GENAC,2016-06-10,2.32,2000.0,2.32,2.32,0,,,
GENAC,2016-06-14,2.26,3200.0,2.26,2.26,1,,,
GENAC,2016-06-16,2.25,9500.0,2.25,2.25,1,,,
GENAC,2016-06-17,2.06,32300.0,2.25,2.0,0,,,
GENAC,2016-06-23,2.1,9284.0,2.1,2.1,3,,,
GENAC,2016-06-24,2.06,3400.0,2.06,2.06,0,,,
GENAC,2016-06-27,2.05,89500.0,2.06,2.0,0,,,
GENAC,2016-06-29,2.05,112200.0,2.08,2.05,1,,,
GENAC,2016-06-30,2.02,6045.0,2.05,2.0,0,,,
GENAC,2016-07-01,2.05,4147.0,2.05,2.05,0,,,
GENAC,2016-07-04,2.05,16427.0,2.05,2.05,0,,,
GENAC,2016-07-05,2.06,46820.0,2.07,2.05,0,,,
GENAC,2016-07-11,2.15,4316.0,2.15,2.15,3,,,
GENAC,2016-07-12,2.08,38006.0,2.08,2.05,0,,,
GENAC,2016-07-13,2.05,1987.0,2.05,2.05,0,,,
GENAC,2016-07-14,2.02,124374.0,2.05,2.0,0,,,
GENAC,2016-07-19,2.14,5844.0,2.15,2.05,2,-0.6124,0.0,0.0
GENAC,2016-07-21,2.05,42000.0,2.1,2.03,1,,,
GENAC,2016-07-22,2.11,81163.0,2.2,2.1,0,,,
GENAC,2016-07-27,2.05,1203707.0,2.15,2.05,2,-0.4215,0.0,0.0
GENAC,2016-07-28,2.05,44000.0,2.05,2.05,0,,,
GENAC,2016-07-29,2.05,1794758.0,2.1,2.05,0,,,
GENAC,2016-08-02,2.4,4000.0,2.4,2.4,1,,,
GENAC,2016-08-03,2.16,1157300.0,2.3,2.05,0,,,
GENAC,2016-08-08,2.16,42019.0,2.16,2.16,2,,,
GENAC,2016-08-09,2.12,7722.0,2.16,2.1,0,,,
GENAC,2016-08-11,2.08,69656.0,2.09,2.0,1,,,
GENAC,2016-08-12,2.08,30000.0,2.08,2.08,0,,,
GENAC,2016-08-15,2.01,88928.0,2.08,2.0,0,,,
GENAC,2016-08-16,2.2,239266.0,2.2,2.1,0,0.4215,1.0,0.0
GENAC,2016-08-18,2.19,426436.0,2.19,2.19,1,,,
GENAC,2016-08-19,2.21,745396.0,2.21,2.21,0,,,
GENAC,2016-08-22,2.29,2046.0,2.29,2.29,0,,,
GENAC,2016-08-23,2.3,950.0,2.3,2.3,0,,,
GENAC,2016-08-29,2.29,10000.0,2.29,2.28,3,,,
GENAC,2016-08-30,2.29,7142.0,2.29,2.29,0,,,
GENAC,2016-08-31,2.3,6783.0,2.3,2.3,0,,,
GENAC,2016-09-01,2.05,2000000.0,2.05,2.05,0,,,
GENAC,2016-09-05,2.09,18500.0,2.09,2.06,1,,,
GENAC,2016-09-07,2.1,4400.0,2.3,2.08,1,,,
GENAC,2016-09-08,2.3,104311.0,2.3,2.3,0,,,
GENAC,2016-09-09,2.32,11553.0,2.39,2.2,0,,,
GENAC,2016-09-12,2.3,15000.0,2.3,2.3,0,,,
GENAC,2016-09-14,2.28,86147.0,2.3,2.25,1,,,
GENAC,2016-09-15,2.29,57610.0,2.3,2.29,0,,,
GENAC,2016-09-16,2.29,10000.0,2.29,2.29,0,,,
