Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
GWEST,2017-12-21,2.87,3000.0,2.87,2.87,0,,,
GWEST,2017-12-22,3.3,19982.0,3.3,3.3,0,,,
GWEST,2017-12-27,3.52,265396.0,3.75,3.3,2,,,
GWEST,2017-12-28,3.28,1067765.0,3.5,3.05,0,,,
GWEST,2017-12-29,3.44,1391193.0,3.6,3.0,0,-0.2263,0.0,0.0
GWEST,2018-01-02,3.71,221252.0,4.0,3.5,1,,,
GWEST,2018-01-03,3.39,506563.0,4.0,3.3,0,,,
GWEST,2018-01-04,3.05,334526.0,3.3,3.0,0,,,
GWEST,2018-01-05,3.05,1810292.0,3.3,2.95,0,,,
GWEST,2018-01-08,3.08,607187.0,3.4,2.87,0,,,
GWEST,2018-01-09,2.93,461864.0,3.0,2.87,0,,,
GWEST,2018-01-10,2.96,225299.0,3.0,2.87,0,,,
GWEST,2018-01-11,2.93,114014.0,2.93,2.9,0,,,
GWEST,2018-01-12,2.92,112301.0,2.93,2.9,0,,,
GWEST,2018-01-15,2.89,141865.0,2.92,2.87,0,,,
GWEST,2018-01-16,2.83,14033.0,2.87,2.81,0,,,
GWEST,2018-01-17,2.82,604000.0,2.83,2.82,0,,,
GWEST,2018-01-18,2.7,31941.0,2.7,2.7,0,,,
GWEST,2018-01-19,2.75,2261047.0,2.81,2.6,0,,,
GWEST,2018-01-22,2.81,1223571.0,3.0,2.7,0,,,
GWEST,2018-01-23,2.77,75766.0,2.81,2.75,0,,,
GWEST,2018-01-24,2.81,17628.0,2.81,2.81,0,,,
GWEST,2018-01-25,2.69,92459.0,2.77,2.6,0,,,
GWEST,2018-01-26,2.78,1219959.0,2.9,2.6,0,,,
GWEST,2018-01-29,3.2,110020.0,3.2,3.2,0,,,
GWEST,2018-01-30,3.2,1128212.0,3.29,3.2,0,,,
GWEST,2018-01-31,3.2,2982117.0,3.25,3.2,0,,,
GWEST,2018-02-01,3.2,1429709.0,3.28,3.2,0,,,
GWEST,2018-02-02,3.2,182354.0,3.21,3.2,0,,,
GWEST,2018-02-06,3.19,4535.0,3.19,3.19,1,,,
GWEST,2018-02-07,3.2,2636396.0,3.2,3.01,0,,,
GWEST,2018-02-08,3.06,30279.0,3.1,3.0,0,,,
GWEST,2018-02-09,2.91,41331.0,3.0,2.9,0,,,
GWEST,2018-02-15,2.75,422.0,2.75,2.75,3,,,
GWEST,2018-02-16,2.74,109788.0,2.75,2.7,0,-0.2263,1.0,0.0
GWEST,2018-02-19,2.74,551.0,2.74,2.74,0,0.4588,0.0,1.0
GWEST,2018-02-20,2.74,1540.0,2.74,2.74,0,,,
GWEST,2018-02-21,2.5,5400.0,2.5,2.5,0,0.0,1.0,0.0
GWEST,2018-02-26,2.6,12653.0,2.6,2.6,2,,,
GWEST,2018-02-27,2.9,3703621.0,3.0,2.59,0,,,
GWEST,2018-02-28,2.97,159035.0,3.0,2.6,0,,,
GWEST,2018-03-01,3.0,147526.0,3.0,3.0,0,,,
GWEST,2018-03-02,2.96,2260.0,3.0,2.9,0,,,
GWEST,2018-03-05,2.9,6040.0,2.9,2.9,0,,,
GWEST,2018-03-06,2.89,3500.0,2.89,2.89,0,,,
GWEST,2018-03-07,2.89,4080.0,2.89,2.89,0,,,
GWEST,2018-03-09,2.86,15000.0,2.89,2.82,1,,,
GWEST,2018-03-13,2.84,311948.0,2.89,2.8,1,,,
GWEST,2018-03-15,2.74,56984.0,2.75,2.7,1,,,
GWEST,2018-03-20,2.75,111347.0,2.8,2.7,2,,,
GWEST,2018-03-21,2.7,210721.0,2.7,2.7,0,0.29600000000000004,0.0,0.0
GWEST,2018-03-22,2.71,17000.0,2.8,2.6,0,,,
