Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
HONBUN,2016-01-04,6.17,120000.0,6.18,6.15,0,,,
HONBUN,2016-01-06,6.28,1150.0,6.28,6.28,1,,,
HONBUN,2016-01-07,6.45,114652.0,6.58,6.38,0,,,
HONBUN,2016-01-08,6.7,16683.0,6.7,6.7,0,,,
HONBUN,2016-01-11,6.8,12241.0,6.8,6.7,0,,,
HONBUN,2016-01-13,7.0,13652.0,7.05,7.0,1,,,
HONBUN,2016-01-15,7.17,11000.0,7.18,7.11,1,,,
HONBUN,2016-01-18,7.6,85000.0,7.6,7.6,0,,,
HONBUN,2016-01-19,7.38,104424.0,7.6,6.8,0,,,
HONBUN,2016-01-20,7.57,63979.0,7.6,7.41,0,,,
HONBUN,2016-01-21,7.65,32000.0,7.65,7.65,0,,,
HONBUN,2016-01-22,7.66,10101.0,7.67,7.65,0,,,
HONBUN,2016-01-26,8.1,23681.0,8.2,8.0,1,,,
HONBUN,2016-01-27,8.5,3400.0,8.5,8.5,0,,,
HONBUN,2016-01-28,8.7,3000.0,8.7,8.7,0,0.0,1.0,0.0
HONBUN,2016-01-29,9.0,28500.0,9.0,9.0,0,,,
HONBUN,2016-02-01,9.15,1066.0,9.15,9.15,0,,,
HONBUN,2016-02-02,9.25,5650.0,9.25,9.25,0,,,
HONBUN,2016-02-03,9.34,2000.0,9.5,9.25,0,,,
HONBUN,2016-02-04,9.31,50000.0,9.31,9.31,0,-0.2263,1.0,0.0
HONBUN,2016-02-05,10.0,20000.0,10.0,10.0,0,,,
HONBUN,2016-02-09,11.05,36400.0,11.1,11.0,1,,,
HONBUN,2016-02-11,11.28,6669.0,11.8,11.11,1,,,
HONBUN,2016-02-12,12.08,20000.0,12.08,12.08,0,,,
HONBUN,2016-02-15,12.73,15705.0,13.0,12.15,0,,,
HONBUN,2016-02-16,13.05,21410.0,13.08,13.0,0,,,
HONBUN,2016-02-17,13.6,100.0,13.6,13.6,0,,,
HONBUN,2016-02-18,13.53,24270.0,13.8,13.15,0,,,
HONBUN,2016-02-19,13.5,24947.0,13.5,13.5,0,,,
HONBUN,2016-02-22,13.71,27507.0,14.0,13.5,0,,,
HONBUN,2016-02-23,13.78,6000.0,13.85,13.7,0,,,
HONBUN,2016-02-24,13.78,7674.0,13.78,13.78,0,,,
HONBUN,2016-02-25,13.85,408083.0,14.0,13.8,0,,,
HONBUN,2016-02-26,13.97,17122.0,14.0,13.8,0,,,
HONBUN,2016-03-01,13.81,27600.0,14.0,13.8,1,,,
HONBUN,2016-03-02,14.1,39099.0,15.0,14.0,0,,,
HONBUN,2016-03-03,16.5,2000.0,16.5,16.5,0,,,
HONBUN,2016-03-04,16.79,9500.0,17.55,16.5,0,,,
HONBUN,2016-03-07,14.11,20342.0,17.0,14.0,0,,,
HONBUN,2016-03-08,14.01,21041.0,14.2,14.0,0,,,
HONBUN,2016-03-09,14.74,2966.0,15.0,14.21,0,,,
HONBUN,2016-03-10,14.76,2800.0,15.0,14.61,0,,,
HONBUN,2016-03-14,14.58,13054.0,14.76,14.0,1,,,
HONBUN,2016-03-15,13.88,20660.0,14.0,13.6,0,,,
HONBUN,2016-03-16,13.44,18560.0,13.6,13.08,0,,,
HONBUN,2016-03-17,13.44,37500.0,13.5,13.44,0,,,
HONBUN,2016-03-18,13.08,1000.0,13.08,13.08,0,,,
HONBUN,2016-03-21,13.31,24051.0,13.5,13.0,0,,,
HONBUN,2016-03-22,13.0,19500.0,13.0,13.0,0,,,
HONBUN,2016-03-23,13.42,2151.0,14.0,13.0,0,,,
HONBUN,2016-03-24,12.53,7198.0,13.42,11.01,0,,,
HONBUN,2016-03-30,12.29,3185.0,12.53,11.03,3,0.45879999999999993,0.0,1.0
HONBUN,2016-04-01,10.99,26150.0,11.01,10.45,1,,,
HONBUN,2016-04-04,11.5,3160.0,11.5,11.5,0,,,
HONBUN,2016-04-05,11.74,1889.0,12.0,11.5,0,,,
HONBUN,2016-04-06,10.52,8880.0,11.0,10.5,0,,,
HONBUN,2016-04-07,11.0,969.0,11.0,11.0,0,,,
HONBUN,2016-04-08,11.0,1500.0,11.0,11.0,0,,,
HONBUN,2016-04-11,11.0,30500.0,11.0,11.0,0,,,
HONBUN,2016-04-12,11.0,80402.0,11.0,11.0,0,,,
HONBUN,2016-04-13,12.34,21550.0,12.53,12.0,0,0.0772,0.0,0.0
HONBUN,2016-04-14,12.55,18000.0,12.55,12.55,0,,,
HONBUN,2016-04-15,13.79,2748.0,15.0,13.05,0,,,
HONBUN,2016-04-18,15.47,26150.0,16.5,15.0,0,,,
HONBUN,2016-04-19,15.87,17300.0,16.0,15.47,0,,,
HONBUN,2016-04-20,14.93,5898.0,15.5,13.0,0,-0.2263,0.0,0.0
HONBUN,2016-04-25,15.5,3000.0,15.5,15.5,2,,,
HONBUN,2016-04-26,16.8,8527.0,17.0,16.0,0,,,
HONBUN,2016-04-27,15.77,206720.0,17.01,15.56,0,,,
HONBUN,2016-04-28,17.0,4000.0,17.0,17.0,0,-0.2263,0.0,0.0
HONBUN,2016-04-29,17.2,305.0,17.2,17.2,0,,,
HONBUN,2016-05-02,17.95,500.0,17.95,17.95,0,,,
HONBUN,2016-05-03,17.17,37988.0,18.5,17.0,0,,,
HONBUN,2016-05-04,18.03,7042.0,18.3,18.0,0,,,
HONBUN,2016-05-05,18.1,21190.0,18.2,18.03,0,,,
HONBUN,2016-05-06,18.25,7290.0,18.25,18.25,0,,,
HONBUN,2016-05-09,18.25,27551.0,18.3,18.0,0,-0.21075,0.0,0.0
HONBUN,2016-05-10,18.58,49201.0,19.5,18.1,0,,,
HONBUN,2016-05-11,19.7,26600.0,20.0,18.7,0,,,
HONBUN,2016-05-12,20.45,21440.0,22.0,20.0,0,,,
HONBUN,2016-05-13,22.0,19637.0,22.0,22.0,0,,,
HONBUN,2016-05-16,21.95,7962.0,21.95,21.95,0,0.4588,0.0,1.0
HONBUN,2016-05-17,18.68,16302.0,22.0,16.5,0,0.4588,0.0,1.0
HONBUN,2016-05-18,21.42,117182.0,22.0,20.75,0,,,
HONBUN,2016-05-19,21.97,13135.0,22.0,21.9,0,0.4588,0.0,1.0
HONBUN,2016-05-20,22.0,2025.0,22.0,22.0,0,,,
HONBUN,2016-05-24,21.88,5444.0,22.0,21.5,1,0.4588,0.0,1.0
HONBUN,2016-05-25,21.95,3500.0,21.95,21.95,0,,,
HONBUN,2016-05-26,18.14,10000.0,19.0,18.0,0,,,
HONBUN,2016-05-27,19.0,960.0,19.0,19.0,0,,,
HONBUN,2016-06-02,4.36,170860.0,5.0,4.3,3,-0.2263,0.0,0.0
